"","GeneID","X144_DRG_T_f_1","X147_DRG_T_m_2","X148_DRG_T_m_1","X149_DRG_T_f_3","X152_DRG_T_f_4","X156_DRG_T_f_2","X164_DRG_T_m_3","X145_DRG_T_m_4","X143_DRG_TC_m_4","X151_DRG_TC_f_2","X154_DRG_TC_f_4","X157_DRG_TC_m_3","X158_DRG_TC_f_5","X161_DRG_TC_m_2","X162_DRG_TC_f_1","X165_DRG_TC_m_1","X160_DRG_TC_f_3"
"1","Aaas",17915.85967,18021.89222,19387.93521,19883.57647,21404.38098,20762.86141,20704.93079,18239.65414,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Aacs",101320.85,130675.8943,93861.18092,109946.3503,95938.78677,106380.4718,107710.0687,126441.471,34199.84962,31859.75096,41062.62013,NA,37081.35239,30689.17953,37977.14036,21459.81583,25977.48275
"3","Aagab",9367.025898,11331.67881,11543.4634,11957.39197,11766.8712,12939.47329,13321.28558,12077.49541,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Aak1",990050.3533,1056913.513,957052.8578,993148.618,1029732.297,1021233.923,1044218.529,1086234.463,54306.6786,70957.94999,60362.5135,66160.19689,56131.29907,62016.49008,56286.98962,65201.64969,55521.24553
"5","Aak1;Bmp2k",60478.21478,82582.35924,63265.046,43986.61924,49059.6493,69587.2897,62164.32398,59141.27923,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Aamdc",55484.84781,41355.16877,47924.43051,65156.89241,63375.63238,62803.96886,61891.40202,51233.40838,NA,NA,6425.99,NA,6213.13,NA,4963.9,NA,4555.71
"7","Aars1",27806.39944,30963.94126,29970.52142,28911.24316,29705.74419,26588.75789,27701.77985,31988.763,8081.84,NA,NA,NA,6287.78,10396.1,7099.46,NA,NA
"8","Aasdhppt",7466.79,4537.19,NA,NA,7615.12,7298.6,NA,4744.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Aatk",17466.13913,17763.61234,16787.73389,15718.95231,18072.33082,16838.45819,21925.27519,19096.39667,28463.44271,34159.91076,28396.12021,30040.48135,30366.98301,21635.97122,26453.74911,23896.35931,22686.59972
"10","Abat",9994.336037,12318.40046,9469.098999,7654.840103,12436.00372,10280.10581,10597.79336,7169.260635,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Abca3",6226.823931,5213.674682,4641.811401,4933.20245,5261.792074,5350.767553,4873.551117,7822.421232,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Abca6",5032.766182,5457.648897,7766.374062,7253.943745,4159.99,4890.284063,5370.204807,5773.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Abca7",8564.765635,12009.136,13062.27123,7417.168422,8907.750149,7721.646788,10718.38141,9319.172614,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Abca8a",NA,NA,NA,NA,NA,NA,NA,NA,4957.453224,4435.199167,7330.318643,4023.842917,4598.652069,4158.955075,4406.967827,4495.831211,5875.527208
"15","Abcb11",NA,NA,NA,NA,NA,NA,NA,NA,39568.1,16416.6,NA,29765.5,NA,NA,NA,NA,15763
"16","Abcb1a;Abcb1b;Abcb4",NA,NA,NA,NA,NA,NA,NA,NA,62852.9,NA,20325.9,75858.6,25897.2,60356.9,NA,NA,15175.9
