"","GeneID","X170_SCN_T_m_4","X175_SCN_T_f_5","X177_SCN_T_f_6","X178_SCN_T_m_1","X181_SCN_T_m_3","X197_SCN_T_f_1","X171_SCN_T_f_2","X183_SCN_T_m_2","X185_SCN_T_f_4","X187_SCN_T_f_3","X173_SCN_TC_f_1","X174_SCN_TC_m_5","X182_SCN_TC_m_3","X186_SCN_TC_m_4","X191_SCN_TC_f_3","X193_SCN_TC_m_2","X194_SCN_TC_m_1","X199_SCN_TC_f_2","X189_SCN_TC_f_6","X198_SCN_TC_f_4","X201_SCN_TC_f_5","X195_SCN_TC_m_6"
"1","Aacs",58685.34935,44485.03593,58874.33193,66727.0293,58621.34343,57141.54137,58991.77695,45069.29787,52782.85449,56351.92629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Aak1",241008.1323,255428.9102,258863.1936,316651.9679,299961.7791,234541.1374,248353.8286,229930.1898,207878.5551,251343.5905,8068.616826,4142.422937,5415.988085,6502.610259,5731.19492,3561.097155,4279.993659,4213.383925,4039.98303,3520.342964,NA,4816.886911
"3","Aamdc",NA,NA,10039.6,7096.65,8331.94,10248.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Aars1",21175.0112,15355.27713,13848.81842,12843.35681,18978.12513,16584.9913,17462.56468,18104.25206,16034.70342,17287.44936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Aatk",13147.53781,9563.75,13504.49512,10063.30048,7266.832846,7751.317266,9598.34,12102.04474,10671.9,10323.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Abcb1a;Abcb1b;Abcb4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35139.8,NA,33249.9,NA,30999.5,NA,NA,42719.7,50631.8,41139.2,49074.1,NA
"7","Abcd3",8014.651389,6195.251767,7950.123697,6979.97911,5729.813238,6041.92538,7184.966029,NA,6276.963206,8769.80852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Abcf1",12461.2,8900.71,NA,8387.09,9488.85,8560.16,NA,NA,NA,11090.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Abcf2",18213.12547,15920.87432,21910.69477,17570.39573,16239.27079,18536.18269,20671.6421,24105.64469,19842.35216,18687.55309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Abcf3",21468.98584,22573.79935,24125.57117,25082.4767,26752.83056,22189.10435,21457.01941,22893.33729,21566.21648,19804.98969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Abhd10",23039.94662,20785.39032,18452.78955,20377.14726,22638.26334,15897.03121,18723.59358,23316.22524,21606.92047,19079.68524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Abhd12",97653.10641,128878.9261,123656.1073,97950.277,105855.3461,89264.557,125683.9213,102899.06,116094.814,117162.5785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Abi1",17161.29581,15897.243,18224.68585,20535.5237,17865.64246,20918.95905,14275.30737,15178.06364,20459.84896,13857.98787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Abi1;Abi2",26480.17273,31473.51292,27851.79867,18068.50211,19960.57921,29391.12007,31383.47059,25240.6375,34463.42877,30653.38817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Abi2",NA,NA,54588.23406,54092.63416,NA,27857.34881,NA,NA,NA,65816.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Abl2",NA,NA,4386.243573,11820.83982,9515.577184,3534.564833,3288.275258,NA,NA,3619.092657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Ablim1",110893.6568,105599.6526,109919.2505,112281.7877,113372.2472,117025.3774,113251.7986,107512.3913,108019.5996,112596.2171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Ablim1;Dmtn",133789,134826,136230,97016.7,92377.2,83446.4,132589,200848,140534,131660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Ablim2",57877.94196,52824.55459,61597.86261,74261.10116,69846.27674,62757.07783,51982.18716,60094.92405,48462.08881,51613.05185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Ablim3",20109.47625,16483.51561,14104.44726,15402.09636,17278.16522,17135.06884,17458.68475,17734.06769,22939.65279,17433.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Abr",38353.90632,42925.85757,43230.34313,40484.14771,38613.1565,36894.12581,44876.75739,34056.00147,41125.37265,44326.40565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Abr;Bcr",NA,NA,NA,11500.9,3748.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Abraxas2",10737.04693,10858.5445,11244.49074,11021.35599,11670.00263,12698.25088,10190.02705,10931.53976,9385.955506,14988.53085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Abtb2",21110.23491,21218.0093,20458.33749,20295.07691,23966.59911,20928.40677,22822.40551,15520.77496,19861.15055,24019.71842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Acaca",172781.5577,153139.1369,160015.6676,189820.8778,179123.6631,161133.1774,149322.1468,172402.6608,158823.1295,149764.9281,531054.4627,533189.3679,511456.8639,446847.0651,695876.7439,574232.3717,640381.4169,652688.9965,631314.2137,574727.3199,630899.8206,537114.7683
"26","Acaca;Acacb",186602.4212,144444.6988,166947.4322,196047.4451,201645.2829,177610.422,164062.5976,158704.1729,174977.9275,169232.4491,258473.1818,322314.7235,328777.6642,244261.1111,447767.4672,415070.8192,480074.0152,431103.0658,295271.6735,321345.99,363856.5383,401131.8279
"27","Acacb",14116.91687,11585.93016,9906.812223,10608.44668,15528.74844,7873.486064,11294.7851,16352.50589,12147.50395,14141.81013,23059.59133,31578.48038,31424.62103,27997.40967,23189.73304,33139.69186,31448.54838,24766.46916,21091.716,20508.20834,23511.12275,33501.72365
"28","Acad9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7552.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Acadvl",33740.90532,21752.81695,20649.92044,24213.19841,26522.77103,17373.72123,19397.5482,27110.37295,20392.49581,23205.94804,NA,14416.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Acap2",13289.9,8730.18,7544.99,6093.88,6810.21,5646.91,7688.69,NA,9890.19,12708.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Acat2",NA,8514.81,7654.25,4534.49,6364.88,5795.82,8854.97,8304.74,7576.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Acbd5",15581.65469,15714.40493,13028.16604,13877.09388,10970.10086,12072.15755,17811.75593,18929.1427,15992.40631,14170.05195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Acbd6",NA,5551.02,4912.14,6183.639686,4682.039301,NA,8260.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Acin1",NA,NA,2647.17,NA,NA,NA,NA,NA,NA,NA,8231.211368,7876.686212,9223.710842,4836.170387,7546.879779,9606.203326,6448.283887,6801.567173,6809.304726,7996.19737,7307.613951,4801.402282
"35","Acly",16499.70122,12599.11419,14985.49309,11982.56428,12526.23905,13374.99547,11870.66758,17547.28262,14737.37667,20838.02553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Aco2",NA,9843.717143,4557.110494,4653.602533,8516.747069,6825.443721,4613.810117,10906.81345,NA,2535.487483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Acot7",8094.92,7788.655358,9993.832391,8649.458872,8016.424749,7858.715629,NA,6007.66,4329.260761,9679.15,NA,4176.77,NA,NA,NA,NA,907.385,NA,NA,NA,NA,NA
"38","Acot9",8756.795487,10233.68924,4171.235251,6125.682169,8567.404062,6409.291239,11546.87346,22225.27114,10874.76765,5964.745489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Acox1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4446.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Acp1",48860.37838,68333.14983,91237.00772,80108.85696,55682.81105,106183.7745,83566.8,44861.31421,53557,89737.20114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Acrbp",NA,NA,9736.03,NA,NA,8072.47,NA,NA,NA,7946.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
