GeneID,X207_LSC_T_m_2,X211_LSC_T_f_3,X220_LSC_T_m_5,X221_LSC_T_f_5,X224_LSC_T_m_1,X225_LSC_T_f_6,X227_LSC_T_m_6,X228_LSC_T_f_2,X233_LSC_T_f_4,X236_LSC_T_f_1,X237_LSC_T_m_4,X240_LSC_T_m_3,X208_LSC_TC_m_5,X209_LSC_TC_f_2,X212_LSC_TC_m_2,X214_LSC_TC_m_6,X219_LSC_TC_f_1,X231_LSC_TC_f_6,X232_LSC_TC_f_5,X238_LSC_TC_f_4,X241_LSC_TC_m_3,X213_LSC_TC_m_1,X216_LSC_TC_f_3,X223_LSC_TC_m_4
A2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10316.7,NA,NA,NA,NA,NA,NA,NA
Aaas,NA,NA,3446.5,7162,NA,6944.72,5446.51,4913.5,6813.09,6335.2,2459.56,6234.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aacs,20906.1195,12952.23149,15244.01754,19422.14228,17503.8441,17065.52909,19207.44278,18009.95998,18849.52324,18787.95446,17517.85609,20630.47376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aak1,668290.5995,733634.5989,614725.4371,800645.8499,648424.514,846812.3347,680936.6155,842648.2129,807504.4527,831970.4128,791433.5873,733262.5441,28111.87758,27372.73966,30959.18562,26032.10026,30415.71694,27006.27543,30820.43496,31212.42687,32991.27006,27561.06335,29547.07538,29491.38108
Aamdc,13861.72748,15938.71539,14786.41585,13836.90015,9534.148565,13666.84223,15450.98058,15307.81817,16287.98001,14515.56332,11845.61144,13592.45447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aars1,35254.05397,32588.42135,37823.37992,34486.11367,36552.53543,33781.93454,34469.62936,32858.29316,32255.94174,34545.94974,38271.62967,34141.71584,12488.76439,18582.85141,10230.5234,16549.19109,13720.86535,9244.087744,12604.48001,13464.92509,10601.34419,15494.11243,17239.50993,21420.51329
Aatk,27114.55331,16802.85686,24128.31395,18654.90746,20628.76854,19026.48089,24397.83392,19817.74243,19150.23227,18218.22353,26167.82333,21536.02053,5085.751919,5943.606643,5623.574027,4824.01,4954.459794,5738.36,5777.27,5543.33,4924.17,4892.07813,6816.969296,5366.267174
Abat,60740.31562,39516.55125,60057.50624,42761.34655,50610.13298,42279.67661,62869.33622,41038.84352,46294.7212,46532.42651,70024.21424,74092.34818,23624.39286,29282.15628,25281.26647,24980.2898,26676.55683,23475.66654,26555.34432,24695.21154,22433.85505,20174.37646,23650.76412,24848.14319
Abca5,8901.769223,5508.806105,9544.780633,4161.404255,NA,4962.623401,7764.090742,9881.69104,4898.665702,5025.502621,9213.908534,7280.45241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca7,7231.960345,5452.510259,10046.55749,4991.908117,6390.327388,6443.778943,4717.860317,6806.800884,5355.53784,4675.096877,7963.268043,8449.373997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb1a,21034.86307,22407.88244,14691.052,31213.62739,13303.90017,13189.36986,12331.63352,14604.06732,13453.21737,12860.82081,19345.76957,21022.00949,25728.90811,14608.38893,17944.38248,24291.36896,28053.17303,17406.03932,21850.9009,15497.33169,29364.29782,42178.85981,13599.71505,26804.55669
Abcb1a;Abcb4,8799.32,4689.98,6510.18,6012.5,7342.84,4401.23,6309.92,4057.05,5311.29,3692.81,9897.79,6487.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb7,9368.1,8183.28,19163.9,14223.8,15220.3,8410.67,15560,NA,NA,11050.2,15665.3,13982,NA,3410.71,2022.04,NA,5618.74,2608.94,2824.59,NA,NA,NA,NA,NA
Abcb8,9845.13,NA,7083.3,NA,5003.14,4043.67,7550.55,4724.57,4070.43,3684.94,7556.56,6496.53,NA,2367.258234,3140.779691,1948.251126,NA,NA,2301.91797,1382.445604,2685.295326,3370.068691,NA,NA
Abcb9,11760.28929,10310.07096,13100.24679,10116.86543,12326.815,9600.884091,13046.37739,9705.991351,9641.873867,9776.64355,11997.086,9996.585114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcc5,8180.891928,NA,12845.05601,6633.933061,NA,8171.750131,8867.096762,7672.843961,8278.449734,8233.520424,9057.111468,6103.015345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcd2,4648.930615,8479.87504,NA,5815.214924,5897.707997,7556.768208,6934.165004,7358.364028,3949.173246,5785.935626,10239.74124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcd3,30186.27446,30790.18062,22717.06812,26529.02613,27824.56158,32413.46299,28727.34381,35845.42274,30549.82063,25519.41711,23533.15038,27106.39649,NA,NA,3471.97,3278.41,3271.63,3450.84,1959.68,2196,5290.31,NA,4745.65,4358.59
Abce1,9607.98,14616.6,NA,10572.7,10039.9,9177.22,10999.2,10997.8,8928.58,8098.04,10810.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcf1,24153.22162,NA,38112.1,21149.28167,31821.47908,24713.93312,23601.69064,22192.67898,21455.57135,21219.90465,27640.00409,22839.18566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcf2,59109.5723,40633.50856,51682.06229,52114.43252,45422.54732,51476.49108,54359.72687,55388.18904,57370.27465,49895.03439,50045.82974,52168.23573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcf3,37579.87262,29435.16598,32368.67559,35707.43619,31689.21836,36837.94928,36622.83656,37490.92985,38534.88647,36988.97633,39926.12595,39772.10066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcg2,20977.1,11293.28152,13586.50277,10725.36076,22039.9,11136.67077,16052.8,12468.62077,7131.327982,8858.911122,18546.31219,17304.22047,NA,NA,2051.2,NA,2706.38,2402.84,1182.02,2354.49,3280.41,NA,2829.59,2779.59
Abhd10,217716.0777,174968.4192,218827.0443,191262.2654,232562.4575,171098.2237,232905.5882,196536.1123,187684.9832,188824.0357,213740.6081,251934.7665,NA,3572.31,5040.38,4010.35,2155.37,NA,2659.81,3882.16,NA,NA,2711.47,3795.07
Abhd12,1033493.461,998939.3885,953509.1941,1060071.121,800119.0159,1084550.788,988460.0308,1064864.932,1024480.323,1136876.534,931449.7983,898732.3768,NA,NA,3708.97,NA,NA,NA,1483.56,NA,2904.28,NA,NA,NA
Abhd16a,17792.94061,15894.5,24279.59846,15472.00045,28911.8,16157.06624,22164.60539,12706.58384,12088.95368,15092.44519,19628.38243,19037.14217,NA,3211.5,4521.05,1778.07,3608.65,4888,4944.56,2322.67,3670.07,NA,1871.89,2748.02
Abhd6,10231.13374,8118.041905,9901.37625,7270.605299,9916.723556,6850.56308,8959.826288,7024.9364,6523.107399,6591.947786,9664.839714,9945.438162,NA,NA,1652.42,2813.91,NA,NA,1895.22,2946.57,NA,NA,2853.98,NA
Abi1,63025.34794,46037.32522,50225.59145,82165.05195,49559.28672,87444.21997,69283.66983,94938.15122,84504.67473,86907.12439,78978.92549,71386.95174,7180.856745,8742.034114,8223.832652,6969.549176,6960.495066,7113.894938,9925.630356,7582.252015,5086.782908,6933.089952,7779.657009,7097.730703
Abi1;Abi2,111485.5554,110162.4438,110043.4137,108224.6606,113234.7141,93134.18449,116858.5703,122051.2297,124381.1551,111623.4173,97398.48286,92218.08538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abi2,73059.72983,92473.22036,75895.27264,93926.44376,74939.59088,90139.69282,72810.31105,93022.09529,88241.4869,95218.27034,67824.68446,59705.62258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abl2,32161.96871,40283.43578,41302.15184,34111.26255,36222.38694,34148.5222,35071.63643,33987.70157,33896.84119,32611.05736,33737.22621,33953.79435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablim1,197352.6018,195934.7093,184589.884,222001.1991,203438.4513,229226.5026,200909.9453,244946.3997,234491.4454,234275.5465,227526.2848,201801.5032,8435.759838,4986.69419,2846.40705,NA,NA,4942.084364,1893.836327,3363.527644,2091.741082,9707.420523,3400.659463,3648.522168
Ablim1;Dmtn,197975,213561,209862,134390,220910,155610,201915,140052,174978,174801,206295,174954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablim2,307070.5441,271471.5392,284243.7194,312846.2518,301741.5012,307409.9498,329804.1438,316368.216,311176.6997,316080.8593,338373.8971,327694.5402,30493.43275,38967.89557,37349.3997,39877.34001,35180.24,34785.19592,40051.53729,39370.93244,36574.28704,26241.66438,36966.178,33416.12394
Ablim2;Ablim3,81445.1,79759.1,85262,62038.5,91737.9,58503.7,66735,55145.5,66528.7,57572,70295,65812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ablim3,51393.42297,51896.87188,53178.25227,53525.73353,51388.49674,52715.44225,49638.62686,60871.4466,62494.73405,56670.31156,53577.25988,51009.13846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abr,79165.18036,86228.10808,80954.24847,91326.95604,76320.56908,84498.2644,73705.83689,89582.11918,90382.33141,94885.84715,79982.34746,86076.28635,13903.10617,11114.82524,11457.50609,10636.4038,12464.84578,13782.74259,9661.035933,11241.07787,9633.683094,13556.52878,11418.72483,12144.11884
Abr;Bcr,18774.4,NA,NA,91359.4,7426.8,81900,41829.9,106473,104086,113524,65304.5,56280.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abraxas2,22720.21877,23576.71287,27237.73088,27069.64033,20556.45064,28633.47759,19371.77193,27852.80215,27931.90208,24113.37315,22986.55886,23633.71352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abtb2,50356.73606,42244.33415,46256.01609,59521.2345,41022.09953,60841.90122,44711.42909,58475.10778,59718.62171,64015.53205,48686.11993,49390.66004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abtb2;Btbd11,NA,NA,NA,15964.78337,NA,NA,10983.3979,15597.58866,17845.25898,20614.59895,16443.86714,15445.06453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acaa2,12937.97097,14467.8,16353.5,15639.1,20179.68932,13232.79504,10378.8,11079.81671,13343.9,11155.81224,21909.34764,19320.37354,10189.8,9366.44,6547.53,12310.8,4997.57,12561.4,5170.73,3003.1,7348.8,NA,10813.5,2834.24
Acaca,503027.9726,305176.9383,451469.5862,393192.3197,482593.7476,392384.4414,520254.9324,402452.6359,399393.9045,403335.7096,396574.436,546116.4151,814003.5606,954447.9097,831073.887,979172.9174,803410.5949,770159.3437,1078360.811,895644.9235,847578.8934,647843.1296,914202.397,918541.1717
Acaca;Acacb,379708.4858,235887.9823,371164.6666,294133.314,347906.6778,316796.6797,406944.0069,331054.0594,315598.5207,329346.4095,316564.5551,395129.0081,847434.8383,939989.6957,866773.1091,953266.1593,875021.4706,880516.8173,938059.4431,864650.406,845914.9805,787669.7651,898397.0859,903607.6991
Acacb,35761.57026,31360.3194,40228.92758,27524.78194,33479.25268,24818.53605,42106.81973,26250.47862,21239.87984,20981.85663,36144.95509,35969.31005,29903.9305,31685.7696,28412.97986,30526.40825,30701.58819,29178.1095,26637.81101,28441.00485,28929.68398,31742.79362,31084.76504,32275.30821
Acad8,12123.1,11855.2,NA,6296.28,12316.2,5884.3,10356.9,5554.79,5806.94,5784.82,10257.7,11871.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acad9,14179.34414,10018.50796,12780.09775,9118.977413,12591.46829,8256.988662,13967.96702,6886.998884,7601.227892,7804.047146,13456.07084,12688.47977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acadl,46726.58458,29807.42192,41141.43714,34296.74418,41958.64009,36190.96609,50625.75772,34404.21378,37518.4377,35768.56062,49965.90548,57807.61224,8301.079682,10782.92052,11530.69018,9680.956326,11074.17,8401.780602,8988.244085,11141.29227,8637.358375,7662.142119,8176.760921,7999.984625
Acadm,17314.24557,20579.40571,20329.87602,13505.30982,19858.42335,14303.53914,16813.34245,13511.31393,12026.31218,14662.50369,18375.46473,17923.55358,4128.01,4175.44,5435.17,4766.77,6794.21,7335.15,4426.45,4481.57,6917.62,8495.27,5124.48,7606.22
Acads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24010.3,14406,NA,NA,NA,NA,NA
Acadsb,16791.30395,13785.8434,24335.3304,15162.52977,21351.91317,11668.18155,15003.89094,10745.58064,10533.64615,16811.02074,14542.20957,16411.11028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acadvl,100898.8131,64200.68437,89001.20685,77514.83368,86813.67306,76410.52651,103846.7973,81488.93825,76123.19234,76559.83447,88850.28298,115404.2164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43376.05039,NA,NA,NA,NA,NA,2421.645122,NA
Acap2,12908.26766,18051.8,12759.76113,12093.11839,15647.67127,11924.88738,13429.2857,11985.55636,11573.28837,11648.60503,10343.63523,11427.78233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acat1,176597.8371,129538.5711,210816.2919,133188.2403,169073.9886,145643.3197,159086.2067,142489.4092,136858.5992,136214.3106,191351.4697,206727.8944,16689.99231,16408.38912,17927.43211,14678.42605,22533.73409,15208.03639,14140.96761,14617.53742,14785.02028,8733.52486,17615.3941,17914.23241
Acat2,23863.93994,21350.84969,34353.30993,16092.69849,27648.87261,16153.0859,22855.55207,14912.40724,21499.08915,18491.55967,20474.07648,18308.13521,6732.1,4255.74,5059.06,5147.01,5087.46,4345.21,3781.9,3992.42,4050.62,NA,4761.21,5478.3
Acbd3,10252.3,NA,NA,8572.04,8530.38,NA,9045.59,7902.63,7962.34,8392.69,NA,9588.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acbd5,49041.06357,45494.70368,45822.76897,39280.82779,46928.16992,45975.72609,44307.56324,45955.98771,42936.11843,36612.20368,48855.6014,44192.19027,12332.30578,12108.92151,3957.468464,8210.972408,5283.951946,8986.272537,3566.204852,6820.893276,4351.661578,5448.427512,8282.443029,8934.513735
Acbd6,25118.13558,27376.6955,23149.70509,31592.76266,26446.75852,28245.43854,28349.47926,30005.67639,28282.39572,30163.17326,25575.54011,28630.14288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acin1,88828.06322,66170.7953,81334.78887,59595.77364,80924.24596,58785.1528,70017.15985,52397.67881,55301.00319,55697.81346,81531.69547,76088.59162,14361.27751,13517.75032,14304.91623,15162.12627,18416.19712,15615.8719,12326.34817,17499.80019,15089.04813,13009.73676,14481.11704,14071.28151
Acly,45084.71728,32740.37179,41989.53992,35260.87485,41586.43421,33838.45891,41849.25205,35485.66051,32995.063,35525.00013,41587.7677,41906.42564,7751.224872,8014.371093,8559.006913,10176.97124,16533.76856,12422.05438,7701.974629,8608.192536,7273.525717,4676.887488,8319.761429,9662.808369
Aco1,524168,356134,389008,490637.5612,442747,365042.3479,561137.0703,415997.504,425296.4487,483525.9939,498712.0889,546971.1757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aco2,125166.4693,84311.09207,137338.6269,90644.35909,134285.0926,87326.55871,131040.409,92922.48686,91437.35719,94187.77184,154622.2174,137272.634,102329.2001,99397.61115,98430.81506,101842.3684,99555.51056,93180.42868,96366.63117,96467.52217,93869.85461,75944.03525,93499.67251,90453.43881
Acot1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8098.674229,4723.085058,5894.755854,5808.585481,6547.400108,8235.315474,7765.286368,8163.007885,4715.810126,5391.240797,7369.174079,6758.073835
Acot1;Acot2,13579.6299,16646.8,14006.5,8356.165907,12724.0799,8416.849189,12744.71657,9516.040081,8764.040554,9580.699275,14294.83029,14249.34384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acot10;Acot9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167.42,2462.99,NA,NA,NA,NA
Acot11,11502.27345,NA,9596.491188,7466.082949,14949.12726,6670.673643,12833.76473,8341.332181,5398.873842,5936.743977,10888.94844,12218.07803,NA,NA,NA,NA,3961.67,NA,NA,NA,NA,NA,NA,NA
Acot13,8004.526163,5347.459227,NA,5325.909175,11518.92416,6358.04061,6586.428509,5383.293828,5158.123961,6051.266696,7414.778997,7857.454748,1365.49,1850.48,1412.04,NA,NA,NA,NA,2942.8,2928.17,2407.26,NA,NA
Acot7,151826.9029,103503.9001,194908.8006,89600.82251,151729.6718,78316.37758,159155.2464,80013.20843,88602.85722,85892.08687,171950.2625,163456.0645,11961.20339,19737.44047,24589.94801,26369.41507,14972.31125,14573.93248,21409.97023,20849.04202,18416.82231,12250.70401,19149.03363,14339.84129
Acot8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1871.47,NA,NA,NA,NA,NA,NA,NA
Acot9,46174.44219,30009.03105,40456.65218,34699.69749,37407.9446,32712.83012,48159.92649,32909.97333,32573.77797,32739.31011,43011.923,48096.37962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acp1,76200.84733,60028.90713,60814.35631,81798.53851,54962.85001,73149.33763,80340.24148,87064.76576,83631.28602,94156.58584,76068.70104,85161.96354,6176.389645,4550.806371,4360.384698,10260.82681,9160.552859,9941.862912,10940.52794,7704.548799,6458.77463,4836.562098,7838.9662,7221.596491
Acrbp,31698.3,25131.3,25544.9,34859.3,23645.7,36022.8,43054,37664.2,30672.9,39054.4,42011.9,43560.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acsbg1,21831.71698,16599.25602,21666.06247,14576.15933,23396.51118,15359.1844,21710.27994,16205.1517,17015.28115,14239.25707,25610.98953,24050.46025,7623.444043,10722.31681,9509.862722,7898.1839,7728.197189,8635.63284,9328.652825,10102.58311,9063.231109,5983.307678,10518.21717,9262.667668
Acsf2,9607.04,7619.7,12635.4,4936.1,12037.6,5125.57,7273.51,4456.69,5151.14,5749.44,7130.71,9144.14,2140.714415,3364.730001,3923.721809,NA,5970.302687,3290.895025,4756.647418,3484.869492,2580.783623,NA,4293.331711,2525.446498
