"","GeneID","X251_paw_T_f_2","X255_paw_T_f_4","X266_paw_T_f_1","X247_paw_T_m_2","X253_paw_T_m_4","X254_paw_T_f_3","X257_paw_T_f_5","X272_paw_T_m_3","X261_paw_T_m_1","X249_paw_TC_m_4","X250_paw_TC_f_4","X262_paw_TC_m_5","X264_paw_TC_f_5","X265_paw_TC_f_2","X246_paw_TC_f_1","X260_paw_TC_m_2","X268_paw_TC_f_3","X269_paw_TC_m_3","X270_paw_TC_m_1"
"1","Aak1",35954.41993,36962.58087,34739.30601,29006.1461,35929.99874,33757.68894,37970.13599,30923.62724,31896.43611,5350.34,5740.761913,6820.81,8871.63,5721.925266,11132.7,5355.3,7820.64,7758.02,5825.285641
"2","Aars1",NA,24915.4,NA,NA,24244.5,21242.4,NA,NA,40207.1,NA,NA,4348.56,2663.25,3935.46,NA,NA,NA,NA,3226.43
"3","Abcc3",NA,NA,NA,20967.5,18310.3,NA,NA,24093.4,28821.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Abcd3",9648.255622,8974.576161,9063.848124,NA,8260.745681,5723.71534,7698.382957,5349.416011,7809.903602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Abhd10",14936.47195,13065.84458,14403.93966,15652.9,13258.5,13320.90839,16790.6,14275.2,15878.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Abhd12",5721.51,9083.13,5906.95,4429.51,NA,NA,4151.57,5268.16,2411.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Abi1",14094.70241,17385.00205,19027.46437,11227.72489,14414.00246,17604.25856,17867.04999,13570.81832,10079.40119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Ablim1",32379.14785,33038.24636,27351.45385,26299.01372,28489.75448,22122.00677,25675.18836,25889.26969,24679.96007,12909.02853,11893.38664,9143.408663,13564.14854,10675.76879,12432.68367,9358.942283,12689.04209,11193.77664,10282.04362
"9","Ablim2",23372.11586,25109.66019,19964.11924,22819.03729,20479.56757,19333.84243,23954.02058,28046.55868,26996.8434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Abr",21173.64597,19737.25181,19766.01034,17907.27462,17158.34448,20440.5589,23871.03026,15693.61167,16444.31388,NA,NA,NA,5180.33,3493.3,6713.27,NA,NA,NA,NA
"11","Acaa1a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8940.21,2304.86,2514.407068,NA,6200.64,4042.31,6105.23,3509.112256
