GeneID,X208_LSC_TC_m_5,X209_LSC_TC_f_2,X212_LSC_TC_m_2,X214_LSC_TC_m_6,X219_LSC_TC_f_1,X231_LSC_TC_f_6,X232_LSC_TC_f_5,X238_LSC_TC_f_4,X241_LSC_TC_m_3,X213_LSC_TC_m_1,X216_LSC_TC_f_3,X223_LSC_TC_m_4,X143_DRG_TC_m_4,X151_DRG_TC_f_2,X154_DRG_TC_f_4,X157_DRG_TC_m_3,X158_DRG_TC_f_5,X161_DRG_TC_m_2,X162_DRG_TC_f_1,X165_DRG_TC_m_1,X160_DRG_TC_f_3,X249_paw_TC_m_4,X250_paw_TC_f_4,X262_paw_TC_m_5,X264_paw_TC_f_5,X265_paw_TC_f_2,X246_paw_TC_f_1,X260_paw_TC_m_2,X268_paw_TC_f_3,X269_paw_TC_m_3,X270_paw_TC_m_1,X173_SCN_TC_f_1,X174_SCN_TC_m_5,X182_SCN_TC_m_3,X186_SCN_TC_m_4,X191_SCN_TC_f_3,X193_SCN_TC_m_2,X194_SCN_TC_m_1,X199_SCN_TC_f_2,X189_SCN_TC_f_6,X198_SCN_TC_f_4,X201_SCN_TC_f_5,X195_SCN_TC_m_6,X207_LSC_T_m_2,X211_LSC_T_f_3,X220_LSC_T_m_5,X221_LSC_T_f_5,X224_LSC_T_m_1,X225_LSC_T_f_6,X227_LSC_T_m_6,X228_LSC_T_f_2,X233_LSC_T_f_4,X236_LSC_T_f_1,X237_LSC_T_m_4,X240_LSC_T_m_3,X144_DRG_T_f_1,X147_DRG_T_m_2,X148_DRG_T_m_1,X149_DRG_T_f_3,X152_DRG_T_f_4,X156_DRG_T_f_2,X164_DRG_T_m_3,X145_DRG_T_m_4,X251_paw_T_f_2,X255_paw_T_f_4,X266_paw_T_f_1,X247_paw_T_m_2,X253_paw_T_m_4,X254_paw_T_f_3,X257_paw_T_f_5,X272_paw_T_m_3,X261_paw_T_m_1,X170_SCN_T_m_4,X175_SCN_T_f_5,X177_SCN_T_f_6,X178_SCN_T_m_1,X181_SCN_T_m_3,X197_SCN_T_f_1,X171_SCN_T_f_2,X183_SCN_T_m_2,X185_SCN_T_f_4,X187_SCN_T_f_3
A2m,NA,NA,NA,NA,10316.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3446.5,7162,NA,6944.72,5446.51,4913.5,6813.09,6335.2,2459.56,6234.96,17915.85967,18021.89222,19387.93521,19883.57647,21404.38098,20762.86141,20704.93079,18239.65414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aacs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34199.84962,31859.75096,41062.62013,NA,37081.35239,30689.17953,37977.14036,21459.81583,25977.48275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20906.1195,12952.23149,15244.01754,19422.14228,17503.8441,17065.52909,19207.44278,18009.95998,18849.52324,18787.95446,17517.85609,20630.47376,101320.85,130675.8943,93861.18092,109946.3503,95938.78677,106380.4718,107710.0687,126441.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,58685.34935,44485.03593,58874.33193,66727.0293,58621.34343,57141.54137,58991.77695,45069.29787,52782.85449,56351.92629
Aagab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9367.025898,11331.67881,11543.4634,11957.39197,11766.8712,12939.47329,13321.28558,12077.49541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aak1,28111.87758,27372.73966,30959.18562,26032.10026,30415.71694,27006.27543,30820.43496,31212.42687,32991.27006,27561.06335,29547.07538,29491.38108,54306.6786,70957.94999,60362.5135,66160.19689,56131.29907,62016.49008,56286.98962,65201.64969,55521.24553,5350.34,5740.761913,6820.81,8871.63,5721.925266,11132.7,5355.3,7820.64,7758.02,5825.285641,8068.616826,4142.422937,5415.988085,6502.610259,5731.19492,3561.097155,4279.993659,4213.383925,4039.98303,3520.342964,NA,4816.886911,668290.5995,733634.5989,614725.4371,800645.8499,648424.514,846812.3347,680936.6155,842648.2129,807504.4527,831970.4128,791433.5873,733262.5441,990050.3533,1056913.513,957052.8578,993148.618,1029732.297,1021233.923,1044218.529,1086234.463,35954.41993,36962.58087,34739.30601,29006.1461,35929.99874,33757.68894,37970.13599,30923.62724,31896.43611,241008.1323,255428.9102,258863.1936,316651.9679,299961.7791,234541.1374,248353.8286,229930.1898,207878.5551,251343.5905
Aak1;Bmp2k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60478.21478,82582.35924,63265.046,43986.61924,49059.6493,69587.2897,62164.32398,59141.27923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aamdc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6425.99,NA,6213.13,NA,4963.9,NA,4555.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13861.72748,15938.71539,14786.41585,13836.90015,9534.148565,13666.84223,15450.98058,15307.81817,16287.98001,14515.56332,11845.61144,13592.45447,55484.84781,41355.16877,47924.43051,65156.89241,63375.63238,62803.96886,61891.40202,51233.40838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10039.6,7096.65,8331.94,10248.6,NA,NA,NA,NA
Aars1,12488.76439,18582.85141,10230.5234,16549.19109,13720.86535,9244.087744,12604.48001,13464.92509,10601.34419,15494.11243,17239.50993,21420.51329,8081.84,NA,NA,NA,6287.78,10396.1,7099.46,NA,NA,NA,NA,4348.56,2663.25,3935.46,NA,NA,NA,NA,3226.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35254.05397,32588.42135,37823.37992,34486.11367,36552.53543,33781.93454,34469.62936,32858.29316,32255.94174,34545.94974,38271.62967,34141.71584,27806.39944,30963.94126,29970.52142,28911.24316,29705.74419,26588.75789,27701.77985,31988.763,NA,24915.4,NA,NA,24244.5,21242.4,NA,NA,40207.1,21175.0112,15355.27713,13848.81842,12843.35681,18978.12513,16584.9913,17462.56468,18104.25206,16034.70342,17287.44936
Aasdhppt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7466.79,4537.19,NA,NA,7615.12,7298.6,NA,4744.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aatk,5085.751919,5943.606643,5623.574027,4824.01,4954.459794,5738.36,5777.27,5543.33,4924.17,4892.07813,6816.969296,5366.267174,28463.44271,34159.91076,28396.12021,30040.48135,30366.98301,21635.97122,26453.74911,23896.35931,22686.59972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27114.55331,16802.85686,24128.31395,18654.90746,20628.76854,19026.48089,24397.83392,19817.74243,19150.23227,18218.22353,26167.82333,21536.02053,17466.13913,17763.61234,16787.73389,15718.95231,18072.33082,16838.45819,21925.27519,19096.39667,NA,NA,NA,NA,NA,NA,NA,NA,NA,13147.53781,9563.75,13504.49512,10063.30048,7266.832846,7751.317266,9598.34,12102.04474,10671.9,10323.6
