Gene,Type,Tissue
Cept1,A,LSC
Rcc2,A,LSC
Aip,A,LSC
Pvalb,A,LSC
Edc4,A,LSC
Adgrl1,A,LSC
Akr1b1,A,LSC
Pls3,A,LSC
Tpp2,A,LSC
Tbc1d8,A,LSC
Rock2,A,LSC
Rabgap1l,A,LSC
Fahd2,A,LSC
Nckipsd,A,LSC
Ruvbl2,A,LSC
Baiap2l1,A,LSC
Hprt1,A,LSC
Twf2,A,LSC
Rragc,A,LSC
Itpa,A,LSC
Atic,A,LSC
Aldh7a1,A,LSC
Gps1,A,LSC
Mavs,A,LSC
Farsb,A,LSC
Gnai3,A,LSC
Mast1,A,LSC
Mpi,A,LSC
Diras1,A,LSC
Dgkq,A,LSC
Cdkn1b,A,LSC
Rab1b,A,LSC
Dynlt3,A,LSC
Txnl1,A,LSC
Pfdn6,A,LSC
Zyg11b,A,LSC
Scg2,A,LSC
Mapre2,A,LSC
Ncoa7,A,LSC
Ezr,A,LSC
Slc30a1,A,LSC
Htatip2,A,LSC
Prkar2a,A,LSC
Ak2,A,LSC
Abhd12,A,LSC
Gmpr,A,LSC
Slc33a1,A,LSC
Camkk1,A,LSC
Prkca,A,LSC
Dst,A,LSC
Coro2b,A,LSC
Ip6k1,A,LSC
Brsk2,A,LSC
Ocrl,A,LSC
Cpne3,A,LSC
Eml4,A,LSC
Gad1,A,LSC
Etf1,A,LSC
Iqsec3,A,LSC
Tgfb1i1,A,LSC
Hibadh,A,LSC
Psmc2,A,LSC
Sec31a,A,LSC
Lztfl1,A,LSC
Tars1,A,LSC
Akap10,A,LSC
Wwox,A,LSC
Dip2a,A,LSC
Prkag1,A,LSC
Serpinb6,A,LSC
Spata2,A,LSC
Rasgrf2,A,LSC
Homer1,A,LSC
Ndufa2,A,LSC
Magi3,A,LSC
Ndufs5,A,LSC
Mars1,A,LSC
Aldh1a1,A,LSC
Dab2,A,LSC
Rer1,A,LSC
Acot11,A,LSC
Ddhd1,A,LSC
Ociad1,A,LSC
Aldh2,A,LSC
Fn3krp,A,LSC
Adss2,A,LSC
Map2k6,A,LSC
Atp8a2,A,LSC
Hspb1,A,LSC
Rpl10,A,LSC
Pde4c,A,LSC
Slc1a3,A,LSC
Ppp2r5e,A,LSC
Ttn,A,LSC
Hapln2,A,LSC
Rgs3,A,LSC
Lgi3,A,LSC
Gigyf1,A,LSC
Tubal3,A,LSC
Hmox2,A,LSC
Ndrg1,A,LSC
Tbc1d24,A,LSC
Ptges3,A,LSC
Agap3,A,LSC
Chmp3,A,LSC
Cpt1c,A,LSC
Ctnna2,A,LSC
Alkbh3,A,LSC
Synpr,A,LSC
Rpap3,A,LSC
Rtkn,A,LSC
Dynll2,A,LSC
Preb,A,LSC
Fdps,A,LSC
Mtor,A,LSC
Shank3,A,LSC
Ndel1,A,LSC
Pdilt,A,LSC
Cd47,A,LSC
Cse1l,A,LSC
Appl1,A,LSC
Aacs,A,LSC
Aamdc,A,LSC
Abca7,A,LSC
Abcb1a,A,LSC
Abcb9,A,LSC
Abcf2,A,LSC
Abcf3,A,LSC
Abi1,A,LSC
Abi2,A,LSC
Abl2,A,LSC
Ablim1,A,LSC
Ablim2,A,LSC
Ablim3,A,LSC
Abraxas2,A,LSC
Abtb2,A,LSC
Acad9,A,LSC
Acadsb,A,LSC
Acadvl,A,LSC
Acap2,A,LSC
Acbd6,A,LSC
Aco1,A,LSC
Acot1,A,LSC
Acot9,A,LSC
Acrbp,A,LSC
Acsf3,A,LSC
Acsl3,A,LSC
Acsl4,A,LSC
Acss2,A,LSC
Acta1,A,LSC
Actr3,A,LSC
Acyp2,A,LSC
Adgrb3,A,LSC
Adrbk2,A,LSC
Adsl,A,LSC
Afg3l2,A,LSC
Aftph,A,LSC
Ag2,A,LSC
Agap1,A,LSC
Agfg1,A,LSC
Agfg2,A,LSC
Agpat1,A,LSC
Agtpbp1,A,LSC
Ahsa2,A,LSC
Aifm3,A,LSC
Aimp1,A,LSC
Ajm1,A,LSC
Ak3,A,LSC
Akap1,A,LSC
Akap13,A,LSC
Akr1a1,A,LSC
Akr7a2,A,LSC
Akt1,A,LSC
Akt3,A,LSC
Alcam,A,LSC
Aldh3a2,A,LSC
Aldh4a1,A,LSC
Alkbh6,A,LSC
Amer3,A,LSC
Amn1,A,LSC
Amot,A,LSC
Ampd2,A,LSC
Ampd3,A,LSC
Angel1,A,LSC
Ankle2,A,LSC
Ankrd13d,A,LSC
Ankrd17,A,LSC
Ankrd27,A,LSC
Ankrd28,A,LSC
Ankrd34b,A,LSC
Ankrd34c,A,LSC
Ankrd40,A,LSC
Ankrd52,A,LSC
Anks1a,A,LSC
Anks1b,A,LSC
Ano3,A,LSC
Ano4,A,LSC
Ano8,A,LSC
Aox1,A,LSC
Ap1g1,A,LSC
Ap1s2,A,LSC
Ap3b1,A,LSC
Ap4e1,A,LSC
Apba1,A,LSC
Apbb1,A,LSC
Apbb1ip,A,LSC
Apbb3,A,LSC
Apc,A,LSC
Apc2,A,LSC
Appl2,A,LSC
Aqp1,A,LSC
Araf,A,LSC
Arap1,A,LSC
Arap2,A,LSC
Arcn1,A,LSC
Arf1,A,LSC
Arf4,A,LSC
Arf6,A,LSC
Arfgap2,A,LSC
Arfgap3,A,LSC
Arfgef1,A,LSC
Arfgef2,A,LSC
Arfgef3,A,LSC
Arfrp1,A,LSC
Arhgap12,A,LSC
Arhgap17,A,LSC
Arhgap23,A,LSC
Arhgap27,A,LSC
Arhgap28,A,LSC
Arhgap39,A,LSC
Arhgef1,A,LSC
Arhgef12,A,LSC
Arhgef17,A,LSC
Arhgef18,A,LSC
Arhgef40,A,LSC
Arhgef6,A,LSC
Arl2,A,LSC
Armc6,A,LSC
Armcx2,A,LSC
Armcx3,A,LSC
Arpc1a,A,LSC
Arpc1b,A,LSC
Arpc3,A,LSC
Arpc5,A,LSC
Arpc5l,A,LSC
Arpin,A,LSC
Arpp19,A,LSC
Arrb2,A,LSC
Asap1,A,LSC
Asap2,A,LSC
Asl,A,LSC
Aspscr1,A,LSC
Ass1,A,LSC
Astn1,A,LSC
Atg2a,A,LSC
Atg3,A,LSC
Atg4c,A,LSC
Atp1a1,A,LSC
Atp1a2,A,LSC
Atp1b3,A,LSC
Atp5mg,A,LSC
Atp7a,A,LSC
Atpaf1,A,LSC
Atxn10,A,LSC
Atxn2,A,LSC
Aven,A,LSC
Avl9,A,LSC
Azi2,A,LSC
Bag2,A,LSC
Baiap2,A,LSC
Bbs4,A,LSC
Bcar1,A,LSC
Bcl2l13,A,LSC
Bcl2l2,A,LSC
Bicd1,A,LSC
Birc2,A,LSC
Blvra,A,LSC
Bnip1,A,LSC
Bnip3,A,LSC
Bola1,A,LSC
Borcs5,A,LSC
Borcs6,A,LSC
Bpnt1,A,LSC
Braf,A,LSC
Brap,A,LSC
Brcc3,A,LSC
Brox,A,LSC
Brsk1,A,LSC
Bsdc1,A,LSC
Bsn,A,LSC
Bzw1,A,LSC
C2cd2,A,LSC
C2cd5,A,LSC
Cab39,A,LSC
Cab39l,A,LSC
Cabp1,A,LSC
Cacna1a,A,LSC
Cacna1b,A,LSC
Cacnb1,A,LSC
Cacnb3,A,LSC
Cacnb4,A,LSC
Cacul1,A,LSC
Cadm1,A,LSC
Cadps,A,LSC
Cadps2,A,LSC
Calb1,A,LSC
