ProteinGroup,GeneSymbol,143_DRG_TC_m_4,144_DRG_T_f_1,145_DRG_T_m_4,147_DRG_T_m_2,148_DRG_T_m_1,149_DRG_T_f_3,151_DRG_TC_f_2,152_DRG_T_f_4,154_DRG_TC_f_4,156_DRG_T_f_2,157_DRG_TC_m_3,158_DRG_TC_f_5,160_DRG_TC_f_3,161_DRG_TC_m_2,162_DRG_TC_f_1,164_DRG_T_m_3,165_DRG_TC_m_1,170_SCN_T_m_4,171_SCN_T_f_2,173_SCN_TC_f_1,174_SCN_TC_m_5,175_SCN_T_f_5,177_SCN_T_f_6,178_SCN_T_m_1,181_SCN_T_m_3,182_SCN_TC_m_3,183_SCN_T_m_2,185_SCN_T_f_4,186_SCN_TC_m_4,187_SCN_T_f_3,189_SCN_TC_f_6,191_SCN_TC_f_3,193_SCN_TC_m_2,194_SCN_TC_m_1,195_SCN_TC_m_6,197_SCN_T_f_1,198_SCN_TC_f_4,199_SCN_TC_f_2,201_SCN_TC_f_5,207_LSC_T_m_2,208_LSC_TC_m_5,209_LSC_TC_f_2,211_LSC_T_f_3,212_LSC_TC_m_2,213_LSC_TC_m_1,214_LSC_TC_m_6,216_LSC_TC_f_3,219_LSC_TC_f_1,220_LSC_T_m_5,221_LSC_T_f_5,223_LSC_TC_m_4,224_LSC_T_m_1,225_LSC_T_f_6,227_LSC_T_m_6,228_LSC_T_f_2,231_LSC_TC_f_6,232_LSC_TC_f_5,233_LSC_T_f_4,236_LSC_T_f_1,237_LSC_T_m_4,238_LSC_TC_f_4,240_LSC_T_m_3,241_LSC_TC_m_3,246_paw_TC_f_1,247_paw_T_m_2,249_paw_TC_m_4,250_paw_TC_f_4,251_paw_T_f_2,253_paw_T_m_4,254_paw_T_f_3,255_paw_T_f_4,257_paw_T_f_5,260_paw_TC_m_2,261_paw_T_m_1,262_paw_TC_m_5,264_paw_TC_f_5,265_paw_TC_f_2,266_paw_T_f_1,268_paw_TC_f_3,269_paw_TC_m_3,270_paw_TC_m_1,272_paw_T_m_3
A2m,A2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33269395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaas,Aaas,NA,14.12894965,14.15479075,14.13746288,14.24287155,14.27928966,NA,14.38561849,NA,14.34171766,NA,NA,NA,NA,NA,14.33768676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7509163,12.8061468,NA,NA,12.76170081,12.41111636,12.26253534,NA,NA,12.73409355,12.62917445,11.26418453,NA,12.60616459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aacs,Aacs,15.06170236,16.62857156,16.9481102,16.99563351,16.51824099,16.74644019,14.95944737,16.54982658,15.32553807,16.69887381,NA,15.17840624,14.66497402,14.90544246,15.21284366,16.71679359,14.38935007,15.84071276,15.84822625,NA,NA,15.4410325,15.84535116,16.02598366,15.83913841,NA,15.45985735,15.68778175,NA,15.78217731,NA,NA,NA,NA,NA,15.80225233,NA,NA,NA,14.35163768,NA,NA,13.66091306,NA,NA,NA,NA,NA,13.89595555,14.24541472,NA,14.09538417,14.05879752,14.22937784,14.13650735,NA,NA,14.20224041,14.19752038,14.0965386,NA,14.33248933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aagab,Aagab,NA,13.19337534,13.56003368,13.46807399,13.49478852,13.54561514,NA,13.52244314,NA,13.65949127,NA,NA,NA,NA,NA,13.7014457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aak1,Aak1,15.72884201,19.91714238,20.05090411,20.0114259,19.86823908,19.9216501,16.11467671,19.97383789,15.88136526,19.96188194,16.01367591,15.77651783,15.76075231,15.92036426,15.78051387,19.99399223,15.99262085,17.8787223,17.92203746,12.97810566,12.01625914,17.9625623,17.98183033,18.27253852,18.19441916,12.40300885,17.81083638,17.66538141,12.66680324,17.93930137,11.98013352,12.48462025,11.79810608,12.06339294,12.23388534,17.83948146,11.78150027,12.04076367,NA,19.35011606,14.77889219,14.74045222,19.48470215,14.9180799,14.75034393,14.66800409,14.85072772,14.89252939,19.22958266,19.61080471,14.84800576,19.30657911,19.69168276,19.37716099,19.68457094,14.72100706,14.9115996,19.62311069,19.6661727,19.59410877,14.92983292,19.48397032,15.0097967,13.44251591,14.824071,12.38541486,12.48702651,15.13388151,15.13290126,15.04292852,15.17377787,15.21257755,12.38675168,14.96110762,12.73572736,13.11498348,12.48228494,15.08428131,12.93307096,12.92147278,12.50811308,14.91642193
Aak1;Bmp2k,Aak1,NA,15.88412793,15.85187783,16.33354601,15.94912101,15.4247771,NA,15.5822493,NA,16.0865362,NA,NA,NA,NA,NA,15.92379924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aamdc,Aamdc,NA,15.75980622,15.64479725,15.33578004,15.54847367,15.99163018,NA,15.95164062,12.64970302,15.93856811,NA,12.60110453,12.1534602,NA,12.27725834,15.91745138,NA,NA,NA,NA,NA,NA,13.29341417,12.79292244,13.02443673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.32313922,NA,NA,NA,13.75881944,NA,NA,13.96024774,NA,NA,NA,NA,NA,13.85198477,13.75623315,NA,13.21888839,13.73839232,13.91541078,13.90198105,NA,NA,13.99152008,13.82531294,13.53206505,NA,13.73051838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aars1,Aars1,12.98046807,14.76312933,14.96527758,14.9183015,14.87125656,14.81934302,NA,14.85845431,NA,14.69852876,NA,12.61833503,NA,13.3437548,12.79349358,14.75769105,NA,14.37007511,14.09197784,NA,NA,13.90644693,13.75747527,13.6487347,14.21204985,NA,14.14404096,13.96891005,NA,14.0774374,NA,NA,NA,NA,NA,14.01759063,NA,NA,NA,15.10550155,13.60834313,14.18168427,14.99207185,13.32059234,13.91943249,14.01447308,14.07343114,13.74408385,15.20699067,15.07372794,14.38670543,15.15768386,15.04396433,15.07303817,15.00396992,13.17431524,13.62164898,14.97727732,15.07622895,15.22398771,13.71691858,15.05924794,13.37195958,NA,NA,NA,NA,NA,14.56536988,14.37465915,14.60475012,NA,NA,15.29516266,12.08632202,11.37897215,11.94231656,NA,NA,NA,11.65572301,NA
Aasdhppt,Aasdhppt,NA,12.86627244,12.21196432,12.14758336,NA,NA,NA,12.89465106,NA,12.83340404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aatk,Aatk,14.79682255,14.09227312,14.22101282,14.11663737,14.03511988,13.94021744,15.06001659,14.14149496,14.79340621,14.03947242,14.87462031,14.89021596,14.46955277,14.40114426,14.69118458,14.42030733,14.54450322,13.68250503,13.2285692,NA,NA,13.2233607,13.72115208,13.29681593,12.82711101,NA,13.5629632,13.38152943,NA,13.33365853,NA,NA,NA,NA,NA,12.92022579,NA,NA,NA,14.72677978,12.31224537,12.53712292,14.03641892,12.4572716,12.25623173,12.23601718,12.73491477,12.27451205,14.55843949,14.18726758,12.38970317,14.33237008,14.21572113,14.57446545,14.274505,12.48642276,12.49617221,14.22507427,14.15309467,14.6755063,12.43653718,14.39446407,12.26566485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
