"","WT1_25_Slot2-5_1_3496","WT1_50_Slot2-9_1_3502","WT1_100_Slot2-4_1_3495","WT1_Veh_Slot2-2_1_3493","WT3_25_Slot2-6_1_3497","WT3_50_Slot2-10_1_3503","WT3_100_Slot2-11_1_3504","WT3_Veh_Slot2-13_1_3507","WT4_25_Slot2-14_1_3508","WT4_50_Slot2-7_1_3499","WT4_100_Slot2-16_1_3510","WT4_Veh_Slot2-12_1_3505","WT5_25_Slot2-8_1_3500","WT5_50_Slot2-17_1_3511","WT5_100_Slot2-3_1_3494","WT5_Veh_Slot2-15_1_3509","GeneID"
"Soga3",16.636623720483,16.4722519750541,16.5569284846852,16.4374968178405,16.5104111853332,16.5704020950128,16.5611484710773,16.5160132125885,16.4894929519358,16.4650038713979,16.5409044695085,16.5068272084745,16.6688602411866,16.5208037408109,16.522780514592,16.5634287935483,"Soga3"
"Clpx",14.6519230533908,14.6223078548167,14.3610624187234,14.7114262566274,14.8207798704788,14.6715409195951,14.4600939221468,15.019528306479,14.8187799184958,14.6248540604274,14.1864231805552,14.8109156400168,14.9594418505614,14.6979585830901,14.5321801446205,14.9503798862274,"Clpx"
"Ddrgk1",15.5125333032585,15.0718760919694,15.0704603650025,15.3327348043047,15.094773420751,15.3813242329801,15.2730927337576,15.4106395510533,14.9949325318438,15.2571069157222,15.5341610531483,15.483095451189,15.3095819045709,15.4195639318603,14.9638219164851,15.3636913530433,"Ddrgk1"
"Mogs",17.1942708027562,17.4580691977546,17.5210052441291,17.3641275468229,17.5576149300761,17.5961216479585,17.658237006701,17.5327757017899,17.1985916108869,17.266794105915,17.2420374368419,17.3276317393109,17.5003654049394,17.5226931171749,17.7338012924965,17.3406506416781,"Mogs"
"Uap1l1",16.4329026816721,16.4821863743648,16.413096747575,16.5173907595886,16.4743332152207,16.587388604704,16.4136102996879,16.4458985657058,16.2962122097779,16.6344386731551,16.2690687045219,16.5313152190559,16.4341758798343,16.4162476471467,16.4454843813021,16.4498569004661,"Uap1l1"
"Mrps7",15.4030033448858,15.4943528596604,15.3356007218646,15.3520636288531,15.4688456550951,15.3368895499936,15.5294199151008,15.5908195236758,15.3489556723017,15.4745754821521,15.2971595765198,15.4509098729096,15.4096482111456,15.2699362517086,15.2334196969747,15.4594098527978,"Mrps7"
"Srgap3",14.7916301878464,14.6658872121624,14.846653522158,14.8586382634434,14.8947795607157,14.8654380275074,14.9794712749607,14.7664469465619,14.9112267119296,14.7942481613491,14.9250625229038,14.7762945908851,14.7918192065226,14.7539072067694,14.9246714628008,14.9826365346591,"Srgap3"
"Ranbp6",13.7205532512714,13.8522243337364,13.8570468529682,13.3554451048875,13.7528909305438,14.1006611546434,13.8913979421576,13.4389936482328,13.8578262442012,13.6801994008202,13.6129178741813,13.2730620105613,13.8958798874501,13.4273961242999,13.9375608387718,13.6561643302187,"Ranbp6"
"Psmg4",12.3837965071532,NA,12.2772666708603,12.7168504708358,12.2990314204696,NA,12.4125342765375,12.644515501332,12.6236093450253,12.6070241162211,12.3257717491696,12.6098651052401,12.5353835777008,12.5053688323029,12.2875895048546,12.8017494454,"Psmg4"
"Apex1",16.7169979578926,16.5528320378226,16.2738153231247,16.4904211715712,16.4149496542024,16.6557347387189,16.5143500589485,16.2662018237391,16.3401197682729,16.5009974317787,16.5552900825133,16.6023568912647,16.4860195706347,16.542337428851,16.2748985297765,16.3509779816847,"Apex1"
"Mical1",16.6310409088376,16.7482057560863,16.7174241811748,16.7350488308838,16.8295230187915,16.9747704529242,16.7892347411195,16.6207961246455,16.5786703585933,16.6955531418761,16.6197983950006,16.6827196283644,16.7318465906868,16.7172321151511,16.8952180280336,16.7229540201457,"Mical1"
"Gng2",15.5847506973633,15.8092095404475,16.4024938172036,13.967084149939,15.2291575153719,16.9282259143407,15.2136767262767,15.1180866884481,15.5351709213826,15.3058127325821,16.2777722019505,15.0394065902113,15.8880227174822,15.3239277684409,15.3995819411477,14.7626780641512,"Gng2"
"Zfpl1",14.7096223511161,14.8646545367036,14.8539797763195,14.7244029480631,15.066013227671,15.1933164865621,14.949601549762,14.8661325198423,14.6528563176117,14.6373851634057,14.9681397335798,14.9274227301446,14.5529265822302,14.7730969428438,15.1660649888015,14.7924797139955,"Zfpl1"
"Edc4",16.4117988143948,16.3559316880064,16.3128827470898,16.0684284706974,16.2907470696795,16.2647947723723,16.3029910125321,15.9387830461393,16.1202976873942,16.2870252823181,16.1817029461498,16.0120481778689,16.2798457397432,16.2519974665049,16.3690461233267,15.9820279410406,"Edc4"
"Inppl1",13.6623401879793,13.8123622459557,13.5745959852399,13.9584236020961,13.5755959806258,13.5843458149424,13.5208368536571,13.9757484977548,13.6941591983128,13.8461329827108,13.3322396215099,13.8432004029338,14.0245599502444,13.4052758001178,13.617986951726,13.7676335035944,"Inppl1"
"Cdc27",13.9987772280306,14.1224313574221,14.3216764055825,13.9597572231226,14.1984137922394,14.1601822187621,14.1067263507133,13.946520087682,14.004158813193,14.1577154445575,14.01954933135,13.8792609319208,14.1761880914327,14.0288592616278,14.1816048709697,13.6812983072212,"Cdc27"
"Septin6",16.6489682119798,16.6041314757079,16.3561628019352,16.784348734784,16.8248656079776,16.861631347418,16.4892516310078,16.5718061989056,16.6131058590689,16.8136141922334,16.5209670058112,16.5973102200415,16.8629640122356,16.2228278329156,16.4699078604972,16.5884664425319,"Septin6"
"B3gat3",15.9570119682923,16.079163236646,16.4346891884597,16.0301616920317,16.2341677181606,15.9466680391328,16.3180981984614,16.1277236545046,16.1273654279095,16.03445114812,15.8492971217982,15.9463771519054,16.2110378680753,16.0422313155343,16.3861592887187,16.160603411437,"B3gat3"
"Nckipsd",15.1574163012611,14.9912799480633,15.0054296002535,15.0651693692259,15.2241602350045,15.2330104692578,15.1960407839714,14.9975293971647,15.1159164607714,15.0704687591797,15.1673471967304,14.9051644470174,15.1298424900361,15.1178081221068,15.0246182781126,15.0226838220696,"Nckipsd"
"Fh",18.9023948979718,19.0517760658911,19.2143209260304,18.9800626540871,19.0807500188411,19.0172991774397,19.056309221362,19.0727747447823,18.9444488831961,18.9887878557125,18.9081352174468,18.8605613762523,19.0705222975766,18.8798856580201,19.1799594024689,18.9117327250724,"Fh"
"Tpbgl",15.2146081166975,15.0226014176817,14.9340181563628,15.0216888980085,15.1434377841457,15.292540851262,15.3060448250993,15.3137071007765,15.1297772998213,15.0295845349765,14.8647324758233,15.1251809430094,15.2490027827537,15.3252569664843,14.8472028378236,15.5605276433154,"Tpbgl"
"Tln1",18.1123955851944,18.054586805397,17.9588186279694,18.4454435381981,18.0387320035334,18.0743473910564,17.8449798943676,18.3115615333794,17.9560103291407,18.0548877945674,17.9499272723367,18.4860946494289,18.047111180317,17.9234470642141,17.9181396998868,18.2724638134205,"Tln1"
"Tomm70",17.9026925810917,18.0981683068169,18.2594731947207,17.6794204749971,18.0208333534152,18.1299540516349,18.0826995159789,17.6894834160557,17.8660822805631,17.8806744146678,17.9212949737368,17.6843240477434,18.053849597653,18.0261266209664,18.2255286894186,17.6220426854268,"Tomm70"
"Alkbh7",13.7264395164406,13.7757460720932,NA,NA,13.9959074964064,13.6879431700527,13.6860905504231,13.7647660293096,14.3126892789444,14.0025406259635,13.7876849479954,13.891099090424,NA,14.0294943845054,13.7156276005083,13.5679928078481,"Alkbh7"
"Efhd1",13.3458921441976,13.5831555088862,13.8271888957339,13.9134814180494,13.1331802926149,13.4186800049274,13.6791543761008,13.6314577564551,13.3286152933699,13.9001832256833,13.8075760389776,13.677607113891,13.3412857146449,13.5157451131931,13.6315836523453,13.8449681499329,"Efhd1"
"Rufy1",15.5332709318236,15.5795701768527,15.6963726288036,15.4777735791812,15.5423777872127,15.6200183219459,15.6811086475646,15.5968145165117,15.6335098927758,15.7848501694069,15.6849946045653,15.6444912261123,15.5460491083522,15.6027308444281,15.794909042394,15.4244039514758,"Rufy1"
"Tars3",16.4513879023111,16.5853171768183,16.8609518829616,16.1314678353559,16.5063323711842,16.5086693104459,16.7440920915937,16.1479400931674,16.3985067156784,16.6190067167328,16.509384073302,16.0465722430707,16.5006269077623,16.5474395226023,16.722063570564,16.0766582317179,"Tars3"
"Ndufa8",19.0512972283012,18.9566619875625,19.1368696569301,18.5193781571608,18.8658094146877,18.9951069363004,18.9050190069908,18.6958082849111,18.7012843514036,18.5238831326781,18.7175142097333,18.7210195093947,18.902153283279,18.807946230187,18.9437568277864,18.651779784732,"Ndufa8"
