,logFC,AveExpr,t,P.Value,adj.P.Val,B
Gfra1,-2.461967425,14.41030807,-26.63466101,5.43E-14,2.38E-10,21.95124594
Gpc1,-1.917023519,15.1582256,-26.3049259,6.51E-14,2.38E-10,21.79504424
Mybbp1a,-1.531434692,15.5902538,-25.65430362,9.39E-14,2.38E-10,21.479032
Hk2,-1.932112354,15.27401353,-23.09492254,4.34E-13,8.25E-10,20.12657586
Plxna4,-1.632776159,14.13429999,-22.55694191,6.12E-13,9.29E-10,19.81799764
P4ha2,-1.892491052,13.82292966,-22.17149925,7.85E-13,9.94E-10,19.59125678
Vgf,-2.19289727,16.72606807,-21.68525343,1.08E-12,1.18E-09,19.2982312
Plin2,-1.782263826,14.58917597,-21.19952614,1.50E-12,1.43E-09,18.99745336
Ddx21,-1.394253041,15.89912161,-18.9693038,7.46E-12,6.30E-09,17.50343993
Map7d1,-1.566651092,16.31616996,-18.7507114,8.82E-12,6.70E-09,17.34616757
Nes,-1.910001323,17.24867779,-18.26414212,1.28E-11,8.87E-09,16.98853774
Spp1,-2.567378055,14.79042257,-17.24621052,2.91E-11,1.84E-08,16.20483937
Kcnj10,1.720524169,14.97965382,17.10000248,3.29E-11,1.92E-08,16.08812433
Tnc,-1.844728236,16.50466693,-16.92744575,3.80E-11,2.06E-08,15.94897791
Nrcam,-1.470923914,14.44902253,-16.76781915,4.35E-11,2.20E-08,15.81889019
Ank2,-1.167764279,16.051012,-16.43962566,5.76E-11,2.73E-08,15.54721121
Sema7a,-1.656779192,13.66800784,-16.10847919,7.68E-11,3.42E-08,15.26718267
Fos,2.353672452,13.67422983,17.33721253,8.10E-11,3.42E-08,15.20044512
Nptx1,-1.243062401,15.87784608,-15.83387447,9.80E-11,3.59E-08,15.03033084
P4ha1,-1.379134094,15.85147953,-15.82839509,9.85E-11,3.59E-08,15.02556113
Upp1,-1.509922867,14.19314808,-15.81930468,9.93E-11,3.59E-08,15.01764428
Gpr158,-1.468642575,13.9261361,-15.54323107,1.27E-10,4.20E-08,14.77492937
Adamts4,-1.295053301,13.73695925,-15.54279927,1.27E-10,4.20E-08,14.77454625
Ybx3,-1.589073592,15.89631425,-15.45842788,1.37E-10,4.35E-08,14.69947518
Mthfd2,-1.300905426,14.68802175,-15.20593714,1.73E-10,5.27E-08,14.47226931
Maged1,-0.974528247,15.34774766,-15.159766,1.81E-10,5.28E-08,14.43030349
Esd,-1.166886123,18.12405313,-14.63025977,2.98E-10,8.08E-08,13.93951439
Sprr1a,-3.405584447,16.38563997,-17.10666021,2.97E-10,8.08E-08,13.87800787
