,Ox_f_T_Slot2-16_1_3811,Ox_m_T1_Slot2-13_1_3813,Ox_m_T2_Slot2-14_1_3820,Ox_m_T3_Slot2-15_1_3816,Ox_m_TC1_Slot2-5_1_3807,Ox_m_TC2_Slot2-6_1_3798,Ox_m_TC3_Slot2-7_1_3804,Ox_f_TC_Slot2-8_1_3796,V_m_T1_Slot2-9_1_3817,V_m_T2_Slot2-10_1_3814,V_m_T3_Slot2-11_1_3810,V_f_T_Slot2-12_1_3819,V_f_TC_Slot2-4_1_3801,V_m_TC1_Slot2-1_1_3799,V_m_TC2_Slot2-2_1_3805,V_m_TC3_Slot2-3_1_3802
Aaas,13.09028447,12.80610249,12.87335759,12.64006866,NA,NA,NA,NA,12.99138366,NA,NA,NA,NA,NA,NA,NA
Aacs,13.75373715,14.01892992,13.99811445,14.11583493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aak1,17.58410424,17.74623882,17.81968603,17.82857405,12.80720234,12.79449969,13.32027155,13.18108265,18.02461438,17.9947405,17.7261842,17.96677554,12.00553333,11.38943237,NA,NA
Aamdc,13.37697152,13.83204846,14.23870805,13.5504954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aars1,15.23367114,15.13578734,15.00344336,14.88702349,NA,NA,NA,NA,14.99547502,15.02680165,15.23059041,15.12649227,NA,NA,NA,NA
Aatk,12.89578353,12.7852338,12.7971346,12.85367213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abat,NA,12.32268024,12.9063119,12.98504852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca1,NA,NA,NA,NA,NA,NA,NA,NA,14.32558655,13.90255561,13.97505892,13.90712299,NA,NA,NA,NA
Abcc5,14.14609776,14.34426091,14.06882405,14.12770076,NA,NA,NA,NA,13.94722601,13.59493374,13.57848134,13.73430595,NA,NA,NA,NA
Abcd3,15.70664728,15.9226074,15.97652865,16.10291265,NA,NA,11.67208938,NA,15.60566124,15.84309712,15.71709146,15.90130582,NA,NA,NA,NA
Abce1,13.55092711,13.78711694,13.87172239,13.90926495,NA,NA,NA,NA,14.19349456,14.17871153,14.28620397,14.2331328,NA,NA,NA,NA
Abcf1,15.37252375,15.11825595,15.01934203,15.162704,NA,NA,NA,NA,13.45394147,13.69909454,13.78026522,13.69270161,NA,NA,NA,NA
Abcf2,15.8662764,16.14799907,16.13479213,16.20548173,NA,NA,NA,NA,15.73239022,15.55858345,15.70880263,15.67818499,NA,NA,NA,NA
Abcf3,14.42075076,14.38799585,14.54939831,14.6479254,NA,NA,NA,NA,14.50576435,14.66143833,14.7318233,14.59255588,NA,NA,NA,NA
Abhd10,13.95877019,13.72138761,13.97044747,13.96848681,NA,NA,NA,NA,14.043839,14.06677875,14.02813917,13.87288646,NA,NA,NA,NA
Abhd12,16.40275436,16.22025635,16.10456491,16.2927806,NA,NA,NA,NA,16.14914498,16.17245305,16.42306441,16.49899158,NA,NA,NA,NA
Abhd6,13.28200871,13.30486405,13.24395999,13.28069888,NA,NA,NA,NA,13.12187841,13.2222433,13.67849764,13.62597348,NA,NA,NA,NA
Abi1,15.60122912,15.28804562,15.59211568,15.51441179,NA,NA,NA,NA,15.3679381,15.54538705,14.98021772,15.41400939,NA,NA,NA,NA
Abi1;Abi2,15.95403484,15.87786473,15.74523157,15.79568018,NA,NA,NA,NA,15.33469369,15.36125766,15.22883792,15.41027959,NA,NA,NA,NA
Abi2,13.66782572,13.57777994,13.59573005,13.57450857,NA,NA,NA,NA,12.96683346,NA,12.34985067,13.67424745,NA,NA,NA,NA
Ablim1,15.31283251,15.58817694,15.49464429,15.52674704,NA,NA,NA,NA,15.40462855,15.62318306,15.58620422,15.38800428,NA,NA,NA,NA
Ablim1;Dmtn,14.79905391,NA,14.96143161,NA,NA,NA,NA,NA,NA,14.5648878,NA,14.66260162,NA,NA,NA,NA
Ablim2,15.44529904,15.73863666,15.78968476,15.79017413,NA,NA,NA,NA,16.08903362,15.98104896,15.98178777,15.81496515,NA,NA,NA,NA
Ablim3,NA,13.21986174,NA,13.41132353,NA,NA,NA,NA,12.41568632,12.30984295,NA,NA,NA,NA,NA,NA
Abr,15.45233632,15.46137972,15.27397757,15.36173791,11.53229878,12.6452013,11.30621068,11.40498087,15.14145408,14.97488439,14.96322922,15.39796606,NA,NA,NA,NA
Abraxas2,13.89299145,13.82565952,13.77369374,13.95864588,NA,NA,NA,NA,13.66866763,13.88637634,14.11774475,13.93220346,NA,NA,NA,NA
