ProteinGroup,GeneSymbol,881_dLSC_f1_5.27.2024.d,882_dLSC_m1_5.27.2024.d,883_dLSC_m2_5.27.2024.d,884_dLSC_f3_5.27.2024.d,885_dLSC_f2_5.27.2024.d,886_dLSC_m3_5.27.2024.d,889_LDRG_898_5.28.2024.d,890_LDRG_1248_5.28.2024.d,891_LDRG_1095_5.28.2024.d,892_LDRG_1236_5.28.2024.d,893_LDRG_1094_5.28.2024.d,894_LDRG_1249_5.28.2024.d,896_paw_pool_5.28.2024.d,897_paw_f_5.28.2024.d,898_paw_m_5.28.2024.d,901_SCN_IIa2_5.28.2024.d,902_SCN_IIa3_5.28.2024.d,903_SCN_IIb2_5.28.2024.d,904_SCN_IIb3_5.28.2024.d,905_SCN_IIa4_5.28.2024.d,906_SCN_IIb1_5.28.2024.d
A1bg,A1bg,NA,NA,NA,NA,NA,NA,15.4548742,16.76785829,NA,NA,NA,15.66451786,13.69536337,14.93929084,NA,14.49279641,NA,17.82606377,17.89731902,14.75780996,17.03989773
A2m,A2m,14.77934803,14.60460754,14.64211142,14.85821386,14.64445434,14.67917642,14.5588633,14.3987852,14.50701527,15.18408838,14.1581832,14.6221078,NA,NA,NA,14.82795165,14.89461224,14.5376707,14.551958,14.44913539,14.75230161
A2m;Pzp,A2m,15.55195153,15.73431005,15.82005677,15.5500433,15.62068377,NA,14.99349052,16.09929611,15.37139816,15.37082446,15.27324503,15.82685496,NA,NA,NA,14.77734479,15.56484428,16.45176971,16.15021013,15.40652449,15.55600844
A4galt,A4galt,NA,NA,NA,NA,NA,NA,13.69092547,13.8786187,13.50097124,13.62006407,13.542525,13.44979092,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaas,Aaas,14.17201077,14.43334222,14.05932552,14.19083405,14.37963451,14.44039374,14.47215585,14.37281978,14.17270019,13.90472483,14.22342181,14.10188637,14.08904515,14.15343912,14.02602856,13.44095677,13.34326066,13.36373648,13.20379505,13.42718998,13.22755038
Aacs,Aacs,15.71648716,15.73859045,15.84278119,15.76719838,15.72524543,15.74021842,16.58449502,16.61419559,16.74953428,16.57323701,16.69113091,16.69744513,16.21602225,16.28733385,16.09984388,16.78967849,16.8596133,16.97038679,16.9503091,16.89982063,17.02309192
Aadac,Aadac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.95379002,14.68354163,15.19712837,NA,NA,NA,NA,NA,NA
Aadacl3,Aadacl3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5643675,13.61007346,13.43674964,NA,NA,NA,NA,NA,NA
Aagab,Aagab,NA,14.09485294,13.6426384,14.52341493,14.25812432,14.30804033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aak1,Aak1,18.08969364,18.14336352,17.99987331,18.11945162,17.98653039,18.11870176,16.83542074,16.6916334,16.85080442,16.73120103,16.92791561,16.77593468,15.12601715,15.20061466,15.16616932,17.0614274,16.81455626,16.97612231,16.9296479,16.87862297,17.14164443
Aak1;Bmp2k,Aak1,16.69184607,16.97345984,16.82310351,16.55384084,16.43290336,16.813297,15.03169341,15.37787013,14.96044964,15.07922449,15.35399448,15.39156403,NA,NA,NA,14.03970732,14.58479812,14.52204815,14.2926883,14.4982945,14.94930238
Aamdc,Aamdc,17.36786849,16.90824369,16.6790791,16.83082727,17.11746891,16.74807502,15.46080689,15.6861828,15.49365045,15.60650235,15.59547663,15.70662561,13.87224779,13.79162726,13.85756698,16.63648182,16.65901356,16.80708593,16.81219322,16.66727701,16.86638908
Aar2,Aar2,13.0253314,13.11158964,13.1529231,13.26297106,13.15868612,13.19838805,13.30908741,13.27518177,13.30133931,13.46001218,13.41222794,13.06646105,13.18552881,13.42519212,13.47801508,12.77240118,12.96496171,12.75963648,13.03178734,12.69075754,12.66181149
Aars1,Aars1,18.25429805,18.25373522,18.28760766,18.24903595,18.3024447,18.29610495,17.8505547,17.69195797,17.85472804,17.93682208,17.84974225,17.85525279,17.18562145,17.04756196,17.27244898,17.93947339,17.95517808,17.94004369,17.85567264,17.93237201,17.92418745
Aars2,Aars2,18.84603163,18.93338553,18.94424862,18.96513439,18.76857289,18.85386127,16.25541105,16.2390435,16.01015769,16.02672684,15.82000752,16.17220684,14.8747649,15.12802376,14.97878271,12.65889205,12.10791994,12.21532064,12.25479243,11.62772082,12.20233201
