"","Ox_m_TC1_Slot2-5_1_3807","Ox_m_TC2_Slot2-6_1_3798","Ox_m_TC3_Slot2-7_1_3804","Ox_f_TC_Slot2-8_1_3796"
"Mecp2",41552.2575984631,41679.2235900188,48007.4880749731,NA
"Pag1",5058.41999997307,NA,3434.74999998171,3443.42999998167
"Prkra",5769.84,NA,6795.42,7724.14
"Aak1",7167.24194227953,7104.412761615,10228.2488963378,9287.55188414525
"Tagln",27189.907711873,33293.0864701205,30876.2831515712,35936.3514606019
"Acaca",327911.68522437,343383.542245955,332767.039286898,291724.275948734
"Xab2",26278.5923843736,25968.0175996025,25854.6305714249,22919.8901843522
"Map4",387284.659566956,371422.808563144,389796.50980503,357302.44548882
"Fus",40225.7446254449,37763.8425707648,37833.1762777738,43917.5814199442
"Synm",23225.7088031431,25649.7971589545,24828.1736685321,24957.9159557805
"TurboID",69739.2204754461,67329.4261632551,61102.8029829665,84427.3274961497
"Rpl32",51988.5507184013,36191.8354498592,24540.5010310063,25271.6821982363
"Ncam1",140724.140159078,150771.4190674,127326.546191692,148126.688035756
"Etfa",14038.6735463864,14879.8261222354,17159.4415923713,15578.447499332
"Hspd1",11937.6811998773,12360.3298219738,9549.3772697982,11811.5931085632
"Atp1a2",10489.1498582894,12994.8592751269,9968.14332798234,13269.6597833802
"Eno1;Eno3",10199.4379342654,28077.6870093535,12548.0599569457,NA
"Ncl",17175.132480629,20986.1142216631,14190.8885362665,18217.3554850597
"Pc",2964351.87063518,2974681.10341998,2875721.90163724,2725530.10433277
"Ktn1",NA,6197.54,NA,5553.46
"Vamp2;Vamp3",18945.4,9940.82000000001,14206.8,9717.63
"Map6",19275.6898547324,21374.6747592014,21434.0823115003,21193.0578979228
"Flnb",10106.6253656576,8645.30964200968,7719.71913281827,8056.82264569137
"Hsp90aa1;Hsp90ab1",15209.6,19578.9,17068.3,NA
"Efhd2",14496.7657358798,14315.0941782286,13245.7868689418,16166.6406729895
"Prph",46584.5370498371,50800.2380347761,47330.3128923789,55043.9757609534
"Cmtr1",8885.9172012329,8328.61418111579,11845.7373360031,4676.36869704963
"Upf1",15463.4368204756,18203.2287214122,16488.0595770654,16362.8416905913
"Sptan1",59700.1128558972,57130.8434612545,57313.3257921118,53412.6920352682
"Gbp2",17952.9381204002,19576.4077750506,16291.7123479611,17645.5175632073
"Prx",396591.632021345,383339.22014366,384439.818303739,347091.860488893
"Krt71;Krt76",53314.7,58359.5,3613.43,4084.1
"Tufm",15358.8653825254,12404.9037041283,10842.2619652825,NA
"Marcks",5169.70805348249,6943.95241463052,8726.08664163434,11733.5141507647
"Anxa2",59416.1001175353,55852.79472216,48975.9821759858,48665.1638810967
"Hp1bp3",77370.9810175143,74398.411546218,87197.774692183,74742.3114014876
"Epb41l3",10150.128477555,10183.9190357526,9808.46137228975,9130.90204529617
"Map1b",37494.6269168846,40809.5872442993,42957.5768055653,48815.2580510316
"Fundc2",NA,NA,15670.2,NA
"Arhgdia",10956.6785449814,14685.4929485442,13845.8095106229,15753.1914777796
"Zcchc17",7428.29680368808,8407.14136997297,6100.06253290013,8642.43711169371
"Palm",7126.39522444739,10299.3561435166,5971.54004798775,8304.34782400667
"Junb",21563.4407890761,23768.7739777667,20426.7826281811,18527.5731017321
"Akap12",29742.0734917719,29495.4679075488,28727.07068641,29020.450357383
"Krt10",559565.312055683,314302.877922733,144790.447698996,68424.9362944747
"Tardbp",37058.9216897749,34050.1730214182,33771.5585290091,33580.7707540418
"Pcbp1;Pcbp2",5573.15,NA,6270.38000000001,7146.02
"Pccb",35984.5429585625,30849.5494245836,36413.9333822873,34454.244245397
"Vwa5a",41493.2314608481,46251.6590281248,41191.3814739757,41376.4029337888
"Hnrnpm",32894.6712838419,29898.0994782954,30174.2109568849,33068.201772984
"Mbd2",6767.23,9221.09999999999,NA,6004.89
"Amph",5380.67,4283.38,4051.18,4644.1
"Pcnp",14400.0870741953,13923.6002531397,16048.3200772177,11338.9955196587
"Tln2",20674.9000427772,22757.1249418226,19947.8142875437,16119.962393933
"Camk2d",10063.6,NA,6269.21,10104.3
"Cdc42ep4",2061.79999998943,3883.97377539914,6066.86973429343,NA
"Etfb",14366.8445367222,13572.0514731479,13858.5206887603,16152.5827604395
"Tns3",13905.9677313999,11878.8802701656,12455.1998566222,11443.6081998683
"Pcca",2139498.53834785,2091823.5316684,2214053.21488954,1845102.22281901
"Sorbs1",52497.924069123,47424.6393250046,47434.1949375655,43790.1963274161
"Actb;Actg1",66603.806430559,92960.2468677939,61554.2273658877,81036.3399779416
"H2ac11;H2ac12;H2ac13;H2ac15;H2ac20;H2ac4;H2ac6;H2ac7;H2ac8;H2aj;H2aw;H2az1;H2az2;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist2h2aa1",42130.6,75279.5,41961.7,NA
"Agfg1",33936.5740342896,41961.5043318506,45079.0623579371,43597.5296195302
"Cnn3",128300.053389855,135929.042453098,110629.295837751,148293.152774522
"Phgdh",8449.32469360706,11699.2817279943,10333.0310929248,10375.0639385
"Macroh2a1",12646.2881946543,16945.9493280509,14343.4072496405,11939.8958158872
"Atp5f1b",22287.1041938955,22079.2106609311,22228.1395237444,28446.3717072274
"Cct8",62967.344841656,62891.3226032691,61768.7700364428,73505.5013667936
"Stmn1",5263.76647440249,7422.0749321299,7441.66146650308,7224.43514927972
"Pdha1",71959.3571469449,75991.1281711612,74843.2584895746,69316.0616356539
"Copz1",15531.5,21499.8,18191.2,NA
"Tubb5",30500.0066593132,36210.2667068731,31198.5341808049,40770.1803447888
"Ctnna1",8871.26396916251,8940.65097946883,4784.98097588839,8081.61839364298
"Rpl24",5696.5,13088.9,5703.86,10883.6
"Pcbp2",6171.63811523158,9181.10538052131,8136.97370521351,6860.44850832667
"Pcbp1",24653.7585656962,26106.2999196014,28011.719341927,24445.3516622008
"Dpysl3",6703.52999996315,NA,5325.27765221033,7179.41263459021
"Fhl1",20056.6741529113,19785.5706942345,19358.1557926997,NA
"Rpsa",5813.06308361697,8971.56073896056,6761.0759752277,7027.68310801131
"H1-2;H1-4",771414.156867933,1684159.93501324,890044.663040766,655126.727210972
"H1-5",20207.7908773935,52341.6468851973,18615.2638220962,34299.544691583
"Scrib",3424.22163423347,3367.38263587372,3526.32411306438,NA
"Rheb",13853.0119984714,12152.7489205029,13032.6746013185,18844.1266220356
"Map1a",27101.9427578778,27191.8211101804,27183.2786828633,31137.8069939581
"Tsc22d4",14096.2123991266,11204.9799519229,14682.1482728534,NA
"Stim1",20986.4576538045,18607.4706726121,20108.8951921822,15490.919799456
"Myh9",39194.2987474006,41253.2708667389,38190.5837559833,40919.1884921541
"Krt42",120578.370953511,183938.551745591,39347.8125996564,NA
"Tppp3",76522.6265719107,84613.5025238375,70309.5825659321,NA
"Acacb",28337.998414396,25065.3268621726,30061.5225995533,26288.8349996078
"Myo6",484606.847550784,489399.773332304,470519.025482842,378045.664591949
"Jup",21532.8983894631,25801.7548527991,11340.7583999418,6257.60586967003
"Pgam1",5943.84219077959,12274.7929251497,8989.91873600933,14017.2894088237
"Plec",8642.78129774838,8863.36715641807,7229.87200160657,6108.01818640234
"Hsd17b11",11133.7592864804,8936.33159114592,12034.0610131762,12476.8020374827
"Kank2",15679.2017596411,14617.8212123476,15343.8842229979,12083.3696070613
"Tubb4b",20545.5436579741,17739.0283239875,14924.043520151,19524.6052286495
"Rpl14",16741.6877122473,16623.7756587093,18175.399999888,NA
"Dvl2",2449.26,NA,NA,3075.64
"Cav1",16195.8,20852.6,20763.3,NA
"H2bc12;H2bc14;H2bc3;H2bc4;H2bc7;H2bc9;Hist1h2bp;Hist2h2bb",285419.452399362,267058.506316712,276396.370301502,368614.105116611
"Zdhhc3",10360.7,5795.98,9703.32,17453.1
"Tmod2",9868.83999999999,7763.95,8411.51,5594.71
"Pkm",9364.41614852976,16011.6563109507,7881.86612775922,21425.3252568071
"Ddx5",13686.3233912673,16160.3199037112,14990.6772159366,16518.160923929
"Idh3a",15099.1725083158,16257.8084228888,18862.3996846238,17724.1331052592
"Hmgcs2",51677.726009583,50236.1380914605,54766.9284129102,57070.5218420578
"Rtn1",29313.6666496388,28147.9349844663,27095.1010706228,32757.0899480767
"Llgl1",4022.83,NA,7584.49000000001,NA
