"","Ox_f_T_Slot2-16_1_3811","Ox_m_T1_Slot2-13_1_3813","Ox_m_T2_Slot2-14_1_3820","Ox_m_T3_Slot2-15_1_3816"
"Soga3",83988.4735439669,90812.6719426026,85738.8445674676,93830.8125455153
"Ddrgk1",45885.6183880395,43892.4373000453,50752.7590351514,59122.3666238675
"Edc4",91022.8018421313,112549.482386633,98608.5876338959,106029.693460804
"Nckipsd",76106.0827032723,76790.3556578288,82570.3754381476,72927.821098768
"Stip1",132838.78917306,127240.402470339,129988.047601705,138746.359256932
"Bcar1",30955.5399539727,27808.8589979709,27939.1527481,27368.2200949102
"Chchd3",122439.896248893,139482.048208646,126498.845041011,149395.847892936
"Mepce",99688.1533628285,89504.6788069591,92726.4683117749,78528.2510040949
"Ddx20",15284.4403232926,14814.2123580943,13730.3232263284,15542.3110227309
"Copb1",117019.841299094,105533.143231473,96009.1156647055,94596.6256380634
"Golga2",19821.7735955311,18613.7514085137,17894.7837115236,21275.227468131
"Mecp2",126966.789851293,145436.893191083,138094.7714638,148262.778771097
"Rab3gap2",108348.758200679,114479.053795502,108596.568385693,114954.924769644
"Itm2c",8396.48,14921.5,NA,12760.4
"Caskin1",50564.6385405125,52824.2509062838,55740.8222619204,58411.3250220097
"Cep170b",42184.9935640039,39706.5156593945,38555.5811294487,39271.2541032689
"Marcksl1",4919.04,6271.48,6480.39000000001,5287.6
"Kcnd1",26046.6530157792,26462.1611532554,21366.6717302959,20752.5331870033
"Psmd9",22748.0814295379,17034.4435783916,20274.6125761402,15529.343761428
"Lcp1",71225.4041287513,75625.2840237752,76053.9467407862,84620.8472509688
"Pacsin2",69618.3201188828,60043.112693988,72110.5207741582,73986.6240500715
"Rabl6",125992.698525437,108233.676527262,123427.580827249,110297.128620068
"Magi3",29473.8016983998,27287.8518436343,25537.4257833582,27465.7898383233
"Tp53bp1",71552.2184945638,68058.4563390328,71555.7387605918,67016.609542266
"Srpk2",44641.0103904385,31442.0344838348,43579.6644239469,40862.8059913852
"Acbd6",8362.29566157448,9052.31180589626,10042.5327534661,8592.18280415567
"Prkra",197768.596559828,209539.838295934,251023.971842319,220603.720407156
"Map1b",1686361.02067028,2215881.53000308,2377478.76098973,2147788.74796512
"Shc1",10608.8345882029,10281.8352969656,9947.60942155795,10273.7344149673
"Prkcd",73370.4103806667,64285.204152264,71106.035297956,76744.7076167655
"Aak1",196491.071932086,219862.011135258,231344.941655711,232774.588521202
"Clasp1",42005.0789466291,48827.2929397003,49039.7479817381,49456.3899217812
"Acaca",79594.4187369035,93610.6207167231,90248.7503507826,98709.9805166754
"Ppp1r12c",23035.408459524,23218.6672168666,24677.8793058282,23227.5896711134
"Dmxl2",52339.8635597757,56377.7440699156,55183.0372955887,60557.6719055416
"Atp1a1",77420.3236102254,84858.831778211,91141.0736199902,92335.8071514196
"Kif5b",60885.4257861382,66223.6596966846,62793.1249163955,66761.8570792957
"Fkbp4",238342.016593737,223699.217638182,209838.286658365,177671.515608925
"Map4",2285292.44893547,2693889.20548995,2653691.77859094,2545473.98731254
"Copb2",161823.024059415,173534.290414137,197325.240000738,179254.865028069
"Mars1",187531.126316516,188868.937849778,185627.761499955,208445.686221892
"Tom1l2",107046.629378701,105918.260294583,109204.356936547,102804.329070999
"Clip2",46925.3634629603,46495.3609507606,52854.764562813,51147.548637697
"Hnrnpm",139312.588013986,158366.471270184,144222.84658385,170027.489464568
"Kif1a",57868.1195702631,69034.2930946225,69127.3018055645,69604.4625249958
"Tagln3",202977.841316849,246436.849677505,235368.862417252,218684.562231507
"Ywhae",50388.1293806201,53003.5287022533,51287.1284302369,43924.0009404311
"Lrsam1",65609.5253722489,78051.3580465942,71954.6779382754,84459.9686981686
"Srrm2",159982.767153189,157760.162275469,153012.406193952,138220.314121463
"Sdha",31739.7165215833,34582.0812318264,35156.5486571867,39145.3702274223
"Nup50",54477.2147799486,55721.6238876959,60461.447182198,53502.3166572352
"Commd3",14069.6694031501,17658.6941765725,12877.4547986717,12837.5388706469
"Ccdc124",43449.3914813706,43286.5674438224,46696.1384717104,40222.3237421461
"Ap3b2",150793.025379898,154821.774078099,169969.629944439,178561.443662574
"Gclm",79548.7410524641,80481.3141905439,89425.1423431735,99147.2950808291
"Ppp6r2",24113.985614911,24661.3030128442,26188.4416591657,24494.3454364271
"Rida",33255.2883346853,21592.0709869146,25922.9233042529,27531.1620566016
"Tigar",149109.235110259,146509.973829343,157340.667316759,166149.773789974
"Nolc1",17047.4109709153,20147.1900773688,17138.679847047,20726.5778045935
"Cdc5l",21708.1569685936,20200.9042083598,24323.51674748,22290.1703575879
"Sf3b1",132678.60557405,134310.877658036,143792.834273997,149631.742880312
"Igbp1",75863.4341757101,82493.7381225886,75920.0496984539,77398.3862928416
"Inpp5j",17785.1221246001,12128.5180819324,17014.5717228829,17986.5435884938
"Amer2",91305.523458109,80561.3147782007,68880.8180655315,79601.8668225162
"Rplp1",31905.7,34682.1,42802.7,31730.6
"Ruvbl2",27100.5799038197,29529.072311783,29116.2654348805,28525.0952568834
"Chmp4b",777021.145977747,896382.998111837,941788.956405554,764513.231305753
"Stxbp1",165182.975290607,167188.836433016,184898.950651343,197311.840884854
"Rpl14",1021851.84045435,1202202.01110909,1351661.38829525,1160600.92628322
"Fus",413551.915078987,401784.782981104,408161.543300864,366682.367356041
"Eif4g3",96442.9147872994,111881.908627994,119480.442196842,122030.002974746
"Phb",34143.5773869761,25945.30353369,23621.9177621287,31102.8060344882
"Exoc3",28155.2895173449,29052.7854344781,26830.1946232775,30171.9902809678
"Eml4",21238.4312448852,17979.4093167481,23331.958548,24819.0087523435
"Iscu",29028.8230170429,36788.1645541242,37150.9486874404,36090.0798835193
"Dpysl3",142145.266249154,174672.874375972,190794.835383328,203106.480609814
"Pcp4l1",499174.690267978,618755.725734918,660838.39988963,654138.999992529
"Ryr2",82746.2306436991,81183.7938074785,94145.8463577656,86981.7409867927
"Synm",928716.71473297,1064663.69416663,1169830.64339587,1088305.46593418
"Hars1",59277.4373836948,38941.499999635,39694.2412295509,41611.4865996701
"TurboID",8126010.25051952,6719425.27160196,7840365.80977131,6546295.91092586
"Ncoa7",70674.8807895064,63709.3204821307,62224.5113939681,61358.7647088212
"Cplx2",192758.681430984,311732.96017317,455734.171177464,289488.074935423
"Kank4",16758.9897584712,15790.6891332856,16158.8880186952,14419.8089650353
"Ccdc43",21692.6708301744,25712.3634198784,23288.6635233727,15036.199999876
"Ube2o",61350.3574818814,61601.7270347838,65573.6514558957,61247.2064307402
"Calcoco1",15252.8035294046,17175.6378609538,16164.2385448981,16441.9051559749
"Ppp2r5b",59485.6487046291,56098.7737629838,63369.7133421044,54834.5254211196
"Amph",197918.816893485,200221.286131587,207240.423993179,211064.672003449
"Huwe1",43271.5750649736,45617.1375236272,37791.3653803857,33687.1639216518
"Htt",13439.3540802512,14558.5682220724,15270.410679205,15426.8112913347
"Ptpn23",22084.0045313802,24533.7233143489,23419.9672289532,24609.7982283828
"Kif2a",40515.6723720397,37052.274894064,37705.574638641,39790.7331352766
"Rps25",117217.622685124,100399.342898514,96897.3694016324,86822.3611537104
"Aspscr1",25873.0594255133,25251.1805620783,28202.5485563288,24251.4852380914
"Dffa",55373.667000314,69479.3343848733,69327.9825963344,68053.153227471
"Eif4g1",156335.761830653,171472.719988408,180359.313438933,186664.709601845
"Rbm17",109545.605530283,115728.357798149,108551.931408088,100162.787314951
"Acsl4",46123.0469796158,49682.0293972393,46504.1201254992,41322.8268012036
"Prmt8",28623.1195822449,29389.1496273194,34865.4726350655,29393.7849478986
"Tln1",65265.9657288905,66777.1934388858,69427.1141715186,73570.8501554563
"Nefh",1465323.25408989,1998797.99310707,2236211.92303251,2020048.06799401
"Cpt1c",22521.7952131221,24354.4122230263,25087.8999997828,26360.4545345427
"Cdv3",152038.604018917,167555.415486496,174761.805671911,139379.799065821
"Habp4",157244.809165939,183008.894791553,178114.146403398,159136.388051121
"Wipi2",119363.996797894,131953.026014279,132240.596379284,139501.059874798
"Hip1r",10179.0368160175,10447.219595122,8972.66065623598,10188.9023465459
"Acin1",86405.6721899261,91963.7249308158,88422.524646767,89592.4587994062
"Nptn",7879.36999999999,13765,13237.8,15508.5
"Arfgap3",34835.7993867451,41833.2660535991,39864.3776971978,43148.0833565422
"Ppa1",49167.8526451449,48006.1633565791,50871.3505632322,45072.6447766082
"Nup214",76288.0029195096,80397.5379146759,74349.4251414549,69814.2395265497
"Znf592",10760.3195498052,10682.3327176064,6962.20347646194,9169.73069738555
"Bag3",754280.283663823,762418.108432501,752579.311772942,764019.717204665
"Lpcat1",66363.3234058543,73525.7490125632,72362.9948296159,82271.0030412179
"Arfgap1",75878.9837654962,80450.5863424942,69846.0273244518,62733.5060038449
"Ik",58869.8365221647,56539.7207076025,70781.3923613736,66885.8094904664
"Dab2ip",27936.3723810474,28094.6303623928,24692.7464966372,24874.6953712788
"Znrd2",15900.4968213585,17234.3551341265,16794.4240338331,16770.3168667885
"Aldoa",118791.00001145,94679.0592878634,101585.296145708,94924.1839554184
"Srcin1",25453.4124271558,27305.0289026784,24336.0165609217,25575.8586801508
"Rpl32",36728.5861243686,30593.54312359,26652.1241363686,20911.6074864777
"Eea1",26887.673139655,28505.7796217185,26035.1570763724,25380.8069135756
"Hk1",80664.6897244323,69901.1089861491,72318.9303249564,80988.2773465939
"Sync",50552.042084238,55810.9047706646,58422.9473720367,57364.6546432561
"Txlna",22286.2089644412,22493.2185228755,23541.5322657319,26411.2168920986
"Bcr",21391.091834706,22005.9345801443,14953.0893287777,21118.5253807014
