"","V_f_TC_Slot2-4_1_3801","V_m_TC1_Slot2-1_1_3799","V_m_TC2_Slot2-2_1_3805","V_m_TC3_Slot2-3_1_3802"
"Mecp2",44704.6780949206,44029.1138316607,40712.0388069984,43372.2525132254
"Acaca",256046.191948935,285504.638698418,281241.06889687,298174.861731819
"Map4",272726.611276179,256140.278029063,248006.219977976,249700.897378397
"Fus",30804.5181397468,26903.7914316134,29780.2352609004,25699.7891214203
"Synm",15635.2696329644,15379.7014503354,17921.506652073,17611.4061341486
"TurboID",35551.7092515149,43578.5238865435,36938.0357137128,40135.6153601528
"Ap1b1;Ap2b1",1308.78,1016.01,1658.38,NA
"Rpl32",25764.8013499011,32946.3022693835,37914.4473296507,31261.6620071648
"Ncam1",104342.981090161,114638.531992619,114249.458300727,108189.088700633
"Ewsr1",23004.5,NA,NA,NA
"Atp1a2;Atp1a3",4174.03541764003,3290.96385384254,4575.57528929288,NA
"Pc",2929949.98767921,3138958.85847069,3147879.96122314,3129678.52599999
"Ktn1",2617,NA,NA,NA
"Map6",18776.76557484,16411.6944180798,17494.6461873175,17276.6149949745
"Flnb",1859.8938530799,2695.53032847836,3597.69362276747,3286.12809573774
"Hsp90ab1",19902.6962517518,24893.7091085347,18346.4180494982,25955.4640185853
"Sorbs2",10962.0795543751,8940.23262424929,8539.43013073278,10167.952528858
"Prph",29516.3065034761,31526.6165905695,28256.648141094,27941.6065281142
"Upf1",10963.5177063268,NA,16962.7439037039,19392.7712992669
"Sptan1",38864.7253127431,42776.1596180111,37912.6117822287,35055.6777646195
"Gbp2",17611.9346167493,10699.9604946797,14258.6659248109,18669.4843173842
"Prx",292585.283615558,292302.860428929,300018.855859884,295085.703632221
"Krt76",700704.210965527,700195.105491158,325136.976320115,281716.999996899
"Anxa2",39528.2325500683,47422.6214297092,40632.3309491339,40958.1695657146
"Hp1bp3",50226.3967666979,53273.0409551566,51429.7939290233,50787.3050851849
"Palm",4225.90953441407,3996.41999997153,4178.3094092247,3941.52803263914
"Junb",3192.98,NA,NA,NA
"Akap12",20768.2726396916,19727.7421201808,20670.6025304548,22115.5281532015
"Xab2",16336.7202395456,12949.7879916902,20470.3086250096,17180.151533426
"Tardbp",17253.170256717,20026.6277868453,14608.4327064618,16523.2379940864
"Pccb",5899.67129033646,8152.29357235361,5472.0756232211,5940.22976273506
"Hnrnpm",20050.8565474531,20811.4490787727,21376.0225691774,21361.762286584
"Rpl34",4110.71,1865.07,1940.4,NA
"Amph",2730.23,2206.13,1488,NA
"Camk2a;Camk2b;Camk2d;Camk2g",NA,6371.18,NA,3140.24
"Cdc42ep4",NA,3824.5,3462.32,4341.88
"Tns3",13082.5103951292,9176.39507347523,8018.84711700179,9611.12927627019
"Pcca",1944368.75886514,2117870.16765052,2181658.38924974,2079626.41069185
"Actb;Actg1",46690.4868056671,56438.6700303902,19864.7409896787,38747.8687402125
"H2ac11;H2ac12;H2ac13;H2ac15;H2ac20;H2ac4;H2ac6;H2ac7;H2ac8;H2aj;H2aw;H2az1;H2az2;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist2h2aa1",48142.9,38095.9,24463.2,45915.2
"Agfg1",24347.4884977165,16116.7878212076,23887.5022354629,20556.9524854483
"Cnn3",39425.6145029682,38109.976697992,40011.3997373609,37899.4554678512
"Macroh2a1",10976.3999999132,8310.1199999343,8359.4399999339,9564.42999992437
"Atp5f1b",12992.0106047605,12976.0441440855,11294.0350280957,12246.8315461944
"Cct8",51000.1160912883,50340.8311902747,48767.7036800796,52798.6379531176
"Copz1",10379.9,9163.92,10532.1,11601.9
"Tubb5",24697.9911875161,24570.0083880872,19070.012882048,18101.7115968836
"Rpl24",4132.02,1604.32,NA,2044.69
"Pcbp1",13236.3698712636,11296.545723619,11672.9875741,9409.36169321962
"Fhl1",10845.4864500043,14900.8839125694,11715.7871211801,10848.1858879012
"Sod2",2109.77,NA,NA,NA
"H1-4",2501858.34797723,3532709.99995433,3192554.14858283,3793728.83718359
"H1-5",4013.27,13319.9,9107.82000000001,26314.9
"Map1a",12698.4737797524,11335.7502059196,10730.7510881856,9996.02593317856
"Tsc22d4",10106.523953768,8963.26836786952,7695.90044499169,11303.4419043638
"Krt42",259852.093326797,150903.451664084,64052.0263381747,54706.033649282
"Tppp3",35406.9668663122,39268.4367162308,34126.2101715141,36157.038577394
"Krt10",241322.880086048,259060.869395043,152104.301121262,92942.2341745676
"Myh9",25872.9269039396,29117.1194429537,27344.8680795149,27302.495158021
"Sart3",7668.51214533207,7738.30249157602,8684.98855738519,7016.50332427374
"Tln1",6631.3635392402,8540.83473812149,7865.39504346756,6067.80005136791
"Acacb",19376.2978146763,22670.5070617593,20743.770426028,21324.7767315928
"Myo6",420654.143710651,454724.455199946,440661.389636001,429784.594628145
"Lypla2",55505.0484461176,49405.7909543505,52283.9681053003,55614.7049216171
"Tln2",8181.3806039572,7037.6565479159,8230.54347797062,9139.80964143616
"Snx1;Snx2",4644.69,7099.6,5830.15,NA
"Hsd17b11",8093.28,6014.08,5512.16,6529.16
"Kank2",5983.77380411259,9322.90521358041,8417.39247551591,8758.95537031783
"Cav1",10226,14305.7,15219.2,10030.5
"Pgam1",6510.09832841071,13152.1959717229,4696.80999996371,5187.18025963327
"H2bc14;H2bc4;H2bc9;Hist2h2bb",162580.54649731,165360.915858894,140076.694815006,156876.632924921
"Las1l",11257.8317853092,10364.7658323311,7154.57351996271,12698.0611969393
"Zdhhc3",11081.9,8776.67,7564.3,3160.59
"Krt84",37793.7,NA,NA,NA
"Acaca;Acacb",193567.336415203,234685.820000892,237123.136416358,240433.22848346
"Vwa5a",28501.4635962895,27518.2189473283,26137.7099323052,29423.7167276181
"Ddx17;Ddx5",9273.34000000001,8936.37,NA,11820.5
"Hmgcs2",12672.5695135742,17834.8641598791,13971.5311721154,17608.0233642692
"Rtn1",20348.9018546669,19753.6013699983,19455.275509877,17351.9059630919
"Rpl29",34593.8,33259.1,19075.9,52612
"Eps15",5163.52765685606,5182.20744949031,5557.41622904678,7839.70724572584
"Vcl",12094.9912737451,12592.2609385688,14286.6243547,11947.3211215502
"Krt16",19662.4706407429,3738.9457175901,NA,NA
"Crip2",47613.7,39497.9,41318.1,37124.5
"Rbm14",12296.3247358727,9719.92102828115,9623.0047060931,13812.9647650321
"Krt81;Krt86",9111.64196461571,NA,NA,4220.39880456729
"Prdx1",19240.3586782089,17514.0070492845,15206.7876271226,15768.2621982965
"Idh1",5490.31,4945.84,4255.06,4754.14
"Chmp2b",2013.55,NA,NA,NA
"Epb41l2",19095.8735376784,17175.1124313072,18944.759058607,18704.5781882757
"Dctn4",11561.0139648071,10978.8255917299,11148.2846517713,10511.0786368235
"Nucks1",2941,6625.19,5618.49,6985.14
"Nefh",12131.5533468568,14112.5740642887,12339.1997400644,10210.1676761626
