"","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819"
"Ddrgk1",54154.7334363402,64072.3729531512,43065.8981532351,54532.2864176295
"Edc4",94064.0148942389,96379.1301475784,96983.3983080739,86854.9270337816
"Nckipsd",11122.1,11920.7,11449.3,13142.6
"Arid1a",NA,2984.29,NA,NA
"Stip1",108502.020245781,109279.403916283,108464.224514687,129221.776393613
"Bcar1",41046.0291155622,43193.9609587271,44561.6181898957,46186.5627197627
"Chchd3",14401.9999998769,18839.4999998389,22393.7999998085,21531.3999998159
"Mepce",65974.3859138755,63481.5955223439,63762.4596205446,75308.231386212
"Golga2",13477.976516612,12669.7003440526,12889.3102266764,13694.9679042712
"Mecp2",112360.625626549,120331.374239153,115390.913660881,116614.243250896
"Rab3gap2",113588.072995273,117269.586827438,115405.954793774,120464.851027201
"Arap1",31094.2962768099,26623.2316896994,34010.3067973844,31187.3071503177
"Cep170b",38622.6782543457,36888.31654859,38383.9830424409,35980.9800781742
"Marcksl1",3921.18,5405.46,8554.35,6849.01
"Kcnd1",40887.167413503,43341.8922241872,49060.3168353388,43290.37960957
"Copg2",41177.5101680055,41140.9363250884,46047.7077630462,50164.600044441
"Psmd9",17828.2233537236,15669.2196465312,16613.9568769257,16239.820685798
"Hdlbp",83462.6073840487,84410.9726525427,81478.2041959173,72928.5188913137
"Lcp1",96199.1210189283,101660.407582618,93975.4715638784,88581.9823222798
"Pacsin2",41025.8524472928,44170.3972201463,51440.3704863934,44982.3362373496
"Rabl6",88455.6764427703,90881.6968644391,89359.0600129768,92490.1425203957
"Magi3",29821.9927876601,30125.2234521944,30602.1763600924,34720.9204720202
"Tp53bp1",73142.2425987457,73383.5383807173,73533.0847140304,76271.423008199
"Srpk2",36453.112156612,32787.5621386058,34749.0283656157,34071.9410176317
"Prkra",181000.985756929,192386.141147815,166165.564282341,191651.894843848
"Map1b",2810186.47689893,2937106.64825994,2653741.78892781,2413530.02803759
"Dhx9",25605.0039477294,26735.2150698793,26049.1185458156,30158.9997718841
"Prkcd",49084.7193984119,48095.9075401339,45939.5143857954,56329.2001603283
"Aak1",266654.913060337,261190.064955768,216826.896132312,256175.953648098
"Clasp1",35447.8117428551,31775.9683894578,34401.0215938549,31029.496396044
"Sh3bp2",20569.7,NA,15819.5,22861.9
"Acaca",75361.378176122,75737.8948882448,75570.6310098337,68768.2154906
"Ppp1r12c",20342.1466005523,24843.4941881693,22975.6056216138,24642.7774661911
"Dmxl2",51167.0574936122,48852.9864849411,51156.1219748382,48746.7441814631
"Atp1a1",103241.796637497,98482.7928133968,102445.339952716,106678.415588191
"Fkbp4",249781.651889335,225946.303246969,217134.822948629,235157.110828914
"Map4",3194188.07172914,3220658.02776967,2995733.6723918,3144290.06361928
"Copb2",181496.724750356,188358.017800902,159995.053445249,172747.241765585
"Mars1",184829.134116303,189625.407125811,165740.475142716,211210.765408449
"Tom1l2",109467.361168063,105393.031174581,107641.381225559,106750.18809227
"Clip2",57666.6212195522,58518.6055053561,61275.8793176508,56134.9937179764
"Tagln3",192623.560659889,201700.143770936,203356.743942278,181517.082528301
"Ywhae",38827.9218366438,46216.2013000713,31173.27658873,33142.8714074167
"Lrsam1",66412.9547952306,65278.6170521474,74604.7819481106,64991.9496357473
"Srrm2",187490.482762225,174855.502352722,200157.355464138,188530.545206439
"Sdha",29394.7083635104,27634.1043799234,22028.6281661307,28108.4472517719
