"","sampleID","Condition","Sex","Turbo","Slot","Value","Sample"
"1","Ox_f_T_Slot2-16_1_3811","Ox","f","T","Slot2-16","1","3811"
"2","Ox_m_T1_Slot2-13_1_3813","Ox","m","T","Slot2-13","1","3813"
"3","Ox_m_T2_Slot2-14_1_3820","Ox","m","T","Slot2-14","1","3820"
"4","Ox_m_T3_Slot2-15_1_3816","Ox","m","T","Slot2-15","1","3816"
"5","Ox_m_TC1_Slot2-5_1_3807","Ox","m","TC","Slot2-5","1","3807"
"6","Ox_m_TC2_Slot2-6_1_3798","Ox","m","TC","Slot2-6","1","3798"
"7","Ox_m_TC3_Slot2-7_1_3804","Ox","m","TC","Slot2-7","1","3804"
"8","Ox_f_TC_Slot2-8_1_3796","Ox","f","TC","Slot2-8","1","3796"
"9","V_m_T1_Slot2-9_1_3817","V","m","T","Slot2-9","1","3817"
"10","V_m_T2_Slot2-10_1_3814","V","m","T","Slot2-10","1","3814"
"11","V_m_T3_Slot2-11_1_3810","V","m","T","Slot2-11","1","3810"
"12","V_f_T_Slot2-12_1_3819","V","f","T","Slot2-12","1","3819"
"13","V_f_TC_Slot2-4_1_3801","V","f","TC","Slot2-4","1","3801"
"14","V_m_TC1_Slot2-1_1_3799","V","m","TC","Slot2-1","1","3799"
"15","V_m_TC2_Slot2-2_1_3805","V","m","TC","Slot2-2","1","3805"
"16","V_m_TC3_Slot2-3_1_3802","V","m","TC","Slot2-3","1","3802"
