"","Ox_f_T_Slot2-16_1_3811","Ox_m_T1_Slot2-13_1_3813","Ox_m_T2_Slot2-14_1_3820","Ox_m_T3_Slot2-15_1_3816","Ox_m_TC1_Slot2-5_1_3807","Ox_m_TC2_Slot2-6_1_3798","Ox_m_TC3_Slot2-7_1_3804","Ox_f_TC_Slot2-8_1_3796","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819","V_f_TC_Slot2-4_1_3801","V_m_TC1_Slot2-1_1_3799","V_m_TC2_Slot2-2_1_3805","V_m_TC3_Slot2-3_1_3802"
"Aaas",13.0902844739505,12.8061024864001,12.8733575943604,12.6400686563222,NA,NA,NA,NA,12.9913836638527,NA,NA,NA,NA,NA,NA,NA
"Aacs",13.753737153029,14.018929922557,13.9981144539736,14.1158349264231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aak1",17.5841042359185,17.7462388240533,17.819686029238,17.8285740455031,12.8072023405917,12.7944996883991,13.3202715525102,13.1810826498331,18.0246143840534,17.9947404957023,17.7261842002705,17.9667755356715,12.0055333253199,11.3894323702053,NA,NA
"Aamdc",13.3769715160181,13.8320484551572,14.2387080469072,13.5504953991615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aars1",15.2336711388133,15.135787338385,15.0034433587722,14.8870234915202,NA,NA,NA,NA,14.995475017286,15.0268016544395,15.2305904135955,15.1264922733628,NA,NA,NA,NA
"Aatk",12.8957835304137,12.7852337995064,12.7971346027993,12.8536721331865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abat",NA,12.3226802417097,12.9063118987363,12.985048521155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abca1",NA,NA,NA,NA,NA,NA,NA,NA,14.3255865451988,13.9025556082791,13.9750589239699,13.9071229914053,NA,NA,NA,NA
"Abcc5",14.1460977557613,14.3442609123944,14.0688240460562,14.1277007564983,NA,NA,NA,NA,13.94722601325,13.5949337361811,13.5784813392622,13.7343059465642,NA,NA,NA,NA
"Abcd3",15.7066472801065,15.9226073950954,15.976528649576,16.102912651584,NA,NA,11.6720893812175,NA,15.6056612434912,15.8430971205056,15.7170914635907,15.9013058201393,NA,NA,NA,NA
"Abce1",13.5509271109932,13.7871169416936,13.8717223871863,13.9092649547966,NA,NA,NA,NA,14.1934945596805,14.1787115293402,14.286203974953,14.2331328048645,NA,NA,NA,NA
"Abcf1",15.3725237498744,15.1182559456076,15.0193420312514,15.1627040007714,NA,NA,NA,NA,13.4539414676578,13.699094537984,13.7802652203182,13.6927016093723,NA,NA,NA,NA
"Abcf2",15.8662764027069,16.1479990749429,16.1347921274114,16.2054817289357,NA,NA,NA,NA,15.7323902213963,15.5585834452005,15.7088026302738,15.6781849912372,NA,NA,NA,NA
"Abcf3",14.4207507558075,14.3879958494065,14.5493983108684,14.647925400116,NA,NA,NA,NA,14.5057643493788,14.6614383283983,14.7318232997192,14.5925558764867,NA,NA,NA,NA
"Abhd10",13.9587701907535,13.7213876134147,13.9704474653996,13.9684868050419,NA,NA,NA,NA,14.0438389985,14.0667787469164,14.0281391719669,13.8728864600278,NA,NA,NA,NA
"Abhd12",16.4027543640916,16.220256349018,16.1045649063632,16.2927805989934,NA,NA,NA,NA,16.1491449818099,16.1724530457215,16.4230644138777,16.4989915822529,NA,NA,NA,NA
"Abhd6",13.282008712778,13.3048640537498,13.2439599945907,13.2806988832624,NA,NA,NA,NA,13.1218784125325,13.2222433011889,13.6784976384563,13.6259734830269,NA,NA,NA,NA
"Abi1",15.6012291190512,15.2880456228232,15.5921156831216,15.5144117893634,NA,NA,NA,NA,15.3679381033575,15.5453870468606,14.9802177202043,15.4140093904093,NA,NA,NA,NA
"Abi1;Abi2",15.9540348435244,15.8778647348741,15.7452315704952,15.7956801787869,NA,NA,NA,NA,15.3346936864068,15.3612576562085,15.2288379230777,15.4102795903309,NA,NA,NA,NA
"Abi2",13.6678257211635,13.577779937347,13.5957300468711,13.5745085719488,NA,NA,NA,NA,12.9668334637117,NA,12.3498506740636,13.6742474497342,NA,NA,NA,NA
"Ablim1",15.3128325059264,15.5881769423332,15.4946442930372,15.5267470425991,NA,NA,NA,NA,15.4046285497981,15.6231830646429,15.5862042220472,15.3880042775784,NA,NA,NA,NA
"Ablim1;Dmtn",14.7990539054705,NA,14.9614316063329,NA,NA,NA,NA,NA,NA,14.5648878008085,NA,14.6626016237401,NA,NA,NA,NA
"Ablim2",15.4452990404957,15.7386366605375,15.7896847597557,15.7901741260922,NA,NA,NA,NA,16.0890336182651,15.9810489602729,15.9817877656129,15.8149651482079,NA,NA,NA,NA
"Ablim3",NA,13.219861742783,NA,13.4113235290215,NA,NA,NA,NA,12.4156863195747,12.309842949617,NA,NA,NA,NA,NA,NA
"Abr",15.4523363219876,15.4613797163895,15.2739775748578,15.3617379141889,11.5322987836339,12.6452012972953,11.3062106832933,11.4049808656325,15.1414540763543,14.9748843863957,14.963229218134,15.3979660562124,NA,NA,NA,NA
"Abraxas2",13.8929914468661,13.8256595240984,13.7736937424732,13.9586458762735,NA,NA,NA,NA,13.6686676321817,13.8863763353619,14.117744749356,13.9322034631834,NA,NA,NA,NA
"Abtb2",14.3204079418604,14.1875487416029,14.2103710809962,14.0429504118875,NA,NA,NA,NA,14.9442166583471,14.9528880704015,14.7721740738545,14.9277686472638,NA,NA,NA,NA
"Acaa1a",13.1461613289462,NA,NA,NA,NA,NA,NA,NA,13.0650710718514,13.0859354680747,NA,13.0149183870902,NA,NA,NA,NA
"Acaa2",18.1893275046575,NA,NA,18.3930342648984,14.0962127588182,14.4949368150332,14.7040387116597,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acaca",16.2803796502318,16.5143846015173,16.4616193350926,16.5909083417788,18.322947787924,18.3894613696618,18.344153015451,18.1542459200956,16.2015377281211,16.2087277020591,16.2055380488024,16.069454288233,17.9660445771782,18.12315466021,18.1014477572099,18.1857991077001
"Acaca;Acacb",NA,NA,NA,NA,18.0286622715422,18.0198472026973,18.0544880350069,17.7943050477826,NA,NA,NA,NA,17.5624759995311,17.8403711495641,17.8552769097775,17.8752767683875
"Acacb",NA,NA,NA,NA,14.7904502401482,14.6134054271291,14.8756304623631,14.6821625893057,NA,NA,NA,NA,14.2420053241604,14.4685290391462,14.3403905244503,14.3802430162907
"Acad8",NA,NA,NA,NA,12.6133774043362,11.890739269631,12.0264231558219,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acadl",14.1362296193266,13.3844025373272,14.0228943769353,13.5651137062664,14.2028496793357,14.8072731026039,14.4358147382901,14.4463697267245,NA,NA,NA,NA,NA,NA,NA,NA
"Acadm",NA,NA,13.6322000421851,14.0293217407908,14.0401013226085,13.8702463442183,13.862888676188,13.7223004909222,NA,NA,NA,NA,NA,NA,NA,NA
"Acads",NA,NA,NA,NA,13.5993317429563,12.9225658207413,13.4667137786487,12.691926679224,NA,NA,NA,NA,NA,NA,NA,NA
"Acadvl",NA,13.1883245746621,NA,13.0098233699227,NA,NA,NA,NA,NA,14.4500595581432,NA,14.6526439273732,NA,NA,NA,NA
"Acap2",NA,13.8384751691409,13.3367296972387,14.0269556330029,NA,NA,NA,NA,NA,13.4950305368988,13.4544663815518,NA,NA,NA,NA,NA
"Acat1",14.2017209823114,NA,14.1068311918314,NA,14.1787193089035,14.143188023749,14.4649008490018,13.9932272421111,NA,NA,NA,NA,NA,NA,NA,NA
"Acbd3",15.6948781964195,15.6756815295913,15.7376062289122,15.6658976698425,NA,NA,NA,NA,15.5434751070828,15.6228316621423,15.9287353790587,15.8414830684407,NA,NA,NA,NA
"Acbd5",16.3128378111262,16.4756237269263,16.3491869583843,16.229133764706,13.3218435594982,12.3851721572022,12.9272631510141,11.5311426162297,15.6299260324792,15.7950264990482,15.9255859256347,15.7027768313917,NA,NA,NA,NA
"Acbd6",13.0296833376048,13.1440705635966,13.2938355462538,13.0688089725668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acin1",16.3988384022585,16.4887772822125,16.43212630637,16.4510896820269,14.7808335707452,14.7687152002783,15.5122912756041,14.9711745427904,16.3327713969192,16.5106309490769,16.4217300193134,16.3895922916198,14.2968952597989,14.4507454722452,14.862873521946,14.6754816599695
"Acly",15.1704705218285,15.2422332345698,15.220691258274,15.2259664404014,NA,NA,NA,NA,15.8241584153821,15.5529001489895,15.7408379484985,15.712476052557,NA,NA,NA,NA
"Aco2",14.4633211107372,14.0412377139913,13.7445752509148,14.398254738742,14.6496909446131,14.7635323534168,14.9058016663313,14.8577073309012,13.6578113084806,13.5911878462367,14.0449954523072,13.8092385057457,NA,NA,NA,NA
"Acot1",NA,NA,NA,NA,14.2074541085251,13.9397383001336,13.8559001799283,NA,NA,NA,NA,NA,13.8576700359625,13.2275317135552,13.4461398955031,13.6295159999323
"Acot1;Acot2;Acot3;Acot4;Acot5;Acot6",13.4037310608702,13.6774994332851,13.5740257979248,13.7953091508598,NA,NA,NA,NA,13.3582803157704,13.3698835669008,NA,13.6254691348931,NA,NA,NA,NA
"Acot7",14.0809840340475,14.1445387567355,14.2546522040002,14.2702661218234,NA,NA,NA,NA,13.4813327502795,14.0132877747198,14.2670646308329,14.195733604921,NA,NA,NA,NA
"Acox1",13.8876007697627,14.1924186388545,13.7741441726079,14.1010052614068,NA,NA,NA,NA,13.0739975875667,NA,13.495230456532,NA,NA,NA,NA,NA
"Acp1",15.3806335025064,15.2380787735351,15.4067540130619,15.3123689097668,NA,NA,NA,NA,15.7218343772624,15.9390778482901,15.6015428414411,15.5299310051835,NA,NA,NA,NA
"Acsbg1",NA,NA,NA,NA,12.7353910141627,13.0384612175579,12.8350516455486,12.9456797547906,NA,NA,NA,NA,11.0248626268633,11.4860958908949,11.3964656421615,NA
"Acsf2",NA,NA,NA,NA,11.9069882747784,11.9698721349419,11.2844944689133,11.8231761419546,NA,NA,NA,NA,NA,NA,NA,NA
"Acsl3",12.4652449765458,12.4211943650715,12.2987241764253,12.4458037656822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
