"","Pool_Ox_V_Slot2-17_1_3795","Pool_Ox_V_Slot2-17_1_3808","Pool_Ox_V_Slot2-17_1_3821"
"Edc4",29490.9657604844,28537.8244356931,29686.5190150469
"Nckipsd",NA,NA,20122.7
"Stip1",51906.4344449908,47918.0139714764,56182.7714993732
"Mepce",47369.1502429489,34336.9592442551,41403.0411296323
"Mecp2",91189.3429478048,71218.6285040403,79889.3594412739
"Rab3gap2",41204.8488435708,41875.8641991352,47217.1215720514
"Cep170b",19964.3549750509,20384.2883934173,21072.6843588335
"Marcksl1",NA,2664.7,4074.23
"Kcnd1",22814.2733349108,18724.545494628,15322.563764151
"Copg2",21535.1530052815,24348.7344912686,21154.0950366287
"Hdlbp",86441.4610430481,81846.2196843874,85019.1678334247
"Lcp1",35902.344478317,33728.6040130002,28006.0980405099
"Pacsin2",22798.4295591191,29254.4724920163,24767.1504272083
"Magi3",19450.709523002,18532.5917705413,23665.347763297
"Srpk2",23720.3685507896,28683.2326325794,33809.4286051882
"Prkra",95397.0468491793,110480.335320951,114045.767528531
"Map1b",1243826.71306141,1346939.6499679,1273789.17983249
"Aak1",100363.844264186,104222.42237612,110858.199044812
"Acaca",135493.250558879,146654.003126652,126671.79139214
"Dmxl2",33007.5067159013,38364.8869665426,35672.9290561291
"Map4",1427753.12870859,1416578.9531457,1518082.78895596
"Copb2",72647.2547452172,74798.2925214798,81125.3082372267
"Mars1",98120.6047907289,108437.059665669,115629.094727895
"Tom1l2",62637.9842125135,62700.3650999131,62926.8034281383
"Tagln3",82713.2209940962,93544.5457715992,96863.517271959
"Ywhae",22363.7264096367,20615.369036063,21436.4779893636
"Lrsam1",43797.031623329,41292.4139211938,49780.4481398934
"Ccdc124",28562.2496961095,24888.0594560035,31172.7097725951
"Ap3b2",97838.5686234005,92774.1418973464,100160.241270919
"Tigar",109992.475739623,100318.111710182,164471.474451182
"Fus",NA,213715.0000043,197050.000003964
"Eif4g3",60433.3143740894,56493.3154151072,60166.5412339257
"Exoc3",14138.0695058422,19997.4742138453,14461.5989252603
"Pcp4l1",155265.999998832,173728.999998693,236746.999998219
"Synm",414372.88496339,421000.895601562,428578.991720139
"Hars1",31341,NA,18996.2
"TurboID",2973842.51482878,3353377.89712888,4311072.3749873
"Cplx2",40221.8227659966,60679.1424500375,138922.456748861
"Kank4",8802.14,9244.82000000001,NA
"Ube2o",43253.6743276125,44378.2207532151,45224.4248102024
"Ppp2r5b",24167.400965326,30202.3904469451,24287.4595931322
"Amph",126465.718054571,99376.224683012,104133.227204701
"Huwe1",12040,8921.22,NA
"Ptpn23",17061.5150848798,20346.0199989432,17268.8369927636
"Chmp4b",410648.329359569,439896.851768328,434865.261578965
"Rps25",69075.5654221343,54939.4271641841,63725.5956682358
"Dffa",28894.4040811165,29885.7749076858,32967.3032563588
"Eif4g1",83641.1320656845,84081.2039607857,82812.4938424353
"Acsl4",27291.617078958,29449.6376578579,25665.0750175569
"Tln1",47901.2353378596,51655.1411119529,52804.5010850658
"Nefh",1218898.57850886,1358723.73256554,1146888.36027568
"Ap2b1",21415.7449893531,19544.7494841035,24216.5486910896
"Cpt1c",6264.93482935071,20108.463112636,12024.7501297299
"Cdv3",110921.504478171,116495.61098726,83048.0283478309
"Ppa1",49735.9395306192,53213.7871645766,49191.3888907214
"Nup214",47755.3051727093,38142.8758663473,45865.802822993
"Lpcat1",12951.7412529757,11064.9367219311,5691.13265814863
"Arfgap1",49407.3520175507,56434.6368629731,46283.1112982585
"Aldoa",86188.1663224971,72120.6954024543,68259.5761757904
"Hk1",56347.8946101732,49374.9309277843,46896.3458238843
"Sync",28810.5091782145,26877.8677495759,22844.8999998523
"Txlna",18087,16955.3,12604.3
"Bcr",10028.2586496876,10273.2249346458,11462.1525172817
"Gap43",19385.3218166578,15229.8826952003,15205.0999999074
"Nsf",62210.5712691541,66771.5230234841,64201.3009580468
"Atxn2",57560.9130137068,59344.934945235,51180.122070948
"Golga5",52132.5038595952,59470.6953505188,53940.4817538356
"Pclo",22847.5487978097,23217.9227373536,25426.4954111626
"Strap",41013.8234372345,44174.7767902687,39505.0323879114
"Fhip1b",34564.8,38323.1,34682.3
