"","WT1_25_Slot2-5_1_3496","WT1_50_Slot2-9_1_3502","WT1_100_Slot2-4_1_3495","WT1_Veh_Slot2-2_1_3493","WT3_25_Slot2-6_1_3497","WT3_50_Slot2-10_1_3503","WT3_100_Slot2-11_1_3504","WT3_Veh_Slot2-13_1_3507","WT4_25_Slot2-14_1_3508","WT4_50_Slot2-7_1_3499","WT4_100_Slot2-16_1_3510","WT4_Veh_Slot2-12_1_3505","WT5_25_Slot2-8_1_3500","WT5_50_Slot2-17_1_3511","WT5_100_Slot2-3_1_3494","WT5_Veh_Slot2-15_1_3509"
"Soga3",101887.936434691,90916.3392722045,96412.2259623138,88752.2957624662,93353.1565929982,97316.8562260136,96694.6514891715,93716.3543418044,92009.3561826107,90460.7208185625,95347.3002909461,93121.5343116779,104190.213060439,94028.0605813082,94156.9856821464,96847.607816942
"Clpx",25743.5439492575,25220.4754853853,21043.1406338879,26827.5233934702,28940.0515345605,26095.9973388975,22538.344389035,33214.5628561718,28899.9608620039,25265.0262847068,18643.9920266983,28742.8528094822,31859.6290881364,26578.2516141685,23693.1130108204,31660.1371831933
"Ddrgk1",46745.2872662259,34441.8756657264,34408.0941844016,41267.9686221723,34992.8711320726,42681.5288229665,39596.7042130037,43557.681728415,32653.1042623882,39160.3738031745,47451.3348971599,45801.1261547727,40610.9710789255,43827.9606997787,31956.5028703108,42163.0424234305
"Mogs",149965.467321071,180053.88432663,188082.389069422,168703.168794322,192916.221111669,198134.646041286,206851.659556867,189623.166038308,150415.280542418,157696.826930181,155013.83290318,164489.017803231,185410.754826164,188302.563786295,217974.71885782,165980.086841054
"Uap1l1",88470.1213578831,91544.5497102744,87263.8646705617,93805.8814651543,91047.5903553546,98469.4517167135,87294.9332734281,89270.6658156733,80472.7218531685,101733.737904251,78972.8264171846,94715.6510233216,88548.2319152257,87454.6604699494,89245.0407116634,89515.9348267923
"Mrps7",43327.7393564803,46159.9122080354,41350.0290319138,41824.5856945347,45350.9658202949,41386.9854854628,47295.6512205136,49351.951860373,41734.5811709555,45531.4404775684,40262.7913969039,44790.6466061768,43527.7615895452,39510.1650255725,38522.6597950641,45055.3202483958
"Srgap3",28361.1849039935,25993.9311258424,29463.7516639965,29709.5320952276,30463.1933233789,29849.8906815783,32305.0318051103,27870.4165877479,30812.469904801,28412.6969954125,31109.3907956342,28061.3070971946,28364.900966411,27629.2198696145,31100.959358254,32375.9865574128
"Ranbp6",13498.8908506663,14788.8713546935,14838.3890615038,10480.6829168747,13804.8819496789,17567.9855777845,15195.9362276165,11105.553270513,14846.4074121972,13126.5430225996,12528.4287838039,9898.96524564285,15243.2180545627,11016.6359214878,15690.0337892403,12909.6684614326
"Psmg4",5344.34159055193,NA,4963.92867560059,6732.14470018326,5039.38309968015,NA,5451.86558024844,6402.92546807944,6310.80943851011,6238.67576322252,5133.65898399639,6250.97321456386,5936.44521238296,5814.21551068425,4999.57416689308,7140.20334281424
"Apex1",107725.327425848,96138.857464714,79233.0832334679,92068.5733899688,87376.0128837564,103246.599359701,93608.3794165823,78816.0497820559,82959.510909663,92745.9993887324,96302.7971954495,99496.4127596672,91788.1041731664,95442.0512096982,79292.595485449,83586.2479555782
"Mical1",101494.421538106,110080.984791304,107757.158009905,109081.644578895,116463.876465069,128799.766543032,113256.532586659,100776.248053131,97876.1924378215,106135.895836421,100706.577965287,105195.949371668,108839.792877559,107742.813251879,121889.81270728,108170.982953181
"Gng2",49144.7844802992,57417.7644628592,86624.8793361728,16014.4224635582,38409.0195105872,124710.716272981,37999.0762335334,35562.932893922,47484.5618577443,40505.0097010792,79450.6940475758,33675.3796547994,60641.7058865533,41016.8127128389,43225.1077927767,27797.7032033346
"Zfpl1",26793.9999716179,29833.6843698788,29613.7542220445,27069.9189598542,34302.1938256109,37466.5751822388,31643.0610912247,29864.2634424003,25760.2025641505,25485.431566911,32052.2882019878,31160.3265099471,24036.2894892819,27999.1797495959,36765.5001010171,28377.890210807
"Edc4",87185.3922778623,83873.7469754636,81407.9882520555,68719.3357443453,80168.4560630495,78739.2184588461,80851.7294020575,62813.3261627035,71234.9531382835,79961.9083107877,74332.3678988757,66085.5933328201,79564.9679997257,78043.8574282132,84639.6548174107,64724.663582513
"Inppl1",12965.0503454739,14385.8440167501,12200.0207850117,15918.57531061,12208.4800874217,12282.7485675927,11753.7773431582,16110.8891557778,13254.1745006799,14726.5613760603,10313.4516149524,14696.6569600509,16665.3032618305,10849.0101618037,12572.5263072908,13946.6741410837
"Cdc27",16370.1194446487,17835.0959571147,20476.4274172892,15933.2971758189,18799.592790698,18307.944698508,17641.9981495111,15787.7732956837,16431.2977985801,18276.6678333589,16607.5234532429,15068.6330863506,18512.1917340456,16715.0408651394,18581.8287291315,13136.5453701956
"Septin6",102763.486103976,99618.8734442677,83887.1842878351,112873.6130379,116088.505715111,119084.931559089,91993.966979992,97411.6160250635,100240.490875232,115186.665810199,94038.7020263623,99148.9737981067,119194.985045802,76481.7457041902,90768.7368593719,98543.0457565005
"B3gat3",63612.0283205346,69232.5677587044,88579.742842238,66920.5504628343,77085.2770814391,63157.5697940048,81702.8168615934,71602.5652606587,71584.7882820175,67119.816360229,59035.5812904035,63144.8367646058,75859.2700000032,67482.7579365027,85649.6237771407,73253.16182433
"Nckipsd",36545.7571061496,32570.5384098271,32891.5551194892,34282.1357182495,38276.2065526692,38511.7341981536,37537.3916215913,32711.9331028886,35509.4762464976,34408.2943850484,36798.1902878588,30683.2662669833,35853.9013467709,35556.066799938,33331.9541005701,33287.2904754497
"Fh",489990.719131684,543445.587062921,608256.761105021,517092.428236307,554470.053792029,530612.514890612,545155.856867403,551413.378355344,504483.963145102,520229.200915544,491944.220273551,475986.581041603,550553.140802592,482405.108042778,593940.712689018,493172.464236339
"Tpbgl",38023.6160021067,33285.3892140034,31303.1052074714,33264.342514699,36193.3689937077,40134.0979392642,40511.5264392788,40727.2589706334,35852.2812741607,33446.891965382,29835.2961269297,35738.2393977764,38941.0126981117,41054.6201416976,29474.9723180791,48326.5251568433
"Tln1",283383.372510054,272252.695163247,254766.953432579,356970.056780487,269277.097096738,276007.394103847,235436.731649887,325333.877221096,254271.515504208,272309.501112685,253201.648546027,367171.524041917,270845.609774453,248596.604250783,247683.751011287,316635.571288503
"Tomm70",245045.916686828,280602.494129512,313797.252426131,209911.32448799,265956.975983907,286853.39188995,277609.904611212,211380.595001202,238905.787926795,241334.461409434,248226.045309194,210626.00546571,272113.611352514,266934.568016136,306500.242419075,201726.722818308
"Alkbh7",13554.0794842964,14025.3200484046,NA,NA,16337.5892451349,13197.1901169551,13180.2539791671,13918.9815163576,20349.2680045389,16412.8780983235,14141.8667262453,15192.788742233,NA,16722.4010082594,13452.8815121072,12144.3092021032
"Efhd1",10411.5132055382,12272.6187757881,14534.4503716163,15430.331306286,8984.23713754483,10950.2789767789,13117.0381760788,12690.4689054376,10287.5747531784,15288.7541179864,14338.1973979324,13102.9779502323,10378.3229499439,11712.3675538071,12691.5763796761,14714.6759410193
"Rufy1",47422.0671609988,48968.6287477859,53098.1004050281,45632.4843397377,47722.3605850742,50360.9655108322,52539.2741057578,49557.4562542328,50834.1323416109,56456.4255559169,52680.9815110423,51222.5418515225,47843.9574729918,49761.1030141782,56851.430975572,43975.2436739501
"Tars3",89610.9804200093,98328.1702953198,119028.859468314,71788.6344810281,93089.5995613034,93240.5122789716,109767.549702211,72612.9926868563,86385.8091510846,100651.330434935,93286.7184173596,67686.1127042538,92722.1827076522,95780.1797487096,108104.239057415,69112.4609856517
"Ndufa8",543265.244725797,508772.789339815,576463.467633672,375740.774603148,477721.212927701,522512.829889067,490882.771225165,424618.671229168,426233.467551706,376915.9006845,431055.530376488,432104.134449661,489908.665031059,458940.064266843,504242.022110528,411855.801295122
"Sema7a",11868.8084947642,9626.98810258698,9374.45574065254,29317.8182570046,11377.0755670391,11533.2014786733,9846.46463035885,28017.3310141648,11441.8045744069,9072.53883243161,9785.63467481247,36307.2187936063,11320.6495401854,10135.8137928495,8200.95919155414,27092.3912438828
