Accession,Description
F6VME3,Myelin basic protein (Fragment) OS=Mus musculus GN=Mbp PE=1 SV=1 - [F6VME3_MOUSE]
F6TYB7,Myelin basic protein (Fragment) OS=Mus musculus GN=Mbp PE=1 SV=1 - [F6TYB7_MOUSE]
F7A0B0,Myelin basic protein (Fragment) OS=Mus musculus GN=Mbp PE=1 SV=1 - [F7A0B0_MOUSE]
P56480,"ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2 - [ATPB_MOUSE]"
Q04447,Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1 - [KCRB_MOUSE]
P63260,"Actin, cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=1 SV=1 - [ACTG_MOUSE]"
P17183,Gamma-enolase OS=Mus musculus GN=Eno2 PE=1 SV=2 - [ENOG_MOUSE]
D3Z6E4,Enolase OS=Mus musculus GN=Eno2 PE=3 SV=1 - [D3Z6E4_MOUSE]
P30275,"Creatine kinase U-type, mitochondrial OS=Mus musculus GN=Ckmt1 PE=1 SV=1 - [KCRU_MOUSE]"
A3KGU7,"Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=1 - [A3KGU7_MOUSE]"
P08249,"Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3 - [MDHM_MOUSE]"
Q99KI0,"Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1 - [ACON_MOUSE]"
P63268,"Actin, gamma-enteric smooth muscle OS=Mus musculus GN=Actg2 PE=1 SV=1 - [ACTH_MOUSE]"
P63017,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1 - [HSP7C_MOUSE]
O08553,Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2 - [DPYL2_MOUSE]
P17182,Alpha-enolase OS=Mus musculus GN=Eno1 PE=1 SV=3 - [ENOA_MOUSE]
Q03265,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1 - [ATPA_MOUSE]"
P05063,Fructose-bisphosphate aldolase C OS=Mus musculus GN=Aldoc PE=1 SV=4 - [ALDOC_MOUSE]
A8DUK4,Beta-globin OS=Mus musculus GN=Hbbt1 PE=3 SV=1 - [A8DUK4_MOUSE]
Q8K2B3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus GN=Sdha PE=1 SV=1 - [SDHA_MOUSE]"
A6ZI44,Fructose-bisphosphate aldolase OS=Mus musculus GN=Aldoa PE=2 SV=1 - [A6ZI44_MOUSE]
