Gene.Symbol,Condition
Cul4b,Others
Arfgef2,Others
Cdr2l,Others
Itgb4,Others
Ptprf,Others
Tmem201,Others
Osbpl9,Others
Obscn,Others
Sh3pxd2b,Others
Myom3,Others
Ddi2,Others
Dock11,Others
Map7d2,Others
Ckap5,C4
Map7d1,Others
Rap1gap,Others
Shroom2,Others
Ubr4,Others
Fmnl2,Others
Tubb1,Others
Skt,Others
Agrn,Others
Ttn,Others
Klhl41,Others
Rabgap1,Others
Mocs3,Others
Ttc38,C3
Col6a5,Others
Mtr,C5
Exoc6b,Others
Arhgap31,C3
Itih4,C1
Xpnpep2,Others
Usp24,Others
Tmem245,C4
Dlgap4,Others
Plekhd1,Others
Cad,C4
Ythdc2,Others
Gnai1,C5
Apba1,Others
Otud7b,C5
Trappc11,Others
Plxnb2,Others
Dock5,Others
Rbm25,Others
Pdzd8,Others
Osbpl8,Others
Dgki,Others
Dgkh,Others
Safb,Others
Ccdc6,Others
Gls,Others
Smim20,C4
Fga,C3
Gcn1,Others
Sbf2,C5
Parp4,Others
Ryr1,C5
Tex264,C4
Pi4ka,C4
Apob,C1
Acacb,Others
Rnf213,Others
Myo1e,Others
Ttc7b,Others
Ube4a,Others
Numa1,C6
Chadl,Others
Fry,Others
Yjefn3,Others
Tpr,Others
Tspan15,C5
Arfgef1,Others
Atp2b1,Others
Poglut3,Others
Ank3,Others
Hk2,Others
Capn2,Others
Cacna2d1,C5
Bin1,C3
Sec22b,Others
Dpysl2,Others
Lgals9,Others
Rundc3a,Others
Emd,Others
Gtpbp1,Others
Alyref,C6
Pten,Others
Stxbp1,Others
Endog,Others
Myh11,Others
Map3k4,Others
Metap2,C6
Kng1,Others
Capn5,C5
Ngp,C2
Prdx6,Others
Ampd3,Others
Matn2,C2
Dld,Others
Hsd17b10,C4
Ube3a,Others
Dctn1,Others
Prkcsh,C6
Prdx4,Others
Diaph1,Others
Eftud2,C6
RO60,C4
Mapk12,C5
Faah,C4
Aip,Others
Flot1,Others
Numbl,Others
Sdcbp,C3
Atox1,Others
Degs1,C4
Snap23,C4
Psmb1,Others
Hdac1,Others
Ndufb11,Others
Gsto1,C3
Man2b1,Others
Casq2,Others
Sod3,Others
Casq1,Others
Rpl21,Others
Gclm,Others
Amacr,Others
Kif3c,C4
Ptgis,Others
Vps26c,Others
Agpat1,C4
Dpysl4,Others
Scarb2,C3
Grcc10,Others
Phb2,C4
Ncam2,Others
Bet1l,Others
Col15a1,Others
Ddt,C3
Psmd4,C6
Exoc7,C4
Dhx15,Others
Srsf5,Others
Kpna4,Others
Kpna3,Others
Kpna6,Others
Capn1,Others
Abcc1,Others
Anp32a,C6
Exoc4,Others
Pld3,Others
Folh1,C3
Clcn6,Others
Ech1,Others
Fkbp8,Others
Bhmt,C3
Notch2,Others
Stx1a,Others
Rabep1,Others
Psmd14,Others
Adam10,Others
Npc1,Others
Scamp3,Others
Pmm1,Others
Anxa3,Others
Ap1b1,Others
C1qbp,Others
Mgll,C4
Myadm,Others
Nudc,Others
Matn3,Others
Sptlc1,C4
Hnrnph1,C6
Chil3,Others
Api5,C4
Bcat2,Others
Timm44,Others
Cops5,Others
Slc1a4,Others
Calu,C4
Aldh1a7,Others
Pitpnm1,Others
Psmb10,Others
Gamt,C4
Zw10,Others
Cavin1,Others
Ddost,C4
Aox1,Others
Ap3d1,Others
Srpk2,Others
Man2b2,Others
Dffa,Others
Rgs7,Others
Csnk2a2,Others
Hmgb3,C6
Itgb3,C6
Akap2,Others
Smarce1,C6
Dnajb6,Others
Prkag1,C5
Banf1,Others
Crym,Others
Get3,Others
Slk,C3
Cntnap1,C1
Fkbp7,Others
Trappc3,Others
Pgrmc1,Others
Impa1,Others
Entpd2,C5
Copb2,C4
Nck2,Others
Snca,Others
Pde6d,Others
Impact,Others
Stk10,Others
Bloc1s1,Others
Prx,Others
Strn,C4
Nipsnap1,Others
Nipsnap2,Others
Septin7,C4
Eif6,Others
Acot1,Others
Rpl35a,Others
Atp2a2,Others
Cd59a,C3
Supt5h,C6
Ilk,Others
Chad,Others
Chkb,Others
Psmb5,C3
Dhx9,C6
Dpm1,C4
Pip5k1c,Others
Pip4k2a,Others
Eif3d,Others
Pdlim3,Others
Atp9a,Others
Pgam2,Others
Eef1b,Others
Hmox2,Others
Sgce,C5
Atxn2,Others
Itgb5,Others
Nmt1,Others
Epb41l2,Others
Gpx4,C5
Gpld1,Others
Xirp1,Others
Emc8,Others
Pdlim1,Others
Aoc3,C4
Psma3,Others
Stx7,Others
Gnaz,Others
Ubr1,C5
Snx3,Others
Snx12,Others
Hsd17b12,C4
Tcap,Others
Diaph2,Others
Pdk4,C3
Slc25a17,Others
Cask,Others
Pfdn2,Others
Rtn2,Others
Myoc,C5
Col5a1,Others
Sorl1,Others
Nid2,Others
Ctnnal1,C5
Wdr1,Others
Slc4a4,Others
Vti1b,C6
Avil,Others
Papss2,Others
Mtx2,Others
Klc1,C4
Klc2,Others
Dhcr7,C4
Capns1,Others
Dync1i1,Others
Dync1i2,Others
Plin4,Others
Ikbkg,Others
Ppt1,Others
Zfr,Others
Ddc,C5
Cops3,Others
Cops4,C5
Cops6,C5
Hnrnpa2b1,C6
Comt,Others
Pglyrp1,C6
Pak1,Others
Lamtor3,C6
Psmc3,Others
Clpp,Others
Ctbp1,Others
Hsd17b7,C4
Birc6,C4
Gdap1,Others
Tom1,C6
Stam2,Others
Idh1,Others
Rbbp9,Others
Syn1,Others
Lin7c,Others
Gnpda1,Others
Yme1l1,Others
Stx8,Others
Gcat,Others
Actn3,Others
Cpd,C4
Lgmn,Others
Afm,Others
Tpp1,Others
Sh3pxd2a,Others
Itm2b,C4
Coro1a,C6
Cope,C4
Rbm3,Others
Sypl2,C5
Fhit,Others
Lancl1,C5
Dnajb5,Others
Adh1,Others
Mtco2,C4
Hprt1,Others
Ca2,C4
C3,C5
C4b,Others
Jchain,Others
Thy1,Others
Igkc,Others
NA,Others
Igh-3,Others
Ighg1,Others
Ighm,Others
NA,C3
H2-Q10,Others
H2-K1,Others
Hba,C2
Hbb-b1,C4
Hbb-b2,Others
Hbb-y,C4
Lamc1,Others
Lamb1,Others
Krt10,Others
Mtnd1,Others
Mtnd4,Others
Mtnd5,Others
Mtatp8,Others
Cfd,Others
Ada,C6
Iap,C3
NA,C5
Gfap,Others
Fabp4,Others
Cfb,Others
Mb,C3
Mbp,C3
Araf,C3
Slc4a1,C4
Prnp,Others
Aldoc,Others
Aldoa,Others
Prkaca,Others
Got1,C3
Got2,Others
Saa2,C3
Src,Others
Itgam,C2
Pdgfrb,Others
Myl1,Others
Ldha,Others
C9,Others
C5,Others
Apoa4,C3
Gpi,Others
Ctsl,Others
Ptprc,C2
Me1,Others
Enpp1,Others
Cfh,C3
S100a4,Others
Sparc,C4
Ttr,Others
Ckm,Others
Anxa2,Others
Alb,Others
Serpina3k,Others
Hsp90aa1,C6
Phkg1,Others
Pdia4,C2
Aprt,Others
Spta1,C4
Ltf,C2
Hsp90b1,C2
Col3a1,Others
Col4a2,Others
S100a10,Others
Apoe,C3
Sod1,C3
Mdh2,Others
Nefl,Others
Nefm,Others
Nras,Others
C4bpa,Others
Gnai2,Others
Lyz2,C6
Itgb1,Others
P4hb,C6
Alpl,Others
Ncl,C6
Pgk1,Others
Ace,Others
Fth1,C3
Myl3,Others
Sod2,Others
Cdh1,Others
Chmp6,Others
Prkg1,Others
Clec2l,C3
Ly6c1,Others
Lynx1,C5
Anxa1,C6
Eef1a1,C2
Nid1,Others
Alad,Others
Ctsb,Others
Eif4a2,Others
Mapt,Others
Txn,Others
Gstm1,C3
