Protein.Ids,Gene_Symbol,First.Protein.Description,log2FC,log2.protein.intensity,P_value,Adjusted_P_value,Condition
A2A432,Cul4b,Cullin-4B,0.1641176647,18.52444902,0.2672031714,0.4175663781,Not_sig
A2A5R2,Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,-0.09280823308,19.62572841,0.4847796782,0.6231252066,Not_sig
A2A6T1,Cdr2l,Cerebellar degeneration-related protein 2-like,-0.07347834469,18.5183914,0.7243214931,0.8230405283,Not_sig
A2A863,Itgb4,Integrin beta-4,0.3768822455,24.90610875,0.008527122025,0.04469275846,Not_sig
A2A8L5,Ptprf,Receptor-type tyrosine-protein phosphatase F,-0.1267724383,18.13595668,0.4919337607,0.6308365865,Not_sig
A2A8U2,Tmem201,Transmembrane protein 201,1.604213518,18.70896621,0.03295488099,0.1067057281,Not_sig
A2A8Z1,Osbpl9,Oxysterol-binding protein-related protein 9,-0.04519411666,20.27611925,0.8437141887,0.9012187312,Not_sig
A2AAJ9,Obscn,Obscurin,1.34331618,21.55741829,0.01353627396,0.05919954006,Not_sig
A2AAY5,Sh3pxd2b,SH3 and PX domain-containing protein 2B,-0.4433515561,19.29988292,0.02241837842,0.0837677575,Not_sig
A2ABU4,Myom3,Myomesin-3,1.727125192,19.56975381,0.007687984118,0.04193844689,Up
A2ADY9,Ddi2,Protein DDI1 homolog 2,-0.4694901806,20.46460025,0.0004162827812,0.008378238712,Not_sig
A2AF47,Dock11,Dedicator of cytokinesis protein 11,0.08759208241,19.75530823,0.4073018328,0.551282837,Not_sig
A2AG50,Map7d2,MAP7 domain-containing protein 2,-0.3473134228,21.6969527,0.0271075728,0.0941389391,Not_sig
A2AGT5,Ckap5,Cytoskeleton-associated protein 5,0.1425069306,21.79604599,0.1011841145,0.2193376977,Not_sig
A2AJI0,Map7d1,MAP7 domain-containing protein 1,-0.2448879201,20.83044703,0.1347484336,0.2643807133,Not_sig
A2ALS5,Rap1gap,Rap1 GTPase-activating protein 1,0.0187204286,20.17962017,0.8482441683,0.9047937795,Not_sig
A2ALU4,Shroom2,Protein Shroom2,-0.2036086169,19.51792787,0.2663662545,0.4167400872,Not_sig
A2AN08,Ubr4,E3 ubiquitin-protein ligase UBR4,0.138165498,20.87513096,0.1505125173,0.2839466533,Not_sig
A2APV2,Fmnl2,Formin-like protein 2,0.2863638276,21.65867599,0.0586696141,0.1556923,Not_sig
A2AQ07,Tubb1,Tubulin beta-1 chain,-0.3283526479,26.50428086,0.09462634036,0.2094045865,Not_sig
A2AQ25,Skt,Sickle tail protein,0.2704011122,18.48639754,0.1340632275,0.2636086089,Not_sig
A2ASQ1,Agrn,Agrin,0.107898535,21.75618074,0.3675387909,0.5144466824,Not_sig
A2ASS6,Ttn,Titin,1.130209227,23.99819672,0.01484705123,0.06273494352,Not_sig
A2AUC9,Klhl41,Kelch-like protein 41,1.083223554,21.28833228,0.009575029939,0.04786320791,Up
A2AWA9,Rabgap1,Rab GTPase-activating protein 1,0.008783040038,18.68553305,0.9665206222,0.9795851734,Not_sig
A2BDX3,Mocs3,Adenylyltransferase and sulfurtransferase MOCS3,0.1740072669,18.27653698,0.1563679009,0.290328558,Not_sig
A3KMP2,Ttc38,Tetratricopeptide repeat protein 38,-0.02705542373,20.65221538,0.7394084128,0.8323407754,Not_sig
A6H584,Col6a5,Collagen alpha-5(VI) chain,0.8234001219,19.4885972,0.06447051953,0.1650169121,Not_sig
A6H5Y3,Mtr,Methionine synthase,0.3221263631,20.53453565,0.005490612453,0.03381749886,Not_sig
A6H5Z3,Exoc6b,Exocyst complex component 6B,0.3594626017,19.27008677,0.08656306418,0.1986897704,Not_sig
A6X8Z5,Arhgap31,Rho GTPase-activating protein 31,-0.1215352539,18.62057877,0.5707102869,0.6994762646,Not_sig
A6X935,Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4",0.7128269516,21.49126061,0.003465923117,0.02633321847,Up
B1AVD1,Xpnpep2,Xaa-Pro aminopeptidase 2,1.315616411,17.96147971,0.05052143649,0.141151974,Not_sig
B1AY13,Usp24,Ubiquitin carboxyl-terminal hydrolase 24,0.405060428,18.10528747,0.03967907075,0.1206142818,Not_sig
B1AZA5,Tmem245,Transmembrane protein 245,0.3118340012,18.92358738,0.1170449195,0.241673743,Not_sig
B1AZP2,Dlgap4,Disks large-associated protein 4,0.01357483826,19.19059123,0.9688689201,0.9810311003,Not_sig
B2RPU2,Plekhd1,Pleckstrin homology domain-containing family D member 1,0.5199966359,20.86452962,0.00823657698,0.04386722893,Not_sig
B2RQC6,Cad,CAD protein,-0.1041897599,20.29045141,0.3135815011,0.462808051,Not_sig
B2RR83,Ythdc2,3'-5' RNA helicase YTHDC2,0.005867913422,17.72217468,0.9740430137,0.9843394515,Not_sig
B2RSH2,Gnai1,Guanine nucleotide-binding protein G(i) subunit alpha-1,0.3959593997,22.80922572,0.004038139808,0.02797717025,Not_sig
B2RUJ5,Apba1,Amyloid-beta A4 precursor protein-binding family A member 1,-0.3024960133,19.95545237,0.1210917645,0.2472263253,Not_sig
B2RUR8,Otud7b,OTU domain-containing protein 7B,0.4809060028,19.28270096,0.01535303196,0.06436953925,Not_sig
B2RXC1,Trappc11,Trafficking protein particle complex subunit 11,-0.1316998233,18.77556428,0.6974162637,0.8047434497,Not_sig
B2RXS4,Plxnb2,Plexin-B2,0.2100488852,19.8843728,0.06941698423,0.1729319529,Not_sig
B2RY04,Dock5,Dedicator of cytokinesis protein 5,0.5430044585,17.44725434,0.01027394625,0.05004786044,Not_sig
B2RY56,Rbm25,RNA-binding protein 25,-0.6207747388,22.21685097,0.003140688281,0.02461063931,Down
B9EJ80,Pdzd8,PDZ domain-containing protein 8,-0.1315244587,18.73990683,0.3611104591,0.5089887194,Not_sig
B9EJ86,Osbpl8,Oxysterol-binding protein-related protein 8,-0.2871075396,20.00872714,0.03662538645,0.1140770903,Not_sig
D3YWQ0,Dgki,Diacylglycerol kinase iota,-0.2092002203,20.8842509,0.2726853283,0.4234520714,Not_sig
D3YXJ0,Dgkh,Diacylglycerol kinase eta,-0.3430534378,20.51721141,0.08217331645,0.1918350594,Not_sig
D3YXK2,Safb,Scaffold attachment factor B1,-0.4724397256,20.75941285,0.004067810319,0.02797717025,Not_sig
D3YZP9,Ccdc6,Coiled-coil domain-containing protein 6,-0.1375577172,20.3792484,0.3437646426,0.4919205149,Not_sig
D3Z7P3,Gls,"Glutaminase kidney isoform, mitochondrial",-0.2067313331,22.04063159,0.07727692247,0.1855044198,Not_sig
D3Z7Q2,Smim20,Small integral membrane protein 20,-0.01642766064,20.96253358,0.9475270507,0.9705263513,Not_sig
E9PV24,Fga,Fibrinogen alpha chain,-0.3011036152,24.71285898,0.07936694946,0.188625988,Not_sig
E9PVA8,Gcn1,eIF-2-alpha kinase activator GCN1,-0.1223100539,20.60768344,0.3412200416,0.4892483836,Not_sig
