Genes,log2FC(S2/P1),q value
ZNF518A,0.586838012,0.008496762
WDHD1,0.495734229,0.002230105
PHPT1,0.449876976,0.000953515
ATOX1,0.433541699,0.000861873
MED24,0.433283047,0.000144254
RABIF,0.420890336,0.00054653
ACTG2,0.411506153,0.03291727
ABRACL,0.410208988,0.004977706
NUDT15,0.395532908,0.0008962
TMSB10,0.393564723,0.00375202
NUDT14,0.386092861,0.001543215
GGPS1,0.383814728,0.036473997
CBX1,0.365914572,0.000730101
GALM,0.353812901,0.004739728
SELL,0.346212222,0.010236898
HDDC3,0.344872557,0.000148815
RYR3,0.339588405,0.014145602
UCHL1,0.33944189,0.005576204
NUDT3,0.336408844,0.034338089
CZIB,0.335779611,0.003535097
HSPB11,0.335006225,0.001189572
TXNDC17,0.33169725,0.003826526
PLA2G15,0.327034502,0.00453034
GSTM1,0.325181965,0.081158077
DNASE1L2,0.324028224,0.000578115
GCDH,0.321705768,0.005272706
PIM3,0.321312423,0.029404784
PTRHD1,0.320944243,0.000714349
LACTB2,0.318293241,0.002156007
NQO2,0.317142831,0.00067436
MORN3,0.316286864,0.005505083
NANS,0.316246231,0.000386794
PTER,0.31553156,0.001252968
C2orf72,0.314722175,0.010247107
GALT,0.313621697,0.000235021
MANBA,0.313272638,0.003168092
IDI1,0.311849239,0.000244685
RABEPK,0.311770892,0.001959755
PTGR2,0.309713883,0.000215656
EIF4EBP1,0.308917925,0.002573294
CTH,0.307158177,0.004869398
TBCA,0.307058186,0.005466117
ASPA,0.305635641,0.000654665
ZNF483,0.303505707,0.018181991
AKR1B10,0.303232263,0.003744136
AKR1C3,0.300875431,0.000288584
SERPINA6,0.300581008,0.004869398
IL36G,0.299568086,0.01528875
FSTL1,0.298852742,0.002870167
PCP4,0.297944272,0.007979206
PPIL3,0.297017133,0.011376147
ACO2,0.295491544,0.007311765
NHLRC3,0.293975259,0.007000957
TMSB4X,0.293432548,0.007957616
MTAP,0.291236979,0.001204217
PKIA,0.290811838,0.000388693
AAMDC,0.289713015,0.021867782
PKIG,0.287244628,0.000834217
MAT1A,0.286960747,0.021132862
ADK,0.286457318,0.000512299
ESD,0.286257513,0.000516496
RGN,0.285293184,0.015162993
FABP7,0.284626222,0.016366407
ATRN,0.284598071,0.002541119
ZC2HC1A,0.284400309,0.002230105
THNSL2,0.283615141,0.00930189
PPP1R2,0.283132429,0.000468658
PYDC1,0.282844533,0.00144523
NMRAL1,0.28257015,0.001462233
HEBP2,0.282104855,0.001534557
GSTM4,0.281920124,0.004737009
C11orf54,0.281803956,0.001061603
POLR2I,0.281565109,0.006382119
NUDT1,0.281189446,0.026918109
GLO1,0.281000265,0.00048892
GMDS,0.280597851,0.001885987
THAP4,0.280407823,0.002039885
CA5B,0.280172606,0.001681303
CPPED1,0.279554404,0.003091552
KYNU,0.279537729,0.001863923
PBX1,0.279223484,0.042267456
DDAH1,0.278740845,0.000932113
IAH1,0.278542623,0.000873816
CPQ,0.278004808,0.000884333
Q9UHJ6,0.277453014,0.00105966
EPM2A,0.277259532,0.001183271
GATD3A;GATD3B,0.276772763,0.000173778
OXCT1,0.276605367,0.001935124
PNPO,0.276554772,0.005072403
SCRN3,0.271499248,0.000468098
FUCA2,0.271055921,0.004860626
HAAO,0.269162316,0.000259207
PREP,0.267369455,0.000730101
TRIAP1,0.267344334,0.006057861
SH3BGRL,0.266877571,0.001527392
TSC22D1,0.265281907,0.078728256
MPST,0.264410962,0.001709959
KYAT3,0.26411174,0.003011078
CHMP5,0.263434836,0.078779792
CDKN2C,0.262272637,0.005380071
IGHV5-10-1;IGHV5-51,0.262228473,0.020472549
AKR1A1,0.260391043,0.008535513
ACTBL2,0.260331517,0.096571404
ALDH1A2,0.259846073,0.009205547
RNLS,0.259736036,0.012851723
ADI1,0.259674355,0.000503248
DBI,0.259528761,0.000990264
ARSA,0.259513497,0.007363953
CTSB,0.259416348,0.00021841
PDXP,0.259375644,0.000213224
IL1RN,0.258816347,0.000495716
FBP1,0.258660139,0.001404262
PDXK,0.258034433,0.003011078
CTSZ,0.257756541,0.002481523
CRYL1,0.257552636,0.0011878
PM20D2,0.2573449,0.001160323
PTGR1,0.257107747,0.000865876
AFP,0.25699832,0.009346944
NT5C,0.256029508,0.000687071
FGGY,0.255720995,0.000976224
CRYM,0.25484511,0.004355906
CTBS,0.254488487,0.000792819
BCAT1,0.254323614,0.025571944
FAM53C,0.254202406,0.016869427
EXOSC8,0.253964525,0.005532709
NAGA,0.253788011,0.012409957
CFHR1;CFHR2,0.25367595,0.005891195
PGM1,0.253326529,0.001188429
BTD,0.252774121,0.004623078
PTMS,0.252732453,0.005127942
HSP90AB2P,0.25270432,0.044791153
GNPDA1,0.25252109,0.000531313
IL18,0.25238668,0.001606571
RBP4,0.252367412,0.004348271
CCDC148,0.252057263,0.002352047
ALDH1A1,0.251496844,0.004284621
PZP,0.251383127,0.034204601
ENOSF1,0.250586805,0.006149248
ADH5,0.250167781,0.00048212
STMN1,0.249994382,0.016109301
POLR2M,0.249601902,0.000430431
NIT2,0.249336834,0.00067436
CSAD,0.249258045,0.001863612
GSTP1,0.249236345,0.001059991
AKR1C1,0.248674417,0.000872569
GC,0.248667239,0.005281359
ACY1,0.248554035,0.003486162
AFM,0.248523425,0.003232763
EIF4EBP2,0.248406113,0.019898764
NAPRT,0.248385228,0.00021841
SDF4,0.248313927,0.030751463
RTL5,0.246826776,0.027002007
ADH7,0.246300343,0.000641955
ADSS2,0.24590602,0.000476515
MYDGF,0.245205797,0.002214939
SOD1,0.24490586,0.003519362
DCTPP1,0.244767413,0.001437501
LRG1,0.244164475,0.010028907
PGP,0.244099562,0.000286351
ABAT,0.243482294,0.001959755
RANBP1,0.243467865,0.000380947
IL36RN,0.242554024,0.00190045
MTPN,0.241815795,0.007848974
ADA,0.241767067,0.000908813
ENOPH1,0.241618936,0.002163948
ACADL,0.241326366,0.002589858
MAT2A,0.241316473,0.000512299
GNS,0.241126153,0.001713526
NPC2,0.24050668,0.007079794
MRI1,0.240403925,0.000479342
QPRT,0.240240959,0.020128597
TSTD1,0.239962204,0.000511707
DNASE2,0.239950858,0.000745757
MPI,0.239739627,0.000530608
XYLB,0.239260746,0.022192296
