Genes,log2FC(S2/P1),q value
LMNA,-4.926046913,6.77389E-06
MB,4.895731091,3.79257E-05
PGK1,2.500054276,3.79257E-05
FASN,2.316132779,3.79257E-05
NME2,4.106374842,3.79257E-05
ATP5PB,-3.350958019,3.79257E-05
CHCHD3,-2.738896533,3.79257E-05
IL1RN,3.769728231,3.85475E-05
FKBP1A,3.135223203,3.85475E-05
RPL5,-3.29010593,3.85475E-05
CSTA,3.329719712,3.85475E-05
UBE2K,2.563853712,3.85475E-05
FABP5,4.462229163,3.85475E-05
ECHS1,-3.131342376,3.85475E-05
PTBP3,-2.454835481,3.85475E-05
ATAD3,-2.548772404,3.85475E-05
TNXB,-2.115655084,3.8701E-05
UTRN,-1.748459594,3.8701E-05
PMM1,1.412502208,3.8701E-05
IKBKG,-1.829020241,3.8701E-05
GPI,3.292638757,3.8701E-05
LMNB1,-3.854177788,3.8701E-05
GSTM2,4.640152634,3.8701E-05
CA3,4.344618049,3.8701E-05
IMPDH2,2.127152061,3.8701E-05
ADH5,2.794260191,3.8701E-05
H1-4,-6.736599128,3.8701E-05
PPM1A,1.299756361,3.8701E-05
PSMA2,-2.233111536,3.8701E-05
IDI1,2.973248742,3.8701E-05
VBP1,1.993888361,3.8701E-05
PSMC6,1.048660763,3.8701E-05
PPP2CB,1.440402817,3.8701E-05
SERPINA6,2.905909165,3.8701E-05
NPEPPS,2.426536441,3.8701E-05
BCAP31,-2.387271851,3.8701E-05
CDK13,6.02161143,3.8701E-05
NOMO1,-3.960492305,3.8701E-05
PCP4L1,2.549707061,3.8701E-05
APOOL,-2.937152811,3.8701E-05
GVIN1,4.820229549,3.8701E-05
VPS26B,-4.154823885,3.8701E-05
SCAMP1,-1.497671037,3.8701E-05
NAE1,2.058946115,3.8701E-05
HRNR,-6.795388967,3.8701E-05
IMPA2,2.614127737,3.8701E-05
PPA2,1.703616428,3.8701E-05
USP14,1.696617931,3.8701E-05
PKM,2.735726046,3.94033E-05
H2BC8;H2BC9,-8.357461915,3.94033E-05
IMMT,-2.479673587,3.94033E-05
ACAT2,3.164581791,3.94033E-05
PABPN1,-1.89134374,3.94033E-05
HNRNPUL1,-1.537347723,3.94033E-05
MTCO2,-2.567131772,4.23316E-05
HSD17B8,-3.247203706,4.44979E-05
YWHAZ,1.882898711,4.44979E-05
HINT1,3.359857459,4.44979E-05
MIA3,-2.012683948,4.44979E-05
HMGCS1,2.541043591,4.44979E-05
CMBL,4.501829475,4.44979E-05
PTRH2,-1.870205182,4.44979E-05
FDPS,2.650648736,4.44979E-05
GPS1,2.562808448,4.44979E-05
UCHL3,2.966972959,4.44979E-05
NT5C,3.450090387,4.44979E-05
MAP7D1,-1.074375992,4.64731E-05
ADSS2,2.17467539,4.64731E-05
ADSL,2.383192346,4.64731E-05
ACTB;ACTG1,2.787789636,4.64731E-05
NLN,2.174376947,4.64731E-05
RPN1,-1.794471319,4.64731E-05
TALDO1,2.542998532,4.64731E-05
SELENOO,1.706490153,4.64731E-05
DST,-5.861842143,4.79287E-05
MPI,3.248521203,4.89951E-05
SYPL1,1.740920881,4.99615E-05
TOM1,1.412878715,4.99615E-05
FLG2,-3.242179958,4.99615E-05
FLOT2,-1.526343349,4.99615E-05
TPI1,3.107046307,5.22317E-05
RBMXL1,-3.353155231,5.22317E-05
TREX2,-3.544087481,5.22317E-05
NFIB,-1.552790805,5.25726E-05
HEBP2,2.672600251,5.25726E-05
CES2G,2.916146828,5.36718E-05
PRMT1,2.031557529,5.45941E-05
GAPDH,2.53094316,5.51817E-05
ADH7,3.311154398,5.68611E-05
RDH13,-2.403960278,5.75344E-05
ACO1,2.018848127,5.7902E-05
H1-5,-6.430755816,5.7902E-05
GBE1,3.052147239,5.86606E-05
COL6A3,-3.420694576,5.92915E-05
NEFL,-4.491590668,5.92915E-05
APOD,4.120750203,6.04011E-05
ARF4,2.931112101,6.04011E-05
G6PDX,2.574160919,6.04011E-05
KRT2,-5.701320265,6.04011E-05
ITGA6,-3.606707554,6.04011E-05
ALDH1A2,2.218005325,6.04011E-05
AFG3L2,-2.507712745,6.04011E-05
CRYL1,3.110430516,6.04011E-05
COL6A1,-1.701934153,6.11092E-05
CASP14,1.513757951,6.15112E-05
SULT1A1,2.346400359,6.15112E-05
CKAP4,-2.854625308,6.15112E-05
PRKAR1A,1.708817295,6.15112E-05
PAFAH1B2,5.325524396,6.20158E-05
ATIC,2.900716079,6.20158E-05
DHDH,2.710559313,6.20158E-05
H2AZ1;H2AZ2,-4.650721211,6.27061E-05
CP,3.730370137,6.27061E-05
TRNT1,1.470669351,6.27061E-05
SHMT1,2.637491658,6.33021E-05
ASL,2.373604848,6.33021E-05
RPL22L1,-4.198402035,6.33021E-05
ENO1,3.004507781,6.42294E-05
RPL34,-3.593183574,6.43831E-05
GMPS,1.15437796,6.45264E-05
RPS14,-3.50893625,6.48961E-05
TTR,2.8428793,6.57892E-05
HIP1R,-2.112854597,6.57892E-05
H2-Q10,3.009416018,6.77711E-05
GAMT,2.507574226,6.8314E-05
PRDX6,4.180068138,6.84273E-05
CMA1,-4.372872543,6.84273E-05
NEDD8,1.882106828,6.84273E-05
RAD23B,3.752822164,6.84273E-05
YWHAE,1.904972167,6.84273E-05
MAT2A,2.487621551,6.84273E-05
SLMAP,-1.502099021,6.84273E-05
SPTBN1,-1.969652967,6.84273E-05
PGM2,2.979444818,6.84273E-05
GSPT1,1.673884532,6.84273E-05
PSIP1,-2.528430899,6.84273E-05
KRT34,-4.276271123,6.84273E-05
RBP7,2.183998311,6.84273E-05
TRIM2,-2.456239436,6.84273E-05
RRBP1,-2.61272505,7.0188E-05
NT5C3B,1.394576928,7.08874E-05
LDHA,3.089182357,7.11259E-05
SOD2,2.133602465,7.11259E-05
H2AX,-5.732974619,7.11259E-05
PAFAH1B1,1.870868657,7.11259E-05
PHB1,-2.773112932,7.11259E-05
HSPG2,-3.017533675,7.11259E-05
TGM3,-1.825060509,7.11259E-05
TSN,3.46300783,7.11259E-05
GMDS,2.134776435,7.11259E-05
LIMA1,-1.502316688,7.11259E-05
PLEC,-2.455338574,7.11259E-05
SERPINH1,-1.976683484,7.17085E-05
PEA15,3.438183901,7.17085E-05
ALDH3A1,3.697719473,7.29268E-05
IPO5,2.291396324,7.36475E-05
PGD,3.359705621,7.37795E-05
COPS3,1.343287208,7.40248E-05
GSTM1,3.440923405,7.40248E-05
NUP85,4.482797272,7.47933E-05
OPLAH,2.066377752,7.56818E-05
AARS1,2.279226595,7.61454E-05
SCRN1,2.428006269,7.67625E-05
H1-2,-6.816883705,7.72759E-05
ADPRS,2.621136722,7.76196E-05
UBA1,2.028814158,7.81997E-05
UGT1A7,-2.216485901,7.81997E-05
SGPP1,-2.202590357,7.81997E-05
PREP,3.166031587,7.81997E-05
ME1,2.511369573,7.82677E-05
H1-0,-6.304774603,7.82677E-05
DNAJA1,-1.591558665,7.82677E-05
SPR,2.397670909,7.82677E-05
GALM,2.829333705,7.82677E-05
DSG1A,-2.572923494,7.92614E-05
CKB,3.368639211,7.96763E-05
PAPSS2,1.432997106,8.02771E-05
GPX4,-2.094534783,8.36325E-05
MARCKS,2.997541607,8.4475E-05
ELOB,1.576603735,8.4475E-05
IPO7,1.809759281,8.63637E-05
COL6A2,-3.445641379,8.6446E-05
HSPA4,2.164443915,8.6446E-05
PSMD2,1.720362556,8.6446E-05
MRPS5,3.106351487,8.6446E-05
SSBP1,-2.046367457,8.6446E-05
MDH1,2.862384404,8.68084E-05
CA13,3.699035836,8.68084E-05
PFN2,2.092889115,8.68084E-05
NUDT5,2.538903591,8.80342E-05
PMM2,2.675068968,8.80342E-05
S100A10,2.438452541,8.93095E-05
NDUFA13,-3.395516119,9.02213E-05
SF3A1,-2.480515252,9.10656E-05
EIF6,1.457541881,9.15278E-05
ESYT1,-1.478120716,9.15278E-05
DDX3X,-2.421749559,9.15278E-05
CALM4,4.117002766,9.15278E-05
FBL,-4.679209255,9.21417E-05
USP5,2.273401555,9.21417E-05
GM94,2.580804041,9.21417E-05
RALY,-3.895444429,9.21417E-05
PHB2,-1.948385316,9.22891E-05
VIM,-2.737583944,9.22891E-05
PPP2R2A,1.927200167,9.22891E-05
FYCO1,-3.927381286,9.22891E-05
RPS10,-3.562562961,9.26035E-05
IVL,2.193164394,9.37483E-05
ATP6V1D,1.040439408,9.37483E-05
HSP90B1,-1.043836159,9.49642E-05
LARP7,-2.371725897,9.49642E-05
NDRG2,2.2880445,9.51497E-05
PFDN2,2.209552755,9.57086E-05
KRT10,-4.937083962,9.57086E-05
PSMB1,-2.661297082,9.69317E-05
NEFM,-2.315952023,9.92152E-05
RBM22,-1.661481585,9.92152E-05
DOHH,2.99601303,9.92152E-05
JPT1,2.556677733,0.000100218
AKR1A1,2.683310979,0.000100637
PSMC1,0.73064477,0.000101796
PPP2R1A,1.428959132,0.000101796
DNM1L,0.691859766,0.000101796
GMPPA,1.967428752,0.000101796
RALB,2.453676379,0.000101796
RPS12,-4.127762632,0.000102048
PPIA,2.296978999,0.000104016
VMP1,-2.194700801,0.000104016
GDI1,2.440929231,0.000104361
PAPSS1,1.753053405,0.000104361
KNG1,2.506346979,0.000104977
SH3BGRL3,2.153053504,0.000104977
PSMD9,1.673351222,0.000106977
PDLIM4,-1.300528927,0.000109891
DCPS,2.72369775,0.000110506
SRPK1,-3.094234297,0.000112526
RPS6,-3.177380864,0.000112526
LOXL1,-2.592176585,0.000112526
PCYT2,1.522337895,0.000112526
PGM1,2.646897858,0.000112526
CRIP2,2.78026645,0.000112526
FLG,-2.393591412,0.00011306
SERPINB12,2.103752497,0.000114962
DPP3,2.473221664,0.00011547
CARS1,1.155905731,0.00011547
HSPB1,2.364463005,0.000116012
TOR1AIP1,-2.841463319,0.000116012
NENF,2.452353673,0.000116012
HNRNPU,-2.837423114,0.000119706
GSTA3,1.95468907,0.000119852
RPL23,-3.859311073,0.000120202
SPAG7,-1.262454571,0.000120202
ISOC1,2.835977923,0.000120202
PHPT1,2.677863376,0.000120202
PRPF19,-1.98445376,0.00012028
NUMA1,-2.186109133,0.000121697
CLIC4,2.102396354,0.000123689
ENSA,1.855289471,0.000123795
CRIP1,3.873556574,0.000123795
KRT9,-6.867022769,0.000123795
COASY,1.258922749,0.000123795
DSC1,-1.464840844,0.000123816
