"","HGNC.symbol","MGI.symbol","type"
"1","A1BG","A1bg","defense/immunity"
"2","A2M","A2m","protein-binding activity modulator"
"3","A4GALT","A4galt","metabolite interconversion enzyme"
"4","AADAT","Aadat","metabolite interconversion enzyme"
"5","AANAT","Aanat","metabolite interconversion enzyme"
"6","AASS","Aass","metabolite interconversion enzyme"
"7","ABAT","Abat","metabolite interconversion enzyme"
"8","ABCA1","Abca1","transporter"
"9","ABCA12","Abca12","transporter"
"10","ABCB1","Abcb1b","transporter"
"11","ABCB1","Abcb1a","transporter"
"12","ABCB11","Abcb11","transporter"
"13","ABCC1","Abcc1","transporter"
"14","ABCC2","Abcc2","transporter"
"15","ABCC3","Abcc3","transporter"
"16","ABCC4","Abcc4","transporter"
"17","ABCG1","Abcg1","transporter"
"18","ABCG2","Abcg3","transporter"
"19","ABHD12","Abhd12","protein modifying enzyme"
"20","ABHD16A","Abhd16a","protein modifying enzyme"
"21","ABHD6","Abhd6","metabolite interconversion enzyme"
"22","ACACA","Acaca","unclassified"
"23","ACACB","Acacb","unclassified"
"24","ACADS","Acads","metabolite interconversion enzyme"
"25","ACAN","Acan","extracellular matrix"
"26","ACE","Ace","protein modifying enzyme"
"27","ACE2","Ace2","protein modifying enzyme"
"28","ACER1","Acer1","unclassified"
"29","ACER2","Acer2","unclassified"
"30","ACER3","Acer3","unclassified"
"31","ACHE","Ache","metabolite interconversion enzyme"
"32","ACKR1","Ackr1","other transmembrane signal receptor"
"33","ACKR2","Ackr2","cell adhesion"
"34","ACKR3","Ackr3","cell adhesion"
"35","ACKR4","Ackr4","cell adhesion"
"36","ACLY","Acly","metabolite interconversion enzyme"
"37","ACOT1","Acot1","metabolite interconversion enzyme"
"38","ACOT1","Gm49366","metabolite interconversion enzyme"
"39","ACOT1","Acot5","metabolite interconversion enzyme"
"40","ACOT1","Acot2","metabolite interconversion enzyme"
"41","ACOT1","Acot3","metabolite interconversion enzyme"
"42","ACOT12","Acot12","metabolite interconversion enzyme"
"43","ACOT2","Acot5","metabolite interconversion enzyme"
"44","ACOT2","Acot1","metabolite interconversion enzyme"
"45","ACOT2","Acot3","metabolite interconversion enzyme"
"46","ACOT2","Acot2","metabolite interconversion enzyme"
"47","ACOT2","Gm49366","metabolite interconversion enzyme"
"48","ACOT4","Acot4","metabolite interconversion enzyme"
"49","ACOT7","Acot7","metabolite interconversion enzyme"
"50","ACOX1","Acox1","metabolite interconversion enzyme"
"51","ACOX3","Acox3","metabolite interconversion enzyme"
"52","ACP1","Acp1","protein modifying enzyme"
"53","ACP2","Acp2","metabolite interconversion enzyme"
"54","ACP3","Acpp","metabolite interconversion enzyme"
"55","ACP4","Acp4","metabolite interconversion enzyme"
"56","ACP5","Acp5","metabolite interconversion enzyme"
"57","ACP6","Acp6","metabolite interconversion enzyme"
"58","ACSL1","Acsl1","metabolite interconversion enzyme"
"59","ACSL4","Acsl4","metabolite interconversion enzyme"
"60","ACSS1","Acss1","metabolite interconversion enzyme"
"61","ACSS2","Acss2","metabolite interconversion enzyme"
"62","ACTR2","Actr2","cytoskeletal"
"63","ACVR1","Acvr1","serine/threonine protein kinase receptor"
"64","ACVR1B","Acvr1b","serine/threonine protein kinase receptor"
"65","ACVR1C","Acvr1c","serine/threonine protein kinase receptor"
"66","ACVR2A","Acvr2a","serine/threonine protein kinase receptor"
"67","ACVR2B","Acvr2b","serine/threonine protein kinase receptor"
"68","ACVRL1","Acvrl1","serine/threonine protein kinase receptor"
"69","ACY1","Acy1","unclassified"
"70","ACY3","Acy3","unclassified"
"71","ACYP2","Acyp2","metabolite interconversion enzyme"
"72","ADA","Ada","metabolite interconversion enzyme"
"73","ADAM10","Adam10","protein modifying enzyme"
"74","ADAM11","Adam11","protein modifying enzyme"
"75","ADAM12","Adam12","protein modifying enzyme"
"76","ADAM15","Adam15","protein modifying enzyme"
"77","ADAM17","Adam17","protein modifying enzyme"
"78","ADAM2","Adam2","protein modifying enzyme"
"79","ADAM20","Adam39","protein modifying enzyme"
"80","ADAM20","Adam25","protein modifying enzyme"
