"","X881_dLSC_f1_5.27.2024.d","X882_dLSC_m1_5.27.2024.d","X883_dLSC_m2_5.27.2024.d","X884_dLSC_f3_5.27.2024.d","X885_dLSC_f2_5.27.2024.d","X886_dLSC_m3_5.27.2024.d","X889_LDRG_898_5.28.2024.d","X890_LDRG_1248_5.28.2024.d","X891_LDRG_1095_5.28.2024.d","X892_LDRG_1236_5.28.2024.d","X893_LDRG_1094_5.28.2024.d","X894_LDRG_1249_5.28.2024.d","X896_paw_pool_5.28.2024.d","X897_paw_f_5.28.2024.d","X898_paw_m_5.28.2024.d","X901_SCN_IIa2_5.28.2024.d","X902_SCN_IIa3_5.28.2024.d","X903_SCN_IIb2_5.28.2024.d","X904_SCN_IIb3_5.28.2024.d","X905_SCN_IIa4_5.28.2024.d","X906_SCN_IIb1_5.28.2024.d","GeneID"
"A1bg",NA,NA,NA,NA,NA,NA,15.4548742036985,16.7678582946477,NA,NA,NA,15.6645178592098,13.6953633735924,14.9392908416079,NA,14.4927964068561,NA,17.8260637697471,17.8973190182404,14.7578099591885,17.0398977347693,"A1bg"
"A2m",14.7793480323985,14.6046075404983,14.6421114223583,14.8582138557632,14.6444543384316,14.6791764170766,14.5588632976735,14.3987851955402,14.5070152740769,15.1840883823345,14.158183201037,14.6221078006134,NA,NA,NA,14.8279516488751,14.8946122366088,14.5376707039653,14.5519579963712,14.4491353915858,14.7523016087446,"A2m"
"A2m;Pzp",15.5519515337019,15.7343100509769,15.820056771025,15.5500433000623,15.6206837689224,NA,14.9934905201388,16.0992961132471,15.3713981560502,15.3708244583693,15.2732450336912,15.8268549646216,NA,NA,NA,14.7773447862266,15.5648442771491,16.4517697072978,16.15021012721,15.4065244859296,15.556008442343,"A2m;Pzp"
"A4galt",NA,NA,NA,NA,NA,NA,13.6909254671658,13.8786186983022,13.5009712371551,13.6200640720295,13.542524995486,13.4497909170495,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4galt"
"Aaas",14.1720107725997,14.4333422214367,14.0593255227925,14.1908340512264,14.3796345052888,14.4403937355368,14.4721558527535,14.372819777981,14.1727001947419,13.9047248258579,14.2234218070286,14.1018863694319,14.089045150355,14.1534391235784,14.0260285611458,13.4409567671587,13.3432606553449,13.3637364769849,13.2037950494067,13.4271899780192,13.2275503794665,"Aaas"
"Aacs",15.7164871558427,15.738590453472,15.8427811852589,15.7671983771043,15.7252454281914,15.7402184186823,16.5844950216771,16.6141955939717,16.7495342794536,16.5732370126249,16.6911309060919,16.6974451253467,16.2160222530905,16.2873338538201,16.0998438847552,16.7896784943163,16.859613300672,16.9703867900962,16.9503090996356,16.8998206316526,17.0230919211943,"Aacs"
"Aadac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.953790020273,14.6835416285198,15.1971283652733,NA,NA,NA,NA,NA,NA,"Aadac"
"Aadacl3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5643675000862,13.6100734603408,13.4367496361738,NA,NA,NA,NA,NA,NA,"Aadacl3"
"Aagab",NA,14.0948529424196,13.6426384020075,14.523414934805,14.2581243249389,14.3080403340405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aagab"
"Aak1",18.0896936350582,18.1433635228938,17.9998733111915,18.1194516194486,17.9865303908229,18.1187017603711,16.8354207379001,16.6916333952618,16.8508044227531,16.7312010288615,16.9279156139785,16.7759346822139,15.1260171461866,15.200614661425,15.1661693175174,17.0614273959968,16.814556256241,16.9761223143201,16.9296478975896,16.8786229652438,17.1416444349985,"Aak1"
"Aak1;Bmp2k",16.6918460739494,16.9734598396744,16.8231035143094,16.5538408444316,16.4329033579638,16.8132969981244,15.0316934095129,15.3778701298539,14.9604496385234,15.0792244873108,15.3539944837639,15.3915640257684,NA,NA,NA,14.0397073191633,14.5847981218048,14.5220481454957,14.2926882999545,14.4982945048021,14.9493023803732,"Aak1;Bmp2k"
"Aamdc",17.3678684904446,16.9082436897278,16.6790791021159,16.8308272657051,17.1174689058991,16.7480750242463,15.4608068907375,15.6861828021942,15.4936504531117,15.6065023472694,15.5954766347297,15.7066256060355,13.8722477918315,13.7916272626932,13.8575669770823,16.6364818208206,16.6590135607856,16.8070859338853,16.8121932177993,16.667277014686,16.8663890778465,"Aamdc"
"Aar2",13.0253314030417,13.1115896443452,13.152923101421,13.2629710614076,13.1586861247294,13.1983880461985,13.309087406142,13.2751817746577,13.301339313373,13.4600121839992,13.4122279428749,13.0664610459626,13.185528811815,13.4251921196198,13.4780150782064,12.7724011825165,12.9649617140339,12.7596364800378,13.0317873415015,12.6907575442405,12.661811493104,"Aar2"
"Aars1",18.2542980486642,18.2537352168497,18.2876076599836,18.2490359503206,18.3024447041011,18.296104945335,17.8505546966621,17.6919579701476,17.8547280365844,17.9368220767379,17.8497422487531,17.8552527857829,17.1856214487166,17.0475619562014,17.2724489839208,17.9394733853271,17.9551780839515,17.9400436917936,17.8556726427661,17.9323720138379,17.9241874456187,"Aars1"
"Aars2",18.8460316294446,18.9333855285973,18.9442486201628,18.9651343859322,18.7685728873069,18.8538612664343,16.2554110506038,16.2390435013815,16.0101576944218,16.0267268444639,15.8200075164895,16.1722068355712,14.8747648997942,15.1280237583752,14.9787827122439,12.6588920492884,12.1079199402377,12.2153206446458,12.2547924301929,11.6277208208336,12.2023320075841,"Aars2"
"Aarsd1",16.1052579230228,16.1622385058109,16.1436226570997,16.105457353437,16.0864245628878,16.1329230125707,15.6930523144552,15.7194034408837,15.5776402985407,15.554330620089,15.6558105840462,15.7678321282758,15.2839962552503,14.9814736495084,15.4079315092107,14.9070903701491,15.1872142859966,15.2229219811988,15.0643974250219,15.0773213378992,15.1134714143793,"Aarsd1"
"Aasdhppt",13.3764076886071,13.6294446010738,13.8950546235535,13.5665290750708,13.607739095722,13.5745958545684,12.1877188429253,13.1811613510347,13.189917105169,13.1281255992851,13.2083962263802,12.986904036252,NA,NA,NA,12.7097063461293,12.8493630989484,12.7332496848604,12.5891059917503,12.577469272499,12.2472487921093,"Aasdhppt"
"Aass",14.7053333157029,14.7873252541934,14.6632425290851,14.6169990925065,14.6576724096852,14.8237279110167,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5831438626749,14.4636528562997,14.5005022654907,14.3817189554617,14.7332694799975,14.7342279895718,"Aass"
"Aatf",12.479264407832,12.3954552967718,12.5950962995355,12.4636346182404,12.2603359995509,12.1273841788677,12.8871854261152,12.9942404206136,12.9215958103579,13.2384044208991,13.3420873220908,13.0614364601383,14.8350897463677,14.7108873210229,14.9111956689913,NA,NA,NA,NA,NA,NA,"Aatf"
