"","gs","gene","symbol"
"ENSMUSG00000046334","NP","ENSMUSG00000046334","Gm6195"
"ENSMUSG00000025937","NP","ENSMUSG00000025937","Lactb2"
"ENSMUSG00000025930","NP","ENSMUSG00000025930","Msc"
"ENSMUSG00000032769","NP","ENSMUSG00000032769","Trpa1"
"ENSMUSG00000043716","NP","ENSMUSG00000043716","Rpl7"
"ENSMUSG00000042215","NP","ENSMUSG00000042215","Bag2"
"ENSMUSG00000026127","NP","ENSMUSG00000026127","Imp4"
"ENSMUSG00000026123","NP","ENSMUSG00000026123","Plekhb2"
"ENSMUSG00000045216","NP","ENSMUSG00000045216","Hs6st1"
"ENSMUSG00000037470","NP","ENSMUSG00000037470","Uggt1"
"ENSMUSG00000026121","NP","ENSMUSG00000026121","Sema4c"
"ENSMUSG00000046337","NP","ENSMUSG00000046337","Fam178b"
"ENSMUSG00000037351","NP","ENSMUSG00000037351","Actr1b"
"ENSMUSG00000026113","NP","ENSMUSG00000026113","Inpp4a"
"ENSMUSG00000026111","NP","ENSMUSG00000026111","Unc50"
"ENSMUSG00000026077","NP","ENSMUSG00000026077","Npas2"
"ENSMUSG00000041945","NP","ENSMUSG00000041945","Mfsd9"
"ENSMUSG00000079588","NP","ENSMUSG00000079588","Tmem182"
"ENSMUSG00000070939","NP","ENSMUSG00000070939","Tgfbrap1"
"ENSMUSG00000010290","NP","ENSMUSG00000010290","AI597479"
"ENSMUSG00000073676","NP","ENSMUSG00000073676","Hspe1"
"ENSMUSG00000038349","NP","ENSMUSG00000038349","Plcl1"
"ENSMUSG00000049439","NP","ENSMUSG00000049439","Cyp20a1"
"ENSMUSG00000080800","NP","ENSMUSG00000080800","Gm11582"
"ENSMUSG00000025967","NP","ENSMUSG00000025967","Eef1b2"
"ENSMUSG00000045005","NP","ENSMUSG00000045005","Fzd5"
"ENSMUSG00000025950","NP","ENSMUSG00000025950","Idh1"
"ENSMUSG00000026192","NP","ENSMUSG00000026192","Atic"
"ENSMUSG00000039372","NP","ENSMUSG00000039372","Marchf4"
"ENSMUSG00000046330","NP","ENSMUSG00000046330","Rpl37a"
"ENSMUSG00000033159","NP","ENSMUSG00000033159","Cnppd1"
"ENSMUSG00000026197","NP","ENSMUSG00000026197","Zfand2b"
"ENSMUSG00000033124","NP","ENSMUSG00000033124","Atg9a"
"ENSMUSG00000026238","NP","ENSMUSG00000026238","Ptma"
"ENSMUSG00000026239","NP","ENSMUSG00000026239","Pde6d"
"ENSMUSG00000026289","NP","ENSMUSG00000026289","Atg16l1"
"ENSMUSG00000026309","NP","ENSMUSG00000026309","Ilkap"
