"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005681","GO:0005681","spliceosomal complex","116/3896","162/9913",4.65741648846755e-17,1.73665693489485e-14,1.22760228974511e-14,"Upf1/Hnrnpk/Ncl/Ddx5/Srrm2/Rheb/Hspa8/Sf3b1/Hnrnpa3/Pabpc1/Hnrnpa2b1/Snrpd2/Syncrip/Hnrnpu/Snrpd3/Rbm17/Sart1/Hnrnpa1/Sf1/Hnrnpm/Dhx15/Srrm1/Myef2/Hnrnpc/Sf3a1/Sf3b3/Prpf4/Snrpa/Cdc5l/Htatsf1/Prpf31/Wbp11/Prpf40a/Ptbp2/Snrpa1/Snrnp200/Pnn/Hnrnpf/U2af2/Api5/Snw1/Raly/Rbmx/Rbm22/Snrpe/Isy1/Prpf8/Ddx39b/Wac/Prpf4b/Prpf40b/Cwc15/Srsf2/Hnrnph1/Zmat2/Rbm28/Snrnp70/Eftud2/Adar/Alyref/Bcas2/Casc3/Cdc40/Cirbp/Cwc25/Cwc27/Cwf19l2/Ddx41/Dhx32/Dnajc17/Eif4a3/Frg1/Gpkow/Khdc4/Lsm4/Lsm7/Luc7l/Luc7l3/Magoh/Mfap1a/Phf5a/Plrg1/Ppil2/Ppil3/Ppp1r8/Ppwd1/Prkrip1/Prpf18/Prpf19/Prpf38a/Prpf38b/Rbm3/Rbm5/Rbmx2/Rbmxl1/Sf3a2/Sf3a3/Sf3b6/Slu7/Smndc1/Snrnp40/Snrnp48/Snrpb/Snrpb2/Snrpd1/Srek1/Sugp1/Tfip11/Tra2b/Ttf2/Txnl4a/U2af1/Wbp4/Ybx1/Yju2/Zcchc8",116
"GO:0035770","GO:0035770","ribonucleoprotein granule","128/3896","184/9913",5.07053119677329e-17,1.73665693489485e-14,1.22760228974511e-14,"Hnrnpk/Psmc3/Ncl/Mapt/Atxn2l/Ddx3x/Grsf1/Trim25/Rps6/Edc3/Hnrnpa3/Ddx6/Larp1/Pabpc1/Rpl6/Hnrnpa2b1/Dhx9/Pcbp1/Hnrnpl/G3bp1/Dync1i1/Habp4/Atxn2/Hnrnpu/Ythdf1/Vcp/Ckap5/Tnrc6b/Kif5a/Tdrd7/Fxr1/Gigyf2/Edc4/Ddx1/Eif4e/Ddx19a/Rplp0/Nufip2/Rock2/Sqstm1/Rac1/G3bp2/Sarnp/Fxr2/Mbnl1/Kpnb1/Tuba1a/Caprin1/Psmc2/Stau1/Ythdf3/Patl1/Stau2/Poldip3/Larp4b/Khsrp/Psma4/Actb/Elavl1/Tubb5/Cnot3/Cnot2/Rptor/Eif4enif1/Larp4/Rpl28/Cnot8/Tnrc6a/Polr2d/Celf1/Ddx3y/Psma2/Carhsp1/Cdc42/Xrn1/Dhx36/Psma6/Ythdc2/Cdk9/Top1/Ago3/Chtop/Cirbp/Cnot1/Dcp1a/Dcp1b/Dcp2/Dcps/Dhx30/Dis3l2/Eif2s1/Eif4e2/Fmr1/Helz/Hsf1/Htt/Ina/Lsm14a/Lsm4/Mcrip1/Ogfod1/Pan2/Pan3/Poli/Pum1/Pum2/Rbfox1/Rc3h1/Rc3h2/Samd4b/Serpinb1a/Serpinb1b/Smn1/Snrpb2/Sumo1/Sympk/Syne1/Tbrg4/Tdrd6/Tdrkh/Tial1/Tnrc6c/Tut4/Upf2/Ybx1/Ythdf2/Zc3h12c/Znfx1",128
"GO:0016604","GO:0016604","nuclear body","267/3896","483/9913",2.5086996949458e-13,4.29614822759468e-11,3.03684699914491e-11,"Tardbp/Mapt/Mtdh/Atxn2l/Rbm14/Sart3/Srrm2/Ptpn23/Pcnp/Afdn/Add1/Trim25/Nono/Ranbp9/Park7/Sf3b1/Npm1/Son/Hnrnpa2b1/Dgkz/Sfpq/Usp15/Bclaf1/Dhx9/Pcbp1/Thrap3/Habp4/Hnrnpu/Rufy1/Ube2o/Mindy1/Snrpd3/Dennd1b/Ddx1/Sugp2/Rbm25/Sart1/Nufip2/Sf1/Atrx/Rbm10/Ddx42/Sqstm1/Hnrnpm/Dhx15/Srrm1/Nup98/Retreg1/Sarnp/Rpn2/Acin1/Ddx46/Nudt21/Safb2/Pacsin2/Rpa1/Myh9/Sf3a1/Dkc1/Rbbp6/Rbm39/Sltm/Srpk2/Tdp2/Cstf2/Prpf4/Nelfe/Cdc5l/Poldip3/Coil/Pspc1/Ncor2/Prpf31/Nop58/Trip12/Ppp4r3a/Wbp11/Prpf40a/Snrpa1/Ewsr1/Nr3c1/Ppig/Pnn/Ylpm1/Ppp1r10/U2af2/Api5/Snw1/Gemin5/Hdac4/Ubxn7/Gtf2b/Eif3e/Fbl/Ncoa2/Polr2d/Ndufs3/Hmbox1/Lmna/Champ1/Ncbp3/Ddx39b/Toe1/Cpsf6/Zc3h14/Pml/Baz2a/Zc3h18/Prpf4b/Epb41/Hcfc2/Ddx17/Fnbp4/Carmil1/Cwc15/Srsf2/Dhx36/Sumo2/Snrnp70/Cdk9/Eftud2/Srsf3/Ep400/Srsf7/Aagab/Adar/Agap3/Akap8l/Ap5z1/Ar/Atf7ip/Atr/Babam1/Basp1/Bcas2/Becn1/Blm/Bnip3l/Cacnb4/Cbll1/Cd2bp2/Cdc40/Cdk12/Cdk13/Chtop/Cir1/Cops4/Crebbp/Crtc1/Csnk1a1/Cwc25/Dgcr8/Dgkq/Drg1/Eef1akmt2/Ehmt1/Eif2d/Fam193b/Fbll1/Fmr1/Fto/Fyttd1/Grcc10/Gtf2e2/Hdac5/Heatr5b/Hectd1/Hipk2/Hsf1/Ice1/Ice2/Ighmbp2/Ilrun/Ints7/Itgb1bp1/Itpkc/Kazn/Kif2a/Lage3/Lrch4/Lsg1/Lsm11/Luc7l3/Lyrm4/Mapk14/Mapk9/Max/Mdc1/Mettl3/Msl1/Mtor/N4bp1/Naa15/Nampt/Nbn/Nelfa/Nolc1/Nup43/Nxf1/Ogg1/Parp1/Phf5a/Pias2/Plcb1/Plrg1/Poli/Polr3g/Ppih/Ppp1r8/Ppp4r3b/Ppwd1/Prkaa1/Prkaca/Prpf19/Psmb7/Rbm11/Rbm15/Ring1/Rnf2/Sbf1/Scn1a/Scnm1/Sde2/Setd1a/Sf3a2/Sf3a3/Sh3bgrl3/Slu7/Smn1/Snrnp40/Snrpb2/Snrpc/Srek1/Srp19/Srpk1/Srrt/Srsf10/Srsf4/Srsf5/Srsf9/Ss18l1/Sumo1/Sympk/Tab1/Tarbp2/Tcf20/Tepsin/Tfip11/Thoc1/Thoc7/Tollip/Topbp1/Tpp2/Trip4/U2af1/Unc45a/Virma/Vps72/Wbp4/Wrap53/Wtap/Ythdc1/Zcchc8/Zfhx3/Zmym2/Zpr1/Zwint",267
"GO:0043209","GO:0043209","myelin sheath","124/3896","192/9913",8.06169901946144e-13,1.10445276566622e-10,7.80711905042582e-11,"Nefl/Uqcrc2/Atp1a1/Atp6v1a/Rtn4/Cox5b/Sdha/Eef1a2/Napg/Dnm1/Slc25a5/Syn1/Snap25/Hspa8/Tagln3/Nefm/Stip1/Tcp1/Sirt2/Pacsin1/Atp6v1b2/Plec/Calm1/Nsf/Exoc4/Cct2/Vcp/Nefh/Eno2/Dpysl2/Slc25a4/Ehd3/Cct5/Atp1a3/Ncam1/Eef1a1/Uchl1/Gdi1/Stxbp1/Dlst/Cycs/Dlat/Mdh1/Tppp/Canx/Slc25a3/Pgam1/Cct3/Ckb/Itgb1/Anxa2/Pebp1/Tuba1a/Pdha1/Ass1/Tubb4a/Glul/Idh3a/Plp1/Gapdh/Septin4/Actb/Wdr1/Ndufs1/Ndufv2/Got2/Hsp90aa1/Arf6/Aco2/Tubb4b/Aldoa/Myh14/Atp1b1/Cltc/Pkm/Ndufs3/Vdac2/Pals1/Vdac1/Eno1/Ywhag/Cdc42/Hspd1/Ldhb/Mdh2/Phb/Immt/Actr1a/Atp5pb/Cnrip1/Cntn1/Cntnap1/Cox5a/Dld/Gdi2/Gjc3/Gnao1/Gnb1/Gnb5/Hspa2/Ina/Mpdz/Myo1d/Napa/Napb/Ndufa10/Nme1/Nme2/Pdcd6ip/Pitpna/Plcb1/Prdx3/Prxl2b/Pten/Rala/Rap1a/Rdx/Rps27a/Slc25a12/Sod1/Sucla2/Syn2/Uqcrc1/Uqcrfs1",124
"GO:0005874","GO:0005874","microtubule","186/3896","319/9913",2.51341477312164e-12,2.86948186598054e-10,2.02836981690519e-10,"Map6/Map1a/Mapt/Synj1/Dync1li2/Nudc/Dnm1l/Dnm3/Map7/Dync1li1/Chmp4b/Chmp2b/Cct8/Klc1/Map1b/Tppp3/Dync1i2/Dctn2/Emd/Eml1/Wdr44/Dctn1/Gsk3b/Dnm1/Tbcb/Cyld/Igbp1/Cep170/Hspa8/Camsap3/Clasp2/Klc2/Map2/Tubb3/Tuba4a/Camsap2/Tcp1/Kif21a/Cct6a/Sirt2/Katnal1/Macf1/Clasp1/Clip2/Hsph1/Dync1i1/Calm1/Mapre1/Hnrnpu/Kcnab2/Cct2/Map4/Ckap5/Camsap1/Dpysl2/Kif5a/Cct5/Dync1h1/Bicd1/Chmp3/Tppp/Cct3/Eml4/Cct7/Kif1a/Hdac6/Bcas3/Arfgef2/Tuba1a/Stmn1/Tcp11l1/Tubb4a/Stau2/Kif5b/Eif3a/Arl3/Tubb5/Dysf/Stim1/Dvl1/Hook3/Tubb4b/Mdm1/Cltc/Chmp5/Ncoa2/Mta1/Jakmip1/Rcc2/Bag2/Tubal3/Mapre2/Map1lc3a/Abraxas2/Apc/Baiap2/Bod1/Bod1l/Bysl/Ccsap/Cdk5/Cdk5rap2/Cdk5rap3/Cep162/Cep170b/Cfap20/Chmp1a/Chmp2a/Chmp7/Clip1/Clip3/Clip4/Csnk1d/Cspp1/Cul3/Dctn3/Dcx/Dpp9/Dynll1/Dynlrb1/Fbxw11/Fgf13/Fkbp4/Fsd1/Gas2l1/Golga2/Gsk3a/Hid1/Hook1/Hook2/Katnb1/Kif16b/Kif1b/Kif2a/Kif3a/Kif3b/Kif5c/Kifap3/Lrrc49/Map1s/Map2k1/Map2k2/Map9/Mapre3/Mid2/Misp/Mt3/Nav1/Nckap5l/Ndel1/Nicn1/Pafah1b1/Parp4/Pcnt/Pde4dip/Rab3d/Rassf5/Reep1/Reep2/Rmdn2/Rmdn3/Rpgrip1l/Sarm1/Shroom3/Slain2/Slc8a1/Snph/Spast/Srprb/Sybu/Tbca/Tmem214/Togaram1/Tpgs2/Tpt1/Trip10/Ttl/Ttll1/Ttll7/Tuba8/Tubb2a/Tubgcp2/Tubgcp3/Wdr47/Xiap/Zw10",186
"GO:0005844","GO:0005844","polysome","53/3896","68/9913",8.32041599973572e-11,7.12435619977371e-09,5.03604126299794e-09,"Fus/Rpl30/Hdlbp/Rpl24/Impact/Rpl19/Rpl29/Rps6/Eif4g1/Rpl7a/Larp1/Rpl6/Rpl7/Eif3h/Dhx9/Atxn2/Cpeb2/Fxr1/Vbp1/Rpl36/Nufip2/Rps25/Fxr2/Naa35/Rps3/Elavl4/Larp4b/Larp4/Gcn1/Rps21/Abcf1/Rpl31/Eef2/Rpl17/Rpl10a/Rpl11/Psma6/Rps28/Rps23/Rps26/Btf3/Drg1/Eif2ak4/Fmr1/Larp6/Msi1/Msi2/Myh10/Naa30/Pnpt1/Rpl38/Unk/Upf2",53
"GO:0000502","GO:0000502","proteasome complex","46/3896","58/9913",5.24044067398259e-10,2.99417830951301e-08,2.11651482501112e-08,"Psmc3/Psma7/Usp14/Psmd3/Psmd2/Vcp/Hspb1/Rad23b/Psme3/Psmd1/Psme1/Psmd14/Psmc2/Psmc5/Psma4/Psmb4/Psma1/Psmc4/Psmd4/Psma2/Psma6/Ide/Adrm1/Dnajb2/Ecpas/Psma3/Psma5/Psmb1/Psmb7/Psmc1/Psmc6/Psmd11/Psmd12/Psmd13/Psmd5/Psmd6/Psmd7/Psmd8/Psmd9/Rad23a/Txnl1/Ube3a/Ubr1/Uchl5/Usp25/Zfand2b",46
"GO:0030117","GO:0030117","membrane coat","61/3896","84/9913",5.24527587067973e-10,2.99417830951301e-08,2.11651482501112e-08,"Eps15l1/Clint1/Scyl1/Aak1/Synj1/Synrg/Eps15/Copb2/Ap3s1/Chmp4b/Copz1/Snap91/Ap3b2/Picalm/Ap3s2/Dnm1/Epn2/Ap3d1/Sec31a/Arcn1/Tbc1d5/Copa/Epn1/Copg2/Ap2a1/Aftph/Ap2b1/Sec24a/Copb1/Igf2r/Cltc/Copg1/Ap1b1/Ap1g1/Ap1s2/Ap2a2/Ap2m1/Ap2s1/Ap3m1/Ap4e1/Ap4m1/Ap5b1/Ap5z1/Chmp2a/Clta/Cltb/Cope/Copz2/Epn3/Kcnq5/Necap1/Sar1a/Sar1b/Scn10a/Sgip1/Tepsin/Vps11/Vps18/Vps33a/Vps39/Vps41",61
"GO:0048475","GO:0048475","coated membrane","61/3896","84/9913",5.24527587067973e-10,2.99417830951301e-08,2.11651482501112e-08,"Eps15l1/Clint1/Scyl1/Aak1/Synj1/Synrg/Eps15/Copb2/Ap3s1/Chmp4b/Copz1/Snap91/Ap3b2/Picalm/Ap3s2/Dnm1/Epn2/Ap3d1/Sec31a/Arcn1/Tbc1d5/Copa/Epn1/Copg2/Ap2a1/Aftph/Ap2b1/Sec24a/Copb1/Igf2r/Cltc/Copg1/Ap1b1/Ap1g1/Ap1s2/Ap2a2/Ap2m1/Ap2s1/Ap3m1/Ap4e1/Ap4m1/Ap5b1/Ap5z1/Chmp2a/Clta/Cltb/Cope/Copz2/Epn3/Kcnq5/Necap1/Sar1a/Sar1b/Scn10a/Sgip1/Tepsin/Vps11/Vps18/Vps33a/Vps39/Vps41",61
"GO:0030135","GO:0030135","coated vesicle","105/3896","168/9913",7.7581809259199e-10,4.08796456481164e-08,2.88968682260984e-08,"Clint1/Scyl1/Sec22b/Synrg/Eps15/Copb2/Tgoln1/Copz1/Snap91/Myo1e/Scamp1/Bcap31/Picalm/Syn1/Epn2/Snx3/Pacs1/Vti1b/Sec16a/Pacsin1/Sec31a/Snx9/Arcn1/Tbc1d5/Syp/Numb/Gopc/Vamp2/Copa/Inpp5f/Epn1/Copg2/Ap2a1/Aftph/Uso1/Ap2b1/Sec23ip/Pik3c2a/Sec24a/Copb1/Golga5/Dvl1/Igf2r/Cltc/Ece1/Copg1/Fcho2/Hspd1/Actr1a/Ap1b1/Ap1g1/Ap1s2/Ap2a2/Ap2m1/Ap2s1/App/Arf1/Atp7a/Bnip1/Ccdc115/Clta/Cltb/Clvs1/Clvs2/Cope/Copz2/Cpne6/Ddhd2/Dennd1a/Ecpas/Epn3/Ergic1/Ergic3/Gga2/Gnas/Golga2/Gosr2/Hip1/Hip1r/Htt/Lman2l/Necap1/Ngfr/Ocrl/Pheta1/Pitpnm3/Rab14/Rab27b/Rab3a/Sar1a/Sar1b/Sgip1/Smn1/Spg21/Stx17/Tepsin/Tnk2/Use1/Vps33b/Vps41/Vti1a/Yif1a/Yif1b/Yipf5/Yipf6",105
