"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043209","GO:0043209","myelin sheath","143/2725","192/9913",1.93647630398154e-42,1.26258255019596e-39,7.6236014493589e-40,"Sptan1/Anxa2/Rtn4/Pebp1/Pacsin1/Atp6v1a/Nefl/Ehd3/Septin4/Nsf/Nefm/Snap25/Dpysl2/Napg/Tkt/Pdcd6ip/Exoc4/Nefh/Ehd1/Septin7/Sdha/Tagln3/Stip1/Prdx1/Atp1a1/Cntnap1/Hspa8/Dnm1/Syn2/Syn1/Tcp1/Alb/Ina/Cox5b/Gnao1/Slc25a5/Atp6v1b2/Pgam1/Calm1/Plec/Cct5/Dlst/Vcp/Stxbp1/Rala/Cct2/Hsp90aa1/Slc25a4/Gdi2/Eef1a2/Napa/Sucla2/Ncam1/Sirt2/Ndufs1/Wdr1/Plcb1/Eno1/Cntn1/Gsn/Uchl1/Dlat/Sod1/Tppp/Dld/Llgl1/Eno2/Msn/Ndufa10/Gdi1/Slc25a12/Cycs/Mdh1/Napb/Canx/Glul/Uqcrfs1/Ppia/Ywhag/Atp1b1/Got2/Gapdh/Septin2/Ndrg1/Vdac2/Ckb/Nfasc/Septin8/Tufm/Cct3/Cnp/Ndufv2/Gnb1/Sod2/Mog/Gjc3/Pdia3/Omg/Slc25a3/Ckmt1/Rap1a/Ndufs3/Tubb4b/Vdac1/Uqcrc2/Eef1a1/Ldhb/Atp5pb/Hbb-b1/Tspan2/Phb/Aldoa/Fscn1/Mpz/Tubb4a/Igsf8/Cdc42/Serinc5/Thy1/Gnb2/Cltc/Cldn11/Mobp/Ezr/Arf6/Ass1/Cnrip1/Gnb5/Hspa2/Itgb1/Kcnj11/Mif/Mpdz/Myh14/Nme1/Nme2/Pals1/Pard3/Pitpna/Prdx3/Prxl2b/Pten/Rdx",143
"GO:0098793","GO:0098793","presynapse","269/2725","491/9913",3.94206744693528e-39,1.2851139877009e-36,7.75964855344103e-37,"Aak1/Prph/Picalm/Pebp1/Stx7/Pacsin1/Dnm1l/Atp2b4/Nefl/Phaf1/Amph/Sh3gl1/Synj1/Hnrnpk/Septin4/Pclo/Sec22b/Wdr7/Nefm/Dnm3/Flot2/Git1/Gabbr1/Septin5/Madd/Flot1/Snx1/Snap25/Syap1/Dpysl2/Ap3d1/Dmxl2/Exoc4/Kcna2/Anxa5/Ctnnd1/Septin7/Scamp1/Snap91/Sgip1/Bin1/Smcr8/Kcna1/Cadps/Rab3c/Arhgap44/Cntnap1/Dlg2/Hspa8/Cadm3/Dnm1/Ppp1ca/Rph3a/Syn2/Itsn1/Syn1/Septin3/Kctd16/Cplx1/Ctbp1/Syt7/Syp/Syngr3/Rab11b/Bsn/Sh3gl2/Snap47/Pfn1/Syt2/Cask/Calm1/Sncg/Kif1a/Gabbr2/Sv2c/Stxbp5/Atp2b1/Kcnab2/Septin6/Epn1/Trim9/Stxbp1/Calb2/Arpc2/Slc6a17/Rims1/Napa/Vamp2/Ppp1cc/Syt1/Ncam1/Rab3a/Prkcb/Atp2b2/Syngr1/Slc29a1/Scn1a/Prrt2/Cntn1/Ap2a2/Phb2/Cplx2/Mal2/Sncb/Atp6v0d1/Prkca/Sv2a/Kcnc1/Slc6a5/Slc8a1/Syn3/Myo5a/Scamp5/Napb/Canx/Glul/Scn8a/Ywhag/Gpm6a/Nptn/Camk2a/Slc17a6/Ywhah/Septin2/Rab33b/Vdac2/Vamp1/Septin8/Ctnnb1/Vdac3/Slc32a1/Dgkq/Ctnna2/Snca/Vps35/Svop/Rab10/Stx1b/Glra1/Slc6a1/Vdac1/Lgi3/Got1/Dvl1/Adam23/Rab15/Phb/Rab3b/Kcnc3/Adgrl1/Rab3d/Atp6v0a1/Rab14/Cltc/Rab2a/Slc6a9/Slc30a3/Gad1/Anks1b/Apba1/Apbb1/Apc/Aqp1/Bace1/Baiap2/Borcs5/Brsk1/Cacna1a/Cacna1b/Cacnb1/Cacnb4/Cadm1/Cadps2/Calb1/Cdh2/Cdk16/Cdk5/Clta/Cltb/Cntnap2/Cntnap4/Cops4/Cops5/Cttnbp2/Cyth1/Dbi/Dgki/Dlg4/Efnb1/Efnb2/Erc1/Erc2/Exoc3/Flrt3/Fxr1/Fxr2/Gabra2/Gabrb3/Gnb5/Gria2/Gria3/Grm7/Hcn1/Hcn3/Hip1/Htt/Ica1/Ilk/Iqsec2/Itsn2/Kcna6/Kcnma1/L1cam/Mctp1/Mctp2/Mical1/Mt3/Mtmr2/Ncs1/Nectin1/Nos1/Ophn1/Pi4k2a/Pick1/Pip5k1c/Ppfia2/Ppfia3/Ppp2ca/Ppp3cc/Prkce/Rab6a/Rab6b/Rab8a/Rapgef4/Rgs10/Rgs7/Rgs7bp/Rimbp2/Rims2/Rims3/Rogdi/Sema4c/Sh3glb1/Slc17a7/Slc4a8/Slc6a4/Slc6a7/Snapin/Snph/Sri/Ston2/Stx12/Stx1a/Stx2/Sv2b/Syt12/Syt5/Tanc1/Tnik/Unc13a/Unc13c/Vamp7/Vps11/Vps18/Vps33b/Vps45/Vti1b/Wfs1/Zzef1",269
"GO:0098978","GO:0098978","glutamatergic synapse","242/2725","457/9913",4.62595364987544e-32,1.00537392657293e-29,6.07054970194181e-30,"Cttn/Wasl/Rtn4/Pak2/Chmp2b/Pacsin1/Atp2b4/Amph/Sh3gl1/Synj1/Ppp3ca/Hnrnpk/Pclo/Gsk3b/Rheb/Dnm3/Flot2/Git1/Gabbr1/Numb/Abr/Flot1/Snap25/Add2/Ap3d1/Ctnnd1/Adam22/Septin7/Prkar2b/Pak1/Bin1/Kcna1/Cadps/Coro1a/Bcr/Arhgap44/Dlg2/Hspa8/Sipa1l1/Dnm1/Ppp1ca/Syn2/Itsn1/Abi1/Ap2b1/Tpd52/Cplx1/Prkar2a/Ctbp1/Syt7/Iqsec1/Ina/Dbn1/Bsn/Sh3gl2/Snap47/Pfn1/Nr3c1/Syt6/Crtc1/Trim3/Map2k1/Magi2/Gabbr2/Atp2b1/Rock2/Chmp4b/Vcp/Camk2b/Stxbp1/Arpc2/Slc6a17/Synpo/Rims1/Gripap1/Cfl1/Napa/Ppp1cc/Syt1/Dvl3/Ncam1/Sirt2/Atp2b2/Eef1d/Atad1/Plcb1/Prrt2/Phb2/Ywhaz/Dlgap3/Cplx2/Mal2/Sv2a/Myh10/Syn3/Myo5a/Napb/Ppp3cb/Canx/Scn8a/Tnr/Dlgap4/Pura/Gpm6a/Nptn/Camk2a/Ywhah/Gapdh/Ndrg1/Ap2m1/Vamp1/Dgkq/Homer1/Cacng2/Vps35/Abhd6/Dag1/Ywhae/Rap1a/Lgi1/Flna/Dvl1/Bcan/Adam23/Cpt1c/Phb/Kcnc3/Adgrl1/Elavl1/Slc30a3/Dynll2/Abi2/Abl2/Ablim3/Actr3/Anks1b/Apba1/Apbb1/Arf1/Arf4/Arf6/Arhgap39/Arpc5l/Baiap2/Cabp1/Cacna1a/Cacna1b/Cacnb1/Cacnb4/Cadm1/Cadps2/Calb1/Camk4/Camkv/Caprin1/Cdh2/Cdk5/Clta/Cnksr2/Cntnap2/Csnk2b/Cttnbp2/Dgke/Dgki/Dgkz/Dlg4/Dlgap2/Dnajb1/Efnb1/Efnb2/Eif4e/Erc1/Erc2/Fbxl20/Filip1/Flrt3/Frmpd4/Fxr1/Fxr2/Gria2/Gria3/Grip1/Grm7/Hip1/Hras/Htt/Il1rap/Iqsec2/Itgb1/Kcnma1/Kpna1/Mapk10/Ncs1/Nedd4/Nos1/Nsmf/Ntrk3/Ophn1/Pacsin2/Pak3/Pick1/Pin1/Pip5k1c/Plcxd3/Plppr4/Ppfia2/Ppfia3/Ppm1h/Ppp2r2a/Ppp3cc/Ppp3r1/Prkar1a/Prkce/Ptk2b/Ptprz1/Rab8a/Rapgef4/Rela/Rgs14/Rgs7/Rgs7bp/Rhoa/Rims2/Rims3/Septin11/Shank1/Slc4a8/Slc6a7/Slc6a8/Src/Stat3/Stx1a/Tanc1/Tanc2/Tnik/Tsc2/Unc13a/Usp46/Usp8/Vps18/Wasf3/Yes1",242
"GO:0098984","GO:0098984","neuron to neuron synapse","207/2725","386/9913",1.92478760129338e-28,3.13740379010821e-26,1.89439621811506e-26,"Map4/Palm/Add1/Cast/Dmtn/Dbnl/Mapt/Strn/Map1a/Rtn4/Pak2/Map1b/Picalm/Epb41l3/Sptbn1/Chmp2b/Pacsin1/Srcin1/Sh3gl1/Arfgap1/Hnrnpk/Pclo/Gsk3b/Ablim1/Nsf/Rheb/Dclk1/Nefm/Dnm3/Cnn3/Numb/Abr/Dnajc6/Snx1/Add2/Pdlim5/Exoc4/Ctnnd1/Ank2/Nefh/Adam22/Snap91/Eif4g2/Capzb/Pak1/Camk2g/Atp1a1/Rtn3/Bcr/Arhgap44/Dlg2/Hspa8/Sipa1l1/Syn2/Syn1/Abi1/Epb41l1/Syt7/Dst/Gphn/Iqsec1/Dbn1/Syp/Actr2/Bsn/Sh3gl2/Snap47/Nr3c1/Pcbp2/Crtc1/Nf1/Map2k1/Cask/Sorbs2/Stxbp5/Kcnab2/Chmp4b/Camk2b/Rims1/Ctnnd2/Syt1/Hspb1/Rps14/Atp2b2/Phb2/Ywhaz/Cap2/Dlgap3/Mal2/Rpl30/Fabp5/Rpl10a/Slc8a1/Syn3/Scn8a/Tnr/Pura/Ppp1r9b/Nptn/Camk2a/Gapdh/Gap43/Ctnnb1/Pkp4/Ctnna2/Homer1/Cacng2/Vps35/Iqsec3/Rps18/Dagla/Dvl1/Rpl12/Rpl5/Atp1b2/Slc30a1/Phb/Adgrl1/Rpl6/Slc6a9/Slc30a3/Dynll2/Anks1b/Arf1/Arfgef2/Arrb2/Axin1/Bace1/Baiap2/Bmpr2/Bnip3/Cabp1/Cadm1/Calb1/Cdh2/Cdk5/Cnksr2/Cntnap2/Dab1/Dgki/Dgkz/Dlg4/Dlg5/Dtnb/Efnb2/Erc1/Erc2/Flrt3/Frmpd4/Fxr1/Fxr2/Gng3/Gria2/Gria3/Grm7/Hip1r/Hnrnph1/Htt/Inpp4a/Insyn1/Iqsec2/Kcnd1/Kcnd3/Kpna1/Macf1/Map3k7/Mapk1/Mapk10/Mt3/Mtmr2/Myd88/Nck2/Nectin1/Nectin3/Nos1/Nsmf/Pak3/Pick1/Pip5k1c/Plppr4/Ppp2ca/Ptk2b/Ptprz1/Rab8a/Rapgef4/Rgs14/Rgs7bp/Rps6kc1/Samd14/Sema4c/Septin11/Shank1/Slc4a8/Slitrk3/Sos1/Src/Srgap2/Stat3/Stx1a/Syt12/Tanc1/Tanc2/Tnik/Tsc1/Tsc2/Usp8/Vamp7",207
"GO:0099572","GO:0099572","postsynaptic specialization","199/2725","378/9913",5.23226211703463e-26,5.6857248338443e-24,3.43309830135255e-24,"Map4/Palm/Add1/Cast/Dmtn/Dbnl/Mapt/Strn/Map1a/Rtn4/Pak2/Map1b/Picalm/Epb41l3/Sptbn1/Chmp2b/Pacsin1/Srcin1/Sh3gl1/Arfgap1/Hnrnpk/Pclo/Gsk3b/Ablim1/Nsf/Rheb/Dclk1/Nefm/Dnm3/Cnn3/Numb/Abr/Dnajc6/Snx1/Add2/Pdlim5/Exoc4/Ctnnd1/Ank2/Nefh/Adam22/Snap91/Eif4g2/Capzb/Pak1/Camk2g/Atp1a1/Rtn3/Bcr/Arhgap44/Dlg2/Hspa8/Sipa1l1/Syn2/Syn1/Abi1/Epb41l1/Dst/Gphn/Iqsec1/Dbn1/Syp/Actr2/Bsn/Snap47/Nr3c1/Pcbp2/Crtc1/Nf1/Map2k1/Cask/Sorbs2/Kcnab2/Chmp4b/Camk2b/Rims1/Ctnnd2/Hspb1/Rps14/Atp2b2/Phb2/Ywhaz/Cap2/Dlgap3/Rpl30/Fabp5/Rpl10a/Slc8a1/Syn3/Scn8a/Dlgap4/Pura/Ppp1r9b/Nptn/Camk2a/Gapdh/Gap43/Ctnnb1/Pkp4/Ctnna2/Homer1/Cacng2/Vps35/Iqsec3/Rps18/Dagla/Glra1/Dvl1/Rpl12/Rpl5/Slc30a1/Phb/Adgrl1/Rpl6/Gabra3/Slc6a9/Dynll2/Anks1b/Arf1/Arrb2/Axin1/Baiap2/Bmpr2/Bnip3/Cabp1/Cadm1/Cdh2/Cdk5/Cnksr2/Dab1/Dgki/Dgkz/Dlg4/Dlg5/Dlgap2/Dtnb/Efnb2/Erc1/Erc2/Flrt3/Frmpd4/Fxr1/Fxr2/Gabra1/Gabra2/Gabrb3/Gng3/Gria2/Gria3/Hip1r/Hnrnph1/Htt/Inpp4a/Insyn1/Iqsec2/Kcnd1/Kcnd3/Kpna1/Macf1/Map3k7/Mapk1/Mapk10/Mt3/Mtmr2/Myd88/Nck2/Nectin3/Nlgn2/Nos1/Nsmf/Pak3/Pick1/Pip5k1c/Plppr4/Ppp2ca/Ptk2b/Ptprz1/Rab8a/Rapgef4/Rgs14/Rgs7bp/Rps6kc1/Samd14/Sema4c/Septin11/Shank1/Slitrk3/Sos1/Src/Srgap2/Stat3/Stx1a/Tanc1/Tanc2/Tnik/Tsc1/Tsc2/Usp8/Yes1",199
"GO:0070382","GO:0070382","exocytic vesicle","130/2725","223/9913",1.72513258869591e-22,1.40598305978717e-20,8.48946826542461e-21,"Picalm/Pebp1/Stx7/Dnm1l/Phaf1/Amph/Septin4/Sec22b/Wdr7/Dpysl3/Gabbr1/Septin5/Madd/Snap25/Dmxl2/Exoc4/Anxa5/Scamp1/Snap91/Bin1/Rab3c/Dlg2/Hspa8/Dnm1/Rph3a/Syn2/Syn1/Syt7/Syp/Syngr3/Rab11b/Bsn/Sh3gl2/Snap47/Syt6/Syt2/Calm1/Kif1a/Sv2c/Stxbp5/Atp2b1/Septin6/Slc6a17/Vamp2/Syt1/Rab3a/Syngr1/Prrt2/Ap2a2/Mal2/Atp6v0d1/Sv2a/Syn3/Myo5a/Scamp5/Slc17a6/Septin2/Vdac2/Vamp1/Vdac3/Slc32a1/Snca/Svop/Rab10/Stx1b/Vdac1/Lgi3/Rab15/Rab3b/Rab3d/Atp6v0a1/Rab14/Cltc/Rab2a/Slc6a9/Slc30a3/Apba1/Apc/Bace1/Borcs5/Brsk1/Cadm1/Cdk16/Clta/Cltb/Cops4/Cops5/Cttnbp2/Dbi/Dgki/Dlg4/Erc1/Gabra2/Gria2/Ica1/Mctp1/Mctp2/Mt3/Mtmr2/Pi4k2a/Pick1/Rab27a/Rab27b/Rab3il1/Rab3ip/Rab6a/Rab8a/Sema4c/Sh3glb1/Slc17a7/Slc4a8/Slc6a7/Snapin/Ston2/Stx12/Stx1a/Stx2/Sv2b/Syt12/Syt3/Syt5/Sytl2/Sytl3/Unc13a/Unc13c/Vamp7/Vps33b/Vps45/Vti1b/Wfs1",130
"GO:0031252","GO:0031252","cell leading edge","179/2725","354/9913",6.26110106745348e-21,4.08223789597967e-19,2.46489663076589e-19,"Palm/Cttn/Myh9/Wasl/Dbnl/Mapt/Aak1/Arhgap1/Anxa2/Tln2/Tln1/Clasp2/Epb41l3/Sptbn1/Pacsin1/Srcin1/Amph/Enah/Coro1c/Ablim1/Dctn1/Dpysl3/Bcas3/Avil/Flot2/Gabbr1/Arhgef7/Nf2/Flot1/Snap25/Exoc4/Kcna2/Ctnnd1/Capzb/Twf1/Pak1/Cdc37/Rufy3/Lcp1/Coro1a/Arhgap44/Itsn1/Abi1/Dst/Arfip2/Dbn1/Actr2/Ank1/Atp6v1b2/Atp2b1/Pafah1b1/Pabpc1/Arpc2/Mtss2/Cfl1/Atp2b2/Tpm1/Nckap1/Gsn/Ywhaz/Vim/Jcad/Mylk/Twf2/Ddx3x/Shtn1/Kcnc1/Myh10/Pkn2/Myo5a/Tubb3/Ppp1r9b/Ctnnb1/Ctnna2/Dag1/Dagla/Eef1a1/S100a6/Hcn2/Kcnc3/Fscn1/Cdc42/Thy1/Cit/Pdxp/Gabra3/Ezr/Abca7/Abi2/Abl2/Ablim3/Acap2/Actr3/Amot/Apbb1/Apc/Apc2/Appl2/Arf1/Arf4/Arf6/Arhgap31/Arhgef6/Arpc3/Arpc5/Arpin/Atp7a/Baiap2/Bcar1/C2cd5/Caprin1/Carmil1/Carmil2/Carmil3/Ccdc88a/Cd2ap/Cd44/Cdc42bpa/Cdh2/Cdk5/Cntnap2/Coro1b/Cyth3/Dgkz/Dysf/Evl/Exoc8/Fgd4/Frmd4b/Gabra1/Gabra2/Gas7/Hcn1/Hdac6/Hip1r/Ilk/Inpp5e/Inpp5j/Inppl1/Itgb1/Jmy/Kcnb1/Kcnj11/Macf1/Mapk8ip3/Mcf2l/Mtm1/Myo9b/Nme1/Nme2/Palld/Parva/Parvb/Pdgfrb/Phactr4/Pik3ca/Plekha1/Psd3/Ptk2b/Ptprz1/Rdx/Rhoa/Ripor1/Robo2/Sh2b1/Slk/Sra1/Src/Srgap2/Stmn2/Stx2/Trpv2/Tsc1/Vamp7/Vasp/Wasf1/Wasf2/Wasf3/Washc1",179
"GO:0015629","GO:0015629","actin cytoskeleton","197/2725","406/9913",2.8678957409864e-20,1.69988002102103e-18,1.02640479151092e-18,"Cttn/Add1/Lasp1/Zyx/Dmtn/Myh9/Wasl/Sptan1/Dbnl/Sorbs1/Fermt2/Anxa2/Bag3/Sptbn1/Ehbp1/Vcl/Asap1/Dctn4/Srcin1/Dctn2/Enah/Coro1c/Ablim1/Dpysl3/Nebl/Avil/Flot2/Cnn3/Septin5/Arhgap35/Nf2/Flot1/Snap25/Add2/Tmod2/Ablim2/Pdlim5/Pdcd6ip/Fkbp15/Septin7/Snx9/Septin9/Capzb/Twf1/Pak1/Swap70/Arhgap21/Lcp1/Coro1a/Sipa1l1/Cap1/Myo18a/Itsn1/Dst/Crmp1/Dbn1/Actr2/Tmod1/Csrp1/Cdc42ep4/Calb2/Arpc2/Synpo/Mtss2/Actr10/Lpp/Cfl1/Baiap2l1/Prkcb/Tpm1/Dstn/Coro2b/Wdr1/Nckap1/Pls3/Gsn/Gbp2/Dctn6/Msra/Llgl1/Mylk/Twf2/Myh10/Myo5a/Pvalb/Ppp1r9b/Rtkn/Septin2/Fmn2/Hck/Ctnna2/Snca/Flna/Ttn/Eef1a1/Ptges3/Aldoa/Fscn1/Actn4/Cit/Mobp/Pdxp/Jup/Dynll2/Ezr/Abi2/Abl2/Ablim3/Acta1/Actr3/Akap13/Amot/Apbb3/Apc2/Arpc1a/Arpc1b/Arpc3/Arpc5/Arpc5l/Baiap2/Bcar1/Calb1/Capg/Capza1/Carmil1/Carmil2/Cd2ap/Cdc42bpa/Cdc42bpb/Cdh2/Cfl2/Coro1b/Crk/Cttnbp2/Daam1/Dctn3/Dctn5/Dgkh/Diaph2/Efr3b/Epb41/Fchsd1/Fhdc1/Filip1/Fmn1/Gas2/Gas7/Hdac4/Ilk/Lancl2/Ldb3/Limch1/Macf1/Mark2/Micall2/Mprip/Mtpn/Mtss1/Myh14/Myl12b/Myl6/Myl6b/Myo1e/Myo9a/Myo9b/Nexn/Ophn1/Palld/Parva/Parvb/Pawr/Pdlim1/Peak1/Pgm5/Pls1/Ppp1r12a/Ptpn11/Ptpn12/Rab22a/Rdx/Samd14/Septin11/Sh3pxd2a/Shroom3/Sipa1l3/Specc1l/Sptb/Src/Stk38l/Stx1a/Tsc1/Vps11/Vps18/Wipf1/Wipf2/Wipf3/Yes1",197
"GO:0005938","GO:0005938","cell cortex","132/2725","242/9913",2.61871214718869e-19,1.13826687997802e-17,6.87297082841102e-18,"Cttn/Lasp1/Dmtn/Myh9/Wasl/Sptan1/Dbnl/Anxa2/Crip2/Clasp2/Sptbn1/Hnrnpk/Septin4/Pclo/Dctn1/Mpp1/Flot2/Septin5/Nf2/Flot1/Exoc4/Ctnnd1/Septin7/Snx9/Septin9/Capzb/Coro1a/Cap1/Septin3/Ctbp1/Arfip2/Clasp1/Dbn1/C2cd2l/Actr2/Bsn/Ank1/Pfn1/Tmod1/Map2k1/Stim1/Pafah1b1/Septin6/Calb2/Rims1/Mtss2/Cfl1/Prkcb/Dstn/Wdr1/Eno1/Gsn/Llgl1/Eno2/Rhog/Myh10/Pvalb/Ppp1r9b/Dync1h1/Rtkn/Septin2/Septin8/Fmn2/Ctnnb1/Ctnna2/Snca/Flna/Eef1a1/Gnai1/Actn4/Slc4a1/Mobp/Gad1/Akap13/Apc/Arf6/Axin1/C2cd5/Calb1/Capza1/Cd2ap/Cdh2/Clta/Cltb/Dlg4/Emd/Epb41/Erc1/Erc2/Exoc1/Exoc2/Exoc3/Exoc6b/Exoc7/Exoc8/Fchsd1/Fry/Grm7/Hip1r/Iqsec2/Itch/Lancl2/Macf1/Map2k2/Mapre1/Mark2/Myl12b/Myo1e/Myo9b/Nedd4/Nsmf/Osbpl8/Pard3/Phldb1/Pls1/Ppfia3/Ptk2b/Rdx/Rhoa/Rhob/Rimbp2/Rims2/Rims3/Septin11/Shroom3/Spire1/Sptb/Stxbp6/Tsc1/Unc13a/Unc13c/Washc1",132
"GO:0150034","GO:0150034","distal axon","154/2725","300/9913",6.08363123636498e-19,2.47907972881873e-17,1.49689347526349e-17,"Cttn/Mapt/Aak1/Prph/Map1b/Clasp2/Pebp1/Pacsin1/Nefl/Klc1/Dctn2/Amph/Hnrnpk/Septin4/Pclo/Gsk3b/Kif5b/Dpysl3/Dclk1/Git1/Arhgef7/Ppp1r2/Septin5/Snap25/Syap1/Tmod2/Dpysl2/Ap3d1/Exoc4/Kcna2/Fkbp15/Anxa5/Ctnnd1/Septin7/Snap91/Pak1/Bin1/Rufy3/Kcna1/Hspa8/Itsn1/Cplx1/Syt7/Crmp1/Dbn1/Syp/Hsp90ab1/Calm1/Sncg/Stim1/Pafah1b1/Kcnab2/Septin6/Calb2/Arpc2/Hsp90aa1/Cfl1/Ncam1/Rab3a/Prkcb/Copa/Prrt2/Usp9x/Brsk2/Cplx2/Eno2/Sncb/Atp6v0d1/Twf2/Cbarp/Prkca/Shtn1/Kcnc1/Myh10/Slc8a1/Tubb3/Glul/Ppp1r9b/Gpm6a/Slc32a1/Snca/Ywhae/Flna/Glra1/Got1/Dvl1/Kcnc3/Fscn1/Adgrl1/Thy1/Gad1/Apbb1/Apc/Aqp1/Arpc3/Arpc5/Brsk1/Cacna1b/Calb1/Cbl/Cdk5/Copg2/Dgki/Erc2/Exoc7/Fez1/Fgf13/Fkbp4/Flrt3/Fxr1/Fxr2/Gabrb3/Gria2/Gria3/Grm7/Hcn1/Hcn3/Hdac5/Ilk/Inpp5j/Katnb1/Kcna6/Kcnma1/Kif5a/Kif5c/L1cam/Mical1/Myh14/Myo9a/Ncs1/Nectin1/Neo1/Nos1/Nrsn1/Ophn1/Pard3/Ppp2ca/Ptk2b/Ptprz1/Rapgef4/Rgs10/Slc4a8/Src/Sri/Stmn2/Tanc1/Tnk2/Trak1/Trpv2/Tsc1/Tsc2/Unc13a/Unc13c/Wdr47",154
