"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043209","GO:0043209","myelin sheath","49/636","192/9913",1.62766638692143e-17,9.48929503575194e-15,7.00753212895647e-15,"Ncam1/Sptan1/Nefm/Atp6v1a/Rtn4/Atp1a1/Pebp1/Slc25a5/Nefh/Dpysl2/Dnm1/Tcp1/Exoc4/Septin7/Stip1/Uqcrc2/Pdcd6ip/Ehd1/Plec/Cox5b/Rala/Actb/Cct5/Ckb/Calm1/Cltc/Mdh2/Vdac1/Atp1b1/Atp6v1b2/Dld/Ehd3/Gnao1/Itgb1/Napg/Nefl/Nsf/Pacsin1/Phb/Prxl2b/Sdha/Septin4/Slc25a4/Snap25/Stxbp1/Syn1/Syn2/Tagln3/Tubb4a",49
"GO:0098793","GO:0098793","presynapse","80/636","491/9913",3.04254445227901e-15,8.86901707839331e-13,6.54947726832692e-13,"Ncam1/Prph/Nefm/Aak1/Sncg/Dnm1l/Rab3c/Septin5/Pebp1/Dpysl2/Ap3d1/Git1/Dnm1/Sncb/Sec22b/Sh3gl1/Exoc4/Septin7/Ppp1ca/Ctnnd1/Rab15/Actb/Mal2/Calm1/Aqp1/Cltc/Vdac1/Phb2/Amph/Arhgap44/Atp2b1/Bin1/Cadm1/Cadm3/Cadps/Cltb/Cplx1/Ctbp1/Dgki/Dmxl2/Dnm3/Exoc3/Flot1/Flot2/Gabbr1/Itsn2/Kcna2/Kctd16/L1cam/Madd/Mctp2/Mical1/Nefl/Pacsin1/Pclo/Phaf1/Phb/Ppp1cc/Rab11b/Rab6b/Rph3a/Scn10a/Scn11a/Septin3/Septin4/Sgip1/Smcr8/Snap25/Snap47/Snap91/Snx1/Stx7/Stxbp1/Syn1/Syn2/Synj1/Syp/Syt7/Tanc1/Wdr7",80
"GO:0005874","GO:0005874","microtubule","61/636","319/9913",4.93974624249883e-15,9.59957353125606e-13,7.08896916905973e-13,"Map6/Mapt/Map1b/Map1a/Cep170/Map4/Ckap5/Tuba4a/Clasp2/Dync1li1/Dync1li2/Dnm1l/Bcas3/Tppp3/Nudc/Cct8/Dctn2/Dpysl2/Kif5b/Dnm1/Dctn1/Chmp4b/Tcp1/Dync1i2/Tbcb/Map7/Tubb5/Camsap3/Dync1h1/Cct5/Katnal2/Rcc2/Calm1/Cltc/Chmp3/Camsap1/Camsap2/Cep170b/Chmp7/Clip2/Cyld/Dnm3/Dst/Eml1/Gsk3b/Hsph1/Katnal1/Katnb1/Kif21a/Kif5a/Kif5c/Klc1/Klc2/Mapre1/Pafah1b1/Slain2/Stmn1/Synj1/Tubb3/Tubb4a/Wdr44",61
"GO:0014069","GO:0014069","postsynaptic density","59/636","352/9913",5.32163016160567e-12,7.75627596054027e-10,5.72775456867558e-10,"Mapt/Map1b/Epb41l3/Map1a/Palm/Map4/Nefm/Rtn4/Strn/Add1/Atp1a1/Rtn3/Sptbn1/Epb41l1/Abr/Nefh/Pdlim5/Cnn3/Arfgap1/Dclk1/Chmp4b/Sh3gl1/Exoc4/Rheb/Capzb/Eif4g2/Ctnnd1/Ablim1/Rpl5/Actb/Actr2/Phb2/Abi1/Add2/Ank2/Arhgap44/Cadm1/Dgki/Dgkz/Dmtn/Dnajc6/Dnm3/Dst/Gphn/Gsk3b/Nsf/Numb/Pacsin1/Pclo/Phb/Snap47/Snap91/Snx1/Srcin1/Stat3/Syn1/Syn2/Syp/Tanc1",59
"GO:0150034","GO:0150034","distal axon","53/636","300/9913",8.65894595843553e-12,1.00963309875358e-09,7.4558082042108e-10,"Mapt/Ncam1/Map1b/Prph/Clasp2/Aak1/Sncg/Septin5/Fkbp15/Pebp1/Dctn2/Dpysl2/Kif5b/Ap3d1/Git1/Dclk1/Sncb/Exoc4/Stmn2/Septin7/Ppp1r2/Ctnnd1/Actb/Dpysl3/Calm1/Aqp1/Amph/Arpc5/Bin1/Cplx1/Crmp1/Dgki/Gsk3b/Katnb1/Kcna2/Kif5a/Kif5c/Klc1/L1cam/Mical1/Nefl/Pacsin1/Pafah1b1/Pclo/Rufy3/Septin4/Snap25/Snap91/Syp/Syt7/Tanc1/Tmod2/Tubb3",53
"GO:0032279","GO:0032279","asymmetric synapse","59/636","360/9913",1.39249948223544e-11,1.35304533023877e-09,9.99179453042626e-10,"Mapt/Map1b/Epb41l3/Map1a/Palm/Map4/Nefm/Rtn4/Strn/Add1/Atp1a1/Rtn3/Sptbn1/Epb41l1/Abr/Nefh/Pdlim5/Cnn3/Arfgap1/Dclk1/Chmp4b/Sh3gl1/Exoc4/Rheb/Capzb/Eif4g2/Ctnnd1/Ablim1/Rpl5/Actb/Actr2/Phb2/Abi1/Add2/Ank2/Arhgap44/Cadm1/Dgki/Dgkz/Dmtn/Dnajc6/Dnm3/Dst/Gphn/Gsk3b/Nsf/Numb/Pacsin1/Pclo/Phb/Snap47/Snap91/Snx1/Srcin1/Stat3/Syn1/Syn2/Syp/Tanc1",59
"GO:0031252","GO:0031252","cell leading edge","56/636","354/9913",1.94712158373887e-10,1.26130209257751e-08,9.31430090934735e-09,"Mapt/Epb41l3/Palm/Avil/Clasp2/Aak1/Wasl/Cd2ap/Bcas3/Sptbn1/Myh9/Arhgap1/Tln2/Arpin/Dctn1/Exoc4/Stmn2/Lcp1/Capzb/Ctnnd1/Ablim1/Actb/Dpysl3/Actr2/Cdc37/Caprin1/Abi1/Amph/Ank1/Arfip2/Arhgap44/Arpc5/Atp2b1/Atp6v1b2/Bcar1/Cd44/Coro1a/Coro1b/Dgkz/Dst/Enah/Flot1/Flot2/Gabbr1/Itgb1/Jcad/Kcna2/Pacsin1/Pafah1b1/Palld/Rufy3/S100a6/Slk/Snap25/Srcin1/Tubb3",56
"GO:0015629","GO:0015629","actin cytoskeleton","60/636","406/9913",6.8955235004494e-10,4.020090200762e-08,2.96870432808822e-08,"Sptan1/Avil/Sorbs1/Dctn4/Add1/Wasl/Cd2ap/Sptbn1/Septin5/Fkbp15/Myo1e/Myh9/Dctn2/Bag3/Lasp1/Ptpn12/Fermt2/Pdlim5/Cnn3/Septin7/Snx9/Cgnl1/Pdcd6ip/Lcp1/Capzb/Ablim1/Actb/Dpysl3/Actr2/Ablim2/Actr10/Add2/Arhgap21/Arpc5/Asap1/Bcar1/Capza2/Cdc42bpb/Coro1a/Coro1b/Crmp1/Dgkh/Dmtn/Dst/Ehbp1/Enah/Flot1/Flot2/Fmn2/Mprip/Mtss1/Myl12b/Myo18a/Palld/Pls3/Snap25/Srcin1/Tmod1/Tmod2/Wipf3",60
"GO:0030659","GO:0030659","cytoplasmic vesicle membrane","65/636","465/9913",1.35794170976406e-09,6.79160191176824e-08,5.01537452724241e-08,"Eps15/Dnm1l/Rab3c/Anxa6/Mon2/Clint1/Washc2/Arhgap1/Ap3d1/Scyl1/Epn2/Snx2/Chmp4b/Sec22b/Snx9/Uba1/Ehd1/Rala/Necap2/Rab15/Mal2/Rcc2/Rab23/Calm1/Aqp1/Cltc/Chmp3/Vps37a/Amph/Ap2b1/Ap2m1/Aqp5/Atp2b1/Bin1/Cadps/Cav2/Chmp7/Cltb/Ehd3/Ehd4/Exoc3/Flot2/Fmn2/Mctp2/Necap1/Phaf1/Rab11b/Rab21/Rph3a/Sgip1/Shc1/Slc12a2/Snap47/Snap91/Snx1/Stx7/Syn1/Syn2/Syp/Tmed10/Trarg1/Vps13a/Vps13c/Vps4b/Zfyve16",65
"GO:0099503","GO:0099503","secretory vesicle","59/636","403/9913",1.39792835233651e-09,6.79160191176824e-08,5.01537452724241e-08,"Map6/Atp6v1a/Dnm1l/Rab3c/Septin5/Pebp1/Myh9/Rab11fip5/Dnm1/Anxa11/Tcp1/Sec22b/Exoc4/Rab15/Mal2/Dpysl3/Fga/Calm1/Aqp1/Cltc/Vdac1/Amph/Ap2m1/Atp2b1/Bin1/Cadm1/Cadps/Cav2/Clip2/Cltb/Dgki/Dld/Dmxl2/Exoc3/Flot2/Gabbr1/Hgs/Itgb1/Loxl1/Madd/Mctp2/Phaf1/Rab11b/Rph3a/Scfd2/Septin4/Snap25/Snap47/Snap91/Stx7/Stxbp1/Syn1/Syn2/Syp/Syt7/Tmed10/Vps13a/Vps13c/Wdr7",59
