"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006397","GO:0006397","mRNA processing","256/3868","382/9821",8.49440969483604e-29,4.40605030871146e-25,3.83053169817659e-25,"Tardbp/Hnrnpk/Ncl/Ddx5/Rbm14/Sart3/Srrm2/Grsf1/Nono/Hspa8/Sf3b1/Hnrnpa3/Npm1/Son/Pabpc1/Hnrnpa2b1/Tdrd3/Sfpq/Dhx9/Ccar2/Pcbp1/Hnrnpl/Thrap3/Habp4/Snrpd2/Syncrip/Hnrnpu/Snrpd3/Rbm17/Puf60/Fxr1/Ddx1/Sugp2/Rbm25/Sart1/Hnrnpa1/Strap/Sf1/Rbm10/Fip1l1/Hnrnpm/Dhx15/Cpsf7/Srrm1/Nup98/Ptbp3/Fxr2/Mbnl1/Acin1/Ddx46/Nudt21/Hnrnpc/Safb2/Safb/Sf3a1/Elavl4/Pcbp4/Psip1/Rbbp6/Rbm39/Sltm/Sf3b3/Srpk2/Cstf2/Rnmt/Tcerg1/Prpf4/Zranb2/Snrpa/Nelfe/Cdc5l/Coil/Khdrbs1/Htatsf1/Khsrp/Wdr33/Prpf31/Wbp11/Prpf40a/Ptbp2/Rprd2/Snrpa1/Snrnp200/Pnn/Pabpn1/Phrf1/Hnrnpf/U2af2/Snw1/Celf2/Raly/Gemin5/Rbmx/Dazap1/Rbm22/Iws1/Paxbp1/Rbfox3/Snrpe/Polr2d/Celf1/Isy1/Rbm26/Prpf8/Ncbp3/Ddx39b/Papola/Cpsf6/Zc3h14/Prpf4b/Prpf40b/Raver1/Ddx17/Cwc15/Srsf2/Dhx36/Hnrnph1/Zmat2/Rbm28/Snrnp70/Cdk9/Cdc73/Eftud2/Srsf3/Thoc2/Srsf7/Adar/Akap8l/Alyref/App/Arl6ip4/Bcas2/Casc3/Ccnt1/Cd2bp2/Cdc40/Cdk12/Cdk13/Celf4/Celf6/Cir1/Cirbp/Cpeb1/Cpeb3/Cpsf1/Cpsf2/Cpsf3/Cpsf4/Csdc2/Cstf3/Ctr9/Cwc25/Cwf19l2/Dcps/Ddx20/Ddx41/Dnajc17/Ecd/Eif4a3/Fam50a/Fmr1/Frg1/Gpkow/Hnrnpll/Hsf1/Khdc4/Khdrbs2/Khdrbs3/Kin/Larp7/Lsm11/Lsm4/Lsm7/Luc7l/Luc7l3/Magoh/Mettl14/Mettl3/Mfap1a/Ncbp2/Obi1/Paf1/Pan2/Pan3/Phf5a/Plcb1/Plrg1/Pnpt1/Ppil3/Ppp1r8/Ppp4r2/Ppwd1/Prkaca/Prkrip1/Prmt5/Prmt7/Prmt9/Prpf18/Prpf19/Prpf38a/Prpf38b/Rbfox1/Rbm11/Rbm15/Rbm27/Rbm3/Rbm5/Rbmx2/Rbmxl1/Rnf20/Rnps1/Rrp1b/Scaf1/Scaf8/Scnm1/Sf3a2/Sf3a3/Sf3b6/Sfswap/Slu7/Smn1/Smndc1/Snrnp40/Snrnp48/Snrpb/Snrpb2/Snrpc/Snrpd1/Srek1/Srpk1/Srrt/Srsf10/Srsf4/Srsf5/Srsf9/Sugp1/Sympk/Tbrg4/Tdrd6/Tfip11/Thoc1/Thoc7/Tra2b/Ttf2/Txnl4a/U2af1/Usp4/Virma/Wbp4/Wdr77/Wtap/Ybx1/Yju2/Ythdc1/Zcchc8/Zpr1",256
"GO:0008380","GO:0008380","RNA splicing","217/3868","327/9821",1.13882928925872e-23,2.9535537616925e-20,2.56776035536019e-20,"Tardbp/Hnrnpk/Ncl/Fus/Ddx5/Rbm14/Sart3/Srrm2/Grsf1/Nono/Hspa8/Sf3b1/Hnrnpa3/Npm1/Son/Pabpc1/Hnrnpa2b1/Sfpq/Dhx9/Ccar2/Hnrnpl/Thrap3/Habp4/Snrpd2/Syncrip/Hnrnpu/Snrpd3/Rbm17/Puf60/Fxr1/Ddx1/Sugp2/Rbm25/Sart1/Hnrnpa1/Strap/Sf1/Rbm10/Hnrnpm/Dhx15/Srrm1/Nup98/Ptbp3/Fxr2/Mbnl1/Acin1/Ddx46/Hnrnpc/Sf3a1/Elavl4/Pcbp4/Psip1/Rbm39/Sf3b3/Srpk2/Tcerg1/Prpf4/Taf9/Zranb2/Snrpa/Cdc5l/Polr2a/Coil/Khdrbs1/Htatsf1/Khsrp/Prpf31/Wbp11/Prpf40a/Ptbp2/Rbm12/Snrpa1/Snrnp200/Pnn/Hnrnpf/U2af2/Snw1/Celf2/Raly/Gemin5/Rbmx/Dazap1/Rbm22/Iws1/Paxbp1/Rbfox3/Snrpe/Celf1/Isy1/Prpf8/Ddx39b/Prpf4b/Prpf40b/Raver1/Ddx17/Cwc15/Srsf2/Hnrnph1/Rps13/Zmat2/Rbm28/Snrnp70/Rps26/Eftud2/Srsf3/Thoc2/Srsf7/Akt2/Alyref/Arl6ip4/Bcas2/Casc3/Cd2bp2/Cdc40/Cdk12/Cdk13/Celf4/Celf6/Cir1/Cirbp/Cwc25/Cwf19l2/Dcps/Ddx20/Ddx41/Dnajc17/Ecd/Eif4a3/Eny2/Fam50a/Fmr1/Frg1/Gpkow/Hnrnph2/Hnrnpll/Ivns1abp/Khdc4/Khdrbs2/Khdrbs3/Larp7/Lsm4/Lsm7/Luc7l/Luc7l3/Magoh/Mettl14/Mettl3/Mfap1a/Ncbp2/Obi1/Phf5a/Plrg1/Ppil3/Ppp1r8/Ppp4r2/Ppwd1/Prkrip1/Prmt1/Prmt5/Prmt7/Prpf18/Prpf19/Prpf38a/Prpf38b/Rbfox1/Rbm11/Rbm12b1/Rbm15/Rbm3/Rbm5/Rbmx2/Rbmxl1/Rnps1/Rrp1b/Rtcb/Scaf1/Scnm1/Sf3a2/Sf3a3/Sf3b6/Sfswap/Slc38a2/Slu7/Smn1/Smndc1/Snrnp40/Snrnp48/Snrpb/Snrpb2/Snrpc/Snrpd1/Srek1/Srpk1/Srsf10/Srsf4/Srsf5/Srsf9/Sugp1/Taf12/Tdrd6/Tfip11/Thoc1/Thoc7/Tra2b/Ttf2/Txnl4a/U2af1/Usp4/Virma/Wbp4/Wdr77/Wtap/Ybx1/Yju2/Ythdc1/Zcchc8/Zpr1",217
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","159/3868","226/9821",1.53604446800032e-21,2.65582088517255e-18,2.30891736874153e-18,"Upf1/Tardbp/Hnrnpk/Ncl/Fus/Ddx5/Csde1/Hspa8/Npm1/Son/Hnrnpd/Larp1/Pabpc1/Hnrnpa0/Hnrnpa2b1/Dhx9/Hnrnpl/Thrap3/Hnrnpab/Syncrip/Hnrnpu/Ythdf1/Tnrc6b/Paip1/Puf60/Fxr1/Gigyf2/Rbm25/Sf1/Rock2/Rbm10/Hnrnpm/Cpsf7/Srrm1/Nup98/Ptbp3/Fxr2/Mbnl1/Acin1/Myef2/Nudt21/Hnrnpc/Safb2/Safb/Elavl4/Pcbp4/Rbm39/Sltm/Exosc5/Srpk2/Ythdf3/Patl1/Zc3hav1/Snrpa/Nelfe/Rida/Khdrbs1/Larp4b/Khsrp/Elavl1/Cnot3/Cnot2/Eif4enif1/U2af2/Snw1/Celf2/Rbmx/Dazap1/Cnot8/Exosc8/Iws1/Tnrc6a/Rbfox3/Polr2d/Celf1/Gtpbp1/Papola/Cpsf6/Zc3h14/Carhsp1/Raver1/Ddx17/Srsf2/Dhx36/Snrnp70/Cdk9/Cdc73/Srsf3/Srsf7/Brf1/Cacng7/Casc3/Ccnt1/Celf4/Celf6/Cirbp/Cnot1/Cpeb1/Cpeb3/Csdc2/Ctr9/Dcp1a/Dcp1b/Dcp2/Dcps/Dicer1/Eif4a3/Exosc9/Fmr1/Fto/Hsf1/Khdrbs2/Khdrbs3/Larp7/Magoh/Mettl14/Mettl16/Mettl3/Mex3d/Mlh1/Mtor/Ncbp2/Obi1/Paf1/Pan2/Pan3/Pnpt1/Prmt5/Prpf19/Pum1/Pum2/Rbfox1/Rbm11/Rbm15/Rbm3/Rbm5/Rbmxl1/Rc3h1/Rc3h2/Rnf20/Rnps1/Samd4b/Sfswap/Srpk1/Srsf10/Srsf4/Srsf9/Tbrg4/Tirap/Tnrc6c/Tra2b/Tut4/Tut7/Virma/Wdr77/Wtap/Ybx1/Ythdc1/Ythdf2",159
"GO:0010608","GO:0010608","post-transcriptional regulation of gene expression","224/3868","356/9821",5.89819453489695e-20,7.64848376312761e-17,6.64943825986803e-17,"Upf1/Tardbp/Ncl/Fus/Ddx5/Ppp3ca/Eif5/Ddx3x/Eif4g2/Impact/Rpl26/Csde1/Pym1/Eif4g1/Ilf3/Npm1/Stat3/Gspt1/Ddx6/Hnrnpd/Larp1/Pabpc1/Hnrnpa0/Eif4g3/Dhx9/Mapk3/Hnrnpl/Thrap3/Habp4/Syncrip/Hnrnpu/Eif3b/Ythdf1/Ckap5/Ppp1ca/Tnrc6b/Cdc37/Paip1/Cpeb2/Etf1/Tpr/Tdrd7/Fxr1/Eif2a/Gigyf2/Eif3d/Eif4e/Rock2/Rbm10/Hnrnpm/Trap1/Sarnp/Fxr2/Rps3/Myef2/Nudt21/Tsnax/Nck1/Rpl22/Eif2ak2/Eif5a/Caprin1/Elavl4/Dkc1/Pcbp4/Exosc5/Rpl5/Bzw1/Rpl13a/Ythdf3/Matr3/Patl1/Tcof1/Poldip3/Rida/Khdrbs1/Mecp2/Larp4b/Khsrp/Hbs1l/Gapdh/Ncor2/Elavl1/Cnot3/Shmt2/Ctif/Cnot2/Eif4enif1/Larp4/Gcn1/Rbms3/Celf2/Zcchc17/Gemin5/Ncor1/Rpl10/Fbxo4/Abcf1/Eif3e/Cnot8/Exosc8/Tnrc6a/Pkm/Polr2d/Celf1/Cpeb4/Lsm14b/Eef2/Ncbp3/Ddx39b/Zc3h14/Pml/Carhsp1/Zc3h18/Rack1/Xrn1/Dhx36/Krt17/Abce1/Adar/Ago3/Akt1/Akt2/App/Brf1/Bzw2/Cacng7/Caprin2/Casc3/Cirbp/Cnbp/Cnot1/Cnot10/Cnot11/Coa3/Cpeb1/Cpeb3/Csdc2/Dapk1/Dcp1a/Dcp1b/Dcp2/Dcps/Dicer1/Dnajc1/Dus3l/Eif1/Eif2ak3/Eif2ak4/Eif2b5/Eif2s1/Eif2s3x/Eif3k/Eif4a3/Eif4e2/Eif5a2/Eif5b/Eif6/Epb41l5/Exosc9/Fech/Fmr1/Foxo3/Fto/Gle1/Helz/Inpp5e/Larp6/Lsm14a/Magoh/Map2k1/Map2k2/Mapk1/Marf1/Mettl14/Mettl16/Mettl3/Mex3d/Mknk1/Mlh1/Mrps27/Msi1/Msi2/Mtor/Nat10/Ncbp2/Nfkb1/Nolc1/Ogfod1/Otud6b/Paip2/Pan2/Pan3/Pelo/Phax/Pnpt1/Prkca/Ptk2b/Pum1/Pum2/Pus7/Rbm3/Rc3h1/Rc3h2/Rpl38/Rplp1/Rps6kb1/Rps6kb2/Samd4b/Taco1/Tarbp2/Tbrg4/Tial1/Tirap/Tnrc6c/Tsc1/Tsn/Tut4/Tut7/Unk/Usp16/Ybx1/Ythdc1/Ythdf2",224
"GO:0006417","GO:0006417","regulation of translation","180/3868","281/9821",2.1420821612745e-17,1.7989729022752e-14,1.56399093144744e-14,"Upf1/Tardbp/Ncl/Eif5/Ddx3x/Eif4g2/Impact/Rpl26/Csde1/Pym1/Eif4g1/Ilf3/Npm1/Gspt1/Ddx6/Hnrnpd/Larp1/Pabpc1/Eif4g3/Dhx9/Mapk3/Hnrnpl/Habp4/Syncrip/Hnrnpu/Eif3b/Ythdf1/Ppp1ca/Tnrc6b/Paip1/Cpeb2/Etf1/Tpr/Fxr1/Eif2a/Gigyf2/Eif3d/Eif4e/Rock2/Trap1/Sarnp/Fxr2/Rps3/Nck1/Rpl22/Eif2ak2/Eif5a/Caprin1/Elavl4/Exosc5/Rpl5/Bzw1/Rpl13a/Ythdf3/Patl1/Tcof1/Poldip3/Rida/Khdrbs1/Larp4b/Khsrp/Hbs1l/Gapdh/Elavl1/Cnot3/Shmt2/Ctif/Cnot2/Eif4enif1/Larp4/Gcn1/Rbms3/Gemin5/Rpl10/Abcf1/Eif3e/Cnot8/Exosc8/Tnrc6a/Pkm/Polr2d/Celf1/Cpeb4/Lsm14b/Eef2/Ddx39b/Pml/Rack1/Xrn1/Dhx36/Krt17/Abce1/Ago3/Akt1/Akt2/App/Bzw2/Caprin2/Casc3/Cirbp/Cnbp/Cnot1/Cnot10/Cnot11/Coa3/Cpeb1/Cpeb3/Dapk1/Dcp1a/Dcp1b/Dcp2/Dcps/Dnajc1/Dus3l/Eif1/Eif2ak3/Eif2ak4/Eif2b5/Eif2s1/Eif2s3x/Eif3k/Eif4a3/Eif4e2/Eif5a2/Eif5b/Eif6/Exosc9/Fech/Fmr1/Foxo3/Fto/Gle1/Inpp5e/Larp6/Lsm14a/Magoh/Mapk1/Mettl14/Mettl16/Mettl3/Mex3d/Mknk1/Mlh1/Mrps27/Msi1/Msi2/Mtor/Nat10/Ncbp2/Nolc1/Ogfod1/Otud6b/Paip2/Pan2/Pan3/Pelo/Pnpt1/Prkca/Ptk2b/Pum1/Pum2/Pus7/Rbm3/Rc3h1/Rc3h2/Rpl38/Rplp1/Rps6kb1/Rps6kb2/Samd4b/Taco1/Tarbp2/Tnrc6c/Tsc1/Tut4/Tut7/Unk/Usp16/Ybx1/Ythdf2",180
"GO:0010256","GO:0010256","endomembrane system organization","246/3868","413/9821",2.1984402434065e-17,1.7989729022752e-14,1.56399093144744e-14,"Tardbp/Synj1/Sec22b/Sptbn1/Rab3gap2/Lnpk/Asap1/Coro1c/Ap3s1/Chmp4b/Chmp2b/Rtn4/Vcpip1/Vapb/Epb41l3/Rtn3/Snap29/Snap47/Anxa6/Myo18a/Emd/Wasl/Dctn1/Bin1/Gak/Ank3/Cog1/Ap3s2/Dnm1/Reep5/Snap25/Flot1/Camsap3/Snx3/Ap3d1/Nsfl1c/Clasp2/Exoc8/Trappc12/Vti1b/Camsap2/Arfgef1/Cplx1/Fnbp1l/Sec16a/Ubl4a/Pacsin1/Sec31a/Gorasp2/Clasp1/Snx9/Mapk3/Plec/Pik3c3/Atl1/Nploc4/Baiap2l1/Ankle2/Ehd3/Surf4/Arhgef7/Esyt1/Sun1/Rbsn/Stxbp1/Prkcd/Ank2/Cplx2/Chmp3/Esyt2/Ywhaz/Sqstm1/Retreg1/Anxa2/Atp2a2/Bcas3/Arfgef2/Uso1/Golph3/Nup93/Sec23ip/Pacsin2/Myh9/Plscr3/Aktip/S100a10/Steep1/Lmnb1/Agfg1/Golga5/Akap9/Dysf/Nectin2/Lemd3/Lmnb2/Coro7/Hook3/Fhip1b/Huwe1/Cltc/Chmp5/Mta1/Lmna/Vamp4/Psap/Pals1/Lamtor1/Vamp1/Cdc42/Usp6nl/Cav2/Abca7/Abcd2/Akap8l/Akt1/Akt2/Ano3/Ano4/Ano6/Ap1b1/Ap1g1/Ap1s2/Ap3m1/Aqp1/Ar/Arhgap21/Baiap2/Banf1/Bet1/Blzf1/Bnip1/Ccdc136/Ccdc47/Cert1/Chmp1a/Chmp2a/Chmp7/Cog2/Cog3/Cog4/Cog5/Cog6/Cog7/Creb1/Csnk1d/Dtnbp1/Eif2ak3/Emc2/Emc7/Emc8/Gcc2/Get3/Get4/Golga2/Golph3l/Gorasp1/Hdac3/Hook1/Hook2/Hps5/Htt/Jagn1/Lman2l/Lyst/Map2k1/Map2k2/Mapk1/Mia3/Micall1/Mmgt1/Mtss1/Myh10/Myo5a/Nbeal2/Ndel1/Nup155/Optn/Osbp/Osbpl2/Pafah1b1/Pde4dip/Pex5/Pheta1/Pi4k2a/Plekhm2/Polr2m/Prkd1/Prmt5/Prrt2/Pten/Rab10/Rab18/Rab2a/Rab2b/Rab3a/Rab3gap1/Rab5b/Rab6b/Reep1/Reep2/Retreg2/Sh3gl2/Sh3glb1/Smpd4/Snapin/Snx10/Snx19/Sod1/Spast/Sptb/Stk25/Stx12/Stx17/Stx18/Stx1b/Stx6/Syne1/Syt1/Syt11/Syt2/Syt4/Syt7/Tbc1d20/Tmcc1/Tmf1/Tor1aip1/Ubxn2b/Use1/Usp8/Vamp7/Vmp1/Vps11/Vps18/Vps33b/Vps4a/Vps4b/Vps51/Vti1a/Washc1/Washc4/Washc5/Xrcc4/Yipf4/Yipf5/Zfyve27/Zw10",246
"GO:0048193","GO:0048193","Golgi vesicle transport","156/3868","235/9821",2.42776370077625e-17,1.7989729022752e-14,1.56399093144744e-14,"Scyl1/Sec22b/Sptbn1/Eps15/Copb2/Ap3s1/Rint1/Gga3/Vapb/Copz1/Scfd1/Myo18a/Ank1/Bcap31/Gak/Ank3/Cog1/Ap3s2/Vapa/Arfgap2/Phaf1/Snx3/Ap3d1/Exoc8/Trappc12/Vti1b/Rabep1/Sec16a/Sec31a/Macf1/Cnst/Arcn1/Snx2/Gga1/Nsf/Exoc4/Vcp/Plcb3/Arf5/Ehd3/Ykt6/Rbsn/Trappc9/Gopc/Stxbp6/Golga4/Csk/Vamp2/Copa/Rer1/Copg2/Preb/Arfgef2/Uso1/Golph3/Snx1/Ccdc93/Cux1/Snx12/Steep1/Sec24a/Copb1/Ccdc22/Golga5/Arl3/Myo1b/Slc30a6/Copg1/Gosr1/Vamp4/Ankfy1/Rack1/Acsl3/Ap1g1/Ap4m1/Arf1/Arf4/Arfgap3/Arfrp1/Atp2c1/Atp9a/Bcap29/Bet1/Bet1l/Bicd2/Blzf1/Bnip1/Ccdc91/Cog2/Cog3/Cog4/Cog5/Cog6/Cog7/Cope/Copz2/Cul3/Cyth3/Dop1a/Dop1b/Ergic1/Ergic3/Exoc1/Exoc2/Exoc6/Exoc6b/Gabarapl2/Gcc2/Gga2/Golga2/Golph3l/Gosr2/Htt/Hyou1/Kif16b/Lman2l/Lyplal1/Mia2/Mia3/Myo5a/Nrbp1/Nrbp2/Optn/Pgap1/Prkd1/Rab10/Rab14/Rab6b/Sar1a/Sar1b/Sec22a/Spast/Spire2/Stx17/Stx18/Stx6/Tbc1d20/Tmem115/Trappc10/Trappc2l/Trappc3/Trappc4/Trappc6b/Use1/Uvrag/Vamp7/Vps41/Vps51/Vps52/Vps54/Vti1a/Yif1a/Yif1b/Yipf4/Yipf5/Zw10",156
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","151/3868","227/9821",6.01504480038818e-17,3.12000373796135e-14,2.71246862366979e-14,"Hnrnpk/Ncl/Ddx5/Rbm14/Sart3/Srrm2/Hspa8/Sf3b1/Hnrnpa3/Npm1/Son/Hnrnpa2b1/Sfpq/Dhx9/Hnrnpl/Thrap3/Snrpd2/Hnrnpu/Snrpd3/Rbm17/Puf60/Fxr1/Rbm25/Sart1/Hnrnpa1/Strap/Sf1/Rbm10/Hnrnpm/Srrm1/Nup98/Ptbp3/Fxr2/Mbnl1/Acin1/Ddx46/Sf3a1/Pcbp4/Psip1/Rbm39/Sf3b3/Srpk2/Prpf4/Snrpa/Cdc5l/Coil/Khdrbs1/Htatsf1/Prpf31/Wbp11/Prpf40a/Ptbp2/Snrpa1/Snrnp200/U2af2/Snw1/Celf2/Gemin5/Rbmx/Dazap1/Rbm22/Paxbp1/Rbfox3/Snrpe/Celf1/Isy1/Prpf8/Ddx39b/Prpf4b/Prpf40b/Raver1/Ddx17/Cwc15/Srsf2/Zmat2/Snrnp70/Eftud2/Srsf3/Srsf7/Bcas2/Casc3/Cdc40/Cdk13/Celf4/Celf6/Cirbp/Cwc25/Cwf19l2/Dcps/Ddx20/Ddx41/Dnajc17/Eif4a3/Fmr1/Gpkow/Khdc4/Khdrbs2/Khdrbs3/Larp7/Lsm4/Lsm7/Luc7l/Luc7l3/Magoh/Mettl14/Mettl3/Mfap1a/Ncbp2/Obi1/Phf5a/Plrg1/Prmt5/Prmt7/Prpf18/Prpf19/Prpf38a/Rbfox1/Rbm11/Rbm15/Rbm3/Rbm5/Rbmx2/Rbmxl1/Rnps1/Scnm1/Sf3a2/Sf3a3/Sf3b6/Sfswap/Slu7/Smn1/Snrpb/Snrpb2/Snrpc/Snrpd1/Srpk1/Srsf10/Srsf4/Srsf5/Srsf9/Tdrd6/Tfip11/Tra2b/Txnl4a/U2af1/Usp4/Wbp4/Wdr77/Wtap/Yju2/Ythdc1",151
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","151/3868","227/9821",6.01504480038818e-17,3.12000373796135e-14,2.71246862366979e-14,"Hnrnpk/Ncl/Ddx5/Rbm14/Sart3/Srrm2/Hspa8/Sf3b1/Hnrnpa3/Npm1/Son/Hnrnpa2b1/Sfpq/Dhx9/Hnrnpl/Thrap3/Snrpd2/Hnrnpu/Snrpd3/Rbm17/Puf60/Fxr1/Rbm25/Sart1/Hnrnpa1/Strap/Sf1/Rbm10/Hnrnpm/Srrm1/Nup98/Ptbp3/Fxr2/Mbnl1/Acin1/Ddx46/Sf3a1/Pcbp4/Psip1/Rbm39/Sf3b3/Srpk2/Prpf4/Snrpa/Cdc5l/Coil/Khdrbs1/Htatsf1/Prpf31/Wbp11/Prpf40a/Ptbp2/Snrpa1/Snrnp200/U2af2/Snw1/Celf2/Gemin5/Rbmx/Dazap1/Rbm22/Paxbp1/Rbfox3/Snrpe/Celf1/Isy1/Prpf8/Ddx39b/Prpf4b/Prpf40b/Raver1/Ddx17/Cwc15/Srsf2/Zmat2/Snrnp70/Eftud2/Srsf3/Srsf7/Bcas2/Casc3/Cdc40/Cdk13/Celf4/Celf6/Cirbp/Cwc25/Cwf19l2/Dcps/Ddx20/Ddx41/Dnajc17/Eif4a3/Fmr1/Gpkow/Khdc4/Khdrbs2/Khdrbs3/Larp7/Lsm4/Lsm7/Luc7l/Luc7l3/Magoh/Mettl14/Mettl3/Mfap1a/Ncbp2/Obi1/Phf5a/Plrg1/Prmt5/Prmt7/Prpf18/Prpf19/Prpf38a/Rbfox1/Rbm11/Rbm15/Rbm3/Rbm5/Rbmx2/Rbmxl1/Rnps1/Scnm1/Sf3a2/Sf3a3/Sf3b6/Sfswap/Slu7/Smn1/Snrpb/Snrpb2/Snrpc/Snrpd1/Srpk1/Srsf10/Srsf4/Srsf5/Srsf9/Tdrd6/Tfip11/Tra2b/Txnl4a/U2af1/Usp4/Wbp4/Wdr77/Wtap/Yju2/Ythdc1",151
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","151/3868","227/9821",6.01504480038818e-17,3.12000373796135e-14,2.71246862366979e-14,"Hnrnpk/Ncl/Ddx5/Rbm14/Sart3/Srrm2/Hspa8/Sf3b1/Hnrnpa3/Npm1/Son/Hnrnpa2b1/Sfpq/Dhx9/Hnrnpl/Thrap3/Snrpd2/Hnrnpu/Snrpd3/Rbm17/Puf60/Fxr1/Rbm25/Sart1/Hnrnpa1/Strap/Sf1/Rbm10/Hnrnpm/Srrm1/Nup98/Ptbp3/Fxr2/Mbnl1/Acin1/Ddx46/Sf3a1/Pcbp4/Psip1/Rbm39/Sf3b3/Srpk2/Prpf4/Snrpa/Cdc5l/Coil/Khdrbs1/Htatsf1/Prpf31/Wbp11/Prpf40a/Ptbp2/Snrpa1/Snrnp200/U2af2/Snw1/Celf2/Gemin5/Rbmx/Dazap1/Rbm22/Paxbp1/Rbfox3/Snrpe/Celf1/Isy1/Prpf8/Ddx39b/Prpf4b/Prpf40b/Raver1/Ddx17/Cwc15/Srsf2/Zmat2/Snrnp70/Eftud2/Srsf3/Srsf7/Bcas2/Casc3/Cdc40/Cdk13/Celf4/Celf6/Cirbp/Cwc25/Cwf19l2/Dcps/Ddx20/Ddx41/Dnajc17/Eif4a3/Fmr1/Gpkow/Khdc4/Khdrbs2/Khdrbs3/Larp7/Lsm4/Lsm7/Luc7l/Luc7l3/Magoh/Mettl14/Mettl3/Mfap1a/Ncbp2/Obi1/Phf5a/Plrg1/Prmt5/Prmt7/Prpf18/Prpf19/Prpf38a/Rbfox1/Rbm11/Rbm15/Rbm3/Rbm5/Rbmx2/Rbmxl1/Rnps1/Scnm1/Sf3a2/Sf3a3/Sf3b6/Sfswap/Slu7/Smn1/Snrpb/Snrpb2/Snrpc/Snrpd1/Srpk1/Srsf10/Srsf4/Srsf5/Srsf9/Tdrd6/Tfip11/Tra2b/Txnl4a/U2af1/Usp4/Wbp4/Wdr77/Wtap/Yju2/Ythdc1",151
