"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","121/1393","318/9821",5.38650711363806e-27,2.57905960600991e-23,2.18465388514184e-23,"Mapt/Ncam1/Dmtn/Add1/Sptan1/Cttn/Sptbn1/Map1b/Fermt2/Add2/Prune1/Tppp3/Avil/Map2/Stxbp1/Capzb/Eif4g1/Cdc42ep4/Dbn1/Park7/Dbnl/Vcp/Tmod1/Snca/Mapre1/Stmn1/Hsp90aa1/Lcp1/Tppp/Capza2/Capg/Stxbp6/Pfn1/Jam3/Rac1/Gsn/Arpc2/Tpm1/Cfl1/Msn/Dctn1/Cdc42/Arfgef1/Arhgap28/Arhgef7/Arl2/Arpc1b/Arpc5/Asap1/Atr/Baiap2l1/Bin1/Birc2/Camsap1/Camsap2/Camsap3/Carmil2/Cdkn1b/Ckap5/Clasp2/Clip1/Coro1a/Cracd/Dab2ip/Ddx3x/Eif2ak2/Eln/Eml2/Epn1/Fchsd1/Fkbp4/Git1/Gsk3b/Hcfc1/Hck/Hdac6/Hip1r/Ica1/Impact/Inpp5j/Kank4/Mapk9/Mapre3/Mtpn/Napa/Nck1/Nek7/Pak1/Pex5/Ppm1a/Ppp2r5b/Prkcd/Prkce/Prrt2/Ptk2b/Ptpn11/Rab3a/Rab3gap1/Raf1/Rdx/Rims1/Riok3/Sh3glb1/Sirt2/Slain2/Snap91/Snx9/Stmn2/Stub1/Stx1b/Stxbp5/Tbcd/Tmod2/Tmsb4x/Trappc12/Trim9/Ttbk1/Twf1/Twf2/Vasp/Wars1",121
"GO:0051493","GO:0051493","regulation of cytoskeleton organization","135/1393","422/9821",1.051322613742e-21,2.51686633729834e-18,2.13197159513048e-18,"Map6/Mapt/Map1a/Dmtn/Add1/Sptan1/Cttn/Sptbn1/Map1b/Chmp4b/Fermt2/Add2/Prune1/Arhgdia/Avil/Map2/Pak2/Capzb/Washc2/Cdc42ep4/Nf2/Chmp2b/Dbn1/Dbnl/Dync1h1/Tmod1/Snca/Hsph1/Mapre1/Stmn1/Mapre2/Tppp/Capza2/Capg/Pfn1/Jam3/Rac1/Dstn/Wdr1/Gsn/Arpc2/Tpm1/Vps4b/Cfl1/Dctn1/Cltc/Cdc42/Akap13/Arap1/Arf1/Arfgef1/Arfip2/Arhgap17/Arhgap28/Arhgap35/Arhgap44/Arhgef18/Arhgef7/Arl2/Arpc1b/Arpc5/Arpin/Baiap2l1/Bcas3/Bicd1/Bin1/Braf/Camsap1/Camsap2/Camsap3/Carmil2/Cd2ap/Cdkn1b/Chmp1a/Chmp5/Chmp7/Ckap5/Clasp1/Clasp2/Clip1/Coro1a/Coro1b/Cracd/Cyld/Eln/Eml2/Eml4/Fchsd1/Fgf13/Fkbp4/Fsd1/Git1/Gsk3b/Hck/Hdac6/Hip1r/Ilk/Inpp5j/Kank4/Katnb1/Mapk3/Mapre3/Mark2/Mtpn/Mtss1/Naa80/Nck1/Pafah1b1/Pak1/Pfdn2/Pick1/Pik3ca/Prkaa1/Prkcd/Prkce/Prkcq/Ptk2b/Rdx/Rock2/S100a10/Slain2/Snx9/Spryd4/Stmn2/Synpo/Tbcd/Tmod2/Tmsb4x/Trim36/Tsc1/Twf1/Twf2/Vasp/Wasf1/Wasl",135
"GO:0032271","GO:0032271","regulation of protein polymerization","75/1393","173/9821",5.08296376399811e-21,8.11241016734099e-18,6.87181030971394e-18,"Mapt/Dmtn/Add1/Sptan1/Cttn/Sptbn1/Map1b/Add2/Prune1/Tppp3/Avil/Map2/Capzb/Cdc42ep4/Dbn1/Dbnl/Tmod1/Snca/Mapre1/Stmn1/Hsp90aa1/Tppp/Capza2/Capg/Pfn1/Rac1/Gsn/Arpc2/Tpm1/Cfl1/Dctn1/Arfgef1/Arhgap28/Arhgef7/Arl2/Arpc1b/Arpc5/Baiap2l1/Bin1/Camsap1/Camsap2/Camsap3/Carmil2/Cdkn1b/Ckap5/Clasp2/Clip1/Coro1a/Cracd/Eln/Eml2/Fchsd1/Fkbp4/Git1/Hip1r/Inpp5j/Kank4/Mapre3/Mtpn/Nck1/Pak1/Prkcd/Prkce/Ptk2b/Rdx/Slain2/Snx9/Stmn2/Tbcd/Tmod2/Tmsb4x/Ttbk1/Twf1/Twf2/Vasp",75
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","109/1393","318/9821",3.21598309579892e-20,3.8495317656713e-17,3.2608375968719e-17,"Mapt/Map1a/Dmtn/Add1/Sptan1/Cttn/Sptbn1/Map1b/Fermt2/Add2/Prune1/Avil/Hspa8/Map2/Pak2/Capzb/Washc2/Cdc42ep4/Nf2/Dbn1/Dbnl/Tmod1/Snca/Mapre1/Stmn1/Capza2/Capg/Pfn1/Rac1/Dstn/Wdr1/Gsn/Arpc2/Tpm1/Cfl1/Dctn1/Hspg2/Cdc42/Akap13/Arap1/Arf1/Arfgef1/Arfip2/Arhgap28/Arhgap35/Arhgef18/Arhgef7/Arl2/Arpc1b/Arpc5/Arpin/Baiap2l1/Bin1/Braf/Camsap1/Camsap2/Camsap3/Carmil2/Cdkn1b/Ckap5/Clasp1/Clasp2/Clip1/Coro1a/Coro1b/Cracd/Eln/Eml2/Eml4/Fchsd1/Fgf13/Fkbp4/Git1/Hdac6/Hip1r/Inpp5j/Kank4/Katnb1/Mapre3/Mtpn/Mtss1/Naa80/Nck1/Pak1/Pfdn2/Pfdn6/Pick1/Pik3ca/Prkcd/Prkce/Prkcq/Ptk2b/Rdx/Rock2/S100a10/Slain2/Snx9/Stmn2/Synpo/Tbcd/Tmod2/Tmsb4x/Tsc1/Twf1/Twf2/Vasp/Vbp1/Wasf1/Wasl",109
"GO:0051258","GO:0051258","protein polymerization","85/1393","225/9821",5.41994607198377e-19,5.19014035853166e-16,4.39643204533757e-16,"Mapt/Dmtn/Add1/Sptan1/Cttn/Nefl/Sptbn1/Map1b/Chmp4b/Add2/Prune1/Tppp3/Avil/Map2/Capzb/Cdc42ep4/Dbn1/Dbnl/Tmod1/Snca/Mapre1/Stmn1/Hsp90aa1/Tppp/Capza2/Capg/Pfn1/Rac1/Gsn/Arpc2/Tpm1/Cfl1/Dctn1/Fgg/Arfgef1/Arhgap28/Arhgef7/Arl2/Arpc1b/Arpc5/Baiap2l1/Bin1/Camsap1/Camsap2/Camsap3/Carmil2/Cdkn1b/Ckap5/Clasp1/Clasp2/Clip1/Coro1a/Cracd/Diaph2/Dnm1l/Eln/Eml2/Fchsd1/Fgf13/Fkbp4/Git1/Hip1r/Inpp5j/Kank4/Mapre3/Micall2/Mtpn/Mtss1/Nck1/Pak1/Prkcd/Prkce/Ptk2b/Rdx/Slain2/Snx9/Stmn2/Tbcd/Tmod2/Tmsb4x/Ttbk1/Twf1/Twf2/Vasp/Wasl",85
"GO:0022411","GO:0022411","cellular component disassembly","110/1393","335/9821",8.89208729215411e-19,7.09588565913898e-16,6.01073900643329e-16,"Map1a/Dmtn/Add1/Sptan1/Cttn/Sptbn1/Gspt1/Map1b/Upf1/Synj1/Chmp4b/Add2/Avil/Hspa8/Map2/Tigar/Capzb/Wipi2/Slc25a4/Slc25a5/Chmp2b/Sh3gl1/Vcp/Tmod1/Nsf/Stmn1/Mapre2/Lcp1/Kif5b/Capza2/Capg/Septin7/Dstn/Eif5a/Wdr1/Gsn/Arpc2/Tpm1/Vps4b/Cfl1/Phb2/Dctn1/Arfip2/Atg2a/Atg2b/Atg3/Camsap1/Camsap2/Camsap3/Carmil2/Casp3/Cdc37/Chmp1a/Chmp5/Chmp7/Clasp1/Clasp2/Cracd/Dffa/Dnajc6/Dnm1l/Dusp3/Eif5a2/Eml4/Etf1/Exoc8/Fgf13/Flot1/Fundc2/Gak/Gsk3b/Hdac6/Iqsec1/Katnb1/Klc1/Lamc1/Mical1/Mical3/Mtpn/Napa/Nckap5l/Oga/Optn/Pafah1b1/Pex14/Pik3c3/Pik3ca/Pik3r4/Prkaa1/Pym1/Rdx/Retreg1/Retreg2/Sh3gl2/Slc25a46/Smcr8/Snap29/Spast/Sqstm1/Stmn2/Stx17/Tmod2/Twf1/Twf2/Uba5/Ufc1/Vps13c/Vps16/Vps4a/Wdr45",110
"GO:0060627","GO:0060627","regulation of vesicle-mediated transport","137/1393","474/9821",1.18769426818241e-17,8.12382879436766e-15,6.88148272978468e-15,"Add1/Aak1/Ppp3ca/Synj1/Epn2/Anxa2/Smap1/Hspa8/Stxbp1/Vsnl1/Septin5/Arhgap1/Cadps/Hnrnpk/Sh3gl1/Ehd1/Cplx1/Nsf/Snca/Kif5b/Gripap1/Vps4b/Msn/Rala/Snx12/Pls3/Atad1/Fgg/Cdc42/Abr/Amph/Ankrd13d/Ap2b1/Appl1/Arf1/Arfgap1/Arhgap44/Arrb2/Atg3/Atp9a/Bcr/Bicd1/Bin1/Braf/Camk1d/Cbarp/Cbl/Cd151/Cd2ap/Ckap5/Clasp1/Clasp2/Cnst/Coro1a/Cplx2/Csk/Cyth1/Dgki/Dnajc6/Dnm1/Dnm1l/Ehd4/Flot1/Gab2/Git1/Gopc/Gsk3b/Hck/Hgs/Hip1r/Inpp5f/Iqsec1/Itsn1/Lrsam1/Map2k1/Mapk3/Mical1/Mtmr2/Myo18a/Nedd4/Numb/Pacsin1/Pacsin2/Pclo/Picalm/Pick1/Pip5k1c/Ppp3cc/Prkaa1/Prkca/Prkcb/Prkce/Prrt2/Ptpn23/Rab11b/Rab15/Rab3a/Rab3c/Rab3gap1/Rabgef1/Rap1gap/Rdx/Rims1/Rint1/Rph3a/S100a10/Scfd1/Scyl2/Sdcbp/Septin4/Sh3gl2/Sh3glb1/Sirt2/Smcr8/Snap29/Snap91/Snf8/Snx3/Sod1/Stam/Stx18/Stx1b/Stxbp5/Stxbp5l/Syn1/Syp/Syt4/Syt6/Syt7/Tbc1d5/Trim9/Use1/Vamp1/Vamp7/Vps11/Vps4a/Wasl",137
"GO:0051640","GO:0051640","organelle localization","131/1393","449/9821",2.80597248181656e-17,1.60360328770549e-14,1.35837037056001e-14,"Map6/Mapt/Map4/Ncam1/Nefl/Map1b/Spag9/Synj1/Chmp4b/Alb/Ran/Ahcyl1/Map2/Nefh/Stxbp1/Dpysl2/Septin5/Dctn2/Myh9/Chmp2b/Ap3d1/Dync1h1/Pacs2/Uchl1/Kif5a/Ywhaz/Snca/Mapre1/Nudc/Kif5b/Actr10/Nsfl1c/Arcn1/Steap3/Vps4b/Actr2/Cfl1/Exoc4/Dctn1/Cdc42/Agtpbp1/Ap3b2/Ap3s1/Ap3s2/Arf1/Arfgap2/Arfgap3/Atp9a/Bicd1/Bin1/Borcs5/Borcs6/Cdc42bpa/Chmp1a/Chmp5/Chmp7/Clasp1/Clasp2/Cops5/Cplx2/Dnm1/Dnm1l/Dnm3/Dock7/Dync1i1/Eml4/Esyt1/Esyt2/Exoc1/Exoc3/Exoc8/Fnbp1l/Gab2/Hdac6/Hgs/Ikbkg/Kif1a/Kif5c/Klc2/Lamtor1/Llgl1/Madd/Map2k1/Mark1/Mtm1/Myo1e/Pafah1b1/Pclo/Pdzd8/Pex14/Picalm/Ppfia3/Rab11b/Rab15/Rab3a/Rab3c/Rab3gap1/Rabgef1/Rims1/Ripor1/Scfd2/Sdcbp/Slc9a3r1/Snap29/Snap91/Snf8/Spast/Stam/Stk25/Stx17/Stx1b/Stx2/Stx7/Syn1/Syn2/Syne3/Syt4/Sytl2/Tacc1/Tacc2/Tanc2/Trappc10/Trappc12/Ttl/Vamp7/Vapb/Vps11/Vps4a/Wasf1/Wasl/Ykt6",131
"GO:0032984","GO:0032984","protein-containing complex disassembly","74/1393","192/9821",3.01429189418325e-17,1.60360328770549e-14,1.35837037056001e-14,"Map1a/Dmtn/Add1/Sptan1/Sptbn1/Gspt1/Map1b/Upf1/Synj1/Chmp4b/Add2/Avil/Hspa8/Map2/Capzb/Chmp2b/Sh3gl1/Vcp/Tmod1/Nsf/Stmn1/Kif5b/Capza2/Capg/Dstn/Eif5a/Wdr1/Gsn/Arpc2/Tpm1/Vps4b/Cfl1/Camsap1/Camsap2/Camsap3/Carmil2/Chmp1a/Chmp5/Chmp7/Clasp1/Clasp2/Cracd/Dnajc6/Eif5a2/Eml4/Etf1/Fgf13/Gak/Gsk3b/Hdac6/Katnb1/Klc1/Mical1/Mical3/Mtpn/Napa/Nckap5l/Oga/Pex14/Pik3c3/Pik3ca/Pik3r4/Pym1/Rdx/Sh3gl2/Smcr8/Snap29/Stmn2/Stx17/Tmod2/Twf1/Twf2/Vps16/Vps4a",74
"GO:0010256","GO:0010256","endomembrane system organization","123/1393","413/9821",4.87358280317541e-17,2.33347144616039e-14,1.97662258322472e-14,"Rtn4/Sptbn1/Anxa6/Coro1c/Synj1/Epb41l3/Chmp4b/Ank3/Anxa2/Sec22b/Tardbp/Rtn3/Stxbp1/Agfg1/Snap47/Myh9/Ank2/Chmp2b/Ap3d1/Cplx1/Plec/Ywhaz/Nsfl1c/Cd9/Gsn/Vps4b/Shtn1/Dctn1/Cltc/Col5a1/Cdc42/Ap1b1/Ankle2/Ap3s1/Ap3s2/Aqp1/Arfgef1/Arhgef7/Asap1/Atl1/Baiap2l1/Bcas3/Bin1/Camsap2/Camsap3/Chmp1a/Chmp3/Chmp5/Chmp7/Clasp1/Clasp2/Cog1/Coro7/Cplx2/Dnm1/Ehd3/Emd/Esyt1/Esyt2/Exoc8/Flot1/Fnbp1l/Gak/Golph3/Gorasp2/Lamtor1/Lnpk/Map2k1/Mapk3/Mtss1/Mtss2/Myo18a/Nploc4/Nup93/Optn/Pacsin1/Pacsin2/Pafah1b1/Pals1/Pex5/Pik3c3/Plscr3/Prkcd/Prrt2/Rab3a/Rab3gap1/Rab3gap2/Rab6b/Rbsn/Reep1/Reep5/Retreg1/Retreg2/S100a10/Sh3gl2/Sh3glb1/Slc9a3r1/Snap25/Snap29/Snx3/Snx9/Sod1/Spast/Sqstm1/Stk25/Stx17/Stx18/Stx1b/Stx2/Syt4/Syt7/Trappc12/Ubl4a/Use1/Usp8/Vamp1/Vamp7/Vapb/Vcpip1/Vps11/Vps4a/Vti1b/Wasl",123
