"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006897","GO:0006897","endocytosis","82/630","427/9821",4.29602422273305e-20,1.83440234310701e-16,1.6315847784864e-16,"Ckap5/Eps15/Add1/Aak1/Ppp3ca/Sncg/Wasl/Eps15l1/Dnm1l/Cd2ap/Scyl2/Esyt2/Fkbp15/Myo1e/Myh9/Clint1/Reps1/Dpysl2/Ap3d1/Dnm1/Ap3s1/Epn2/Mapk3/Arfgap1/Snx2/Sncb/Sh3gl1/Snx9/Ehd1/Gapvd1/Necap2/Actb/C3/Cltc/Hspg2/Amph/Ank2/Ankrd13d/Ap2b1/Ap2m1/Ap3b2/Arhgap21/Atp6v1h/Bin1/Cav2/Cd44/Cltb/Dnajc6/Dnm3/Ehbp1/Ehd3/Ehd4/Flot1/Fnbp1/Fnbp1l/Gak/Grk2/Hgs/Itgb1/Itsn2/Lrsam1/Myo18a/Necap1/Nedd4/Nsf/Numb/Pacsin1/Pik3c3/Prom2/Rab21/Rab5c/Rabgap1l/Reps2/Sgip1/Sh3bp4/Smap1/Snap25/Snap91/Snx1/Synj1/Syp/Syt7",82
"GO:0051640","GO:0051640","organelle localization","76/630","449/9821",1.89366429995066e-15,4.04297328039466e-12,3.5959688390642e-12,"Map6/Mapt/Ncam1/Map1b/Map4/Clasp2/Wasl/Dnm1l/Rab3c/Dock7/Septin5/Esyt1/Esyt2/Myo1e/Nudc/Tacc2/Myh9/Dctn2/Nefh/Dpysl2/Kif5b/Ap3d1/Dnm1/Ap3s1/Dctn1/Chmp4b/Exoc4/Arfgap2/Snap29/Pdcd6ip/Trappc12/Dync1h1/Lmnb2/Rab15/Actr2/Atp2a1/Actr10/Ap3b2/Arfgap3/Arhgap21/Bin1/Cav2/Champ1/Chmp7/Chp1/Dnm3/Exoc3/Fmn2/Fnbp1l/Hgs/Itgb1/Kif5a/Kif5c/Klc2/Madd/Mapre1/Nefl/Pacs2/Pafah1b1/Pclo/Pdzd8/Pex14/Rab11b/Scfd2/Snap91/Stam/Stx7/Stxbp1/Syn1/Syn2/Synj1/Tmed10/Trappc9/Vapb/Vps4b/Ykt6",76
"GO:0060627","GO:0060627","regulation of vesicle-mediated transport","76/630","474/9821",3.8023059467039e-14,5.41194879747522e-11,4.8135859142834e-11,"Ckap5/Clasp2/Add1/Aak1/Ppp3ca/Wasl/Dnm1l/Cd2ap/Rab3c/Scyl2/Septin5/Scfd1/Rint1/Abr/Arhgap1/Usp7/Kif5b/Git1/Dnm1/Epn2/Mapk3/Arfgap1/Sh3gl1/Snap29/Pdcd6ip/Ehd1/Rala/Tgm2/Rab15/C3/Fga/Amph/Ankrd13d/Ap2b1/Ap2m1/Arhgap21/Arhgap44/Bin1/Cadps/Coro1a/Cplx1/Dgki/Dnajc6/Ehd4/Flot1/Gnai2/Gsk3b/Hgs/Itgb1/Lrsam1/Mical1/Myo18a/Nedd4/Nsf/Numb/Pacsin1/Pclo/Pls3/Prom2/Ptpn23/Rab11b/Rab21/Rab5c/Rph3a/Septin4/Smap1/Smcr8/Snap91/Stam/Stxbp1/Syn1/Synj1/Syp/Syt7/Vps4b/Vsnl1",76
"GO:0010256","GO:0010256","endomembrane system organization","67/630","413/9821",8.16362860555686e-13,8.71467353643195e-10,7.75115052864451e-10,"Epb41l3/Clasp2/Rtn4/Ank3/Wasl/Rtn3/Anxa6/Bcas3/Sptbn1/Esyt1/Esyt2/Myh9/Ap3d1/Dnm1/Ap3s1/Mapk3/Dctn1/Chmp4b/Sec22b/Snx9/Snap29/Camsap3/Plec/Trappc12/Lmnb2/Aqp1/Cltc/Reep5/Plscr3/Chmp3/Ank2/Arfgef1/Arhgap21/Asap1/Atl1/Bin1/Camsap2/Cav2/Chmp7/Cplx1/Ehd3/Flot1/Fnbp1l/Gak/Gorasp2/Huwe1/Lnpk/Mtss1/Myo18a/Pacsin1/Pafah1b1/Pik3c3/Prkcd/Rab3gap2/Rab5c/Rab6b/Sec23ip/Snap25/Snap47/Stxbp1/Synj1/Syt7/Tmed10/Ubl4a/Vapb/Vcpip1/Vps4b",67
"GO:0022411","GO:0022411","cellular component disassembly","57/630","335/9821",6.55601298274877e-12,5.59883508726745e-09,4.97980944037001e-09,"Map1b/Map1a/Sptan1/Avil/Clasp2/Add1/Dnm1l/Wipi2/Sptbn1/Tigar/Slc25a5/Kif5b/Dctn1/Chmp4b/Sh3gl1/Stmn2/Septin7/Snap29/Lcp1/Capzb/Camsap3/Dusp3/C3/Smurf1/Cdc37/Vdac1/Phb2/Add2/Arfip2/Atg2b/Camsap1/Camsap2/Capza2/Chmp7/Dmtn/Dnajc6/Flot1/Gak/Gsk3b/Huwe1/Katnb1/Klc1/Mical1/Mical3/Nsf/Pafah1b1/Pex14/Pik3c3/Slc25a4/Slc25a46/Smcr8/Stmn1/Synj1/Tmod1/Tmod2/Vps13c/Vps4b",57
"GO:0051656","GO:0051656","establishment of organelle localization","56/630","330/9821",1.13357816159659e-11,7.36065319684407e-09,6.54683513723984e-09,"Map6/Mapt/Map1b/Map4/Clasp2/Wasl/Dock7/Myo1e/Nudc/Tacc2/Myh9/Dctn2/Nefh/Dpysl2/Kif5b/Ap3d1/Dnm1/Ap3s1/Dctn1/Chmp4b/Exoc4/Arfgap2/Pdcd6ip/Trappc12/Dync1h1/Lmnb2/Actr10/Ap3b2/Arfgap3/Arhgap21/Champ1/Chmp7/Chp1/Dnm3/Exoc3/Fmn2/Fnbp1l/Hgs/Itgb1/Kif5a/Kif5c/Madd/Mapre1/Nefl/Pafah1b1/Pclo/Pex14/Rab11b/Snap91/Stam/Stxbp1/Synj1/Tmed10/Trappc9/Vps4b/Ykt6",56
"GO:0036465","GO:0036465","synaptic vesicle recycling","25/630","80/9821",1.20666445849903e-11,7.36065319684407e-09,6.54683513723984e-09,"Sncg/Dnm1l/Plaa/Ap3d1/Git1/Dnm1/Ap3s1/Sncb/Sh3gl1/Actb/Cltc/Amph/Ap2b1/Ap2m1/Ap3b2/Bin1/Dnajc6/Dnm3/Itsn2/Pacsin1/Pclo/Snap91/Synj1/Syp/Syt7",25
"GO:0051493","GO:0051493","regulation of cytoskeleton organization","64/630","422/9821",5.68743833398575e-11,3.0356702107649e-08,2.70003651434482e-08,"Map6/Mapt/Map1b/Map1a/Sptan1/Ckap5/Avil/Clasp2/Add1/Wasl/Cd2ap/Bcas3/Sptbn1/Prune1/Washc2/Arhgdia/Fermt2/Git1/Arpin/Mapk3/Dctn1/Chmp4b/Phldb1/Stmn2/Snx9/Cgnl1/Capzb/Camsap3/Tpr/Dync1h1/Cltc/Arap1/Eln/Add2/Arfgef1/Arfip2/Arhgap17/Arhgap28/Arhgap44/Arhgef18/Arpc5/Bin1/Camsap1/Camsap2/Capza2/Chmp7/Coro1a/Coro1b/Cyld/Dmtn/Gsk3b/Hsph1/Katnb1/Mapre1/Mtss1/Pafah1b1/Prkcd/Prkcq/Slain2/Stmn1/Tmod1/Tmod2/Tubb4a/Vps4b",64
"GO:0006887","GO:0006887","exocytosis","52/630","308/9821",7.82661735127492e-11,3.71329512110488e-08,3.30274098285379e-08,"Ncam1/Clasp2/Dnm1l/Rab3c/Septin5/Myh9/Abr/Git1/Rab11fip5/Exoc4/Snap29/Pdcd6ip/Rala/Rab15/Fga/Arhgap17/Cadps/Coro1a/Cplx1/Dgki/Dmtn/Exoc3/Gnai2/Gsk3b/Hgs/Mical1/Mical3/Nsf/Pclo/Pex5l/Rab11b/Rab11fip2/Rab21/Rph3a/Scfd2/Septin4/Smcr8/Snap25/Snap47/Srcin1/Stam/Stxbp1/Syn2/Synj1/Syp/Syt7/Tmed10/Tmem79/Trarg1/Vps4b/Vsnl1/Ykt6",52
"GO:0048488","GO:0048488","synaptic vesicle endocytosis","22/630","69/9821",1.34635638337531e-10,5.22631068819325e-08,4.64847256575897e-08,"Sncg/Dnm1l/Ap3d1/Dnm1/Ap3s1/Sncb/Sh3gl1/Actb/Cltc/Amph/Ap2b1/Ap2m1/Ap3b2/Bin1/Dnajc6/Dnm3/Itsn2/Pacsin1/Snap91/Synj1/Syp/Syt7",22
