"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060627","GO:0060627","regulation of vesicle-mediated transport","240/2715","474/9821",1.41229181997655e-27,7.23375870191988e-24,5.76661049440951e-24,"Add1/Wasl/Aak1/Arhgap1/Anxa2/Rint1/Clasp2/Epn2/Picalm/Scyl2/Smap1/Pacsin1/Ckap5/Dnm1l/Snap29/Amph/Sh3gl1/Synj1/Arfgap1/Ppp3ca/Hnrnpk/Septin4/Pclo/Gsk3b/Kif5b/Nsf/Lrsam1/Git1/Numb/Septin5/Abr/Dnajc6/Flot1/Mapk3/Pdcd6ip/Snx3/Ehd1/Snap91/Bin1/Smcr8/Arhgap21/Cadps/Coro1a/Rab3c/Bcr/Arhgap44/Scfd1/Hspa8/Dnm1/Rap1gap/Rph3a/Myo18a/Itsn1/Syn1/Ap2b1/Stam/Cplx1/Syt7/Clasp1/Iqsec1/Syp/Stxbp5l/Rab11b/Bsn/Sh3gl2/Ap2a1/Syt6/Syt2/Map2k1/Magi2/Cask/Stxbp5/Camk1d/Trim9/Stxbp1/Rala/Rab21/Rims1/Gripap1/Vsnl1/Ndrg4/Vamp2/Syt1/Rab3a/Prkcb/Sirt2/Atad1/Pls3/Atp9a/Prrt2/Sod1/Cplx2/Msn/Gnai2/Cbarp/Prkca/Myo5a/Snx12/Scamp5/Napb/Ppp3cb/Septin2/Rab33b/Ap2m1/Vamp1/Hck/Dgkq/Sirpa/Snca/Rap1a/Rab10/Stx1b/Lgi3/Dvl1/Rab15/Rab3b/Actn4/Rab3d/Cdc42/Dab2/Preb/Ezr/Abca7/Acsl3/Ankrd13a/Ankrd13d/Ankrd27/Ap1g1/Apba1/Appl2/Arf1/Arrb2/Atg3/Atxn2/Bace1/Bicd1/Braf/C2cd5/C3/Cacna1a/Cacnb4/Cadps2/Calr/Cbl/Cd151/Cd2ap/Cdk5/Chmp2a/Clip3/Cnst/Csk/Cyth1/Dennd10/Dgki/Dlg4/Doc2b/Dysf/Efnb2/Ehd4/Eipr1/Exoc2/Fbxl20/Fer1l5/Gab2/Glrx/Gopc/Grm7/Hgs/Hip1/Hip1r/Inpp5f/Itgb1/Kcnb1/Kif3a/Lyplal1/Map2k2/Mapk1/Mctp1/Mical1/Mtmr2/Ncs1/Necab2/Nedd4/Ophn1/Pacsin2/Pard3/Pick1/Pip5k1c/Pla2g6/Ppfia2/Ppp3cc/Ppp3r1/Prepl/Prkaa1/Prkce/Pten/Ptpn23/Rab27a/Rab27b/Rab3gap1/Rab8a/Rabgef1/Rapgef4/Rdx/Rims2/Rims3/Rufy1/S100a10/Sar1a/Sdcbp/Sh3glb1/Slc17a7/Slc4a8/Snapin/Snf8/Snph/Snx4/Src/Ston2/Stx18/Stx1a/Syt12/Syt3/Syt5/Tbc1d4/Tbc1d5/Tnk2/Tsc2/Tsg101/Use1/Usp46/Usp7/Vamp7/Vps11/Vps18/Vps28/Vps4a/Vps4b/Wdr41/Wdr54",240
"GO:0006887","GO:0006887","exocytosis","173/2715","308/9821",1.12956674077949e-26,2.89282042313627e-23,2.30609967762297e-23,"Dmtn/Myh9/Anxa2/Clasp2/Pex5l/Dnm1l/Snap29/Srcin1/Synj1/Septin4/Pclo/Rab11fip5/Gsk3b/Nsf/Ykt6/Git1/Septin5/Abr/Snap25/Pdcd6ip/Exoc4/Mical3/Scamp1/Pak1/Smcr8/Cadps/Coro1a/Rab3c/Bcr/Rph3a/Syn2/Itsn1/Rab11fip2/Stam/Cplx1/Syt7/Clasp1/Syp/Stxbp5l/Scrn1/Syngr3/Rab11b/Snap47/Syt6/Syt2/Cask/Stxbp5/Trim9/Stxbp1/Rala/Rab21/Rims1/Vsnl1/Napa/Vamp2/Syt1/Ncam1/Rab3a/Prkcb/Syngr1/Atp9a/Prrt2/Ywhaz/Steap3/Brsk2/Cplx2/Llgl1/Gnai2/Cbarp/Prkca/Sv2a/Myh10/Myo5a/Scamp5/Napb/Ppp3cb/Camk2a/Septin2/Rab33b/Vamp1/Tmed10/Hck/Snca/Rap1a/Rab10/Stx1b/Lgi3/Dvl1/Rab15/Rab3b/Rab3d/Ap1g1/Apba1/Arf1/Arfgef2/Arhgap17/Bace1/Braf/Cacna1a/Cacnb4/Cadps2/Cdk16/Cdk5/Chmp2a/Cops5/Cyth1/Dgki/Doc2b/Erc1/Erc2/Exoc1/Exoc2/Exoc3/Exoc6b/Exoc7/Exoc8/Fbxl20/Gab2/Glrx/Grm7/Hgs/Kcnb1/Kit/Mical1/Ncs1/Pi4k2a/Pik3c2a/Pip5k1c/Pla2g6/Ppfia2/Ppfia3/Prepl/Prkce/Rab27a/Rab27b/Rab3gap1/Rab3il1/Rab3ip/Rab8a/Rabgef1/Rapgef4/Rims2/Rims3/S100a10/Scfd2/Sdcbp/Slc4a8/Snapin/Snf8/Snx19/Snx4/Stx17/Stx1a/Stx2/Stxbp6/Syt12/Syt3/Syt5/Sytl2/Sytl3/Tmem79/Trarg1/Tsg101/Txlna/Unc13a/Unc13c/Vamp7/Vps11/Vps18/Vps4a/Vps4b/Washc1/Wdr41",173
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","135/2715","221/9821",8.37190343615038e-26,1.42936297999874e-22,1.13946012030973e-22,"Plaa/Picalm/Pacsin1/Dnm1l/Snap29/Amph/Sh3gl1/Synj1/Pclo/Ap3s1/Gsk3b/Dnm3/Git1/Numb/Septin5/Dnajc6/Snap25/Ap3b2/Ap3d1/Ap3s2/Snap91/Bin1/Cadps/Dnm1/Syn2/Itsn1/Syn1/Ap2b1/Cplx1/Syt7/Iqsec1/Syp/Stxbp5l/Bsn/Sh3gl2/Ap2a1/Snap47/Syt6/Syt2/Magi2/Cask/Sncg/Stxbp5/Trim9/Stxbp1/Rims1/Gripap1/Napa/Vamp2/Syt1/Rab3a/Prkcb/Sirt2/Atad1/Pls3/Prrt2/Ap2a2/Cplx2/Sncb/Prkca/Sv2a/Ap2s1/Syn3/Scamp5/Napb/Ppp3cb/Canx/Camk2a/Slc17a6/Ap2m1/Vamp1/Ctnnb1/Slc32a1/Dgkq/Snca/Vps35/Rap1a/Stx1b/Dvl1/Rab3b/Cltc/Tbc1d24/Ap1s2/Apba1/Arf6/Bace1/Braf/Brsk1/Cacna1a/Cacnb4/Cadps2/Cdh2/Cdk5/Cyth1/Dgki/Doc2b/Efnb2/Erc1/Erc2/Fbxl20/Grip1/Grm7/Itsn2/Mapk10/Ncs1/Nedd4/Nlgn2/Ophn1/Pick1/Pip5k1c/Ppfia2/Ppfia3/Ppp3cc/Ppp3r1/Prepl/Prkce/Pten/Rab27b/Rab3gap1/Rab8a/Rapgef4/Rims2/Rims3/Slc17a7/Slc4a8/Snapin/Ston2/Stx1a/Stx2/Syt12/Syt5/Unc13a/Unc13c/Usp46/Vps18",135
"GO:0051640","GO:0051640","organelle localization","220/2715","449/9821",6.57829230253137e-23,8.42350329339142e-20,6.71505153724189e-20,"Map4/Spag9/Myh9/Wasl/Mapt/Map1b/Clasp2/Picalm/Chmp2b/Stx7/Dnm1l/Klc2/Nefl/Snap29/Dctn2/Map6/Synj1/Dock7/Pclo/Ran/Ap3s1/Dctn1/Kif5b/Nudc/Pacs2/Ykt6/Nsfl1c/Dnm3/Esyt1/Trappc12/Septin5/Madd/Vapb/Dpysl2/Ap3b2/Ap3d1/Pdcd6ip/Exoc4/Nefh/Ap3s2/Snap91/Pdzd8/Chmp7/Bin1/Arhgap21/Rab3c/Dnm1/Syn2/Syn1/Ahcyl1/Stam/Alb/Clasp1/Trappc9/Actr2/Dync1i1/Rab11b/Map2k1/Magi2/Kif1a/Pafah1b1/Chmp4b/Stxbp1/Rims1/Actr10/Cfl1/Ndrg4/Vamp2/Syt1/Ncam1/Rab3a/Slc9a3r1/Atp9a/Ywhaz/Eml4/Uchl1/Steap3/Cplx2/Hnrnpu/Llgl1/Myh10/Lamtor1/Lmna/Syn3/Myo5a/Dync1h1/Camk2a/Tmed10/Uso1/Fmn2/Ctnnb1/Snca/Rab10/Stx1b/Rab15/Rab3b/Actn4/Rab3d/Cdc42/Rhot1/Mfn2/Kpnb1/Preb/Ezr/Abce1/Actr3/Agtpbp1/Ap1s2/Arcn1/Arf1/Arfgap2/Arfgap3/Armc1/Armcx3/Becn1/Bicd1/Borcs5/Borcs6/Cav2/Cdc42bpa/Cdh2/Cdk5/Chmp1a/Chmp2a/Chmp5/Chp1/Cluh/Copg2/Cops5/Cul3/Dab1/Eif6/Eipr1/Esyt2/Exoc1/Exoc2/Exoc3/Exoc6b/Exoc7/Exoc8/Fam98a/Fbxw11/Fez1/Fnbp1l/Gab2/Hdac6/Hgs/Htt/Iffo1/Ikbkg/Itgb1/Kcnb1/Kif5a/Kif5c/Kit/Mapre1/Mark1/Msto1/Mtm1/Myo1e/Nlgn2/Nup62/Ogt/Pard3/Pex1/Pex14/Pip4p1/Plekhm2/Polr2m/Ppfia2/Ppfia3/Pten/Rab27a/Rab3gap1/Rab8a/Rabgef1/Rhot2/Rims2/Ripor1/Sar1a/Scfd2/Sdcbp/Sec16a/Snapin/Snf8/Snx4/Spast/Spire1/Stard3nl/Stk11/Stk25/Stx12/Stx17/Stx1a/Stx2/Syne1/Syne3/Sytl2/Tacc1/Tacc2/Tanc2/Tfeb/Trak1/Trappc10/Trappc6b/Tsg101/Ttl/Unc13a/Unc13c/Vamp7/Vmp1/Vps11/Vps18/Vps33a/Vps33b/Vps4a/Vps4b/Wasf1/Wdr11/Zw10",220
"GO:0051046","GO:0051046","regulation of secretion","216/2715","466/9821",8.45412323836715e-19,5.43636119401413e-16,4.33376047012491e-16,"Anxa2/Rtn4/Clasp2/Pex5l/Dnm1l/Srcin1/Ppp3ca/Grk2/Septin4/Pclo/Rab11fip5/Gsk3b/Kif5b/Nsf/Git1/Hcfc1/Gabbr1/Arhgef7/Ppid/Septin5/Abr/Madd/Snap25/Dpysl2/Pdcd6ip/Kcna2/Anxa5/Trpv1/Smcr8/Cadps/Rab3c/Bcr/Oga/Rph3a/Myo18a/Itsn1/Ndufaf2/Stam/Cplx1/Syt7/Slc12a2/Clasp1/Syp/C2cd2l/Stxbp5l/Nr3c1/Syt6/Syt2/Nf1/Comt/Cask/Sncg/Stxbp5/Trim9/Tardbp/Stxbp1/Rala/Rab21/Rims1/Rap1gds1/Vsnl1/Vamp2/Syt1/Rab3a/Prkcb/Slc9a3r1/Atp9a/Pfkm/Brsk2/Cplx2/Llgl1/Gnai2/Cbarp/Prkca/Sv2a/Myh10/Myo5a/Scamp5/Ppp3cb/Glul/Bsg/Ppia/Camk2a/Septin2/Rab33b/Tmed10/Map2k6/Snca/Vps35/Wnk1/Abat/Rap1a/Rab10/Glud1/Ttn/Stx1b/Slc6a1/Lgi3/Dvl1/Slc16a1/Mcu/Rab15/Pde4c/Slc30a1/Rab3b/Kcnc3/Rab3d/Dab2/Mfn2/Hadh/Erp29/Maob/Ezr/Aacs/Acsl3/Acsl4/Aimp1/Ap1g1/Apba1/Apbb1/Apbb3/Aqp1/Arf1/Arf6/Bace1/Braf/Cacna1a/Cacna1b/Cacnb4/Cadps2/Cd200/Cd2ap/Cdk16/Cdk5/Chmp2a/Cpt1a/Cyth1/Dgki/Doc2b/Eipr1/Ensa/Exoc1/Exoc2/Fbxl20/Frmd4a/Gab2/Glrx/Golph3/Grm7/Hgs/Hip1r/Ica1/Idh2/Irs2/Jagn1/Kcnb1/Kcnj11/Mapk9/Mctp1/Mctp2/Mical1/Mif/Mpc2/Ncs1/Neo1/Nlgn2/Nos1/Osbp/Pcp4/Pde1c/Pfkfb2/Pfkl/Pick1/Pik3c3/Pla2g6/Ppfia2/Prepl/Prkce/Prkcq/Prl7b1/Psmd9/Ptpn11/Ptpn23/Rab27a/Rab27b/Rab3gap1/Rab8a/Rabgef1/Rapgef4/Rims2/Rims3/Rptor/S100a10/Sdcbp/Sec24a/Slc4a8/Slc6a4/Snapin/Snf8/Snx4/Snx5/Sri/Stk39/Stx1a/Syt12/Syt3/Syt5/Sytl2/Tsg101/Unc13a/Vamp7/Vps18/Vps4a/Vps4b/Wdr41/Wnk3",216
"GO:0051493","GO:0051493","regulation of cytoskeleton organization","200/2715","422/9821",8.4909975697214e-19,5.43636119401413e-16,4.33376047012491e-16,"Cttn/Add1/Dmtn/Wasl/Sptan1/Dbnl/Mapt/Fermt2/Map1a/Pak2/Map1b/Clasp2/Sptbn1/Washc2/Chmp2b/Prune1/Ckap5/Nck1/Map6/Gsk3b/Arhgdia/Dctn1/Bcas3/Avil/Git1/Arhgef7/Arhgap35/Nf2/Add2/Tmod2/Mapk3/Snx9/Chmp7/Capzb/Twf1/Pak1/Swap70/Bin1/Camsap2/Cyld/Coro1a/Arhgap44/Kank4/Arfip2/Clasp1/Dbn1/Mapre3/Pfn1/Hsph1/Tmod1/Rock2/Pafah1b1/Cdc42ep4/Chmp4b/Arpc2/Synpo/Cfl1/Baiap2l1/Stmn1/Tpm1/Dstn/Coro2b/Wdr1/Nckap1/Mapre2/Gsn/Eml4/Hnrnpu/Tppp/Twf2/Rhog/Capn2/Cdkn1b/Capn1/Dync1h1/Hck/Ctnna2/Camsap1/Snca/Flna/Gpm6b/Gnai1/Fscn1/Tubb4a/Cdc42/Mfn2/Cltc/Cdc42ep1/Pdxp/Abi2/Actr3/Akap13/Apc/Apc2/Arap1/Arf1/Arf6/Arfgef1/Arhgap17/Arhgap28/Arhgef10l/Arhgef18/Arl2/Arpc1a/Arpc1b/Arpc3/Arpc5/Arpc5l/Arpin/Baiap2/Bbs4/Bicd1/Braf/Camsap3/Capg/Capza1/Carmil1/Carmil2/Carmil3/Ccdc88a/Cd2ap/Cep97/Cfl2/Chmp1a/Chmp2a/Chmp5/Clip1/Clip3/Coro1b/Cracd/Crk/Cyfip2/Cyrib/Dysf/Evl/Fchsd1/Fchsd2/Fgf13/Fkbp4/Fmn1/Fsd1/Hdac6/Hip1r/Hras/Ilk/Inpp5j/Katnb1/Limch1/Mapk1/Mapre1/Mark2/Mpdz/Mtpn/Mtss1/Mycbp2/Naa80/Nck2/Ntrk3/Nup62/Pak3/Pdgfrb/Pfdn2/Phldb1/Pick1/Pik3ca/Ppm1e/Prkaa1/Prkaa2/Prkcd/Prkce/Prkcq/Ptk2b/Rae1/Rdx/Rhoa/Rhob/Rictor/S100a10/Shank1/Slain2/Specc1l/Spryd4/Sptb/Ssh2/Stmn2/Stmn3/Tbcd/Tmsb4x/Togaram1/Trim36/Tsc1/Ttbk2/Vasp/Vps4b/Wasf1/Wasf2/Wasf3/Washc1/Washc4/Wdr47",200
"GO:0010256","GO:0010256","endomembrane system organization","195/2715","413/9821",3.9835052842019e-18,2.04035140656821e-15,1.62652810499149e-15,"Myh9/Wasl/Anxa2/Anxa6/Rtn4/Rab3gap2/Clasp2/Epb41l3/Sptbn1/Ank3/Chmp2b/Pacsin1/Asap1/Snap29/Ehd3/Synj1/Gak/Sec22b/Vcpip1/Ap3s1/Coro1c/Dctn1/Nsfl1c/Bcas3/Esyt1/Arhgef7/Trappc12/Lnpk/Flot1/Vapb/Snap25/Mapk3/Ap3d1/Ank2/Snx3/Snx9/Ap3s2/Chmp7/Bin1/Camsap2/Arhgap21/Rtn3/Dnm1/Reep5/Myo18a/Cplx1/Syt7/Clasp1/Sh3gl2/Agfg1/Snap47/Atl1/Rbsn/Syt2/Map2k1/Plec/Pafah1b1/Ap1b1/Chmp4b/Cog1/Tardbp/Stxbp1/Mtss2/Syt1/Chmp3/Rab3a/Baiap2l1/Slc9a3r1/Syngr1/Prrt2/Rab18/Gsn/Ywhaz/Sod1/Cplx2/Surf4/Shtn1/Myh10/Lamtor1/Lmna/Myo5a/Sec31a/Ndrg1/Rab33b/Vamp1/Tmed10/Uso1/Psap/Get3/Rab10/Stx1b/Cdc42/Slc4a1/Cltc/Rab2a/Cd9/Zmpste24/Abca7/Abcd2/Acrbp/Akt1/Ankle2/Ano3/Ano4/Ap1g1/Ap1s2/Aqp1/Arfgef1/Arfgef2/Baiap2/Bnip1/Camsap3/Cav2/Chmp1a/Chmp2a/Chmp5/Cog4/Coro7/Csnk1d/Degs1/Dysf/Emd/Esyt2/Exoc8/Fer1l5/Fhdc1/Fnbp1l/Golph3/Gorasp2/Hps5/Htt/Huwe1/Jagn1/Lyst/Map2k2/Mapk1/Micall1/Mtss1/Nploc4/Nup93/Optn/Osbp/Osbpl2/Pacsin2/Pals1/Pex5/Pi4k2a/Pik3c3/Plekhm2/Plscr3/Polr2m/Prkcd/Prmt5/Pten/Rab27a/Rab3gap1/Rab6b/Rab8a/Reep1/Reep2/Retreg1/Retreg2/S100a10/Sec16a/Sec23ip/Sh3glb1/Snapin/Snx19/Spast/Sptb/Sqstm1/Stk25/Stx12/Stx17/Stx18/Stx1a/Stx2/Syne1/Tmcc1/Tmem33/Ubl4a/Use1/Usp8/Vamp7/Vmp1/Vps11/Vps18/Vps33b/Vps4a/Vps4b/Vps51/Vti1b/Washc1/Washc4/Zw10",195
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","159/2715","318/9821",7.52138830748013e-18,3.50223190099211e-15,2.79191054973353e-15,"Cttn/Add1/Dmtn/Sptan1/Dbnl/Mapt/Fermt2/Map1b/Clasp2/Sptbn1/Prune1/Asap1/Ckap5/Nck1/Tppp3/Gsk3b/Dctn1/Avil/Git1/Hcfc1/Arhgef7/Trappc12/Add2/Tmod2/Park7/Snx9/Snap91/Capzb/Twf1/Pak1/Bin1/Camsap2/Lcp1/Coro1a/Impact/Eif4g1/Kank4/Dbn1/Mapre3/Pfn1/Tmod1/Stxbp5/Cdc42ep4/Wars1/Vcp/Epn1/Trim9/Stxbp1/Arpc2/Hsp90aa1/Rims1/Cfl1/Napa/Ncam1/Rab3a/Baiap2l1/Sirt2/Stmn1/Tpm1/Nckap1/Prrt2/Gsn/Tppp/Twf2/Msn/Ddx3x/Cdkn1b/Napb/Capn1/Vdac2/Septin8/Hck/Camsap1/Snca/Svip/Vps35/Stx1b/Fscn1/Tubb4a/Cdc42/Cdc42ep1/Preb/Actr3/Ankrd27/Apc/Arf6/Arfgef1/Arhgap28/Arl2/Arpc1a/Arpc1b/Arpc3/Arpc5/Arpc5l/Baiap2/Bbs4/Birc2/Camsap3/Capg/Capza1/Carmil1/Carmil2/Clip1/Clip3/Cracd/Crbn/Ctnnbip1/Cyfip2/Cyrib/Dab2ip/Eif2ak2/Evl/Faf1/Fchsd1/Fchsd2/Fkbp4/Fmn1/Hdac6/Hip1r/Ica1/Inpp5j/Map3k7/Mapk9/Mapre1/Mtpn/Myd88/Nck2/Nek7/Pak3/Pex5/Ppm1a/Ppp2r5b/Prkcd/Prkce/Ptk2b/Ptpn11/Rab3gap1/Raf1/Rdx/Rhoa/Rictor/Riok3/Sar1a/Sh3glb1/Slain2/Sptb/Src/Ssh2/Stmn2/Stub1/Stx1a/Stxbp6/Tbcd/Tmsb4x/Togaram1/Ttbk1/Unc13a/Vasp/Washc1",159
"GO:0007015","GO:0007015","actin filament organization","173/2715","359/9821",2.82570614022e-17,1.18337205260145e-14,9.43360979888822e-15,"Cttn/Add1/Zyx/Dmtn/Wasl/Sptan1/Dbnl/Sorbs1/Fermt2/Pak2/Clasp2/Sptbn1/Washc2/Pacsin1/Nck1/Enah/Coro1c/Dpysl3/Nebl/Avil/Arhgap35/Nf2/Add2/Tmod2/Mical3/Snx9/Capzb/Twf1/Pak1/Swap70/Bin1/Rufy3/Lcp1/Coro1a/Abi1/Kank4/Arfip2/Clasp1/Dbn1/Actr2/Pfn1/Tmod1/Sorbs2/Plec/Rock2/Cdc42ep4/Arpc2/Synpo/Cfl1/Baiap2l1/Stmn1/Tpm1/Dstn/Coro2b/Wdr1/Nckap1/Pls3/Gsn/Twf2/Rhog/Shtn1/Myh10/Myo5a/Capn1/Ppp1r9b/Fmn2/Ctnna2/Sirpa/Flna/Ttn/Mcu/Fscn1/Actn4/Cdc42/Cdc42ep1/Pdxp/Ezr/Abi2/Abl2/Acta1/Actr3/Arap1/Arf1/Arf6/Arfgef1/Arhgap12/Arhgap17/Arhgap28/Arhgef10l/Arhgef18/Arpc1a/Arpc1b/Arpc3/Arpc5/Arpc5l/Arpin/Baiap2/Bbs4/Bcar1/Braf/Capg/Capza1/Carmil1/Carmil2/Carmil3/Ccdc88a/Cd2ap/Cfl2/Coro1b/Coro7/Cracd/Cul3/Cyfip2/Cyrib/Diaph2/Elmo1/Elmo2/Evl/Fchsd1/Fchsd2/Fhdc1/Fmn1/Gas2/Gas7/Hip1/Hip1r/Inppl1/Jmy/Limch1/Mical1/Micall2/Mprip/Msrb2/Mtpn/Mtss1/Myo1e/Naa80/Nck2/Pak3/Pawr/Pdlim1/Phactr1/Pick1/Pik3ca/Pls1/Ppm1e/Prkcd/Prkce/Prkcq/Ptk2b/Rdx/Rhoa/Rhob/Rictor/S100a10/Samd14/Sh3kbp1/Shank1/Shroom3/Specc1l/Spire1/Sptb/Src/Ssh2/Tmsb4x/Tsc1/Vasp/Wasf1/Wasf2/Wasf3/Washc1/Washc4/Wipf1",173
"GO:0022411","GO:0022411","cellular component disassembly","164/2715","335/9821",3.00348236700875e-17,1.18337205260145e-14,9.43360979888822e-15,"Cttn/Add1/Dmtn/Sptan1/Gspt1/Map1a/Map1b/Clasp2/Sptbn1/Chmp2b/Dnm1l/Snap29/Klc1/Sh3gl1/Synj1/Gak/Tigar/Upf1/Gsk3b/Dctn1/Kif5b/Nsf/Avil/Wipi2/Atg2b/Dnajc6/Flot1/Add2/Tmod2/Mical3/Septin7/Chmp7/Capzb/Twf1/Swap70/Smcr8/Camsap2/Cdc37/Lcp1/Acin1/Hspa8/Oga/Slc25a46/Dusp3/Arfip2/Clasp1/Iqsec1/Etf1/Sh3gl2/Fundc2/Slc25a5/Tmod1/Pafah1b1/Chmp4b/Vcp/Arpc2/Slc25a4/Cfl1/Napa/Stmn1/Tpm1/Dstn/Wdr1/Pym1/Vps13c/Mapre2/Phb2/Gsn/Eml4/Twf2/Eif5a/Napb/Camsap1/Aifm1/Fis1/Map1lc3a/Vdac1/Fscn1/Mfn2/Zmpste24/Rpl23/Pdxp/Abce1/Apc/Apc2/Arf6/Atg2a/Atg3/Becn1/Bnip3/C3/Camsap3/Capg/Capza1/Carmil1/Carmil2/Casp3/Cdk5/Cers1/Cfl2/Chmp1a/Chmp2a/Chmp5/Cisd2/Clec16a/Cracd/Ddrgk1/Denr/Dffa/Dysf/Eif5a2/Epg5/Evl/Exoc8/Fgf13/Gabarapl2/Gsk3a/Hdac6/Hspa2/Htt/Huwe1/Katnb1/Lamc1/Map4k4/Mical1/Mtpn/Mtrf1/Nckap5l/Ogt/Optn/Pam16/Pex14/Pik3c3/Pik3ca/Pik3r4/Prkaa1/Prkaa2/Rdx/Retreg1/Retreg2/Smurf1/Snapin/Snx14/Snx7/Spast/Specc1l/Sptb/Sqstm1/Stmn2/Stmn3/Stx17/Tecpr1/Tex264/Ttbk2/Uba5/Ufc1/Ufm1/Vmp1/Vps33a/Vps4a/Vps4b/Wdr45/Wdr45b/Wdr47",164
