"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006397","GO:0006397","mRNA processing","256/3868","382/9821",8.49440969483604e-29,4.40605030871146e-25,3.83053169817659e-25,"Tardbp/Hnrnpk/Ncl/Ddx5/Rbm14/Sart3/Srrm2/Grsf1/Nono/Hspa8/Sf3b1/Hnrnpa3/Npm1/Son/Pabpc1/Hnrnpa2b1/Tdrd3/Sfpq/Dhx9/Ccar2/Pcbp1/Hnrnpl/Thrap3/Habp4/Snrpd2/Syncrip/Hnrnpu/Snrpd3/Rbm17/Puf60/Fxr1/Ddx1/Sugp2/Rbm25/Sart1/Hnrnpa1/Strap/Sf1/Rbm10/Fip1l1/Hnrnpm/Dhx15/Cpsf7/Srrm1/Nup98/Ptbp3/Fxr2/Mbnl1/Acin1/Ddx46/Nudt21/Hnrnpc/Safb2/Safb/Sf3a1/Elavl4/Pcbp4/Psip1/Rbbp6/Rbm39/Sltm/Sf3b3/Srpk2/Cstf2/Rnmt/Tcerg1/Prpf4/Zranb2/Snrpa/Nelfe/Cdc5l/Coil/Khdrbs1/Htatsf1/Khsrp/Wdr33/Prpf31/Wbp11/Prpf40a/Ptbp2/Rprd2/Snrpa1/Snrnp200/Pnn/Pabpn1/Phrf1/Hnrnpf/U2af2/Snw1/Celf2/Raly/Gemin5/Rbmx/Dazap1/Rbm22/Iws1/Paxbp1/Rbfox3/Snrpe/Polr2d/Celf1/Isy1/Rbm26/Prpf8/Ncbp3/Ddx39b/Papola/Cpsf6/Zc3h14/Prpf4b/Prpf40b/Raver1/Ddx17/Cwc15/Srsf2/Dhx36/Hnrnph1/Zmat2/Rbm28/Snrnp70/Cdk9/Cdc73/Eftud2/Srsf3/Thoc2/Srsf7/Adar/Akap8l/Alyref/App/Arl6ip4/Bcas2/Casc3/Ccnt1/Cd2bp2/Cdc40/Cdk12/Cdk13/Celf4/Celf6/Cir1/Cirbp/Cpeb1/Cpeb3/Cpsf1/Cpsf2/Cpsf3/Cpsf4/Csdc2/Cstf3/Ctr9/Cwc25/Cwf19l2/Dcps/Ddx20/Ddx41/Dnajc17/Ecd/Eif4a3/Fam50a/Fmr1/Frg1/Gpkow/Hnrnpll/Hsf1/Khdc4/Khdrbs2/Khdrbs3/Kin/Larp7/Lsm11/Lsm4/Lsm7/Luc7l/Luc7l3/Magoh/Mettl14/Mettl3/Mfap1a/Ncbp2/Obi1/Paf1/Pan2/Pan3/Phf5a/Plcb1/Plrg1/Pnpt1/Ppil3/Ppp1r8/Ppp4r2/Ppwd1/Prkaca/Prkrip1/Prmt5/Prmt7/Prmt9/Prpf18/Prpf19/Prpf38a/Prpf38b/Rbfox1/Rbm11/Rbm15/Rbm27/Rbm3/Rbm5/Rbmx2/Rbmxl1/Rnf20/Rnps1/Rrp1b/Scaf1/Scaf8/Scnm1/Sf3a2/Sf3a3/Sf3b6/Sfswap/Slu7/Smn1/Smndc1/Snrnp40/Snrnp48/Snrpb/Snrpb2/Snrpc/Snrpd1/Srek1/Srpk1/Srrt/Srsf10/Srsf4/Srsf5/Srsf9/Sugp1/Sympk/Tbrg4/Tdrd6/Tfip11/Thoc1/Thoc7/Tra2b/Ttf2/Txnl4a/U2af1/Usp4/Virma/Wbp4/Wdr77/Wtap/Ybx1/Yju2/Ythdc1/Zcchc8/Zpr1",256
"GO:0010608","GO:0010608","post-transcriptional regulation of gene expression","224/3868","356/9821",5.89819453489695e-20,7.64848376312761e-17,6.64943825986803e-17,"Upf1/Tardbp/Ncl/Fus/Ddx5/Ppp3ca/Eif5/Ddx3x/Eif4g2/Impact/Rpl26/Csde1/Pym1/Eif4g1/Ilf3/Npm1/Stat3/Gspt1/Ddx6/Hnrnpd/Larp1/Pabpc1/Hnrnpa0/Eif4g3/Dhx9/Mapk3/Hnrnpl/Thrap3/Habp4/Syncrip/Hnrnpu/Eif3b/Ythdf1/Ckap5/Ppp1ca/Tnrc6b/Cdc37/Paip1/Cpeb2/Etf1/Tpr/Tdrd7/Fxr1/Eif2a/Gigyf2/Eif3d/Eif4e/Rock2/Rbm10/Hnrnpm/Trap1/Sarnp/Fxr2/Rps3/Myef2/Nudt21/Tsnax/Nck1/Rpl22/Eif2ak2/Eif5a/Caprin1/Elavl4/Dkc1/Pcbp4/Exosc5/Rpl5/Bzw1/Rpl13a/Ythdf3/Matr3/Patl1/Tcof1/Poldip3/Rida/Khdrbs1/Mecp2/Larp4b/Khsrp/Hbs1l/Gapdh/Ncor2/Elavl1/Cnot3/Shmt2/Ctif/Cnot2/Eif4enif1/Larp4/Gcn1/Rbms3/Celf2/Zcchc17/Gemin5/Ncor1/Rpl10/Fbxo4/Abcf1/Eif3e/Cnot8/Exosc8/Tnrc6a/Pkm/Polr2d/Celf1/Cpeb4/Lsm14b/Eef2/Ncbp3/Ddx39b/Zc3h14/Pml/Carhsp1/Zc3h18/Rack1/Xrn1/Dhx36/Krt17/Abce1/Adar/Ago3/Akt1/Akt2/App/Brf1/Bzw2/Cacng7/Caprin2/Casc3/Cirbp/Cnbp/Cnot1/Cnot10/Cnot11/Coa3/Cpeb1/Cpeb3/Csdc2/Dapk1/Dcp1a/Dcp1b/Dcp2/Dcps/Dicer1/Dnajc1/Dus3l/Eif1/Eif2ak3/Eif2ak4/Eif2b5/Eif2s1/Eif2s3x/Eif3k/Eif4a3/Eif4e2/Eif5a2/Eif5b/Eif6/Epb41l5/Exosc9/Fech/Fmr1/Foxo3/Fto/Gle1/Helz/Inpp5e/Larp6/Lsm14a/Magoh/Map2k1/Map2k2/Mapk1/Marf1/Mettl14/Mettl16/Mettl3/Mex3d/Mknk1/Mlh1/Mrps27/Msi1/Msi2/Mtor/Nat10/Ncbp2/Nfkb1/Nolc1/Ogfod1/Otud6b/Paip2/Pan2/Pan3/Pelo/Phax/Pnpt1/Prkca/Ptk2b/Pum1/Pum2/Pus7/Rbm3/Rc3h1/Rc3h2/Rpl38/Rplp1/Rps6kb1/Rps6kb2/Samd4b/Taco1/Tarbp2/Tbrg4/Tial1/Tirap/Tnrc6c/Tsc1/Tsn/Tut4/Tut7/Unk/Usp16/Ybx1/Ythdc1/Ythdf2",224
"GO:0006417","GO:0006417","regulation of translation","180/3868","281/9821",2.1420821612745e-17,1.7989729022752e-14,1.56399093144744e-14,"Upf1/Tardbp/Ncl/Eif5/Ddx3x/Eif4g2/Impact/Rpl26/Csde1/Pym1/Eif4g1/Ilf3/Npm1/Gspt1/Ddx6/Hnrnpd/Larp1/Pabpc1/Eif4g3/Dhx9/Mapk3/Hnrnpl/Habp4/Syncrip/Hnrnpu/Eif3b/Ythdf1/Ppp1ca/Tnrc6b/Paip1/Cpeb2/Etf1/Tpr/Fxr1/Eif2a/Gigyf2/Eif3d/Eif4e/Rock2/Trap1/Sarnp/Fxr2/Rps3/Nck1/Rpl22/Eif2ak2/Eif5a/Caprin1/Elavl4/Exosc5/Rpl5/Bzw1/Rpl13a/Ythdf3/Patl1/Tcof1/Poldip3/Rida/Khdrbs1/Larp4b/Khsrp/Hbs1l/Gapdh/Elavl1/Cnot3/Shmt2/Ctif/Cnot2/Eif4enif1/Larp4/Gcn1/Rbms3/Gemin5/Rpl10/Abcf1/Eif3e/Cnot8/Exosc8/Tnrc6a/Pkm/Polr2d/Celf1/Cpeb4/Lsm14b/Eef2/Ddx39b/Pml/Rack1/Xrn1/Dhx36/Krt17/Abce1/Ago3/Akt1/Akt2/App/Bzw2/Caprin2/Casc3/Cirbp/Cnbp/Cnot1/Cnot10/Cnot11/Coa3/Cpeb1/Cpeb3/Dapk1/Dcp1a/Dcp1b/Dcp2/Dcps/Dnajc1/Dus3l/Eif1/Eif2ak3/Eif2ak4/Eif2b5/Eif2s1/Eif2s3x/Eif3k/Eif4a3/Eif4e2/Eif5a2/Eif5b/Eif6/Exosc9/Fech/Fmr1/Foxo3/Fto/Gle1/Inpp5e/Larp6/Lsm14a/Magoh/Mapk1/Mettl14/Mettl16/Mettl3/Mex3d/Mknk1/Mlh1/Mrps27/Msi1/Msi2/Mtor/Nat10/Ncbp2/Nolc1/Ogfod1/Otud6b/Paip2/Pan2/Pan3/Pelo/Pnpt1/Prkca/Ptk2b/Pum1/Pum2/Pus7/Rbm3/Rc3h1/Rc3h2/Rpl38/Rplp1/Rps6kb1/Rps6kb2/Samd4b/Taco1/Tarbp2/Tnrc6c/Tsc1/Tut4/Tut7/Unk/Usp16/Ybx1/Ythdf2",180
"GO:0010256","GO:0010256","endomembrane system organization","246/3868","413/9821",2.1984402434065e-17,1.7989729022752e-14,1.56399093144744e-14,"Tardbp/Synj1/Sec22b/Sptbn1/Rab3gap2/Lnpk/Asap1/Coro1c/Ap3s1/Chmp4b/Chmp2b/Rtn4/Vcpip1/Vapb/Epb41l3/Rtn3/Snap29/Snap47/Anxa6/Myo18a/Emd/Wasl/Dctn1/Bin1/Gak/Ank3/Cog1/Ap3s2/Dnm1/Reep5/Snap25/Flot1/Camsap3/Snx3/Ap3d1/Nsfl1c/Clasp2/Exoc8/Trappc12/Vti1b/Camsap2/Arfgef1/Cplx1/Fnbp1l/Sec16a/Ubl4a/Pacsin1/Sec31a/Gorasp2/Clasp1/Snx9/Mapk3/Plec/Pik3c3/Atl1/Nploc4/Baiap2l1/Ankle2/Ehd3/Surf4/Arhgef7/Esyt1/Sun1/Rbsn/Stxbp1/Prkcd/Ank2/Cplx2/Chmp3/Esyt2/Ywhaz/Sqstm1/Retreg1/Anxa2/Atp2a2/Bcas3/Arfgef2/Uso1/Golph3/Nup93/Sec23ip/Pacsin2/Myh9/Plscr3/Aktip/S100a10/Steep1/Lmnb1/Agfg1/Golga5/Akap9/Dysf/Nectin2/Lemd3/Lmnb2/Coro7/Hook3/Fhip1b/Huwe1/Cltc/Chmp5/Mta1/Lmna/Vamp4/Psap/Pals1/Lamtor1/Vamp1/Cdc42/Usp6nl/Cav2/Abca7/Abcd2/Akap8l/Akt1/Akt2/Ano3/Ano4/Ano6/Ap1b1/Ap1g1/Ap1s2/Ap3m1/Aqp1/Ar/Arhgap21/Baiap2/Banf1/Bet1/Blzf1/Bnip1/Ccdc136/Ccdc47/Cert1/Chmp1a/Chmp2a/Chmp7/Cog2/Cog3/Cog4/Cog5/Cog6/Cog7/Creb1/Csnk1d/Dtnbp1/Eif2ak3/Emc2/Emc7/Emc8/Gcc2/Get3/Get4/Golga2/Golph3l/Gorasp1/Hdac3/Hook1/Hook2/Hps5/Htt/Jagn1/Lman2l/Lyst/Map2k1/Map2k2/Mapk1/Mia3/Micall1/Mmgt1/Mtss1/Myh10/Myo5a/Nbeal2/Ndel1/Nup155/Optn/Osbp/Osbpl2/Pafah1b1/Pde4dip/Pex5/Pheta1/Pi4k2a/Plekhm2/Polr2m/Prkd1/Prmt5/Prrt2/Pten/Rab10/Rab18/Rab2a/Rab2b/Rab3a/Rab3gap1/Rab5b/Rab6b/Reep1/Reep2/Retreg2/Sh3gl2/Sh3glb1/Smpd4/Snapin/Snx10/Snx19/Sod1/Spast/Sptb/Stk25/Stx12/Stx17/Stx18/Stx1b/Stx6/Syne1/Syt1/Syt11/Syt2/Syt4/Syt7/Tbc1d20/Tmcc1/Tmf1/Tor1aip1/Ubxn2b/Use1/Usp8/Vamp7/Vmp1/Vps11/Vps18/Vps33b/Vps4a/Vps4b/Vps51/Vti1a/Washc1/Washc4/Washc5/Xrcc4/Yipf4/Yipf5/Zfyve27/Zw10",246
"GO:0048193","GO:0048193","Golgi vesicle transport","156/3868","235/9821",2.42776370077625e-17,1.7989729022752e-14,1.56399093144744e-14,"Scyl1/Sec22b/Sptbn1/Eps15/Copb2/Ap3s1/Rint1/Gga3/Vapb/Copz1/Scfd1/Myo18a/Ank1/Bcap31/Gak/Ank3/Cog1/Ap3s2/Vapa/Arfgap2/Phaf1/Snx3/Ap3d1/Exoc8/Trappc12/Vti1b/Rabep1/Sec16a/Sec31a/Macf1/Cnst/Arcn1/Snx2/Gga1/Nsf/Exoc4/Vcp/Plcb3/Arf5/Ehd3/Ykt6/Rbsn/Trappc9/Gopc/Stxbp6/Golga4/Csk/Vamp2/Copa/Rer1/Copg2/Preb/Arfgef2/Uso1/Golph3/Snx1/Ccdc93/Cux1/Snx12/Steep1/Sec24a/Copb1/Ccdc22/Golga5/Arl3/Myo1b/Slc30a6/Copg1/Gosr1/Vamp4/Ankfy1/Rack1/Acsl3/Ap1g1/Ap4m1/Arf1/Arf4/Arfgap3/Arfrp1/Atp2c1/Atp9a/Bcap29/Bet1/Bet1l/Bicd2/Blzf1/Bnip1/Ccdc91/Cog2/Cog3/Cog4/Cog5/Cog6/Cog7/Cope/Copz2/Cul3/Cyth3/Dop1a/Dop1b/Ergic1/Ergic3/Exoc1/Exoc2/Exoc6/Exoc6b/Gabarapl2/Gcc2/Gga2/Golga2/Golph3l/Gosr2/Htt/Hyou1/Kif16b/Lman2l/Lyplal1/Mia2/Mia3/Myo5a/Nrbp1/Nrbp2/Optn/Pgap1/Prkd1/Rab10/Rab14/Rab6b/Sar1a/Sar1b/Sec22a/Spast/Spire2/Stx17/Stx18/Stx6/Tbc1d20/Tmem115/Trappc10/Trappc2l/Trappc3/Trappc4/Trappc6b/Use1/Uvrag/Vamp7/Vps41/Vps51/Vps52/Vps54/Vti1a/Yif1a/Yif1b/Yipf4/Yipf5/Zw10",156
"GO:0051640","GO:0051640","organelle localization","260/3868","449/9821",3.86668547225388e-16,1.82331795859826e-13,1.58515603474982e-13,"Map6/Spag9/Nefl/Stx7/Mapt/Synj1/Nudc/Dnm1l/Dnm3/Madd/Ran/Tacc2/Ap3s1/Chmp4b/Chmp2b/Vapb/Scfd2/Snap29/Snap91/Ap3b2/Map1b/Myo1e/Dctn2/Wasl/Dctn1/Bin1/Picalm/Pdzd8/Ap3s2/Pex14/Dnm1/Arfgap2/Syn1/Ap3d1/Nsfl1c/Clasp2/Exoc8/Klc2/Trappc12/Pacs2/Map2/Npm1/Fnbp1l/Borcs5/Sec16a/Nup62/Clasp1/Dync1i1/Arcn1/Mapre1/Hnrnpu/Exoc4/Map4/Actr10/Hgs/Nefh/Dpysl2/Stam/Kif5a/Esyt1/Ncam1/Ykt6/Uchl1/Sun1/Trappc9/Stxbp1/Dync1h1/Bicd1/Cplx2/Vamp2/Esyt2/Ywhaz/Pcm1/Eml4/Septin5/Cfl1/Itgb1/Kif1a/Copg2/Actr2/Syne2/Preb/Hdac6/Atp2a2/Ikbkg/Uso1/Kpnb1/Borcs6/Myh9/Pex1/Snca/Mecp2/Lmnb1/Kif5b/Magi2/Akap9/Steap3/Ndrg4/Sphk2/Rabgef1/Nectin2/Chp1/Lmnb2/Hook3/Myo1b/Chmp5/Mtm1/Crocc/Copg1/Lmna/Champ1/Lamtor1/Cdc42/Wdr11/Cav2/Ctnnb1/Abce1/Actr3/Agtpbp1/Ap1s2/Ap3m1/Arf1/Arfgap3/Arhgap21/Armc1/Armcx3/Atp13a2/Atp9a/Becn1/Bicd2/Bloc1s1/Bloc1s5/Borcs7/Camk2a/Ccdc186/Cdc42bpa/Cdk5/Cdk5rap2/Chmp1a/Chmp2a/Chmp7/Cluh/Cops5/Cul3/Dab1/Dtnbp1/Eif6/Eipr1/Exoc1/Exoc2/Exoc3/Exoc6/Exoc6b/Exoc7/Fam91a1/Fam98a/Fbxw11/Gab2/Golga2/Hsbp1/Htt/Iffo1/Kcnb1/Kif1b/Kif5c/Lin7a/Lsg1/Ltv1/Mad1l1/Map2k1/Mef2a/Mfn2/Misp/Mlh1/Msto1/Mtor/Myh10/Myo1d/Myo5a/Ndel1/Nmd3/Nup88/Pafah1b1/Pclo/Pdcd6ip/Pdpk1/Pex13/Pip4p1/Plekhm1/Plekhm2/Polr2m/Ppfia2/Ppfia3/Psen1/Pten/Rab10/Rab11b/Rab3a/Rab3c/Rab3d/Rab3gap1/Rasgrp1/Rhot1/Rhot2/Rims1/Ripor1/Rps15/Sar1a/Sar1b/Sdcbp/Seh1l/Snapin/Snf8/Snx4/Spast/Spice1/Spire2/Stard3nl/Stk11/Stk25/Stx12/Stx17/Stx1b/Stx6/Stx8/Sybu/Syde1/Syn2/Syndig1/Syne1/Syt1/Syt11/Syt4/Sytl2/Tacc1/Tanc2/Tbc1d23/Tmem106b/Tmem230/Trak1/Trappc10/Trappc2l/Trappc3/Trappc4/Trappc6b/Trim46/Tsg101/Ttl/Ubxn2b/Uvrag/Vamp7/Vmp1/Vps11/Vps18/Vps33a/Vps33b/Vps4a/Vps4b/Wasf1/Zw10",260
"GO:0002181","GO:0002181","cytoplasmic translation","94/3868","126/9821",6.99200433971562e-16,3.02229387584208e-13,2.62752163081945e-13,"Eif4b/Rpsa/Rpl30/Eif5/Rpl24/Rpl4/Eif4h/Rpl14/Drg2/Rpl19/Rpl26/Rpl29/Csde1/Rps6/Rps2/Rpl7a/Hnrnpd/Pabpc1/Rpl6/Rpl13/Rpl7/Rps20/Dhx9/Syncrip/Hnrnpu/Ckap5/Paip1/Eif2s2/Cpeb2/Etf1/Eif3m/Eif3d/Rplp2/Rplp0/Rpl36/Rps25/Rpl34/Rps8/Rps14/Rpl3/Rpl23a/Rps3/Nck1/Rps12/Rpl22/Rps7/Rpl5/Rpl13a/Rps17/Eif3a/Rps10/Eif4a2/Rps21/Rpl9/Rpl28/Rpl31/Pkm/Cpeb4/Rps18/Eef2/Rpl17/Rpl12/Eif4a1/Rpl10a/Dhx36/Rpl11/Rps24/Rps13/Rps28/Rps23/Rps26/Rpl23/Cnbp/Cpeb1/Cpeb3/Denr/Dhx29/Drg1/Eif2d/Eif2s3x/Eif3i/Fmr1/Mettl3/Ncbp2/Rpl38/Rplp1/Rps11/Rps15/Rps27a/Rps5/Unk/Ybx1/Ythdf2/Zc3h15",94
"GO:0034248","GO:0034248","regulation of cellular amide metabolic process","199/3868","327/9821",1.30435781812004e-15,5.20438769429896e-13,4.52459019662045e-13,"Upf1/Tardbp/Ncl/Rtn1/Eif5/Rtn4/Ddx3x/Gga3/Rtn3/Eif4g2/Impact/Tigar/Bin1/Picalm/Rpl26/Csde1/Pym1/Eif4g1/Ilf3/Npm1/Gspt1/Ddx6/Hnrnpd/Larp1/Pabpc1/Eif4g3/Dhx9/Mapk3/Hnrnpl/Habp4/Syncrip/Hnrnpu/Eif3b/Ythdf1/Ppp1ca/Tnrc6b/Paip1/Cpeb2/Etf1/Tpr/Fxr1/Eif2a/Gigyf2/Eif3d/Eif4e/Prkcd/Rock2/Trap1/Casp3/Sarnp/Fxr2/Rps3/Nck1/Rpl22/Eif2ak2/Eif5a/Caprin1/Elavl4/Exosc5/Rpl5/Bzw1/Snca/Rpl13a/Ythdf3/Patl1/Tcof1/Poldip3/Rida/Khdrbs1/Larp4b/Khsrp/Hbs1l/Gapdh/Elavl1/Cnot3/Shmt2/Ctif/Cnot2/Rptor/Sphk2/Eif4enif1/Larp4/Gcn1/Rbms3/Gemin5/Rpl10/Abcf1/Eif3e/Cnot8/Exosc8/Tnrc6a/Pkm/Polr2d/Celf1/Cpeb4/Lsm14b/Eef2/Ddx39b/Pml/Rack1/Xrn1/Dhx36/Krt17/Abca7/Abce1/Ago3/Akt1/Akt2/App/Bzw2/Caprin2/Casc3/Cirbp/Cnbp/Cnot1/Cnot10/Cnot11/Coa3/Cpeb1/Cpeb3/Dapk1/Dcp1a/Dcp1b/Dcp2/Dcps/Dnajc1/Dus3l/Eif1/Eif2ak3/Eif2ak4/Eif2b5/Eif2s1/Eif2s3x/Eif3k/Eif4a3/Eif4e2/Eif5a2/Eif5b/Eif6/Exosc9/Fech/Fmr1/Foxo3/Fto/Gle1/Gsk3a/Inpp5e/Larp6/Lsm14a/Magoh/Mapk1/Mettl14/Mettl16/Mettl3/Mex3d/Mknk1/Mlh1/Mrps27/Msi1/Msi2/Mtor/Nat10/Ncbp2/Nolc1/Ogfod1/Otud6b/Paip2/Pan2/Pan3/Pdk3/Pelo/Pin1/Pla2g6/Pnpt1/Prkca/Ptk2b/Pum1/Pum2/Pus7/Rbm3/Rc3h1/Rc3h2/Rela/Rpl38/Rplp1/Rps6kb1/Rps6kb2/Samd4b/Sirt3/Taco1/Tarbp2/Tnrc6c/Tsc1/Tut4/Tut7/Unk/Usp16/Ybx1/Ythdf2",199
"GO:2000112","GO:2000112","regulation of cellular macromolecule biosynthetic process","205/3868","343/9821",7.05764721814702e-15,2.61485829432347e-12,2.27330531447683e-12,"Upf1/Tardbp/Ncl/Rab3gap2/Eif5/Ddx3x/Eif4g2/Impact/Rpl26/Csde1/Pym1/Eif4g1/Ilf3/Npm1/Arfgef1/Gspt1/Ddx6/Hnrnpd/Larp1/Pabpc1/Eif4g3/Dhx9/Mapk3/Hnrnpl/Habp4/Syncrip/Hnrnpu/Eif3b/Ythdf1/Ppp1ca/Tnrc6b/Paip1/Epm2aip1/Cpeb2/Etf1/Tpr/Fxr1/Oga/Eif2a/Gigyf2/Eif3d/Eif4e/Rock2/Trap1/Sarnp/Fxr2/Rps3/Nck1/Rpl22/Eif2ak2/Eif5a/Caprin1/Elavl4/Exosc5/Rpl5/Bzw1/Rpl13a/Ythdf3/Patl1/Tcof1/Poldip3/Rida/Khdrbs1/Larp4b/Khsrp/Hbs1l/Gapdh/Rabl3/Elavl1/Cnot3/Shmt2/Ctif/Cnot2/Eif4enif1/Larp4/Gcn1/Rbms3/Chp1/Gemin5/Rpl10/Abcf1/Eif3e/Cnot8/Exosc8/Tnrc6a/Pkm/Polr2d/Celf1/Cpeb4/Lsm14b/Eef2/Ddx39b/Pml/Rack1/Xrn1/Dhx36/Krt17/Ctnnb1/Abca7/Abce1/Ago3/Akt1/Akt2/App/Bzw2/Caprin2/Casc3/Cirbp/Cnbp/Cnot1/Cnot10/Cnot11/Coa3/Cpeb1/Cpeb3/Dapk1/Dcp1a/Dcp1b/Dcp2/Dcps/Dnajc1/Dus3l/Eif1/Eif2ak3/Eif2ak4/Eif2b5/Eif2s1/Eif2s3x/Eif3k/Eif4a3/Eif4e2/Eif5a2/Eif5b/Eif6/Exosc9/Fech/Fmr1/Foxo3/Fto/Gfpt1/Gle1/Inpp5e/Irs2/Itm2c/Larp6/Ldb1/Lsm14a/Magoh/Mapk1/Mettl14/Mettl16/Mettl3/Mex3d/Mknk1/Mlh1/Mrps27/Msi1/Msi2/Mt3/Mtor/Mustn1/Nat10/Ncbp2/Necab1/Nolc1/Ogfod1/Otud6b/Paip2/Pan2/Pan3/Pawr/Pelo/Plcb1/Pnpt1/Ppp1cb/Ppp1r3a/Ppp1r3f/Prkca/Prmt1/Ptk2b/Pum1/Pum2/Pus7/Rab3gap1/Rbm3/Rc3h1/Rc3h2/Rpl38/Rplp1/Rps6kb1/Rps6kb2/Samd4b/Soat1/Svip/Taco1/Tarbp2/Tm9sf2/Tnrc6c/Tsc1/Tut4/Tut7/Unk/Usp16/Ybx1/Ythdf2",205
"GO:0016482","GO:0016482","cytosolic transport","100/3868","142/9821",4.65102460537497e-14,1.4191096840047e-11,1.23374547426789e-11,"Spag9/Washc2/Eps15/Ptpn23/Dctn1/Gak/Snx3/Vti1b/Map2/Usp7/Pikfyve/Mapk3/Pik3c3/Snx2/Gga1/Tbc1d5/Ube2o/Ehd3/Kif5a/Snx6/Ykt6/Rbsn/Kif1a/Actr2/Snx1/Aktip/Snx12/Wdr91/Tbc1d17/Mecp2/Kif5b/Erc1/Rab21/Hook3/Fhip1b/Slc30a6/Cltc/Vps35/Gosr1/Ankfy1/Ankrd27/Ap1g1/Ap4m1/Arfrp1/Atp9a/Becn1/Bet1l/Ccdc91/Coro1a/Dennd10/Dop1a/Dop1b/Eipr1/Evi5/Gcc2/Heatr5b/Hook1/Hook2/Kif16b/Kif1b/Map2k1/Map2k2/Mapk1/Mtmr2/Pheta1/Pik3r4/Pip4k2a/Ppfia2/Rab14/Rab6b/Rab9b/Rdx/Ric1/Sh3glb1/Slc66a2/Snf8/Snx16/Snx5/Srsf10/Stx6/Stx8/Sybu/Syt4/Syt7/Tanc2/Tbc1d10b/Tbc1d23/Tmem87a/Tmem87b/Trappc10/Trim46/Vps11/Vps50/Vps51/Vps52/Vps53/Vps54/Vti1a/Washc1/Wdr81",100
