"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005681","GO:0005681","spliceosomal complex","90/1606","162/9913",7.3702091994633e-31,2.65691886388676e-28,2.10790036906753e-28,"Ncl/Ddx5/Srrm2/Sf3b1/Hnrnpa3/Hnrnpa2b1/Snrpd2/Sart1/Hnrnpc/Sf3a1/Prpf4/Snrpa/Cdc5l/Htatsf1/Prpf31/Wbp11/Prpf40a/Ptbp2/Snrpa1/Pnn/Hnrnpf/Api5/Snw1/Raly/Rbm22/Snrpe/Isy1/Prpf8/Ddx39b/Wac/Prpf4b/Prpf40b/Cwc15/Srsf2/Rbm28/Snrnp70/Eftud2/Adar/Alyref/Bcas2/Casc3/Cdc40/Cirbp/Cwc25/Cwc27/Cwf19l2/Ddx41/Dhx32/Dnajc17/Eif4a3/Frg1/Gpkow/Khdc4/Luc7l3/Magoh/Mfap1a/Phf5a/Plrg1/Ppil2/Ppp1r8/Ppwd1/Prkrip1/Prpf18/Prpf19/Prpf38a/Prpf38b/Rbm3/Rbm5/Rbmx2/Rbmxl1/Sf3a2/Sf3a3/Sf3b6/Slu7/Smndc1/Snrnp40/Snrnp48/Snrpb/Snrpb2/Snrpd1/Srek1/Sugp1/Tfip11/Tra2b/Txnl4a/U2af1/Wbp4/Ybx1/Yju2/Zcchc8",90
"GO:0016604","GO:0016604","nuclear body","180/1606","483/9913",8.72551351030133e-31,2.65691886388676e-28,2.10790036906753e-28,"Mtdh/Rbm14/Sart3/Srrm2/Nono/Sf3b1/Npm1/Son/Hnrnpa2b1/Sfpq/Bclaf1/Dhx9/Thrap3/Sugp2/Rbm25/Sart1/Atrx/Rbm10/Sarnp/Ddx46/Safb2/Sf3a1/Dkc1/Rbbp6/Rbm39/Sltm/Prpf4/Nelfe/Cdc5l/Poldip3/Coil/Prpf31/Nop58/Trip12/Ppp4r3a/Wbp11/Prpf40a/Snrpa1/Ppig/Pnn/Ylpm1/Ppp1r10/Api5/Snw1/Gemin5/Ubxn7/Gtf2b/Eif3e/Fbl/Ncoa2/Polr2d/Hmbox1/Ncbp3/Ddx39b/Toe1/Cpsf6/Zc3h14/Pml/Zc3h18/Prpf4b/Hcfc2/Fnbp4/Cwc15/Srsf2/Sumo2/Snrnp70/Cdk9/Eftud2/Srsf3/Ep400/Srsf7/Aagab/Adar/Akap8l/Ap5z1/Ar/Atf7ip/Babam1/Bcas2/Blm/Bnip3l/Cbll1/Cd2bp2/Cdc40/Cdk12/Cdk13/Chtop/Cir1/Crebbp/Cwc25/Dgcr8/Drg1/Ehmt1/Eif2d/Fam193b/Fbll1/Fmr1/Fto/Fyttd1/Gtf2e2/Hsf1/Ice1/Ice2/Ighmbp2/Ints7/Itgb1bp1/Lage3/Lsg1/Lsm11/Luc7l3/Lyrm4/Mapk14/Max/Mdc1/Mettl3/Msl1/Mtor/Naa15/Nampt/Nbn/Nelfa/Nup43/Nxf1/Ogg1/Parp1/Phf5a/Pias2/Plrg1/Poli/Polr3g/Ppih/Ppp1r8/Ppp4r3b/Ppwd1/Prkaca/Prpf19/Psmb7/Rbm11/Rbm15/Ring1/Rnf2/Scnm1/Sde2/Setd1a/Sf3a2/Sf3a3/Slu7/Smn1/Snrnp40/Snrpb2/Snrpc/Srek1/Srp19/Srpk1/Srrt/Srsf10/Srsf4/Srsf9/Ss18l1/Sumo1/Sympk/Tarbp2/Tcf20/Tepsin/Tfip11/Thoc1/Thoc7/Tollip/Topbp1/U2af1/Virma/Vps72/Wbp4/Wrap53/Wtap/Ythdc1/Zcchc8/Zfhx3/Zmym2/Zpr1",180
"GO:0000785","GO:0000785","chromatin","124/1606","385/9913",1.74427600790038e-15,2.12452817762267e-13,1.68552144763427e-13,"Trim28/Sf3b1/Gatad2b/Hnrnpa2b1/Sfpq/Dhx9/Ccar2/Set/Nucks1/Chd4/Cfdp1/Atrx/Mta2/Psip1/Exosc10/Ssrp1/Cbx3/Nelfe/Polr2a/Mecp2/Smarcc2/Mbd3/Sphk2/Ppp1r10/Arid1b/Hells/Snw1/Wapl/Msh6/Ncor1/Ahctf1/Mybbp1a/Dek/Mta1/Bicra/Mbd2/Hmga1/Casz1/Smarca2/Smarce1/Cpsf6/Pml/Med1/Anp32e/Ddx21/Smarca4/Srsf2/Smarca5/Nipbl/Trim24/Arid2/Ep400/Actl6a/Aff4/Akap8/Akap8l/Ar/Arid1a/Atf2/Bcl7b/Bicral/Brd9/Camta2/Chd6/Chd8/Creb1/Crebbp/Csnk2a1/Ctr9/Dmap1/Dpf2/Ehmt1/Epc1/Gabpa/Gatad2a/H2bc12/Hdac2/Hdac3/Hira/Hsf1/Ice1/Ice2/Ing3/Jmjd1c/Kdm3b/Ldb1/Macroh2a2/Max/Mef2a/Mphosph8/Mta3/Nacc2/Nasp/Nfrkb/Nsd1/Nsd3/Parp1/Pelp1/Ppp4r2/Ppp4r3b/Rbbp4/Rbbp7/Rcc1/Ring1/Rnf2/Rnf20/Rrp1b/Setd1a/Setd3/Sfr1/Sin3a/Smarcb1/Smarcc1/Srpk1/Ss18l1/Sumo1/Swi5/Tasor/Tox4/Tspyl4/Tspyl5/Tti1/Vps72/Xrcc1",124
"GO:0120114","GO:0120114","Sm-like protein family complex","40/1606","71/9913",1.10540961446073e-14,9.61706364580839e-13,7.62981974492447e-13,"Sart3/Sf3b1/Snrpd2/Sart1/Sf3a1/Prpf4/Snrpa/Htatsf1/Prpf31/Prpf40a/Snrpa1/Gemin5/Mepce/Snrpe/Prpf8/Ddx39b/Prpf40b/Snrnp70/Eftud2/Cd2bp2/Ddx20/Fmr1/Hexim1/Larp7/Lsm11/Luc7l3/Phf5a/Ppih/Prpf18/Rbmx2/Sf3a2/Sf3a3/Sf3b6/Slu7/Smn1/Snrpb/Snrpb2/Snrpc/Snrpd1/Txnl4a",40
"GO:0022626","GO:0022626","cytosolic ribosome","45/1606","91/9913",1.43348693795735e-13,9.69992828017807e-12,7.69556145640262e-12,"Rpsa/Rpl24/Rpl4/Rpl14/Rpl19/Rpl26/Rpl29/Rps6/Rpl7a/Rpl13/Rpl7/Rps20/Rplp2/Rplp0/Rpl36/Rps25/Rpl34/Rps8/Rpl3/Rpl23a/Rps3/Rpl22/Rpl13a/Rps17/Rps10/Larp4/Rps21/Zcchc17/Rpl10/Rpl28/Rpl17/Rpl11/Rps13/Rps28/Rps26/Dhx29/Eif2ak4/Eif2d/Rpl38/Rplp1/Rps11/Rps15/Rps27/Rps27a/Rps5",45
"GO:0034708","GO:0034708","methyltransferase complex","41/1606","79/9913",2.18020466374034e-13,1.2155105616333e-11,9.64340761886934e-12,"Snrpd2/Las1l/Rnmt/Taf9/Prpf31/Paxip1/Snrpe/Erh/Hcfc2/Bod1/Bod1l/Cbll1/Chd8/Dpy30/Hdac2/Hdac9/Max/Mettl14/Mettl3/Mga/Ncoa6/Nsd1/Pagr1a/Pelp1/Prmt1/Rbbp4/Rbbp5/Rbbp7/Rbm15/Riok1/Rnf2/Setd1a/Snrpb/Snrpd1/Taf7/Tex10/Virma/Wdr4/Wdr5/Wdr77/Wtap",41
"GO:0005667","GO:0005667","transcription regulator complex","93/1606","274/9913",2.19550347749857e-13,1.2155105616333e-11,9.64340761886934e-12,"Rbm14/Trim28/Nono/Gatad2b/Sfpq/Sub1/Chd4/Hdgf/Gtf2f2/Gtf2a1/Mta2/Cbx3/Taf9/Mbd3/Dr1/Adnp/Gemin5/Ncor1/Gtf2b/Ncoa2/Mta1/Mbd2/Taf9b/Hmga1/Med1/Gtf3c5/Hmgb1/Arid2/Ascc1/Ascc3/Atf2/Atf7/Atf7ip/Brf1/Carm1/Cdk7/Cebpz/Creb1/Crebbp/Csnk2a1/Dcp1a/Ddx20/Drap1/Eny2/Ercc3/Gatad2a/Gps2/Gtf2e1/Gtf2e2/Gtf2h1/Gtf2h3/Gtf2h5/Hdac2/Hdac3/Hdac9/Hltf/Ldb1/Ldb2/Max/Med17/Med27/Med28/Med29/Med4/Med6/Med8/Med9/Mef2a/Mga/Mnat1/Mta3/Naa15/Ncoa6/Parp1/Pbx2/Pus1/Rbbp4/Rbbp7/Sin3a/Smad9/Ssbp3/Taf12/Taf3/Taf4b/Taf7/Taf8/Tbl1x/Tfdp1/Thra/Tle1/Tle5/Xrcc6/Zfhx3",93
"GO:0070603","GO:0070603","SWI/SNF superfamily-type complex","39/1606","74/9913",4.41032317414023e-13,2.23823901087617e-11,1.77573538327225e-11,"Sf3b1/Gatad2b/Chd4/Cfdp1/Mta2/Smarcc2/Mbd3/Arid1b/Mybbp1a/Dek/Mta1/Bicra/Mbd2/Smarca2/Smarce1/Anp32e/Ddx21/Smarca4/Smarca5/Arid2/Ep400/Actl6a/Arid1a/Bcl7b/Bicral/Brd9/Csnk2a1/Dmap1/Dpf2/Gatad2a/Hdac2/Ing3/Mta3/Nfrkb/Rbbp4/Rbbp7/Smarcb1/Smarcc1/Ss18l1",39
"GO:1904949","GO:1904949","ATPase complex","39/1606","78/9913",3.90830742584708e-12,1.70011373024348e-10,1.34880684846903e-10,"Sf3b1/Gatad2b/Chd4/Cfdp1/Mta2/Smarcc2/Mbd3/Arid1b/Mybbp1a/Dek/Mta1/Bicra/Mbd2/Smarca2/Smarce1/Anp32e/Ddx21/Smarca4/Smarca5/Arid2/Ep400/Actl6a/Arid1a/Bcl7b/Bicral/Brd9/Csnk2a1/Dmap1/Dpf2/Gatad2a/Hdac2/Ing3/Mta3/Nfrkb/Rbbp4/Rbbp7/Smarcb1/Smarcc1/Ss18l1",39
"GO:0030880","GO:0030880","RNA polymerase complex","35/1606","82/9913",1.05990116757984e-08,3.58599895031179e-07,2.8449978708722e-07,"Gtf2f2/Gtf2a1/Taf9/Polr2a/Rprd2/Gtf2b/Polr2d/Taf9b/Polr3f/Cdc73/Cdk7/Crcp/Ctr9/Eny2/Ercc3/Gtf2e1/Gtf2e2/Gtf2h1/Gtf2h3/Gtf2h5/Mnat1/Paf1/Polr1d/Polr2b/Polr3d/Polr3e/Polr3g/Rpap2/Rtf1/Taf12/Taf3/Taf4b/Taf7/Taf8/Znfx1",35
