"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005743","GO:0005743","mitochondrial inner membrane","51/394","433/9913",1.72215752615573e-12,7.62915784086987e-10,5.601543953496e-10,"Tufm/Sdhc/Ndufa7/Sod2/Slc27a1/Cox6c/Ckmt1/Bdh1/Ndufb10/Slc25a1/Mcu/Ndufa3/Sfxn5/Slc25a25/Slc25a18/Eci1/Abcb7/Ndufs6/Timm22/Mtch2/Agk/Cox7c/Abcb8/Uqcrb/Maob/Ndufs5/Acad9/Aifm3/Aldh18a1/Coq6/Cox7a2/Cox7a2l/Dnajc11/Etfdh/Gpx4/Idh2/Mgst1/Mpc1/Mpc2/Mrs2/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8/Pmpca/Pmpcb/Slc25a15/Slc25a40/Src/Timm50",51
"GO:0098793","GO:0098793","presynapse","53/394","491/9913",1.85483960447574e-11,2.73897981594251e-09,2.01103662380001e-09,"Bsn/Syngr1/Sv2a/Slc6a5/Syn3/Gpm6a/Ywhah/Septin2/Rab33b/Septin8/Slc32a1/Svop/Glra1/Slc6a1/Lgi3/Adam23/Rab3b/Adgrl1/Atp6v0a1/Slc6a9/Slc30a3/Gad1/Cadps2/Calb1/Cdh2/Cntnap4/Dbi/Efnb1/Erc2/Flrt3/Gabra2/Gabrb3/Gria3/Grm7/Nos1/Ppp2ca/Rab6a/Rab8a/Rapgef4/Rims2/Rogdi/Slc17a7/Slc4a8/Slc6a4/Slc6a7/Sri/Ston2/Stx1a/Sv2b/Syt12/Syt5/Unc13a/Unc13c",53
"GO:0098978","GO:0098978","glutamatergic synapse","49/394","457/9913",1.47921443336576e-10,1.63822998495257e-08,1.20283489450005e-08,"Sipa1l1/Bsn/Sv2a/Syn3/Tnr/Gpm6a/Ywhah/Ndrg1/Cacng2/Dag1/Lgi1/Flna/Bcan/Adam23/Adgrl1/Slc30a3/Dynll2/Cadps2/Calb1/Camkv/Cdh2/Efnb1/Erc2/Filip1/Flrt3/Gria3/Grm7/Hras/Il1rap/Nos1/Nsmf/Plppr4/Ppm1h/Prkar1a/Ptprz1/Rab8a/Rapgef4/Rgs14/Rhoa/Rims2/Septin11/Slc4a8/Slc6a7/Slc6a8/Src/Stx1a/Unc13a/Usp46/Yes1",49
"GO:0099699","GO:0099699","integral component of synaptic membrane","28/394","178/9913",3.49817216330386e-10,3.09938053668722e-08,2.27565304939135e-08,"Slc6a5/Gpm6a/Cacng2/Glra1/Slc6a1/Adam23/Slc6a6/Slc30a1/Adgrl1/Gabra3/Slc6a9/Cdh2/Cntnap4/Efnb1/Flrt3/Gabra1/Gabra2/Gabrb3/Gria3/Grm7/Nlgn2/Plppr4/Ptprz1/Slc6a4/Slc6a7/Slc6a8/Stx1a/Syt3",28
"GO:0098982","GO:0098982","GABA-ergic synapse","19/394","90/9913",1.69508223315748e-09,1.25153571548127e-07,9.18913000080105e-08,"Bsn/Sv2a/Slc32a1/Dag1/Slc6a1/Bcan/Slc6a6/Glrb/Gabra3/Calb1/Cntnap4/Erc2/Gabra1/Gabra2/Gabrb3/Grm7/Nlgn2/Rims2/Septin11",19
"GO:0070469","GO:0070469","respirasome","16/394","71/9913",1.23555199526054e-08,5.47349533900421e-07,4.01879543721588e-07,"Sdhc/Ndufa7/Cox6c/Ndufb10/Ndufa3/Ndufs6/Cox7c/Uqcrb/Ndufs5/Cox7a2/Cox7a2l/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8",16
"GO:1902495","GO:1902495","transmembrane transporter complex","30/394","236/9913",1.47517488983022e-08,5.70152292036012e-07,4.18621975143466e-07,"Ndufa7/Cacng2/Ndufb10/Glra1/Mcu/Atp1b2/Hcn2/Ndufa3/Glrb/Ndufs6/Abcb8/Gabra3/Uqcrb/Ttyh1/Ndufs5/Atp1a4/Atp1b3/Clic4/Gabra1/Gabra2/Gabrb3/Gria3/Kcnab1/Kcnj11/Lrrc8a/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8",30
"GO:0070382","GO:0070382","exocytic vesicle","29/394","223/9913",1.54443058790793e-08,5.70152292036012e-07,4.18621975143466e-07,"Bsn/Syngr1/Sv2a/Syn3/Septin2/Slc32a1/Svop/Lgi3/Rab3b/Atp6v0a1/Slc6a9/Slc30a3/Dbi/Gabra2/Rab27a/Rab6a/Rab8a/Slc17a7/Slc4a8/Slc6a7/Ston2/Stx1a/Sv2b/Syt12/Syt3/Syt5/Sytl3/Unc13a/Unc13c",29
"GO:0098803","GO:0098803","respiratory chain complex","15/394","65/9913",2.51725645247708e-08,8.57803544959496e-07,6.29823679202766e-07,"Sdhc/Ndufa7/Cox6c/Ndufb10/Ndufa3/Ndufs6/Cox7c/Uqcrb/Ndufs5/Cox7a2/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8",15
"GO:1990351","GO:1990351","transporter complex","30/394","251/9913",6.09475691217613e-08,1.79998487472935e-06,1.32159991990346e-06,"Ndufa7/Cacng2/Ndufb10/Glra1/Mcu/Atp1b2/Hcn2/Ndufa3/Glrb/Ndufs6/Abcb8/Gabra3/Uqcrb/Ttyh1/Ndufs5/Atp1a4/Atp1b3/Clic4/Gabra1/Gabra2/Gabrb3/Gria3/Kcnab1/Kcnj11/Lrrc8a/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8",30
