"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006397","GO:0006397","mRNA processing","204/1586","382/9821",4.27844565110902e-66,1.97963680276814e-62,1.87891318488704e-62,"Ncl/Ddx5/Rbm14/Sart3/Srrm2/Nono/Sf3b1/Hnrnpa3/Npm1/Son/Hnrnpa2b1/Sfpq/Dhx9/Ccar2/Thrap3/Snrpd2/Sugp2/Rbm25/Sart1/Rbm10/Fip1l1/Cpsf7/Ptbp3/Ddx46/Hnrnpc/Safb2/Safb/Sf3a1/Elavl4/Pcbp4/Psip1/Rbbp6/Rbm39/Sltm/Rnmt/Prpf4/Zranb2/Snrpa/Nelfe/Cdc5l/Coil/Khdrbs1/Htatsf1/Khsrp/Wdr33/Prpf31/Wbp11/Prpf40a/Ptbp2/Rprd2/Snrpa1/Pnn/Pabpn1/Phrf1/Hnrnpf/Snw1/Celf2/Raly/Gemin5/Dazap1/Rbm22/Iws1/Paxbp1/Rbfox3/Snrpe/Polr2d/Celf1/Isy1/Rbm26/Prpf8/Ncbp3/Ddx39b/Papola/Cpsf6/Zc3h14/Prpf4b/Prpf40b/Raver1/Cwc15/Srsf2/Rbm28/Snrnp70/Cdk9/Cdc73/Eftud2/Srsf3/Thoc2/Srsf7/Adar/Akap8l/Alyref/App/Arl6ip4/Bcas2/Casc3/Ccnt1/Cd2bp2/Cdc40/Cdk12/Cdk13/Celf4/Celf6/Cir1/Cirbp/Cpeb1/Cpeb3/Cpsf1/Cpsf2/Cpsf3/Cpsf4/Cstf3/Ctr9/Cwc25/Cwf19l2/Dcps/Ddx20/Ddx41/Dnajc17/Ecd/Eif4a3/Fam50a/Fmr1/Frg1/Gpkow/Hnrnpll/Hsf1/Khdc4/Khdrbs2/Khdrbs3/Kin/Larp7/Lsm11/Luc7l3/Magoh/Mettl14/Mettl3/Mfap1a/Ncbp2/Paf1/Pan2/Pan3/Phf5a/Plrg1/Ppp1r8/Ppp4r2/Ppwd1/Prkaca/Prkrip1/Prmt7/Prpf18/Prpf19/Prpf38a/Prpf38b/Rbfox1/Rbm11/Rbm15/Rbm27/Rbm3/Rbm5/Rbmx2/Rbmxl1/Rnf20/Rnps1/Rrp1b/Scaf1/Scaf8/Scnm1/Sf3a2/Sf3a3/Sf3b6/Sfswap/Slu7/Smn1/Smndc1/Snrnp40/Snrnp48/Snrpb/Snrpb2/Snrpc/Snrpd1/Srek1/Srpk1/Srrt/Srsf10/Srsf4/Srsf9/Sugp1/Sympk/Tdrd6/Tfip11/Thoc1/Thoc7/Tra2b/Txnl4a/U2af1/Virma/Wbp4/Wdr77/Wtap/Ybx1/Yju2/Ythdc1/Zcchc8/Zpr1",204
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","143/1586","356/9821",1.44148918295557e-28,9.52824349933629e-26,9.04344792675281e-26,"Ncl/Rpsa/Sart3/Rpl24/Rpl14/Rpl26/Rps6/Sf3b1/Rpl7a/Npm1/Rpl7/Dhx9/Snrpd2/Rplp0/Sart1/Rps25/Rps8/Cpsf7/Rpl23a/Las1l/Prkra/Sf3a1/Dkc1/Psip1/Exosc10/Rpl13a/Taf9/Coil/Prpf31/Nop58/Wbp11/Rps17/Eif3a/Ptbp2/Rps21/Celf2/Gemin5/Rpl10/Mybbp1a/Exosc8/Fbl/Surf6/Snrpe/Polr2d/Celf1/Isy1/Prpf8/Ddx39b/Cpsf6/Ddx21/Rpl11/Xrcc5/Rps28/Cdc73/Adar/Ago3/Bop1/Brix1/Bysl/Celf4/Celf6/Cul4a/Ddx18/Ddx20/Ddx31/Ddx51/Dhx29/Dhx30/Dicer1/Eif2d/Eif2s3x/Eri3/Esf1/Exosc9/Fbll1/Frg1/Ftsj3/Gar1/Gnl3l/Gpatch4/Gtf2h5/Khdc4/Kri1/Lsg1/Ltv1/Luc7l3/Lyar/Mettl16/Mphosph10/Nat10/Nhp2/Nifk/Nmd3/Nob1/Noc4l/Nol8/Nol9/Nop16/Nop2/Nup88/Nvl/Pak1ip1/Pelp1/Pes1/Pih1d1/Pop4/Prmt7/Prpf18/Prpf19/Pwp1/Rbm5/Riok1/Rpl38/Rpp30/Rpp38/Rps15/Rps27/Rps5/Rpusd2/Rrp15/Rrp1b/Rsl1d1/Sf3a2/Sf3a3/Sfswap/Slu7/Smn1/Snrpb/Snrpc/Snrpd1/Srpk1/Srsf10/Tarbp2/Tdrd6/Trmt112/Tsr2/Urb1/Utp3/Wdr18/Wdr77/Ythdc1/Ythdf2/Znhit6",143
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","72/1586","152/9821",1.18448427784214e-19,4.98237159415962e-17,4.72886928914584e-17,"Rpsa/Sart3/Rpl24/Sf3b1/Dhx9/Snrpd2/Rplp0/Rps25/Cpsf7/Rpl23a/Prkra/Sf3a1/Psip1/Rpl13a/Taf9/Coil/Prpf31/Eif3a/Ptbp2/Celf2/Gemin5/Rpl10/Snrpe/Polr2d/Celf1/Isy1/Prpf8/Ddx39b/Cpsf6/Rpl11/Xrcc5/Rps28/Cdc73/Adar/Ago3/Bop1/Brix1/Celf4/Celf6/Ddx20/Dhx29/Dhx30/Dicer1/Eif2d/Eif2s3x/Khdc4/Luc7l3/Nop2/Pih1d1/Prmt7/Prpf18/Prpf19/Rbm5/Rpl38/Rps15/Rps27/Rps5/Sf3a2/Sf3a3/Sfswap/Slu7/Smn1/Snrpb/Snrpc/Snrpd1/Srpk1/Srsf10/Tarbp2/Tdrd6/Wdr77/Ythdc1/Znhit6",72
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","74/1586","159/9821",1.32141554009209e-19,5.09515808667173e-17,4.83591722216156e-17,"Rpsa/Sart3/Rpl24/Sf3b1/Dhx9/Snrpd2/Rplp0/Rps25/Cpsf7/Rpl23a/Prkra/Sf3a1/Psip1/Rpl13a/Taf9/Coil/Prpf31/Eif3a/Ptbp2/Celf2/Gemin5/Rpl10/Snrpe/Polr2d/Celf1/Isy1/Prpf8/Ddx39b/Cpsf6/Rpl11/Xrcc5/Rps28/Cdc73/Adar/Ago3/Bop1/Brix1/Celf4/Celf6/Ddx20/Dhx29/Dhx30/Dicer1/Dnajc17/Eif2d/Eif2s3x/Khdc4/Luc7l3/Nop2/Pih1d1/Prmt7/Prpf18/Prpf19/Rbm5/Rpl38/Rps15/Rps27/Rps5/Sf3a2/Sf3a3/Sfswap/Slu7/Smn1/Snrpb/Snrpc/Snrpd1/Srpk1/Srsf10/Tarbp2/Tdrd6/Tfip11/Wdr77/Ythdc1/Znhit6",74
"GO:0006325","GO:0006325","chromatin organization","123/1586","349/9821",5.66755134314003e-19,1.87312571890778e-16,1.77782136869024e-16,"Sart3/Trim28/Sf3b1/Npm1/Gatad2b/Set/Nucks1/Chd4/Cfdp1/Atrx/Mta2/Exosc10/Phf21a/Ssrp1/Cbx3/Mecp2/Smarcc2/Cenpv/Lmnb1/Mbd3/Phf2/Dr1/Sphk2/Arid1b/Hells/Ncor1/Mybbp1a/Dek/Mta1/Bicra/Mbd2/Smarca2/Smarce1/Wac/Hcfc2/Anp32e/Ddx21/Smarca4/Smarca5/Hmgb1/Arid2/Ep400/Top1/Actl6a/Anp32b/Arid1a/Atf7ip/Babam1/Banf1/Bcl7b/Bicral/Brd9/Carm1/Chd6/Chd8/Ctr9/Dcaf1/Dicer1/Dmap1/Dnajc2/Dpf2/Dpy30/Ehmt1/Eif1/Eny2/Epc1/Fam50a/Gatad2a/Gnas/Gpx1/H2bc12/Hdac2/Hdac3/Hdac9/Hira/Hltf/Ing3/Jmjd1c/Kdm3b/Kdm5c/Lrif1/Lsm11/Macroh2a2/Mcm3ap/Mettl3/Mphosph8/Msl1/Mta3/Nasp/Ndn/Nfrkb/Nsd1/Nsd3/Pih1d1/Prmt7/Ptma/Pwwp3a/Rbbp4/Rbbp5/Rbbp7/Rbm15/Ring1/Rnf20/Rsbn1/Setd1a/Setd2/Setdb1/Setdb2/Sin3a/Smarcb1/Smarcc1/Ss18l1/Tasor/Tlk2/Tspyl4/Tspyl5/Tti1/Usp16/Utp3/Vps72/Wdr5/Ythdc1/Znfx1",123
"GO:0010608","GO:0010608","post-transcriptional regulation of gene expression","123/1586","356/9821",3.56790137890882e-18,1.03179248001319e-15,9.7929503636892e-16,"Ncl/Ddx5/Rpl26/Ilf3/Npm1/Dhx9/Thrap3/Rbm10/Sarnp/Rps3/Rpl22/Elavl4/Dkc1/Pcbp4/Rpl13a/Ythdf3/Matr3/Poldip3/Khdrbs1/Mecp2/Larp4b/Khsrp/Ctif/Eif4enif1/Larp4/Gcn1/Rbms3/Celf2/Zcchc17/Gemin5/Ncor1/Rpl10/Eif3e/Cnot8/Exosc8/Tnrc6a/Polr2d/Celf1/Cpeb4/Lsm14b/Ncbp3/Ddx39b/Zc3h14/Pml/Zc3h18/Rack1/Adar/Ago3/Akt2/App/Brf1/Bzw2/Cacng7/Caprin2/Casc3/Cirbp/Cnbp/Cnot1/Cnot10/Cnot11/Coa3/Cpeb1/Cpeb3/Dapk1/Dcp1a/Dcp1b/Dcp2/Dcps/Dicer1/Dnajc1/Dus3l/Eif1/Eif2ak3/Eif2ak4/Eif2b5/Eif2s3x/Eif3k/Eif4a3/Eif4e2/Eif5b/Epb41l5/Exosc9/Fmr1/Fto/Gle1/Helz/Lsm14a/Magoh/Mettl14/Mettl16/Mettl3/Mex3d/Mknk1/Mlh1/Msi1/Msi2/Mtor/Nat10/Ncbp2/Ogfod1/Paip2/Pan2/Pan3/Pelo/Phax/Pum1/Pum2/Pus7/Rbm3/Rc3h2/Rpl38/Rplp1/Tarbp2/Tial1/Tirap/Tnrc6c/Tut4/Tut7/Unk/Usp16/Ybx1/Ythdc1/Ythdf2",123
"GO:0071824","GO:0071824","protein-DNA complex subunit organization","58/1586","118/9821",5.10273319717574e-17,1.38884391196071e-14,1.31817974604441e-14,"Sart3/Npm1/Set/Atrx/Gtf2f2/Gtf2a1/Ssrp1/Taf9/Smarcc2/Cenpv/Dr1/Hells/Gtf2b/Smarca2/Smarce1/Med1/Cand1/Anp32e/Smarca4/Smarca5/Hmgb1/Arid2/Actl6a/Anp32b/Arid1a/Atf7ip/Brf1/Creb1/Dicer1/Dmap1/Gtf2e1/Gtf2h5/H2bc12/Macroh2a2/Mcm3ap/Med17/Med27/Med28/Med29/Med4/Med6/Med8/Med9/Nasp/Psmc6/Ptma/Senp6/Setd2/Smarcb1/Smarcc1/Taf12/Taf3/Taf7/Taf8/Thra/Tspyl4/Tspyl5/Vps72",58
"GO:0006403","GO:0006403","RNA localization","64/1586","140/9821",1.21954232717483e-16,3.13490130435442e-14,2.97539800524761e-14,"Hnrnpa3/Npm1/Hnrnpa2b1/Dhx9/Sarnp/Ssb/Dkc1/Exosc10/Stau1/Stau2/Pom121/Poldip3/Khdrbs1/Khsrp/Nop58/Pabpn1/Ahctf1/Iws1/Fbl/Polr2d/Zc3h11a/Ncbp3/Ddx39b/Cpsf6/Srsf3/Thoc2/Srsf7/Akap8l/Alyref/Bicd2/Casc3/Chtop/Cpeb1/Dcp2/Eif4a3/Eny2/Fmr1/Fyttd1/Gle1/Hsf1/Magoh/Mcm3ap/Ncbp2/Ndc1/Nup107/Nup133/Nup155/Nup188/Nup35/Nup43/Nup88/Nxf1/Nxt2/Phax/Pih1d1/Pom121l2/Seh1l/Setd2/Thoc1/Thoc7/Wrap53/Ybx1/Ythdc1/Znhit6",64
"GO:0006405","GO:0006405","RNA export from nucleus","40/1586","65/9821",1.38390475007188e-16,3.37017225188557e-14,3.19869840293622e-14,"Npm1/Hnrnpa2b1/Dhx9/Sarnp/Ssb/Pom121/Poldip3/Khdrbs1/Pabpn1/Iws1/Polr2d/Zc3h11a/Ncbp3/Ddx39b/Cpsf6/Srsf3/Thoc2/Akap8l/Alyref/Casc3/Chtop/Eif4a3/Eny2/Fyttd1/Gle1/Magoh/Mcm3ap/Ncbp2/Nup107/Nup133/Nup155/Nup188/Nup88/Nxf1/Phax/Pom121l2/Setd2/Thoc1/Thoc7/Ythdc1",40
"GO:0006417","GO:0006417","regulation of translation","100/1586","281/9821",6.18414888008846e-16,1.43070284340847e-13,1.35790890145942e-13,"Ncl/Rpl26/Ilf3/Npm1/Dhx9/Sarnp/Rps3/Rpl22/Elavl4/Rpl13a/Ythdf3/Poldip3/Khdrbs1/Larp4b/Khsrp/Ctif/Eif4enif1/Larp4/Gcn1/Rbms3/Gemin5/Rpl10/Eif3e/Cnot8/Exosc8/Tnrc6a/Polr2d/Celf1/Cpeb4/Lsm14b/Ddx39b/Pml/Rack1/Ago3/Akt2/App/Bzw2/Caprin2/Casc3/Cirbp/Cnbp/Cnot1/Cnot10/Cnot11/Coa3/Cpeb1/Cpeb3/Dapk1/Dcp1a/Dcp1b/Dcp2/Dcps/Dnajc1/Dus3l/Eif1/Eif2ak3/Eif2ak4/Eif2b5/Eif2s3x/Eif3k/Eif4a3/Eif4e2/Eif5b/Exosc9/Fmr1/Fto/Gle1/Lsm14a/Magoh/Mettl14/Mettl16/Mettl3/Mex3d/Mknk1/Mlh1/Msi1/Msi2/Mtor/Nat10/Ncbp2/Ogfod1/Paip2/Pan2/Pan3/Pelo/Pum1/Pum2/Pus7/Rbm3/Rc3h2/Rpl38/Rplp1/Tarbp2/Tnrc6c/Tut4/Tut7/Unk/Usp16/Ybx1/Ythdf2",100
