"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006836","GO:0006836","neurotransmitter transport","30/394","191/9821",1.04037166728621e-10,3.88266706231212e-07,3.57997366353538e-07,"Kcnj10/Sv2a/Slc6a5/Syn3/Slc32a1/Slc6a1/Gpm6b/Slc6a6/Slc30a1/Rab3b/Slc6a9/Cadps2/Doc2b/Erc2/Gabra2/Grm7/Nos1/Prepl/Rims2/Slc17a7/Slc4a8/Slc6a4/Slc6a7/Slc6a8/Stx1a/Sv2b/Syt12/Syt5/Unc13a/Unc13c",30
"GO:0006820","GO:0006820","anion transport","36/394","280/9821",4.61954681313677e-10,8.62007435331321e-07,7.94805185902321e-07,"Kcnj10/Sv2a/Slc7a2/Slc6a5/Septin2/Slc32a1/Slc27a1/Slc20a2/Slc25a1/Abcg2/Glra1/Slc6a1/Slc6a6/Glrb/Sfxn5/Slc4a1/Slc25a18/Gabra3/Slc6a9/Ttyh1/Clic4/Gabra1/Gabra2/Gabrb3/Grm7/Lrrc8a/Mgst1/Mif/Mpc1/Mpc2/Slc17a7/Slc25a15/Slc43a2/Slc4a8/Slc6a7/Slc6a8",36
"GO:0098656","GO:0098656","anion transmembrane transport","23/394","134/9821",2.88556936122407e-09,3.58964828536274e-06,3.30979868134789e-06,"Kcnj10/Slc7a2/Slc6a5/Septin2/Slc27a1/Slc20a2/Slc25a1/Glra1/Slc6a1/Glrb/Slc25a18/Gabra3/Slc6a9/Gabra1/Gabra2/Gabrb3/Lrrc8a/Mpc1/Mpc2/Slc25a15/Slc43a2/Slc4a8/Slc6a8",23
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","27/394","200/9821",2.67385550476545e-08,1.99576574875693e-05,1.840175504227e-05,"Kcnj10/Sv2a/Slc6a5/Syn3/Slc6a1/Gpm6b/Slc30a1/Rab3b/Slc6a9/Maob/Gad1/Cadps2/Doc2b/Erc2/Gabra2/Grm7/Nos1/Prepl/Rims2/Slc17a7/Slc4a8/Slc6a4/Stx1a/Syt12/Syt5/Unc13a/Unc13c",27
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","40/394","413/9821",1.79338703036818e-07,7.93388049235307e-05,7.31535379068714e-05,"Sipa1l1/Ctnnd2/Kcnj10/Syngr1/Tnr/Cacng2/Lgi1/Slc6a1/Slc6a6/Slc30a1/Gnai1/Tbc1d24/Calb1/Cdh2/Cntnap4/Dbi/Erc2/Gnal/Grm7/Hras/Kit/Nlgn2/Nos1/Nsmf/Plcl1/Plppr4/Prepl/Rab8a/Rapgef4/Rgs14/Rims2/Ror2/Slc4a8/Slc6a4/Src/Stx1a/Syt12/Unc13a/Unc13c/Usp46",40
"GO:0042391","GO:0042391","regulation of membrane potential","33/394","305/9821",1.8057275722712e-07,7.93388049235307e-05,7.31535379068714e-05,"Kcnj10/Ywhah/Cacng2/Sod2/Flna/Glra1/Gnaq/Atp1b2/Hcn2/Glrb/Mtch2/Zmpste24/Gabra3/Tbc1d24/Jup/Atp1a4/Atp1b3/Casp1/Gabra1/Gabra2/Gabrb3/Glrx/Gna11/Insyn1/Kcnj11/Ndufc2/Nlgn2/Rapgef4/Rims2/Slc17a7/Slc4a8/Src/Stx1a",33
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","40/394","414/9821",1.91331523127486e-07,7.93388049235307e-05,7.31535379068714e-05,"Sipa1l1/Ctnnd2/Kcnj10/Syngr1/Tnr/Cacng2/Lgi1/Slc6a1/Slc6a6/Slc30a1/Gnai1/Tbc1d24/Calb1/Cdh2/Cntnap4/Dbi/Erc2/Gnal/Grm7/Hras/Kit/Nlgn2/Nos1/Nsmf/Plcl1/Plppr4/Prepl/Rab8a/Rapgef4/Rgs14/Rims2/Ror2/Slc4a8/Slc6a4/Src/Stx1a/Syt12/Unc13a/Unc13c/Usp46",40
"GO:0045333","GO:0045333","cellular respiration","23/394","175/9821",4.79333331338254e-07,0.000172728490042024,0.000159262546947418,"Sdhc/Ndufa7/Sod2/Ndufb10/Gpd1/Ndufa3/Slc25a25/Slc25a18/Ndufs6/Mtch2/Cox7c/Uqcrb/Ndufs5/Aco1/Cox7a2/Cox7a2l/Idh2/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8/Rhoa",23
"GO:0006119","GO:0006119","oxidative phosphorylation","17/394","102/9821",5.36069017689173e-07,0.000172728490042024,0.000159262546947418,"Sdhc/Ndufa7/Ndufb10/Ndufa3/Ndufs6/Mtch2/Cox7c/Uqcrb/Ndufs5/Cox7a2/Cox7a2l/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8/Rhoa",17
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process","23/394","179/9821",7.20095119788812e-07,0.00020672269131168,0.000190606554379727,"Sdhc/Ndufa7/Fis1/Ndufb10/Pgk1/Gpd1/Ndufa3/Slc25a25/Slc4a1/Ndufs6/Mtch2/Itpa/Gnai3/Ndufs5/Cad/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8/Ogt/Prkaa2/Rhoa",23
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","11/394","44/9821",8.74967274059757e-07,0.000217691857786067,0.000200720562729919,"Sdhc/Ndufa7/Ndufb10/Ndufa3/Ndufs6/Ndufs5/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8",11
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","11/394","44/9821",8.74967274059757e-07,0.000217691857786067,0.000200720562729919,"Sdhc/Ndufa7/Ndufb10/Ndufa3/Ndufs6/Ndufs5/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8",11
"GO:0051046","GO:0051046","regulation of secretion","41/394","466/9821",1.59855524041619e-06,0.000331433786512956,0.000305595150931024,"Sv2a/Bsg/Ppia/Septin2/Rab33b/Slc6a1/Lgi3/Mcu/Slc30a1/Rab3b/Dab2/Erp29/Maob/Ezr/Apbb3/Cadps2/Doc2b/Glrx/Grm7/Idh2/Kcnj11/Mif/Mpc2/Neo1/Nlgn2/Nos1/Prepl/Prl7b1/Rab27a/Rab8a/Rapgef4/Rims2/Slc4a8/Slc6a4/Sri/Stx1a/Syt12/Syt3/Syt5/Unc13a/Wdr41",41
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","25/394","221/9821",2.6060968478895e-06,0.000442088792560163,0.000407623473480898,"Bsn/Sv2a/Syn3/Slc32a1/Rab3b/Tbc1d24/Cadps2/Cdh2/Doc2b/Erc2/Grm7/Nlgn2/Prepl/Rab8a/Rapgef4/Rims2/Slc17a7/Slc4a8/Ston2/Stx1a/Syt12/Syt5/Unc13a/Unc13c/Usp46",25
"GO:0098657","GO:0098657","import into cell","21/394","167/9821",3.12811712484976e-06,0.000470959702243416,0.000434243602029031,"Kcnj10/Slc7a2/Slc6a5/Septin2/Slc27a1/Slc6a1/Gpm6b/Slc6a6/Atp1b2/Slc30a1/Hcn2/Rab3b/Slc6a9/Atp1a4/Atp1b3/Kcnj11/Lrrc8a/Nos1/Plppr4/Slc43a2/Slc6a4",21
"GO:0046034","GO:0046034","ATP metabolic process","19/394","156/9821",1.47038482689515e-05,0.00149845853115492,0.00138163844371452,"Sdhc/Ndufa7/Fis1/Ndufb10/Pgk1/Gpd1/Ndufa3/Slc25a25/Slc4a1/Ndufs6/Mtch2/Ndufs5/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8/Ogt/Prkaa2",19
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","15/394","104/9821",1.56415105354857e-05,0.00149845853115492,0.00138163844371452,"Gnaz/Flna/Gpr37l1/Gnaq/Gnai1/Adgrl1/S1pr5/Gnai3/Gna11/Gna13/Gnal/Grm7/Nos1/Rapgef4/Rims2",15
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","10/394","48/9821",1.60606487797955e-05,0.00149845853115492,0.00138163844371452,"Ndufb10/Ndufa3/Ndufs6/Ndufs5/Acad9/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8",10
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","10/394","48/9821",1.60606487797955e-05,0.00149845853115492,0.00138163844371452,"Ndufb10/Ndufa3/Ndufs6/Ndufs5/Acad9/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8",10
"GO:0051932","GO:0051932","synaptic transmission, GABAergic","10/394","48/9821",1.60606487797955e-05,0.00149845853115492,0.00138163844371452,"Slc6a1/Gabra3/Cntnap4/Dbi/Gabra1/Gabra2/Gabrb3/Nlgn2/Plcl1/Usp46",10
"GO:0050808","GO:0050808","synapse organization","34/394","391/9821",1.6679650028566e-05,0.00151825497333191,0.00139989155181983,"Sipa1l1/Bsn/Sorbs2/Ctnnd2/Tnr/Gpm6a/Ndrg1/Nfasc/Cacng2/Dag1/Flna/Slc6a1/Bcan/Glrb/Adgrl1/Elfn1/Camkv/Cdh2/Cntnap4/Efnb1/Erc2/Filip1/Flrt3/Gabra1/Gabra2/Gabrb3/Il1rap/Nlgn2/Rapgef4/Rhoa/Septin11/Slitrk5/Unc13a/Unc13c",34
"GO:0001504","GO:0001504","neurotransmitter uptake","8/394","31/9821",2.18735583657473e-05,0.00184559789981486,0.00170171476687956,"Kcnj10/Slc6a5/Slc6a1/Gpm6b/Rab3b/Slc6a9/Nos1/Slc6a4",8
"GO:0098810","GO:0098810","neurotransmitter reuptake","7/394","23/9821",2.22539939688287e-05,0.00184559789981486,0.00170171476687956,"Kcnj10/Slc6a5/Slc6a1/Gpm6b/Rab3b/Nos1/Slc6a4",7
"GO:0006814","GO:0006814","sodium ion transport","18/394","148/9821",2.51426984992306e-05,0.00203983806085062,0.00188081193121247,"Slc6a5/Ywhah/Slc20a2/Slc6a1/Slc6a6/Atp1b2/Hcn2/Slc6a9/Atp1a4/Atp1b3/Fxyd7/Glrx/Nos1/Slc17a7/Slc4a8/Slc6a4/Slc6a7/Slc6a8",18
"GO:0016082","GO:0016082","synaptic vesicle priming","7/394","26/9821",5.37911268245129e-05,0.00378770726998268,0.00349241695311485,"Sv2a/Cadps2/Erc2/Rims2/Stx1a/Unc13a/Unc13c",7
"GO:0019693","GO:0019693","ribose phosphate metabolic process","29/394","331/9821",6.17836390325268e-05,0.00419230074307982,0.00386546824875273,"Mthfd1/Sdhc/Ndufa7/Fis1/Hsd17b4/Ndufb10/Pgk1/Gpd1/Ndufa3/Slc25a25/Slc4a1/Ndufs6/Mtch2/Itpa/Gnai3/Ndufs5/Acot11/Cad/Mpc1/Mpc2/Ndufa11/Ndufb8/Ndufb9/Ndufc2/Ndufs8/Ogt/Pdk2/Prkaa2/Rhoa",29
"GO:0098739","GO:0098739","import across plasma membrane","16/394","131/9821",6.70390961885633e-05,0.00424050689789353,0.00390991624336152,"Kcnj10/Slc7a2/Slc6a5/Septin2/Slc27a1/Slc6a1/Slc6a6/Atp1b2/Slc30a1/Hcn2/Slc6a9/Atp1a4/Atp1b3/Kcnj11/Lrrc8a/Slc43a2",16
"GO:1990542","GO:1990542","mitochondrial transmembrane transport","11/394","69/9821",8.43618861997619e-05,0.00518133766763458,0.00477739968282773,"Slc25a1/Mcu/Sfxn5/Slc25a18/Abcb7/Abcb8/Mpc1/Mpc2/Mrs2/Slc25a15/Timm50",11
"GO:0043269","GO:0043269","regulation of ion transport","37/394","477/9821",8.46896028203936e-05,0.00518133766763458,0.00477739968282773,"Kcnj10/Mylk/Sv2a/Ywhah/Septin2/Cacng2/Flna/Slc6a1/Gpm6b/Gnaq/Atp1b2/Slc30a1/Hcn2/Rab3b/Thy1/Slc6a9/Maob/Atp1b3/Clic4/Dbi/Fxyd7/Glrx/Grm7/Kcnab1/Kcnj11/Mif/Nlgn2/Nos1/Ppp2ca/Rhoa/Slc43a2/Slc6a4/Sri/Stx1a/Syt12/Syt3/Syt5",37
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","34/394","427/9821",9.96791059100781e-05,0.00590480036914939,0.00544446110643351,"Acsbg1/Adh5/Slc27a1/Hsd17b4/Pgk1/Gpd1/Slc4a1/Eci1/Pgd/Ndufs6/Mtch2/Aldh1a1/Acsf2/Mthfd1l/Gad1/Acot11/Acad9/Appl2/Dbi/Degs1/Echs1/Etfdh/Fads1/Fah/Gpx4/Idh2/Kit/Mif/Mpc1/Mpc2/Mrs2/Ogt/Pdk2/Prkaa2",34
"GO:0017156","GO:0017156","calcium-ion regulated exocytosis","10/394","61/9821",0.00013900252523168,0.00785996097219135,0.00724719704916047,"Cadps2/Doc2b/Rapgef4/Rims2/Stx1a/Syt12/Syt3/Syt5/Unc13a/Unc13c",10
