"","Gene","Median"
"Aaas","Aaas",12.606164589226
"Aacs","Aacs",14.167013868151
"Aak1","Aak1",19.5394054603886
"Aamdc","Aamdc",13.7920661904383
"Aars1","Aars1",15.0733830509913
"Aatk","Aatk",14.3034375421887
"Abat","Abat",15.5665437224751
"Abca5","Abca5",12.8298123874739
"Abca7","Abca7",12.6476827083956
"Abcb7","Abcb7",13.7836512214824
"Abcb8","Abcb8",12.4770358638097
"Abcb9","Abcb9",13.3181206907992
"Abcc5","Abcc5",13.0026680653858
"Abcd2","Abcd2",12.6427225654313
"Abcd3","Abcd3",14.7871041596763
"Abce1","Abce1",13.3307567552083
"Abcf1","Abcf1",14.5266025861952
"Abcf2","Abcf2",15.6633856825544
"Abcf3","Abcf3",15.1718564421307
"Abcg2","Abcg2",13.6679503975944
"Abhd10","Abhd10",17.6449682002416
"Abhd12","Abhd12",19.9482492313628
"Abhd16a","Abhd16a",14.0494474910634
"Abhd6","Abhd6",13.0580855591367
"Abi1","Abi1",16.1962764492968
"Abi2","Abi2",16.3204459430455
"Abl2","Abl2",15.0553428577553
"Ablim1","Ablim1",17.6972204012107
"Ablim2","Ablim2",18.2512344031666
"Ablim3","Ablim3",15.6922433816215
"Abr","Abr",16.3799811518859
"Abraxas2","Abraxas2",14.5430522868072
"Abtb2","Abtb2",15.605923891743
"Acaa2","Acaa2",13.7622253505519
"Acad8","Acad8",13.3244196630702
"Acad9","Acad9",13.4552694754124
"Acadl","Acadl",15.2618083518314
"Acadm","Acadm",14.0584954214847
"Acadsb","Acadsb",13.88063595927
"Acadvl","Acadvl",16.3599756379861
"Acap2","Acap2",13.5554539756398
"Acat1","Acat1",17.2157646168335
"Acat2","Acat2",14.3517583111721
"Acbd5","Acbd5",15.4785940006599
"Acbd6","Acbd6",14.7866734955738
"Acin1","Acin1",16.0546639601852
"Acly","Acly",15.2301862007967
"Aco1","Aco1",18.8196784650324
"Acot11","Acot11",13.2282912872659
"Acot13","Acot13",12.6343665159317
"Acot7","Acot7",16.935234660842
"Acot9","Acot9",15.1368462715104
"Acp1","Acp1",16.2556772984772
"Acrbp","Acrbp",15.1129393413437
"Acsbg1","Acsbg1",14.2288463673329
"Acsf2","Acsf2",12.8141330196347
"Acsf3","Acsf3",13.3592101868192
"Acsl3","Acsl3",17.127630493309
"Acsl4","Acsl4",14.0707966745882
"Acsl6","Acsl6",14.3770932729947
"Acss2","Acss2",14.4638208365272
"Acta1","Acta1",18.9775746583579
"Actn4","Actn4",13.2521237354934
"Actr10","Actr10",15.7149663436875
"Actr2","Actr2",16.2647540834036
"Actr3","Actr3",14.9486031671464
"Acyp1","Acyp1",12.8642387728457
"Acyp2","Acyp2",14.1401141232878
"Adam22","Adam22",17.5450490836959
"Adam23","Adam23",13.8622159365356
"Adap2","Adap2",12.8720033899327
"Adcy9","Adcy9",14.6243337651827
"Add1","Add1",19.2605860167887
"Add2","Add2",20.4413030938153
"Adgrb3","Adgrb3",13.4709368339675
"Adgrl1","Adgrl1",12.7935293276485
"Adh5","Adh5",14.6128199698056
"Adk","Adk",13.8883175625308
"Ado","Ado",13.0539386821695
"Adprh","Adprh",14.0084886145478
"Adrbk2","Adrbk2",12.9664385160876
"Adrm1","Adrm1",11.6948366745559
"Adsl","Adsl",15.4610388198793
"Adss2","Adss2",14.4763281367735
"Afdn","Afdn",15.9527438707288
"Afg3l2","Afg3l2",14.3323802301568
"Aftph","Aftph",15.2523259055733
"Ag2","Ag2",16.4051680514893
"Agap1","Agap1",15.3637301013374
"Agap2","Agap2",12.9962300096933
"Agap3","Agap3",16.5473615378056
"Agfg1","Agfg1",20.0262789385573
"Agfg2","Agfg2",15.9572321035975
"Agk","Agk",13.0046264552171
"Agpat1","Agpat1",14.0433962481377
"Agpat3","Agpat3",14.5963727096903
"Agpat4","Agpat4",14.8603559294249
"Agpat5","Agpat5",13.841111133584
"Agtpbp1","Agtpbp1",16.9699526574435
"Ahcy","Ahcy",15.0542271250244
"Ahcyl1","Ahcyl1",18.050636757954
"Ahcyl2","Ahcyl2",16.003315910435
"Ahsa1","Ahsa1",18.7423102813435
"Ahsa2","Ahsa2",16.5534433217345
"Aifm1","Aifm1",13.7619730934742
"Aifm3","Aifm3",14.1305160756854
"Aimp1","Aimp1",13.3092054889026
"Aip","Aip",15.1281925524121
"Ajm1","Ajm1",14.1300330877152
"Ak1","Ak1",14.8478796156751
"Ak2","Ak2",13.5282099508903
"Ak3","Ak3",13.4167923580322
"Akap1","Akap1",14.2923319011728
"Akap10","Akap10",15.7797061670279
"Akap12","Akap12",20.7995370064198
"Akap13","Akap13",14.632536836931
"Akap17b","Akap17b",15.3998620149562
"Akap2","Akap2",13.9933283327437
"Akr1a1","Akr1a1",15.501474869957
"Akr1b1","Akr1b1",12.743669916549
"Akr7a2","Akr7a2",14.2546492909302
"Akt1","Akt1",13.6951212785685
"Akt3","Akt3",14.1705609752324
"Alb","Alb",16.2534748103382
"Alcam","Alcam",15.4797389929789
"Aldh18a1","Aldh18a1",11.8574974305315
"Aldh1a1","Aldh1a1",13.2841569191758
"Aldh2","Aldh2",14.1952548818951
"Aldh3a2","Aldh3a2",13.6557012275406
"Aldh4a1","Aldh4a1",12.8505790664432
"Aldh6a1","Aldh6a1",13.7960553794241
"Aldh7a1","Aldh7a1",13.2296588352196
"Aldh9a1","Aldh9a1",14.5844513867914
"Aldoa","Aldoa",17.3794309797323
"Alg2","Alg2",14.5684791369226
"Alkbh3","Alkbh3",16.6762120733802
"Alkbh6","Alkbh6",13.9952898844308
"Amer2","Amer2",16.1731114699867
"Amer3","Amer3",12.7876984558609
"Amn1","Amn1",14.6876936221568
"Amot","Amot",13.2180887178559
"Ampd2","Ampd2",17.8288091683355
"Ampd3","Ampd3",15.2668584008408
"Amph","Amph",18.8263017941197
"Anapc1","Anapc1",13.3350695078052
"Angel1","Angel1",13.452088749336
"Ank1","Ank1",19.2013401595512
"Ank2","Ank2",18.9277421705324
"Ank3","Ank3",18.2293529381929
"Ankle2","Ankle2",14.3607972630163
"Ankrd13a","Ankrd13a",12.5303990710499
"Ankrd13d","Ankrd13d",16.2996695671808
"Ankrd17","Ankrd17",13.609962105392
"Ankrd27","Ankrd27",13.2614640445586
"Ankrd28","Ankrd28",13.3686057963951
"Ankrd34b","Ankrd34b",12.6974339911654
"Ankrd34c","Ankrd34c",13.9456302283727
"Ankrd40","Ankrd40",14.9159296160062
"Ankrd49","Ankrd49",13.3414467033692
"Ankrd52","Ankrd52",13.8779866362791
"Anks1a","Anks1a",13.1190002174863
"Anks1b","Anks1b",13.596856360112
"Ano10","Ano10",13.6571329217591
"Ano3","Ano3",14.8092378908256
"Ano4","Ano4",13.708747395604
"Ano8","Ano8",15.7922469139649
"Anxa2","Anxa2",20.2335668124182
"Anxa5","Anxa5",16.4962000370427
"Anxa6","Anxa6",19.6070876598579
"Anxa7","Anxa7",13.0708689095286
"Aox1","Aox1",14.2763849823034
"Ap1b1","Ap1b1",15.8608228526965
"Ap1g1","Ap1g1",14.4908695078741
"Ap1s2","Ap1s2",14.1987876590059
"Ap2a1","Ap2a1",17.6725608669267
"Ap2a2","Ap2a2",15.1730000880895
"Ap2b1","Ap2b1",15.6621649327169
"Ap2m1","Ap2m1",15.3933602682871
"Ap2s1","Ap2s1",15.2239094700443
"Ap3b2","Ap3b2",17.5739285699454
"Ap3d1","Ap3d1",17.4204673822141
"Ap3s1","Ap3s1",17.6841124979398
"Ap3s2","Ap3s2",17.4032496451464
"Ap4e1","Ap4e1",13.549009987152
"Apba1","Apba1",13.9187980313506
"Apbb1","Apbb1",15.0186460198978
"Apbb1ip","Apbb1ip",15.7686114500164
"Apbb3","Apbb3",13.6079127400713
"Apc","Apc",14.5379960156555
"Apc2","Apc2",12.5147247798625
"Appl2","Appl2",13.4183560790579
"Aqp1","Aqp1",17.3588161345263
"Araf","Araf",18.4495381546287
"Arap1","Arap1",14.9432206122678
"Arap2","Arap2",14.4322835353687
"Arcn1","Arcn1",14.7135916639839
"Arf1","Arf1",17.6111985161651
"Arf4","Arf4",14.3875365180409
"Arf5","Arf5",17.2949437068012
"Arf6","Arf6",15.1408265646497
"Arfgap1","Arfgap1",18.0375855938708
"Arfgap2","Arfgap2",15.3279978183539
"Arfgap3","Arfgap3",16.1645352485482
"Arfgef1","Arfgef1",16.4497750962436
"Arfgef2","Arfgef2",15.2577165939969
"Arfgef3","Arfgef3",15.8735434785487
"Arfip2","Arfip2",17.5156611805864
"Arfrp1","Arfrp1",12.4632779466735
"Arhgap1","Arhgap1",18.7364154364774
"Arhgap12","Arhgap12",14.1546038749795
"Arhgap17","Arhgap17",16.8428141357326
"Arhgap21","Arhgap21",17.9048385570118
"Arhgap23","Arhgap23",13.1346491774077
"Arhgap27","Arhgap27",14.8139104414828
"Arhgap28","Arhgap28",15.4874366634266
"Arhgap31","Arhgap31",12.9558303514287
"Arhgap35","Arhgap35",17.5777402589745
"Arhgap39","Arhgap39",15.7926278137925
"Arhgap44","Arhgap44",16.3891924249939
"Arhgap5","Arhgap5",13.1834146206128
"Arhgdia","Arhgdia",18.1113902966664
"Arhgef1","Arhgef1",13.4753677575919
"Arhgef10l","Arhgef10l",12.036205617701
"Arhgef12","Arhgef12",16.3231709792794
"Arhgef17","Arhgef17",14.791382584171
"Arhgef18","Arhgef18",15.3991426385072
"Arhgef40","Arhgef40",12.8086625216816
"Arhgef6","Arhgef6",15.721405105833
"Arhgef7","Arhgef7",15.9070667840928
"Arl15","Arl15",16.6968494554995
"Arl2","Arl2",15.5983675463211
"Arl3","Arl3",15.4579483216647
"Arl6","Arl6",13.7784841799677
"Arl6ip5","Arl6ip5",17.6330182230142
"Arl8a","Arl8a",13.5268415329435
"Armc1","Armc1",12.7658889952212
"Armc6","Armc6",15.1912274039892
"Armcx2","Armcx2",14.4289607271377
"Armcx3","Armcx3",13.2564566584486
"Arpc1a","Arpc1a",14.9035114398636
"Arpc1b","Arpc1b",15.9389808088158
"Arpc2","Arpc2",17.1886435138698
"Arpc3","Arpc3",12.8222846744497
"Arpc5","Arpc5",15.7854882472641
"Arpc5l","Arpc5l",13.3912449636799
"Arpin","Arpin",17.2615677317375
"Arpp19","Arpp19",15.4415055941061
"Arrb2","Arrb2",14.3999695806427
"As3mt","As3mt",14.2994360863686
"Asap1","Asap1",17.8011506597238
"Asap2","Asap2",13.5209976741801
"Asl","Asl",15.250882270712
"Asns","Asns",13.9158307523981
"Aspscr1","Aspscr1",15.7699113286405
"Asrgl1","Asrgl1",15.6249214649641
