"","protein","Source"
"1","A2m","LSC"
"2","Acads","LSC"
"3","Acan","LSC"
"4","Acot1","LSC"
"5","Acot10","LSC"
"6","Acot8","LSC"
"7","Ada","LSC"
"8","Adam28","LSC"
"9","Adamts18","LSC"
"10","Aldoa","LSC"
"11","Alyref","LSC"
"12","Anxa3","LSC"
"13","Apob","LSC"
"14","Apoe","LSC"
"15","Arf1","LSC"
"16","Arid2","LSC"
"17","Arid3b","LSC"
"18","Bgn","LSC"
"19","Bmper","LSC"
"20","C1qtnf4","LSC"
"21","Cacng8","LSC"
"22","Camta1","LSC"
"23","Casp8ap2","LSC"
"24","Cavin2","LSC"
"25","Ccdc102a","LSC"
"26","Ccdc18","LSC"
"27","Ccdc39","LSC"
"28","Ccdc80","LSC"
"29","Cdc25a","LSC"
"30","Cdc42","LSC"
"31","Cdh3","LSC"
"32","Cdkn2aip","LSC"
"33","Cfdp1","LSC"
"34","Chad","LSC"
"35","Chrac1","LSC"
"36","Cobll1","LSC"
"37","Col11a1","LSC"
"38","Col11a2","LSC"
"39","Col2a1","LSC"
"40","Col2a1","LSC"
"41","Col5a2","LSC"
"42","Col6a1","LSC"
"43","Col6a2","LSC"
"44","Col9a1","LSC"
"45","Cpne3","LSC"
"46","Cpsf7","LSC"
"47","Cracr2a","LSC"
"48","Crppa","LSC"
"49","Cry1","LSC"
"50","Cspg4","LSC"
"51","Ctnna1","LSC"
"52","Cyp1b1","LSC"
"53","Dsg1b","LSC"
"54","Dynll1","LSC"
"55","Efemp1","LSC"
"56","Efemp2","LSC"
"57","Efnb3","LSC"
"58","Eln","LSC"
"59","Emc1","LSC"
"60","Emilin1","LSC"
"61","Entpd6","LSC"
"62","Erbin","LSC"
"63","Ercc6l","LSC"
"64","Evpl","LSC"
"65","Exd1","LSC"
"66","Exo5","LSC"
"67","Fbl","LSC"
"68","Fbln2","LSC"
"69","Fbln5","LSC"
"70","Fbn1","LSC"
"71","Fbn1","LSC"
"72","Fbn2","LSC"
"73","Fbxo16","LSC"
"74","Fip1l1","LSC"
"75","Fn1","LSC"
"76","Fndc3c1","LSC"
"77","Fyn","LSC"
"78","Gcc2","LSC"
"79","Gfap","LSC"
"80","Glg1","LSC"
"81","Gmpr2","LSC"
"82","Gna11","LSC"
"83","Gna12","LSC"
"84","Gnai1","LSC"
"85","Golga1","LSC"
"86","Grik3","LSC"
"87","Gtf2i","LSC"
"88","Gzmk","LSC"
"89","Hap1","LSC"
"90","Hars1","LSC"
"91","Heph","LSC"
"92","Hmg20b","LSC"
"93","Hmgcs1","LSC"
"94","Hnrnph1","LSC"
"95","Hoxd11","LSC"
"96","Hpcal1","LSC"
"97","Hspa1a","LSC"
"98","Hspa1a","LSC"
"99","Hspa1a","LSC"
"100","Hspa5","LSC"
"101","Hspa8","LSC"
"102","Hspg2","LSC"
"103","Ikbip","LSC"
"104","Il16","LSC"
