"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055085","GO:0055085","transmembrane transport","82/430","274/3011",1.4701256446055e-12,3.89289270691537e-09,3.42616650227009e-09,"Actb/Aifm1/Ank2/Ano4/Atp1a1/Atp1a2/Atp1a3/Atp1b1/Atp2b2/Atp5f1c/Atp5me/Atp5mg/Atp5pb/Atp6v0d1/Atp6v1d/Atp6v1e1/C2cd5/Cacna1b/Cacnb3/Dlg4/Fabp5/Ghitm/Gnb5/Grip1/Hspd1/Kcnc1/Kcnc3/Kcnd3/Kcnj10/Kif5b/Maip1/Mfn2/Myo5a/Ndufa4/Ndufs7/Nipsnap2/Nos1/Pawr/Phb2/Plp1/Pnpt1/Rap1a/Rasgrf1/Rasgrf2/Rgs7/Rph3a/Scn1a/Scn4b/Scn8a/Sfxn3/Slc12a2/Slc12a6/Slc17a6/Slc25a11/Slc25a12/Slc25a22/Slc25a3/Slc29a1/Slc2a3/Slc30a1/Slc44a1/Slc6a17/Slc6a8/Slc7a14/Slc7a5/Slc8a1/Snta1/Stac2/Sv2c/Timm44/Timm50/Tsc2/Tst/Ubr3/Vdac1/Vdac2/Vdac3/Wnk2/Wnk3/Yes1/Ywhah/Ywhaq",82
"GO:0006836","GO:0006836","neurotransmitter transport","35/430","86/3011",9.73573296533339e-10,1.28901104461014e-06,1.13446909396043e-06,"Atp1a2/Cacna1b/Cask/Erc1/Fbxl20/Flot1/Gpm6b/Gpr158/Kcnc3/Kcnj10/Nos1/Pak1/Pclo/Rab3a/Rap1a/Rimbp2/Rims1/Rims2/Rph3a/Septin5/Slc17a6/Slc29a1/Slc30a1/Slc6a17/Slc6a8/Stx1b/Stx2/Sv2c/Syn1/Syn2/Syngr3/Syp/Syt1/Syt2/Syt7",35
"GO:0006811","GO:0006811","monoatomic ion transport","66/430","234/3011",5.36718517569219e-09,4.13428852722954e-06,3.6386209251416e-06,"Ank2/Ano4/Atp1a1/Atp1a2/Atp1a3/Atp1b1/Atp2b2/Atp5f1c/Atp5me/Atp5mg/Atp5pb/Atp6v0d1/Atp6v1d/Atp6v1e1/Cacna1b/Cacnb3/Cask/Cltc/Cntn1/Epb41/Ghitm/Gnao1/Gnas/Gnb5/Gria2/Grip1/Kcnc1/Kcnc3/Kcnd3/Kcnj10/Kif5b/Maip1/Myo5a/Ndufa4/Ndufs7/Nipal3/Nipsnap2/Nos1/Panx2/Pawr/Pdgfrb/Phb2/Plp1/Rab11b/Rgs7/Scn1a/Scn4b/Scn8a/Sfxn3/Slc12a2/Slc12a6/Slc17a6/Slc30a1/Slc6a17/Slc6a8/Slc8a1/Snta1/Stac2/Ubr3/Vdac1/Vdac2/Vdac3/Wnk2/Wnk3/Ywhah/Ywhaq",66
"GO:0099537","GO:0099537","trans-synaptic signaling","67/430","242/3011",9.39161602349461e-09,4.13428852722954e-06,3.6386209251416e-06,"Abat/Akap12/Anks1b/Arhgap44/Atp2b2/Begain/Cacna1b/Cacnb3/Calb2/Cask/Ckap5/Cntnap2/Dlg4/Dlgap2/Dlgap4/Dnm1/Erc1/Fabp5/Fbxl20/Flot1/Gabbr2/Gpr158/Gria2/Grip1/Kcnc3/Kcnj10/Kif5b/Myo5a/Ncdn/Nos1/Pak1/Pclo/Pfn1/Plcl1/Plcl2/Rab3a/Rap1a/Rasgrf1/Rasgrf2/Rimbp2/Rims1/Rims2/Rph3a/Septin5/Sh3gl1/Sipa1l1/Slc12a2/Slc12a6/Slc17a6/Slc29a1/Slc30a1/Slitrk3/Stx1b/Stx2/Sv2c/Syn1/Syn2/Syp/Syt1/Syt2/Syt7/Tsc2/Vdac1/Vdac3/Vps35/Ywhag/Ywhah",67
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","46/430","141/3011",1.11123233604565e-08,4.13428852722954e-06,3.6386209251416e-06,"Actb/Ap2a1/Ap2a2/Ap2b1/Ap2m1/Ap2s1/Atp6v0d1/Atp6v1d/Atp6v1e1/Bsn/Cacna1b/Cask/Cltc/Ctbp1/Dgkq/Dnm1/Erc1/Fbxl20/Grip1/Magi2/Mapk10/Pclo/Pip5k1c/Pls3/Rab27b/Rab3a/Rala/Rap1a/Rimbp2/Rims1/Rims2/Rph3a/Scamp5/Septin5/Sh3gl1/Slc17a6/Stx1b/Stx2/Sv2c/Syn1/Syn2/Syp/Syt1/Syt2/Syt7/Vps35",46
"GO:0007268","GO:0007268","chemical synaptic transmission","66/430","238/3011",1.14945987667956e-08,4.13428852722954e-06,3.6386209251416e-06,"Abat/Akap12/Anks1b/Arhgap44/Atp2b2/Begain/Cacna1b/Cacnb3/Calb2/Cask/Ckap5/Cntnap2/Dlg4/Dlgap2/Dlgap4/Dnm1/Erc1/Fbxl20/Flot1/Gabbr2/Gpr158/Gria2/Grip1/Kcnc3/Kcnj10/Kif5b/Myo5a/Ncdn/Nos1/Pak1/Pclo/Pfn1/Plcl1/Plcl2/Rab3a/Rap1a/Rasgrf1/Rasgrf2/Rimbp2/Rims1/Rims2/Rph3a/Septin5/Sh3gl1/Sipa1l1/Slc12a2/Slc12a6/Slc17a6/Slc29a1/Slc30a1/Slitrk3/Stx1b/Stx2/Sv2c/Syn1/Syn2/Syp/Syt1/Syt2/Syt7/Tsc2/Vdac1/Vdac3/Vps35/Ywhag/Ywhah",66
"GO:0098916","GO:0098916","anterograde trans-synaptic signaling","66/430","238/3011",1.14945987667956e-08,4.13428852722954e-06,3.6386209251416e-06,"Abat/Akap12/Anks1b/Arhgap44/Atp2b2/Begain/Cacna1b/Cacnb3/Calb2/Cask/Ckap5/Cntnap2/Dlg4/Dlgap2/Dlgap4/Dnm1/Erc1/Fbxl20/Flot1/Gabbr2/Gpr158/Gria2/Grip1/Kcnc3/Kcnj10/Kif5b/Myo5a/Ncdn/Nos1/Pak1/Pclo/Pfn1/Plcl1/Plcl2/Rab3a/Rap1a/Rasgrf1/Rasgrf2/Rimbp2/Rims1/Rims2/Rph3a/Septin5/Sh3gl1/Sipa1l1/Slc12a2/Slc12a6/Slc17a6/Slc29a1/Slc30a1/Slitrk3/Stx1b/Stx2/Sv2c/Syn1/Syn2/Syp/Syt1/Syt2/Syt7/Tsc2/Vdac1/Vdac3/Vps35/Ywhag/Ywhah",66
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","33/430","85/3011",1.2490297665346e-08,4.13428852722954e-06,3.6386209251416e-06,"Atp1a2/Cacna1b/Cask/Erc1/Fbxl20/Flot1/Gpm6b/Gpr158/Kcnc3/Kcnj10/Nos1/Pak1/Pclo/Rab3a/Rap1a/Rimbp2/Rims1/Rims2/Rph3a/Septin5/Slc17a6/Slc29a1/Slc30a1/Stx1b/Stx2/Sv2c/Syn1/Syn2/Syngr3/Syp/Syt1/Syt2/Syt7",33
"GO:0045333","GO:0045333","cellular respiration","32/430","83/3011",2.56451110281538e-08,6.79082540025512e-06,5.97666061224552e-06,"Aco2/Atp5f1c/Atp5me/Atp5pb/Cox4i1/Cox5a/Cyc1/Dld/Idh3a/Idh3g/Mdh2/Mfn2/Ndufa13/Ndufa2/Ndufb11/Ndufb5/Ndufs3/Ndufs7/Ndufs8/Ndufv1/Ndufv3/Nipsnap2/Ogdh/Pdha1/Pdhb/Pnpt1/Sdhb/Slc25a12/Slc25a22/Sod2/Suclg1/Uqcrc1",32
"GO:0031340","GO:0031340","positive regulation of vesicle fusion","10/430","12/3011",1.62064418321078e-07,2.60990138725425e-05,2.29699541714935e-05,"C2cd5/Cacna1b/Erc1/Kif5b/Rimbp2/Rims1/Rims2/Syt1/Syt2/Syt7",10
"GO:0042391","GO:0042391","regulation of membrane potential","37/430","119/3011",1.29845228948686e-06,0.000149491376633096,0.000131568575236792,"Abat/Ank2/Atp1a1/Atp1a3/Atp1b1/Begain/Cacnb3/Ckap5/Cntnap2/Dld/Dlg4/Got1/Jup/Kcnd3/Kcnj10/Kif5b/Mfn2/Nos1/Ntrk3/Pawr/Pclo/Prdx3/Rgs7/Rimbp2/Rims1/Rims2/Scn1a/Scn4b/Scn8a/Sh3gl1/Slc29a1/Slc8a1/Snta1/Sod2/Stx1b/Wdr1/Ywhah",37
