"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006412","GO:0006412","translation","91/368","216/3011",2.34308420903097e-31,5.83193659627808e-28,5.51488030672973e-28,"Bzw1/Caprin1/Ddx39b/Ddx3x/Ddx6/Dhx36/Dhx9/Eef1a1/Eef1d/Eef1g/Eef2/Efl1/Eif2a/Eif2s2/Eif3a/Eif3b/Eif3c/Eif3d/Eif3g/Eif3m/Eif4a1/Eif4b/Eif4g1/Eif4g2/Eif4g3/Eif6/Eprs1/Fech/Hnrnpd/Hnrnpu/Ilf3/Khsrp/Krt17/Limd1/Ncl/Npm1/Pabpc1/Pym1/Qars1/Rack1/Rars1/Rpl10/Rpl11/Rpl12/Rpl13/Rpl13a/Rpl14/Rpl19/Rpl22/Rpl23/Rpl23a/Rpl24/Rpl26/Rpl28/Rpl29/Rpl30/Rpl31/Rpl34/Rpl36/Rpl4/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl9/Rplp0/Rplp2/Rps12/Rps13/Rps14/Rps17/Rps18/Rps2/Rps20/Rps23/Rps24/Rps25/Rps28/Rps3/Rps6/Rps8/Rpsa/Serbp1/Ssb/Syncrip/Tardbp/Tars1/Upf1/Vars1/Vim/Ythdf1",91
"GO:0006518","GO:0006518","peptide metabolic process","93/368","247/3011",1.72638254452602e-27,1.07424153833132e-24,1.01583983409478e-24,"Bzw1/Caprin1/Ddx39b/Ddx3x/Ddx6/Dhx36/Dhx9/Eef1a1/Eef1d/Eef1g/Eef2/Efl1/Eif2a/Eif2s2/Eif3a/Eif3b/Eif3c/Eif3d/Eif3g/Eif3m/Eif4a1/Eif4b/Eif4g1/Eif4g2/Eif4g3/Eif6/Eprs1/Fech/Hnrnpd/Hnrnpu/Ilf3/Khsrp/Krt17/Limd1/Ncl/Npm1/Pabpc1/Pym1/Qars1/Rack1/Rars1/Rela/Rpl10/Rpl11/Rpl12/Rpl13/Rpl13a/Rpl14/Rpl19/Rpl22/Rpl23/Rpl23a/Rpl24/Rpl26/Rpl28/Rpl29/Rpl30/Rpl31/Rpl34/Rpl36/Rpl4/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl9/Rplp0/Rplp2/Rps12/Rps13/Rps14/Rps17/Rps18/Rps2/Rps20/Rps23/Rps24/Rps25/Rps28/Rps3/Rps6/Rps8/Rpsa/Serbp1/Ssb/Syncrip/Tardbp/Tars1/Thop1/Upf1/Vars1/Vim/Ythdf1",93
"GO:0006396","GO:0006396","RNA processing","67/368","180/3011",2.89861663205385e-19,8.01628533020225e-17,7.58047577692679e-17,"Acin1/Ccar2/Cherp/Cpsf6/Cstf2/Ddx39b/Ddx3x/Ddx46/Ddx5/Dhx15/Dhx36/Dhx9/Eif6/Fus/Hnrnpa1/Hnrnpa2b1/Hnrnpa3/Hnrnpc/Hnrnph1/Hnrnpk/Hnrnpl/Hnrnpm/Hnrnpu/Khsrp/Lsm4/Mecp2/Ncl/Nono/Npm1/Nudt21/Nup98/Pabpc1/Prpf4b/Rbbp6/Rbm14/Rbm17/Rbm39/Rpl11/Rpl14/Rpl26/Rpl5/Rpl7/Rpl7a/Rps13/Rps17/Rps24/Rps25/Rps28/Rps6/Rps8/Sart3/Sf1/Sf3b1/Sfpq/Snrnp70/Snrpd2/Snrpd3/Son/Srrm1/Srrm2/Srsf4/Srsf6/Ssb/Syncrip/Tardbp/U2af2/U2surp",67
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","46/368","104/3011",8.5195999880382e-17,1.9277531245661e-14,1.82294981562234e-14,"Cpsf6/Ddx39b/Ddx3x/Dhx9/Efl1/Eif2a/Eif2s2/Eif3a/Eif3d/Eif6/Lsm4/Ncl/Npm1/Nudt21/Ptges3/Rpl10/Rpl11/Rpl13a/Rpl14/Rpl23a/Rpl24/Rpl26/Rpl5/Rpl6/Rpl7/Rpl7a/Rplp0/Rps12/Rps13/Rps14/Rps17/Rps23/Rps24/Rps25/Rps28/Rps6/Rps8/Rpsa/Ruvbl1/Ruvbl2/Sart3/Serbp1/Sf3b1/Snrpd2/Snrpd3/Srsf6",46
"GO:0071826","GO:0071826","protein-RNA complex organization","31/368","60/3011",6.26558792028838e-14,1.03966988890652e-11,9.83147690509812e-12,"Cpsf6/Ddx39b/Dhx9/Eif2s2/Eif3a/Eif3d/Eif6/Lsm4/Nudt21/Ptges3/Rpl10/Rpl11/Rpl13a/Rpl23a/Rpl24/Rpl5/Rpl6/Rplp0/Rps14/Rps25/Rps28/Rps6/Rpsa/Ruvbl1/Ruvbl2/Sart3/Sf3b1/Snrpd2/Snrpd3/Srsf6/Vcp",31
"GO:0022618","GO:0022618","protein-RNA complex assembly","30/368","57/3011",8.513741782932e-14,1.32441895610736e-11,1.25241622543658e-11,"Cpsf6/Ddx39b/Dhx9/Eif2s2/Eif3a/Eif3d/Eif6/Lsm4/Nudt21/Ptges3/Rpl10/Rpl11/Rpl13a/Rpl23a/Rpl24/Rpl5/Rpl6/Rplp0/Rps14/Rps25/Rps28/Rps6/Rpsa/Ruvbl1/Ruvbl2/Sart3/Sf3b1/Snrpd2/Snrpd3/Srsf6",30
"GO:1901566","GO:1901566","organonitrogen compound biosynthetic process","100/368","412/3011",1.29364702055282e-13,1.89405143185646e-11,1.79108033309976e-11,"Ak3/Alg2/Bzw1/Caprin1/Cers2/Ckm/Cog7/Ddx39b/Ddx3x/Ddx6/Dhx36/Dhx9/Eef1a1/Eef1d/Eef1g/Eef2/Efl1/Eif2a/Eif2s2/Eif3a/Eif3b/Eif3c/Eif3d/Eif3g/Eif3m/Eif4a1/Eif4b/Eif4g1/Eif4g2/Eif4g3/Eif6/Eprs1/Fech/Gphn/Hnrnpd/Hnrnpu/Ilf3/Khsrp/Krt17/Limd1/Ncl/Npm1/Pabpc1/Pycr2/Pym1/Qars1/Rack1/Rars1/Rpl10/Rpl11/Rpl12/Rpl13/Rpl13a/Rpl14/Rpl19/Rpl22/Rpl23/Rpl23a/Rpl24/Rpl26/Rpl28/Rpl29/Rpl30/Rpl31/Rpl34/Rpl36/Rpl4/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl9/Rplp0/Rplp2/Rps12/Rps13/Rps14/Rps17/Rps18/Rps2/Rps20/Rps23/Rps24/Rps25/Rps28/Rps3/Rps6/Rps8/Rpsa/Serbp1/Ssb/Syncrip/Tardbp/Tars1/Upf1/Vars1/Vcp/Vim/Ythdf1/Zdhhc3",100
"GO:0042255","GO:0042255","ribosome assembly","16/368","18/3011",2.24263639104991e-13,3.10106776517957e-11,2.93247659086994e-11,"Ddx3x/Efl1/Eif2a/Eif6/Rpl10/Rpl11/Rpl23a/Rpl24/Rpl5/Rpl6/Rplp0/Rps14/Rps25/Rps28/Rps6/Rpsa",16
"GO:0006417","GO:0006417","regulation of translation","40/368","120/3011",5.03735404742561e-10,5.45129314088798e-08,5.15493073228543e-08,"Bzw1/Caprin1/Ddx39b/Ddx3x/Ddx6/Dhx36/Dhx9/Eef2/Eif2a/Eif3b/Eif3d/Eif4g1/Eif4g2/Eif4g3/Eif6/Eprs1/Fech/Hnrnpd/Hnrnpu/Ilf3/Khsrp/Krt17/Limd1/Ncl/Npm1/Pabpc1/Pym1/Rack1/Rpl10/Rpl13a/Rpl26/Rpl5/Rps3/Serbp1/Ssb/Syncrip/Tardbp/Upf1/Vim/Ythdf1",40
"GO:0010608","GO:0010608","post-transcriptional regulation of gene expression","45/368","150/3011",1.90508621362682e-09,1.89670383428686e-07,1.79358853628192e-07,"Bzw1/Caprin1/Ddx39b/Ddx3x/Ddx6/Dhx36/Dhx9/Eef2/Eif2a/Eif3b/Eif3d/Eif4g1/Eif4g2/Eif4g3/Eif6/Eprs1/Fbxo4/Fech/Fus/Hnrnpc/Hnrnpd/Hnrnpu/Ilf3/Khsrp/Krt17/Limd1/Mecp2/Ncl/Npm1/Nudt21/Pabpc1/Pym1/Rack1/Rpl10/Rpl13a/Rpl26/Rpl5/Rps3/Serbp1/Ssb/Syncrip/Tardbp/Upf1/Vim/Ythdf1",45
