"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006396","GO:0006396","RNA processing","39/150","180/3011",2.19574693550193e-16,3.83816564325737e-13,3.64031728780583e-13,"Cpsf7/Ddx17/Ddx21/Dkc1/Dnttip2/Exosc10/Exosc5/Fbl/Fip1l1/Iws1/Las1l/Nvl/Prpf40a/Ptbp3/Pus7/Raly/Rbm10/Rbm25/Rnps1/Rpl10a/Rprd2/Rps26/Rsl1d1/Safb2/Sart1/Sf3a1/Sf3b3/Snrnp200/Snw1/Srsf10/Srsf3/Srsf5/Taf9/Tcerg1/Thrap3/Thumpd1/Utp14a/Zc3h14/Zranb2",39
"GO:0071824","GO:0071824","protein-DNA complex organization","28/150","103/3011",1.60056423145507e-14,1.39889313829173e-11,1.32678350765354e-11,"Anp32b/Arid1b/Brd4/Cfdp1/Chd4/Ddx21/Dek/Exosc10/Gatad2b/Gpx1/Gtf2f2/Hdgf/Iws1/Lamc1/Lmnb2/Med15/Mta2/Mybbp1a/Nasp/Nipbl/Ptma/Smarcc2/Taf9/Tasor2/Top1/Tpr/Trip12/Tspyl5",28
"GO:0006338","GO:0006338","chromatin remodeling","23/150","79/3011",9.40081059680718e-13,4.81896107270156e-10,4.57055503402684e-10,"Anp32b/Arid1b/Brd4/Cfdp1/Chd4/Ddx21/Dek/Exosc10/Gatad2b/Gpx1/Hdgf/Iws1/Lmnb2/Mta2/Mybbp1a/Nasp/Nipbl/Smarcc2/Tasor2/Top1/Tpr/Trip12/Tspyl5",23
"GO:0006325","GO:0006325","chromatin organization","25/150","95/3011",1.10273708757473e-12,4.81896107270156e-10,4.57055503402684e-10,"Anp32b/Arid1b/Brd4/Cfdp1/Chd4/Ddx21/Dek/Exosc10/Gatad2b/Gpx1/Hdgf/Iws1/Lamc1/Lmnb2/Mta2/Mybbp1a/Nasp/Nipbl/Ptma/Smarcc2/Tasor2/Top1/Tpr/Trip12/Tspyl5",25
"GO:0051252","GO:0051252","regulation of RNA metabolic process","56/150","444/3011",1.76657610264694e-12,6.17595005485371e-10,5.85759444561881e-10,"Adnp/Arid1b/Bclaf1/Brd4/Ccar1/Cdk5rap2/Chd4/Cnot8/Cux1/Ddx17/Ddx21/Dek/Dkc1/Exosc5/Fip1l1/Gatad2b/Gtf2f2/Gtf2i/Hdgf/Iws1/Kit/Map3k1/Med15/Mta2/Mybbp1a/Nacc1/Nelfa/Nfic/Nipbl/Nolc1/Phax/Ptbp3/Ptma/Raly/Rbm10/Rbm25/Rnf10/Rnps1/Rps26/Rps6ka5/Rtf1/Safb2/Sarnp/Sf3b3/Smarcc2/Snw1/Srsf10/Srsf3/Srsf5/Taf9/Tcerg1/Thrap3/Tpr/Ybx3/Zc3h14/Zc3h4",56
"GO:0006351","GO:0006351","DNA-templated transcription","47/150","388/3011",9.91363481187193e-10,1.73290336511521e-07,1.64357629775772e-07,"Adnp/Arid1b/Bclaf1/Brd4/Ccar1/Cdk5rap2/Chd4/Cux1/Ddx17/Ddx21/Dek/Dido1/Gatad2b/Gtf2f2/Gtf2i/Hdgf/Iws1/Kit/Map3k1/Med15/Mta2/Mybbp1a/Nacc1/Nelfa/Nfic/Nipbl/Nolc1/Ptma/Raly/Rbm10/Rnf10/Rps6ka5/Rtf1/Safb2/Sarnp/Sf3b3/Smarcc2/Snw1/Srsf10/Taf9/Tcerg1/Tcof1/Thrap3/Top1/Tpr/Ybx3/Zc3h4",47
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","21/150","104/3011",1.64409222947575e-08,1.79617076070226e-06,1.70358240883178e-06,"Cpsf7/Ddx17/Ddx21/Dkc1/Dnttip2/Exosc10/Exosc5/Fbl/Las1l/Mybbp1a/Nvl/Rbm10/Rpl10a/Rps5/Rsl1d1/Sart1/Sf3a1/Snrnp200/Srsf10/Taf9/Utp14a",21
"GO:0051172","GO:0051172","negative regulation of nitrogen compound metabolic process","46/150","423/3011",5.70558952542302e-08,4.7492240430664e-06,4.5044127832287e-06,"Adnp/Bclaf1/Cdk5rap2/Chd4/Cnot8/Ctdsp2/Cux1/Dkc1/Exosc10/Exosc5/Fmn2/Gatad2b/Gpx1/Hdgf/Lig3/Msh6/Mta2/Mybbp1a/Nacc1/Nelfa/Nfic/Nipbl/Nolc1/Phax/Ptbp3/Pus7/Rab23/Raly/Rbm10/Rnps1/Rps26/Rps6ka5/Rtf1/Sarnp/Sf3b3/Smarcc2/Snw1/Srsf10/Taf9/Tcerg1/Thrap3/Tmed10/Tpr/Ybx3/Zc3h14/Zc3h4",46
"GO:0010558","GO:0010558","negative regulation of macromolecule biosynthetic process","40/150","349/3011",1.34501012809268e-07,1.06867168359364e-05,1.01358418743826e-05,"Adnp/Bclaf1/Chd4/Cnot8/Cux1/Ddx17/Dkc1/Exosc10/Exosc5/Fbl/Gatad2b/Hdgf/Lmnb2/Mta2/Mybbp1a/Nacc1/Nelfa/Nfic/Nipbl/Ptbp3/Pus7/Raly/Rbm10/Rnps1/Rps26/Rps6ka5/Rtf1/Sarnp/Smarcc2/Snw1/Srsf10/Srsf3/Tasor2/Tcerg1/Thrap3/Tpr/Trip12/Ybx3/Zc3h14/Zc3h4",40
"GO:0031327","GO:0031327","negative regulation of cellular biosynthetic process","40/150","356/3011",2.34972817030873e-07,1.71138535070819e-05,1.62316748606853e-05,"Adnp/Bclaf1/Chd4/Cnot8/Cux1/Ddx17/Dkc1/Exosc10/Exosc5/Fbl/Gatad2b/Hdgf/Lmnb2/Mta2/Mybbp1a/Nacc1/Nelfa/Nfic/Nipbl/Ptbp3/Pus7/Raly/Rbm10/Rnps1/Rps26/Rps6ka5/Rtf1/Sarnp/Smarcc2/Snw1/Srsf10/Srsf3/Tasor2/Tcerg1/Thrap3/Tpr/Trip12/Ybx3/Zc3h14/Zc3h4",40
