"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043043","GO:0043043","peptide biosynthetic process","68/464","321/4463",2.295695442385e-09,4.22778846148952e-06,4.22778846148952e-06,"Aimp2/Cars1/Cnot1/Cpeb2/Cpeb4/Ctif/Denr/Eef1d/Eef1e1/Eef1g/Eif2b4/Eif2s2/Eif3a/Eif3c/Eif3d/Eif3f/Eif3g/Eif3h/Eif4e/Eif4enif1/Eif4g1/Eif4g2/Eprs1/Fmr1/Fxr1/Gemin5/Ggt7/Habp4/Hnrnpd/Khdrbs1/Larp4/Larp4b/Lsm14b/Magoh/Mars1/Ncbp2/Npm1/Pabpc1/Pum1/Qars1/Rbms3/Rc3h2/Rida/Rpl28/Rpl29/Rpl5/Rplp0/Rps10/Rps14/Rps17/Rps18/Rps2/Rps27a/Sarnp/Tardbp/Tars1/Tcof1/Tnrc6b/Tpr/Tut4/Usp16/Vars1/Wfs1/Xrn1/Yars1/Ythdf1/Ythdf2/Ythdf3",68
"GO:0006412","GO:0006412","translation","67/464","316/4463",2.95133574973091e-09,4.22778846148952e-06,4.22778846148952e-06,"Aimp2/Cars1/Cnot1/Cpeb2/Cpeb4/Ctif/Denr/Eef1d/Eef1e1/Eef1g/Eif2b4/Eif2s2/Eif3a/Eif3c/Eif3d/Eif3f/Eif3g/Eif3h/Eif4e/Eif4enif1/Eif4g1/Eif4g2/Eprs1/Fmr1/Fxr1/Gemin5/Habp4/Hnrnpd/Khdrbs1/Larp4/Larp4b/Lsm14b/Magoh/Mars1/Ncbp2/Npm1/Pabpc1/Pum1/Qars1/Rbms3/Rc3h2/Rida/Rpl28/Rpl29/Rpl5/Rplp0/Rps10/Rps14/Rps17/Rps18/Rps2/Rps27a/Sarnp/Tardbp/Tars1/Tcof1/Tnrc6b/Tpr/Tut4/Usp16/Vars1/Wfs1/Xrn1/Yars1/Ythdf1/Ythdf2/Ythdf3",67
"GO:0016071","GO:0016071","mRNA metabolic process","72/464","364/4463",1.67849067667268e-08,1.21200853734286e-05,1.21200853734286e-05,"Alyref/Cbll1/Celf2/Cnot1/Coil/Cpsf4/Cstf2/Ctif/Dazap1/Ddx1/Dhx15/Dis3l2/Dkc1/Edc4/Eif4enif1/Fip1l1/Fmr1/Fxr1/Gemin5/Grsf1/Habp4/Hnrnpa0/Hnrnpa1/Hnrnpab/Hnrnpd/Hnrnpl/Khdrbs1/Larp4b/Lsm11/Lsm4/Magoh/Mbnl1/Ncbp2/Npm1/Nudt21/Obi1/Pabpc1/Paxbp1/Pcbp4/Pnn/Prpf31/Psip1/Ptbp2/Ptbp3/Puf60/Pum1/Rbfox3/Rbm25/Rc3h2/Rida/Safb/Sart1/Sf1/Sf3a1/Sltm/Snrpa1/Snrpb/Snrpc/Snrpd3/Snrpe/Tardbp/Tcerg1/Tdrd3/Tnrc6b/Tut4/Wbp11/Wdr33/Xrn1/Ythdf1/Ythdf2/Ythdf3/Zc3hav1",72
"GO:0006518","GO:0006518","peptide metabolic process","71/464","357/4463",1.69215851636002e-08,1.21200853734286e-05,1.21200853734286e-05,"Aimp2/Cars1/Cnot1/Cpeb2/Cpeb4/Ctif/Denr/Eef1d/Eef1e1/Eef1g/Eif2b4/Eif2s2/Eif3a/Eif3c/Eif3d/Eif3f/Eif3g/Eif3h/Eif4e/Eif4enif1/Eif4g1/Eif4g2/Eprs1/Fmr1/Fxr1/Gemin5/Ggt7/Habp4/Hnrnpd/Khdrbs1/Larp4/Larp4b/Lsm14b/Magoh/Mars1/Ncbp2/Npepps/Npm1/Pabpc1/Pum1/Qars1/Rbms3/Rc3h2/Rida/Rpl28/Rpl29/Rpl5/Rplp0/Rps10/Rps14/Rps17/Rps18/Rps2/Rps27a/Sarnp/Slc30a5/Tardbp/Tars1/Tcof1/Thop1/Tnrc6b/Tpr/Tut4/Usp16/Vars1/Wfs1/Xrn1/Yars1/Ythdf1/Ythdf2/Ythdf3",71
"GO:0010608","GO:0010608","post-transcriptional regulation of gene expression","48/464","236/4463",2.32468987858254e-06,0.000980079470013715,0.000980079470013715,"Celf2/Cnot1/Cpeb2/Cpeb4/Ctif/Dkc1/Eif3d/Eif4e/Eif4enif1/Eif4g1/Eif4g2/Eprs1/Fmr1/Fxr1/Gemin5/Habp4/Hnrnpa0/Hnrnpd/Khdrbs1/Larp4/Larp4b/Lsm14b/Magoh/Matr3/Ncbp2/Npm1/Nudt21/Pabpc1/Pcbp4/Pum1/Rbms3/Rc3h2/Rida/Rpl5/Sarnp/Tardbp/Tcof1/Tial1/Tnrc6b/Tpr/Tsn/Tut4/Usp16/Wfs1/Xrn1/Ythdf1/Ythdf2/Ythdf3",48
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","35/464","150/4463",2.39460952533892e-06,0.000980079470013715,0.000980079470013715,"Celf2/Cnot1/Dazap1/Eif4enif1/Fip1l1/Fmr1/Fxr1/Hnrnpa0/Hnrnpab/Hnrnpd/Hnrnpl/Khdrbs1/Larp4b/Magoh/Npm1/Obi1/Pabpc1/Pcbp4/Ptbp3/Puf60/Pum1/Rbfox3/Rbm25/Rc3h2/Rida/Safb/Sf1/Sltm/Tardbp/Tnrc6b/Tut4/Ythdf1/Ythdf2/Ythdf3/Zc3hav1",35
"GO:0006402","GO:0006402","mRNA catabolic process","28/464","113/4463",7.44565157356113e-06,0.00204618473627275,0.00204618473627275,"Cnot1/Ctif/Dis3l2/Edc4/Eif4enif1/Fmr1/Fxr1/Hnrnpa0/Hnrnpab/Hnrnpd/Larp4b/Lsm4/Magoh/Ncbp2/Npm1/Pabpc1/Pcbp4/Pum1/Rc3h2/Rida/Tardbp/Tnrc6b/Tut4/Xrn1/Ythdf1/Ythdf2/Ythdf3/Zc3hav1",28
"GO:0006417","GO:0006417","regulation of translation","40/464","194/4463",1.20848293821056e-05,0.00266331047536404,0.00266331047536404,"Cnot1/Cpeb2/Cpeb4/Ctif/Eif3d/Eif4e/Eif4enif1/Eif4g1/Eif4g2/Eprs1/Fmr1/Fxr1/Gemin5/Habp4/Hnrnpd/Khdrbs1/Larp4/Larp4b/Lsm14b/Magoh/Ncbp2/Npm1/Pabpc1/Pum1/Rbms3/Rc3h2/Rida/Rpl5/Sarnp/Tardbp/Tcof1/Tnrc6b/Tpr/Tut4/Usp16/Wfs1/Xrn1/Ythdf1/Ythdf2/Ythdf3",40
"GO:0022618","GO:0022618","protein-RNA complex assembly","25/464","102/4463",2.82405353053216e-05,0.00539394224331643,0.00539394224331643,"Celf2/Coil/Denr/Dhx30/Eif2s2/Eif3a/Eif3d/Gemin5/Lsm4/Mbnl1/Nudt21/Prpf31/Psip1/Ptbp2/Ptges3/Puf60/Rpl5/Rplp0/Rps14/Ruvbl2/Sf3a1/Snrpb/Snrpc/Snrpd3/Snrpe",25
"GO:0071826","GO:0071826","protein-RNA complex organization","25/464","107/4463",6.67721457332909e-05,0.0106278998625488,0.0106278998625488,"Celf2/Coil/Denr/Dhx30/Eif2s2/Eif3a/Eif3d/Gemin5/Lsm4/Mbnl1/Nudt21/Prpf31/Psip1/Ptbp2/Ptges3/Puf60/Rpl5/Rplp0/Rps14/Ruvbl2/Sf3a1/Snrpb/Snrpc/Snrpd3/Snrpe",25
