"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","12/62","114/4463",3.18274005090383e-08,3.8611486948741e-05,3.31918759532495e-05,"Atp1a2/Erc1/Kcnj10/Pclo/Rhot1/Rims1/Rph3a/Slc17a6/Stx2/Sv2c/Syt1/Syt2",12
"GO:0006836","GO:0006836","neurotransmitter transport","12/62","119/4463",5.18623061769523e-08,3.8611486948741e-05,3.31918759532495e-05,"Atp1a2/Erc1/Kcnj10/Pclo/Rhot1/Rims1/Rph3a/Slc17a6/Stx2/Sv2c/Syt1/Syt2",12
"GO:0140029","GO:0140029","exocytic process","9/62","66/4463",2.11341138606546e-07,0.000104895651795049,9.01722191387931e-05,"Erc1/Gnao1/Pclo/Rab3c/Rims1/Rph3a/Stx2/Syt1/Syt2",9
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","12/62","174/4463",3.32451444487524e-06,0.00121605087570745,0.00104536274070217,"Ap2a1/Atp6v0d1/Erc1/Grip1/Pclo/Rims1/Rph3a/Slc17a6/Stx2/Sv2c/Syt1/Syt2",12
"GO:0007269","GO:0007269","neurotransmitter secretion","9/62","95/4463",4.90013784704143e-06,0.00121605087570745,0.00104536274070217,"Erc1/Pclo/Rhot1/Rims1/Rph3a/Stx2/Sv2c/Syt1/Syt2",9
"GO:0099643","GO:0099643","signal release from synapse","9/62","95/4463",4.90013784704143e-06,0.00121605087570745,0.00104536274070217,"Erc1/Pclo/Rhot1/Rims1/Rph3a/Stx2/Sv2c/Syt1/Syt2",9
"GO:1901634","GO:1901634","positive regulation of synaptic vesicle membrane organization","4/62","11/4463",1.03642805940054e-05,0.00154324138044741,0.0013266279160327,"Erc1/Rims1/Syt1/Syt2",4
"GO:0099500","GO:0099500","vesicle fusion to plasma membrane","5/62","24/4463",1.52449428752236e-05,0.00189164332843399,0.00162612724002385,"Erc1/Rims1/Stx2/Syt1/Syt2",5
"GO:0098771","GO:0098771","inorganic ion homeostasis","9/62","142/4463",0.000124998851598723,0.00930616450152493,0.00799992650231827,"Ank2/Atp1a2/Atp1b1/Atp6v0d1/Erc1/Immt/Kcnj10/Rap1gds1/Slc17a6",9
"GO:0048278","GO:0048278","vesicle docking","5/62","43/4463",0.00028188296717948,0.0157742459949951,0.0135601308754827,"Gnao1/Rab3c/Rims1/Stx2/Syt1",5
"GO:0022010","GO:0022010","central nervous system myelination","3/62","10/4463",0.000285889166147345,0.0157742459949951,0.0135601308754827,"Cntn1/Kcnj10/Plp1",3
"GO:0032291","GO:0032291","axon ensheathment in central nervous system","3/62","10/4463",0.000285889166147345,0.0157742459949951,0.0135601308754827,"Cntn1/Kcnj10/Plp1",3
"GO:0098814","GO:0098814","spontaneous synaptic transmission","3/62","10/4463",0.000285889166147345,0.0157742459949951,0.0135601308754827,"Rims1/Rph3a/Syt1",3
"GO:1901016","GO:1901016","regulation of potassium ion transmembrane transporter activity","4/62","24/4463",0.000291432678274687,0.0157742459949951,0.0135601308754827,"Ank2/Atp1b1/Grip1/Wwp2",4
"GO:0071805","GO:0071805","potassium ion transmembrane transport","6/62","68/4463",0.000314622257110828,0.0161542255461387,0.013886775486271,"Ank2/Atp1a2/Atp1b1/Grip1/Kcnj10/Wwp2",6
"GO:0046903","GO:0046903","secretion","14/62","375/4463",0.000472684668147681,0.0210953712996286,0.018134368880809,"Erc1/Gnao1/Pclo/Pde4c/Rab3c/Rap1gds1/Rhot1/Rims1/Rph3a/Smad2/Stx2/Sv2c/Syt1/Syt2",14
"GO:1903530","GO:1903530","regulation of secretion by cell","11/62","257/4463",0.000685191207419386,0.0291499916527847,0.025058421299909,"Gnao1/Pclo/Pde4c/Rab3c/Rap1gds1/Rhot1/Rims1/Rph3a/Sv2c/Syt1/Syt2",11
"GO:0006813","GO:0006813","potassium ion transport","6/62","79/4463",0.000709581926010428,0.0293490968841535,0.0252295795914819,"Ank2/Atp1a2/Atp1b1/Grip1/Kcnj10/Wwp2",6
"GO:0010959","GO:0010959","regulation of metal ion transport","8/62","144/4463",0.000747647329105417,0.0296786970239542,0.0255129161790875,"Ank2/Atp1a2/Atp1b1/Cntn1/Gnao1/Grip1/Plp1/Wwp2",8
"GO:0055075","GO:0055075","potassium ion homeostasis","3/62","14/4463",0.000833431377494303,0.0302677883192443,0.0260193210534807,"Atp1a2/Atp1b1/Kcnj10",3
"GO:0022406","GO:0022406","membrane docking","5/62","57/4463",0.00105634020856759,0.036578850478073,0.0314445457434073,"Gnao1/Rab3c/Rims1/Stx2/Syt1",5
