"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097435","GO:0097435","supramolecular fiber organization","60/307","294/3011",2.41765717706818e-08,4.85157021163077e-05,4.35663830957338e-05,"Actr2/Agfg1/Anxa2/Arfip2/Arhgef7/Arpc2/Arpc4/Arpc5/Arpc5l/Arpin/Avil/Bin1/Camsap1/Camsap2/Camsap3/Cap1/Cd2ap/Cfl1/Clasp1/Cnn3/Coro1a/Coro1c/Csrp1/Cttn/Dbnl/Dctn1/Dpysl3/Dstn/Dync1h1/Gsn/Hip1r/Hspa8/Ilk/Katnb1/Mapre1/Mapre3/Mical3/Mtor/Myh9/Myo1e/Nckap1/Nebl/Nefh/Nefl/Pik3ca/Pls1/Prkcd/Prune1/Rac1/Rufy3/Slain2/Snx9/Sptbn1/Swap70/Twf1/Twf2/Vasp/Vipas39/Wasl/Wipf3",60
"GO:0032535","GO:0032535","regulation of cellular component size","39/307","159/3011",6.3480198310146e-08,4.85157021163077e-05,4.35663830957338e-05,"Aqp1/Arpc2/Arpc5/Arpc5l/Avil/Bin1/Cfl1/Chmp3/Coro1a/Cttn/Dbnl/Dstn/Gdi1/Gsn/Hip1r/Hsp90aa1/Ilk/Ist1/Kcnma1/Mtor/Nckap1/Nefl/Oxsr1/Picalm/Pik3ca/Pls1/Prkcd/Rac1/Rap1gap2/Rufy3/Sema4d/Smurf1/Snx9/Spart/Sptbn1/Swap70/Twf1/Twf2/Vasp",39
"GO:0051258","GO:0051258","protein polymerization","35/307","136/3011",8.87940501188117e-08,4.85157021163077e-05,4.35663830957338e-05,"Arhgef7/Arpc2/Arpc4/Arpc5/Arpc5l/Avil/Bin1/Camsap1/Camsap2/Camsap3/Cfl1/Chmp4b/Clasp1/Coro1a/Cttn/Dbnl/Dctn1/Gsn/Hip1r/Hsp90aa1/Mapre1/Mapre3/Mtor/Nckap1/Nefl/Prkcd/Prune1/Rac1/Slain2/Snx9/Sptbn1/Twf1/Twf2/Vasp/Wasl",35
"GO:1902743","GO:1902743","regulation of lamellipodium organization","13/307","24/3011",8.92579445187904e-08,4.85157021163077e-05,4.35663830957338e-05,"Actr2/Aqp1/Arpc2/Avil/Cd44/Cfl1/Coro1c/Hsp90aa1/Mtor/Nckap1/Rac1/Twf1/Twf2",13
"GO:0097581","GO:0097581","lamellipodium organization","19/307","49/3011",9.1851007414441e-08,4.85157021163077e-05,4.35663830957338e-05,"Abi1/Actr2/Aqp1/Arhgef7/Arpc2/Arpc5/Avil/Cd44/Cfl1/Coro1c/Cttn/Hsp90aa1/Mtor/Nckap1/Rac1/Snx1/Snx2/Twf1/Twf2",19
"GO:0032271","GO:0032271","regulation of protein polymerization","30/307","110/3011",2.00040158415309e-07,8.80510097291386e-05,7.90685047209985e-05,"Arhgef7/Arpc2/Arpc5/Arpc5l/Avil/Bin1/Camsap1/Camsap2/Camsap3/Cfl1/Coro1a/Cttn/Dbnl/Dctn1/Gsn/Hip1r/Hsp90aa1/Mapre1/Mapre3/Mtor/Nckap1/Prkcd/Prune1/Rac1/Slain2/Snx9/Sptbn1/Twf1/Twf2/Vasp",30
"GO:0090066","GO:0090066","regulation of anatomical structure size","41/307","181/3011",3.07210618165393e-07,0.000115906177510686,0.000104082033492727,"Aqp1/Arpc2/Arpc5/Arpc5l/Atp2b1/Avil/Bin1/Cfl1/Chmp3/Coro1a/Cttn/Dbnl/Dstn/Gdi1/Grk2/Gsn/Hip1r/Hsp90aa1/Ilk/Ist1/Kcnma1/Mtor/Nckap1/Nefl/Oxsr1/Picalm/Pik3ca/Pls1/Prkcd/Rac1/Rap1gap2/Rufy3/Sema4d/Smurf1/Snx9/Spart/Sptbn1/Swap70/Twf1/Twf2/Vasp",41
"GO:0010591","GO:0010591","regulation of lamellipodium assembly","11/307","20/3011",7.53791412773898e-07,0.000217283559628463,0.000195117423560823,"Actr2/Aqp1/Arpc2/Avil/Cfl1/Hsp90aa1/Mtor/Nckap1/Rac1/Twf1/Twf2",11
"GO:0051493","GO:0051493","regulation of cytoskeleton organization","44/307","209/3011",9.90654224786026e-07,0.000217283559628463,0.000195117423560823,"Arfip2/Arhgef7/Arpc2/Arpc5/Arpc5l/Arpin/Avil/Bin1/Camsap1/Camsap2/Camsap3/Cd2ap/Cfl1/Chmp2b/Chmp4b/Clasp1/Coro1a/Cttn/Cyld/Dbnl/Dctn1/Dstn/Dync1h1/Gsn/Hip1r/Ilk/Katnb1/Mapk3/Mapre1/Mapre3/Mtor/Nckap1/Pik3ca/Prkcd/Prune1/Rac1/Slain2/Snx9/Sptbn1/Swap70/Twf1/Twf2/Vasp/Vps4b",44
"GO:0008154","GO:0008154","actin polymerization or depolymerization","26/307","94/3011",1.0172471831827e-06,0.000217283559628463,0.000195117423560823,"Arpc2/Arpc4/Arpc5/Arpc5l/Avil/Bin1/Cfl1/Coro1a/Cttn/Dbnl/Dstn/Gsn/Hip1r/Mical3/Mtor/Nckap1/Pik3ca/Prkcd/Rac1/Snx9/Sptbn1/Swap70/Twf1/Twf2/Vasp/Wasl",26
"GO:0007015","GO:0007015","actin filament organization","41/307","189/3011",1.06031786751118e-06,0.000217283559628463,0.000195117423560823,"Actr2/Arfip2/Arpc2/Arpc4/Arpc5/Arpc5l/Arpin/Avil/Bin1/Cap1/Cd2ap/Cfl1/Clasp1/Cnn3/Coro1a/Coro1c/Cttn/Dbnl/Dpysl3/Dstn/Gsn/Hip1r/Mical3/Mtor/Myh9/Myo1e/Nckap1/Nebl/Pik3ca/Pls1/Prkcd/Rac1/Rufy3/Snx9/Sptbn1/Swap70/Twf1/Twf2/Vasp/Wasl/Wipf3",41
"GO:0010592","GO:0010592","positive regulation of lamellipodium assembly","10/307","17/3011",1.06955178915942e-06,0.000217283559628463,0.000195117423560823,"Actr2/Aqp1/Arpc2/Avil/Cfl1/Hsp90aa1/Mtor/Nckap1/Rac1/Twf2",10
"GO:0008064","GO:0008064","regulation of actin polymerization or depolymerization","23/307","80/3011",2.11717985805248e-06,0.000372764800341106,0.000334737278609981,"Arpc2/Arpc5/Arpc5l/Avil/Bin1/Cfl1/Coro1a/Cttn/Dbnl/Dstn/Gsn/Hip1r/Mtor/Nckap1/Pik3ca/Prkcd/Rac1/Snx9/Sptbn1/Swap70/Twf1/Twf2/Vasp",23
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","37/307","169/3011",2.98730679447323e-06,0.000493092327762737,0.000442789618943959,"Arfip2/Arhgef7/Arpc2/Arpc5/Arpc5l/Arpin/Avil/Bin1/Camsap1/Camsap2/Camsap3/Cfl1/Clasp1/Coro1a/Cttn/Dbnl/Dctn1/Dstn/Gsn/Hip1r/Hspa8/Katnb1/Mapre1/Mapre3/Mtor/Nckap1/Pik3ca/Prkcd/Prune1/Rac1/Slain2/Snx9/Sptbn1/Swap70/Twf1/Twf2/Vasp",37
