"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043005","GO:0043005","neuron projection","56/187","489/3034",7.11779059742921e-07,0.000175608822895478,0.000151043763210829,"Abhd12/Add1/Ank1/Ank3/Ckb/Clip2/Crmp1/Csnk1e/Ctnnb1/Dock4/Dpysl2/Enah/Epb41l3/Glrx3/Gsk3b/Impa1/Kcnj11/Kif5c/Klc1/Klc2/Madd/Map1a/Map1b/Map2k1/Map6/Mapt/Mast1/Mob2/Ncam1/Nectin3/Nefm/Nsf/Numb/Pacsin1/Pafah1b1/Palm/Pex5l/Ppm1a/Ppp3ca/Prkaa2/Prkar2b/Rgs7bp/Rtn4/Shank1/Sirt2/Slc17a7/Snap25/Snap91/Snca/Sncb/Sncg/Stxbp1/Tmod2/Trpv1/Ubxn1/Usp8",56
"GO:0036477","GO:0036477","somatodendritic compartment","46/187","371/3034",1.03604025307067e-06,0.000175608822895478,0.000151043763210829,"Abhd12/Add1/Ank3/Ckb/Clip2/Crmp1/Csnk1e/Ctnnb1/Dpysl2/Glrx3/Gsk3b/Impa1/Kcnj11/Kif5c/Klc1/Map1a/Map1b/Map2k1/Map6/Mapt/Mast1/Ncam1/Nectin3/Nefm/Nsf/Numb/Pafah1b1/Palm/Pcmt1/Pex5l/Ppp3ca/Prkaa2/Prkar2b/Rgs7bp/Rtn4/Sh3glb1/Shank1/Sirt2/Snap25/Snap91/Snca/Sncb/Sncg/Trpv1/Ubxn1/Usp8",46
"GO:0015630","GO:0015630","microtubule cytoskeleton","45/187","377/3034",4.16046083488393e-06,0.000470132074341884,0.000404367596934332,"Arhgap35/Arl8a/Casp1/Cep170b/Chmp7/Clip2/Crmp1/Ctnnb1/Ddhd2/Dpysl2/Eml1/Gsk3b/Kank4/Katnal1/Kif2a/Kif5c/Klc1/Klc2/Luzp1/Map1a/Map1b/Map2k1/Map6/Mapt/Mdh1/Nek7/Nisch/Ola1/Pafah1b1/Patj/Pin1/Pla2g6/Prkar2b/Rell1/Sirt2/Sncg/Snx4/Sorbs1/Tbcb/Tbcd/Tppp3/Trip10/Tubb4b/Uvrag/Yeats2",45
"GO:0043025","GO:0043025","neuronal cell body","31/187","250/3034",8.54503072510503e-05,0.00625857511321976,0.00538309363875757,"Ckb/Crmp1/Csnk1e/Dpysl2/Gsk3b/Impa1/Kcnj11/Kif5c/Klc1/Map1a/Map1b/Map2k1/Mapt/Mast1/Ncam1/Nefm/Pafah1b1/Pcmt1/Prkaa2/Prkar2b/Rgs7bp/Rtn4/Sh3glb1/Sirt2/Snap25/Snap91/Snca/Sncb/Sncg/Trpv1/Ubxn1",31
"GO:0099512","GO:0099512","supramolecular fiber","37/187","329/3034",0.000137022264096091,0.00660642343685335,0.00568228316102586,"Ablim2/Ank1/Ank3/Atp2b4/Casp1/Cep170b/Chmp7/Clip2/Ctnnb1/Dmtn/Dpysl2/Eml1/Glrx3/Gsk3b/Hdac4/Katnal1/Kif2a/Kif5c/Klc1/Klc2/Lcp1/Ldb3/Map1a/Map1b/Map2k1/Map6/Mapt/Nefm/Pafah1b1/Ppp3ca/Sirt2/Snca/Tbcb/Tmod2/Tppp3/Trip10/Tubb4b",37
"GO:0099081","GO:0099081","supramolecular polymer","37/187","331/3034",0.000155903797919843,0.00660642343685335,0.00568228316102586,"Ablim2/Ank1/Ank3/Atp2b4/Casp1/Cep170b/Chmp7/Clip2/Ctnnb1/Dmtn/Dpysl2/Eml1/Glrx3/Gsk3b/Hdac4/Katnal1/Kif2a/Kif5c/Klc1/Klc2/Lcp1/Ldb3/Map1a/Map1b/Map2k1/Map6/Mapt/Nefm/Pafah1b1/Ppp3ca/Sirt2/Snca/Tbcb/Tmod2/Tppp3/Trip10/Tubb4b",37
"GO:0014069","GO:0014069","postsynaptic density","24/187","182/3034",0.000229888284180863,0.00865912537081251,0.00744784265708761,"Ablim1/Add1/Add2/Arfgap1/Ctnnb1/Dmtn/Dnajc6/Dtnb/Epb41l3/Gsk3b/Map1a/Map1b/Map2k1/Mapt/Nectin3/Nefm/Numb/Pacsin1/Palm/Rgs7bp/Rtn4/Shank1/Snap91/Usp8",24
"GO:0032279","GO:0032279","asymmetric synapse","24/187","187/3034",0.000349760143245528,0.0118568688560234,0.0101982694398959,"Ablim1/Add1/Add2/Arfgap1/Ctnnb1/Dmtn/Dnajc6/Dtnb/Epb41l3/Gsk3b/Map1a/Map1b/Map2k1/Mapt/Nectin3/Nefm/Numb/Pacsin1/Palm/Rgs7bp/Rtn4/Shank1/Snap91/Usp8",24
"GO:0098590","GO:0098590","plasma membrane region","35/187","333/3034",0.00080249963642206,0.0187593790781235,0.0161352212533464,"Abcg2/Add2/Ank1/Ank3/Ano6/Atp2b4/Atp6v1a/Crkl/Ctnnb1/Dmtn/Dnajc6/Ehd3/Epb41l3/Kcnj11/Mapt/Mpz/Ncam1/Necap1/Nectin3/Numb/Pacsin1/Palm/Pcmt1/Prkaa2/Rgs7bp/Rtn4/Shank1/Snap25/Snap91/Sorbs1/Stambp/Stxbp1/Stxbp5/Tbc1d5/Trpv1",35
"GO:0044297","GO:0044297","cell body","31/187","283/3034",0.000830061021155906,0.0187593790781235,0.0161352212533464,"Ckb/Crmp1/Csnk1e/Dpysl2/Gsk3b/Impa1/Kcnj11/Kif5c/Klc1/Map1a/Map1b/Map2k1/Mapt/Mast1/Ncam1/Nefm/Pafah1b1/Pcmt1/Prkaa2/Prkar2b/Rgs7bp/Rtn4/Sh3glb1/Sirt2/Snap25/Snap91/Snca/Sncb/Sncg/Trpv1/Ubxn1",31
