"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043209","GO:0043209","myelin sheath","58/432","150/3034",2.22466746886467e-14,4.98873174799755e-12,3.27129950688364e-12,"Aco2/Actb/Alb/Aldoa/Atp1a1/Atp1a2/Atp1a3/Atp1b1/Atp5f1c/Atp5pb/Cltc/Cnp/Cnrip1/Cntn1/Cox5a/Dld/Dnm1/Ehd1/Eno1/Gapdh/Gjc3/Gnao1/Gnb1/Gnb5/Got2/Gpm6b/Hbb-b1/Hspd1/Idh3a/Immt/Ldhb/Mbp/Mdh2/Msn/Ndufs3/Pdcd6ip/Pdha1/Pitpna/Pkm/Plp1/Prdx3/Rala/Rap1a/Septin4/Septin7/Slc25a12/Slc25a3/Sod2/Sptan1/Syn1/Syn2/Tppp/Tubb4a/Uqcrc1/Vdac1/Vdac2/Wdr1/Ywhag",58
"GO:0098793","GO:0098793","presynapse","94/432","316/3034",2.72608292240303e-14,4.98873174799755e-12,3.27129950688364e-12,"Actb/Anks1b/Ap2a2/Ap2b1/Ap2m1/Ap2s1/Apc/Arhgap44/Atp1a3/Atp2b2/Atp6v0d1/Atp6v1d/Atp6v1e1/Atp8a1/Begain/Bsn/Cacna1b/Cad/Calb2/Cask/Cdk16/Cltc/Cntn1/Cntnap2/Ctbp1/Ctnna2/Ctnnd1/Dgkq/Dlg4/Dnm1/Erc1/Fbxl20/Flot1/Gabbr2/Gap43/Gnb5/Got1/Gria2/Grip1/Kcnc1/Kcnc3/Kctd16/Mal2/Myo5a/Ndel1/Nos1/Pclo/Pfn1/Phb2/Pip5k1c/Rab10/Rab11b/Rab14/Rab27b/Rab3a/Rab3c/Rab3d/Rgs7/Rimbp2/Rims1/Rims2/Rogdi/Rph3a/Scamp5/Scn1a/Scn8a/Septin3/Septin4/Septin5/Septin7/Sgip1/Sh3gl1/Slc17a6/Slc29a1/Slc2a3/Slc6a17/Slc8a1/Stx1b/Stx2/Sv2c/Syn1/Syn2/Syngr3/Syp/Syt1/Syt2/Syt7/Tnik/Vdac1/Vdac2/Vdac3/Vps35/Ywhag/Ywhah",94
"GO:0005743","GO:0005743","mitochondrial inner membrane","50/432","123/3034",1.67463161850047e-13,2.04305057457057e-11,1.33970529480037e-11,"Acadvl/Acat1/Aifm1/Atp5f1c/Atp5me/Atp5mg/Atp5pb/Cnp/Coq6/Cox4i1/Cox5a/Cyc1/Ghitm/Glud1/Got2/Gpd2/Gpx4/Hadh/Hspd1/Immt/Ldhb/Maip1/Mdh2/Ndufa13/Ndufa2/Ndufa4/Ndufb11/Ndufb5/Ndufs3/Ndufs7/Ndufs8/Ndufv1/Ndufv3/Phb2/Pmpcb/Sdhb/Slc25a11/Slc25a12/Slc25a22/Slc25a3/Sod2/Suclg1/Them4/Timm44/Timm50/Tst/Uqcrc1/Vdac1/Vdac2/Vdac3",50
"GO:0098590","GO:0098590","plasma membrane region","95/432","333/3034",3.49361874444806e-13,2.55732892093598e-11,1.67693699733507e-11,"Adam22/Akr1a1/Ank2/Ap2a1/Ap2a2/Ap2b1/Ap2m1/Ap2s1/Apc/Apc2/Arpc1a/Atp1a1/Atp1a2/Atp1a3/Atp1b1/Atp2b2/Atp6v0d1/Atp6v1e1/Bsn/C2cd5/Cacnb3/Cask/Clasp2/Cltc/Cntn1/Cntnap2/Ctbp1/Ctnna2/Ctnnd1/Dlg4/Dnm1/Ehd1/Eno1/Epb41/Epb41l1/Flot1/Gabbr2/Gap43/Gnb1/Gpr158/Gria2/Grip1/Hck/Hspd1/Jup/Kcnc1/Kcnc3/Kcnd3/Kcnj10/Kctd16/Kctd8/Magi2/Msn/Myh10/Ndrg4/Ndufs7/Nos1/Ntrk3/Pdgfrb/Pip5k1c/Plpp3/Prkar1a/Rab14/Rab27b/Rala/Rasgrf1/Rgs7/Rims1/Rims2/Robo2/Rph3a/Scn1a/Scn8a/Septin3/Septin5/Septin7/Sgip1/Slc12a2/Slc12a6/Slc29a1/Slc2a3/Slc30a1/Slc6a8/Slc7a5/Slc8a1/Slitrk3/Snta1/Stx1b/Stx2/Syp/Syt1/Syt7/Tnik/Tsc2/Vdac1",95
"GO:0098797","GO:0098797","plasma membrane protein complex","43/432","116/3034",3.46590128457507e-10,1.40946652239386e-08,9.24240342553352e-09,"Alcam/Ap2a1/Ap2a2/Ap2b1/Ap2m1/Ap2s1/Apc/Apc2/Atp1a1/Atp1a2/Atp1a3/Atp1b1/Atp6v0d1/Cacna1b/Cacnb3/Cltc/Cntnap2/Ctnna2/Ctnnd1/Dlg4/Dtna/Flot1/Gabbr2/Gjc3/Gnao1/Gnas/Gnb1/Gnb5/Gria2/Jup/Kcnc1/Kcnc3/Kcnd3/Neo1/Plp1/Scn1a/Scn4b/Scn8a/Sgip1/Slc7a5/Snta1/Sntb1/Traf3",43
"GO:0008021","GO:0008021","synaptic vesicle","42/432","115/3034",9.6986243109124e-10,2.95808041482828e-08,1.93972486218248e-08,"Ap2a2/Apc/Atp6v0d1/Atp6v1d/Atp6v1e1/Atp8a1/Bsn/Cdk16/Cltc/Dlg4/Dnm1/Erc1/Gria2/Mal2/Myo5a/Ndel1/Rab10/Rab11b/Rab14/Rab27b/Rab3a/Rab3c/Rab3d/Rph3a/Scamp5/Septin4/Septin5/Slc17a6/Slc2a3/Slc6a17/Stx2/Sv2c/Syn1/Syn2/Syngr3/Syp/Syt1/Syt2/Syt7/Vdac1/Vdac2/Vdac3",42
"GO:0098982","GO:0098982","GABA-ergic synapse","20/432","38/3034",2.18232144664819e-08,5.32486432982158e-07,3.4917143146371e-07,"Atp2b2/Bsn/Cntnap2/Ctbp1/Erc1/Flot1/Gabbr2/Gap43/Grip1/Kcnd3/Magi2/Pak1/Pclo/Phb2/Rims1/Rims2/Slc6a17/Slitrk3/Syt7/Zdhhc5",20
"GO:1990204","GO:1990204","oxidoreductase complex","22/432","45/3034",2.47933434694291e-08,5.6714773186319e-07,3.71900152041436e-07,"Cyc1/Dld/Gpd2/Idh3a/Idh3g/Ldhb/Ndufa13/Ndufa2/Ndufa4/Ndufb11/Ndufb5/Ndufs3/Ndufs7/Ndufs8/Ndufv1/Ndufv3/Ogdh/Pdha1/Pdhb/Pdhx/Sdhb/Uqcrc1",22
"GO:0031975","GO:0031975","envelope","82/432","330/3034",3.66481705808859e-08,7.45179468478013e-07,4.88642274411812e-07,"Acadl/Acadvl/Acat1/Acsl3/Aifm1/Apc/Atp5f1c/Atp5me/Atp5mg/Atp5pb/Calr/Cnp/Coasy/Coq6/Cox4i1/Cox5a/Cyc1/Eno1/Faf1/Gapdh/Gdap1/Ghitm/Glud1/Got2/Gpd2/Gpx4/Hadh/Hspd1/Immt/Inpp4a/Ipo9/Ldhb/Maip1/Marchf5/Mdh2/Mfn2/Mgst3/Msto1/Ndel1/Ndufa13/Ndufa2/Ndufa4/Ndufb11/Ndufb5/Ndufs3/Ndufs7/Ndufs8/Ndufv1/Ndufv3/Nipsnap2/Nos1/Ntrk3/Nup85/Pak1/Phb2/Pmpcb/Pnpt1/Rgs7/Rogdi/Sdhb/Sfxn3/Slc25a11/Slc25a12/Slc25a22/Slc25a3/Slc30a1/Slc44a1/Sod2/Spast/Suclg1/Syne3/Them4/Timm44/Timm50/Tst/Uqcrc1/Vat1/Vdac1/Vdac2/Vdac3/Vps13c/Xpo7",82
"GO:0098978","GO:0098978","glutamatergic synapse","72/432","281/3034",7.78426752515049e-08,1.42452095710254e-06,9.34112103018059e-07,"Abl2/Ablim3/Actb/Actr3/Adam22/Anks1b/Ap2b1/Ap2m1/Ap2s1/Arhgap22/Arhgap44/Atp2b2/Begain/Bsn/Cacna1b/Cntnap2/Ctbp1/Ctnnd1/Dgkq/Dlg4/Dlgap2/Dlgap4/Dnajb1/Dnm1/Erc1/Fbxl20/Flot1/Gabbr2/Gapdh/Gria2/Grip1/Kcnc3/Magi2/Mal2/Mapk10/Mark2/Myh10/Myo5a/Myo9a/Nos1/Ntrk3/Pak1/Pak2/Pclo/Pfn1/Phb2/Pip5k1c/Prkar1a/Rap1a/Rgs7/Rimbp2/Rims1/Rims2/Scn8a/Septin7/Sh3gl1/Sipa1l1/Slc2a3/Slc6a17/Slc6a8/Sptan1/Sptb/Srcin1/Syn2/Syt1/Syt7/Tnik/Tsc2/Vps35/Yes1/Ywhah/Zdhhc5",72
