"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098831","GO:0098831","presynaptic active zone cytoplasmic component","4/62","17/4505",6.771531418918e-05,0.00935269749214118,0.00742945643085369,"Erc1/Iqsec2/Pclo/Rims1",4
"GO:0098590","GO:0098590","plasma membrane region","16/62","432/4505",0.000165743945294701,0.00935269749214118,0.00742945643085369,"Ank2/Ap2a1/Atp1a2/Atp1b1/Atp6v0d1/Cntn1/Eno1/Gnb1/Grip1/Iqsec2/Kcnj10/Rims1/Robo2/Rph3a/Stx2/Syt1",16
"GO:0008021","GO:0008021","synaptic vesicle","9/62","149/4505",0.000168601238106824,0.00935269749214118,0.00742945643085369,"Atp6v0d1/Erc1/Rab3c/Rph3a/Slc17a6/Stx2/Sv2c/Syt1/Syt2",9
"GO:0030672","GO:0030672","synaptic vesicle membrane","7/62","89/4505",0.000188506537282097,0.00935269749214118,0.00742945643085369,"Atp6v0d1/Rab3c/Rph3a/Slc17a6/Sv2c/Syt1/Syt2",7
"GO:0099501","GO:0099501","exocytic vesicle membrane","7/62","89/4505",0.000188506537282097,0.00935269749214118,0.00742945643085369,"Atp6v0d1/Rab3c/Rph3a/Slc17a6/Sv2c/Syt1/Syt2",7
"GO:0048786","GO:0048786","presynaptic active zone","6/62","67/4505",0.000275818319367617,0.00935269749214118,0.00742945643085369,"Erc1/Grip1/Iqsec2/Pclo/Rims1/Stx2",6
"GO:0070382","GO:0070382","exocytic vesicle","9/62","159/4505",0.000275917834331103,0.00935269749214118,0.00742945643085369,"Atp6v0d1/Erc1/Rab3c/Rph3a/Slc17a6/Stx2/Sv2c/Syt1/Syt2",9
"GO:0099569","GO:0099569","presynaptic cytoskeleton","3/62","10/4505",0.000278147137312749,0.00935269749214118,0.00742945643085369,"Erc1/Pclo/Rims1",3
"GO:0043209","GO:0043209","myelin sheath","9/62","166/4505",0.000380783960384798,0.00947955830715157,0.00753023023420767,"Atp1a2/Atp1b1/Cnp/Cntn1/Eno1/Gnao1/Gnb1/Immt/Plp1",9
"GO:0019898","GO:0019898","extrinsic component of membrane","7/62","112/4505",0.000773829084978429,0.0148685731327998,0.0118110755075655,"Ank2/Gnao1/Gnb1/Rims1/Rph3a/Vps13c/Yes1",7
"GO:0098982","GO:0098982","GABA-ergic synapse","5/62","56/4505",0.000934142788152531,0.0167522940008687,0.0133074376136817,"Erc1/Grip1/Pclo/Rims1/Zdhhc5",5
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","4/62","36/4505",0.00137802155550038,0.0218051646135061,0.0173212616573732,"Ank2/Gnao1/Gnb1/Yes1",4
"GO:0045121","GO:0045121","membrane raft","6/62","95/4505",0.00178108796395962,0.0266121058225354,0.0211397279670307,"Atp1a2/Atp1b1/Eno1/Grip1/Pgk1/Stx2",6
"GO:0098857","GO:0098857","membrane microdomain","6/62","96/4505",0.00187966546701923,0.0266121058225354,0.0211397279670307,"Atp1a2/Atp1b1/Eno1/Grip1/Pgk1/Stx2",6
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","5/62","67/4505",0.00210352741356244,0.0272532055866963,0.0216489952420244,"Ank2/Gnao1/Gnb1/Rims1/Yes1",5
"GO:0044291","GO:0044291","cell-cell contact zone","4/62","41/4505",0.00225056709055658,0.0275182976072599,0.021859575090095,"Ank2/Atp1a2/Atp1b1/Cadm4",4
"GO:0098797","GO:0098797","plasma membrane protein complex","7/62","151/4505",0.00433143599684318,0.0432198904798346,0.0343323724022948,"Ap2a1/Atp1a2/Atp1b1/Atp6v0d1/Gnao1/Gnb1/Plp1",7
"GO:0060076","GO:0060076","excitatory synapse","4/62","49/4505",0.00433805592176779,0.0432198904798346,0.0343323724022948,"Actr3/Pclo/Slc17a6/Syt1",4
