"","V1"
"Abat",0.983518956019417
"Abhd10",0.963552130829218
"Abl2",0.919605909918941
"Ablim3",0.976533215839981
"Acadl",0.96582192629699
"Acadsb",0.861358169710667
"Acadvl",0.947988078447109
"Acap2",0.696000011811578
"Acat1",0.9645689485626
"Acat2",0.8922376626507
"Aco2",0.940405414400183
"Acsbg1",0.780132114105085
"Acsl3",0.973054089862324
"Acta1",0.873567125186851
"Actb",0.900577605485177
"Actr3",0.964560533056846
"Acyp1",0.883032285157381
"Adam22",0.981962629349627
"Adar",0.934675022639002
"Adcy9",0.855550095296607
"Agpat1",0.604008462461078
"Agtpbp1",0.968695780130097
"Aifm1",0.974454011018853
"Akap12",0.523428637752048
"Akr1a1",0.87687827372269
"Alb",-0.663662633944589
"Alcam",0.975040532262527
"Aldh4a1",0.675653134028475
"Aldh7a1",0.371846474840385
"Aldoa",0.913291891814797
"Alkbh6",0.525581579010667
"Amot",0.713613606245441
"Ank2",0.888923257602831
"Ankrd27",0.901698286553827
"Ankrd34c",0.839515374571444
"Anks1b",0.938684510089886
"Ano4",0.948583372924612
"Ap2a1",0.99462674551227
"Ap2a2",0.83223227761358
"Ap2b1",0.921952963919028
"Ap2m1",0.973436121531656
"Ap2s1",0.983336611316326
"Ap3m1",0.676854110198778
"Apc",0.986958527704138
"Apc2",0.823165392470999
"Arhgap17",0.890095780286804
"Arhgap21",0.515345853125348
"Arhgap22",0.952005335969267
"Arhgap23",0.814068846651751
"Arhgap44",0.927879135821193
"Arl15",0.973943606743593
"Arl6",0.896744951814848
"Arpc1a",0.946408667601424
"Atp1a1",0.781148922057712
"Atp1a2",0.975130353484629
"Atp1a3",0.984931918508057
"Atp1b1",0.908089460119479
"Atp2b2",0.997053062262287
"Atp5f1c",0.941961090888335
"Atp5me",0.981459445422693
"Atp5mg",0.578177259502232
"Atp5pb",0.855667161345189
"Atp6v0d1",0.974048348965476
"Atp6v1d",0.754891465230232
"Atp6v1e1",0.982602205054054
"Atp8a1",0.931630132721878
"Bcar1",0.976073277650907
"Begain",0.946271426295877
"Bend6",0.851670053600168
"Blvra",0.725506914038845
"Bsn",0.994595057443232
"C2cd5",0.667613668081387
"Ca2",0.977597055109747
"Cacna1b",0.964688901582412
"Cacnb3",0.899703878808003
"Cad",0.627061665008627
"Cadm4",0.94629857770876
"Calb2",0.980880743052915
"Calr",0.848584767324119
"Camkk2",0.665834434767671
"Cand1",0.926343919705663
"Cap2",0.93861658264064
"Capg",0.816094860081852
"Capn2",0.510497145060612
"Carmil2",0.962289760996384
"Cask",0.985840629001337
"Caskin1",0.915278312503131
"Cct7",0.964942833486409
"Cdk14",0.947792933255779
"Cdk16",0.941446681704938
"Cfap54",0.355578196532574
"Chd1",0.59728836870726
"Chka",0.918612996018169
"Chl1",0.838845730482483
"Ckap5",0.93173135637598
"Clasp2",0.938553988910491
"Cltc",0.921831785792455
"Cnp",0.952974003416243
"Cnrip1",0.816625442983949
"Cntn1",0.976846854384493
"Cntnap2",0.92379395348623
"Coasy",0.993171685613387
"Coq6",0.692653306093168
"Cox4i1",0.973884924941472
"Cox5a",0.919352304910886
"Cpne4",0.824161560619726
"Cpne8",0.929369011411951
"Ctbp1",0.899064964640012
"Ctnna2",0.981026579967362
"Ctnnd1",0.889433411368459
"Ctu2",0.922019152420643
"Cul2",0.963742750808186
"Cyc1",0.950484021881536
"Cyfip2",0.903669951130692
"Cygb",0.882762119035389
"Dab1",0.628759153503163
"Decr1",0.901777200233712
"Dgkq",0.925808418870519
"Dip2a",0.991904090790283
"Diras2",0.6376843881652
"Dld",0.971488509725651
"Dlg4",0.985387206838787
"Dlgap2",0.951055294368135
"Dlgap4",0.953183464932331
"Dmxl1",0.979807464029082
"Dnajb1",0.760088631739628
"Dnm1",0.951921017634179
"Dtna",0.960176426091803
"Dtymk",0.465323343014923
"Dusp12",0.874975908757429
"Eci2",0.545219449322338
"Ecsit",0.481716398714476
"Ehd1",0.783611232927747
"Elac1",0.941673224778875
"Eno1",0.907729582676778
"Epb41",0.962894925311568
"Epb41l1",0.763914271027894
"Erc1",0.986602729324362
"Erp44",0.928802424864586
"Evl",0.983637715986477
"Fabp5",0.757114006719632
"Faf1",0.371000790782868
"Fam117b",0.942991188195757
"Fam131b",0.935532495457743
"Fam177a1",0.93212148893152
"Fam83h",0.418691616105336
"Fbxl20",-0.0530505177239876
"Fbxo41",0.894680042819338
"Fbxo42",0.891876322564893
"Fh",0.937513000690356
"Fhdc1",0.86054422929277
"Flot1",0.908293525690045
"Fmnl1",0.908830028380784
"Frs3",0.98526559123114
"Fsd1",0.834136631362999
"Gabbr2",0.993396698574401
"Gap43",0.974957210281102
"Gapdh",0.93540488032313
"Garnl3",-0.299246689163126
"Gatd3a",0.907534201687873
"Gdap1",0.907483427660572
"Gfm1",0.663700428975434
"Ghitm",0.774484053091227
"Gjc3",0.940736402419459
"Glud1",0.954218189791203
"Gnao1",0.967338177932345
"Gnas",0.927566366143475
"Gnb1",0.851130293327775
"Gnb5",0.962488195288828
"Got1",0.937506107335274
"Got2",0.967647923680092
"Gpd2",0.777751208099619
"Gpm6b",0.949065533263929
"Gpr158",0.968108339522535
"Gprin1",0.940020062239911
"Gps2",0.900933860231597
"Gpx4",0.87443445972682
"Grb14",0.959997275683293
"Gria2",0.662278293738909
"Grip1",0.970336068638524
"Gss",0.988002083745145
"Gstz1",0.939107503355002
"Hadh",0.909011212568669
"Hagh",0.71765073895538
"Hba",0.84055207181755
"Hbb-b1",0.77639994901469
"Hck",0.883940165391561
"Hibch",0.64579525727012
"Hspd1",0.95061185324761
"Idh3a",0.96094142266882
"Idh3g",0.626459340039741
"Iffo1",0.946801142272984
"Il31ra",0.875881042220192
"Immt",0.942112151243168
"Inpp4a",0.533240344830988
"Inpp5b",0.68609691158151
"Ipo9",0.921879559807102
"Irf3",0.956584176989501
"Itih2",0.979559848924915
"Jup",0.115517356148093
"Kazn",0.785520417102642
"Kcnc1",0.973444736563508
"Kcnc3",0.960281928191203
"Kcnd3",0.945433325058212
"Kcnj10",0.992736439813344
"Kctd16",0.981285192465275
"Kctd8",0.927974159613467
"Kif5b",0.978700740010051
"Klhl11",0.502842583851012
"Krt80",0.965183786745057
"Ldhb",0.870472637199814
"Lmcd1",0.883513011304666
"Lpgat1",0.690782872550816
"Lrch1",0.832031670225954
"Lysmd1",0.927464871709234
"Magi2",0.9868445401725
"Maip1",0.790769675871551
"Mal2",0.929136843024803
"Mapk10",0.975714895282474
"Marchf5",0.720882068798758
"Mark2",0.971863557625676
"Mbp",0.725253514187772
"Mcf2l",0.958940848803101
"Mdh2",0.98804534828902
"Me1",0.480016906090434
"Mfn2",0.709138088563904
"Mfsd6",0.988731850742762
"Mgst3",0.9791104185164
"Micall1",0.387662481133985
"Mpdu1",0.890525162639455
"Msn",0.918319782828733
"Msto1",0.545703299474899
"Mtco2",0.974525816837339
"Mthfd1",0.914487935291241
"Myadm",0.689617894793561
"Myh10",0.981435533517112
"Myo5a",0.956077167826005
"Myo9a",0.967680401601754
"Ncam2",0.59391068799563
"Ncdn",0.619145220085495
"Ncoa6",0.895182837198836
"Ndel1",0.982546249624682
"Ndrg4",0.920833353127829
"Ndufa13",0.972270244937673
"Ndufa2",0.837214635728008
"Ndufa4",0.913955961780131
"Ndufb11",0.984033935720023
"Ndufb5",0.950461548834309
"Ndufs3",0.928478702601964
"Ndufs7",0.168702235631116
"Ndufs8",0.936708241453276
"Ndufv1",0.526064886712284
"Ndufv3",0.683035599258187
"Neo1",0.948490853614517
"Nipal3",0.827264335468036
"Nipsnap2",0.885360212522186
"Nos1",0.899999953687579
"Ntrk3",0.830613915099914
"Nup85",0.989527384793103
"Ogdh",0.829195198224523
"Otud7a",0.61852847000226
"Oxct1",0.837468689460411
"Pak1",0.974600968075376
"Pak2",0.966624745224389
"Pak4",0.723574760704473
"Panx2",0.972173068120635
"Pawr",0.812145760116024
"Pccb",0.428775802096435
"Pclo",0.964109493180841
"Pctp",0.885233222976673
"Pdcd6ip",0.973810216403884
"Pde10a",0.240895785593806
"Pde4c",0.956434767498106
"Pdgfrb",0.582467446476514
"Pdha1",0.912510869967579
"Pdhb",0.900009056490127
"Pdhx",0.919715680723217
"Pdlim1",0.958340312268322
"Pdxk",0.578718601889115
"Pfn1",0.948440447453691
"Pgk1",0.975230589394256
"Pgm1",0.910447254854056
"Phb2",0.900007705315456
"Pip5k1c",0.943636282938122
"Pir",0.918925504933575
"Pitpna",-0.479735029172721
"Pitrm1",0.635040114304884
"Pkm",0.977664840924098
"Plcl1",0.9526859719374
"Plcl2",0.82089387607407
"Plekha2",0.966837298935282
"Plp1",0.941174584687969
"Plpp3",0.880400789318663
"Pls3",0.880109511086442
"Pmpcb",0.960915685991196
"Pnpt1",0.989755046653959
"Polr3g",0.958396090926512
"Ppp1r13b",0.911866714588204
"Prdx3",0.77620843597151
"Prdx5",0.889905552997734
"Prkacb",0.967066056441292
"Prkar1a",0.586210542390869
"Prpf38a",-0.0902956853791864
"Prxl2a",0.963138274578151
"Ptpa",0.877159699985529
"Qdpr",0.851463021086956
"Rab10",0.821153742062003
"Rab11b",0.927932233797961
"Rab14",0.829799207448215
"Rab15",0.945309660412409
"Rab21",0.884491859134057
"Rab27b",0.985105311056091
"Rab39b",0.940516001778456
"Rab3a",0.99303785788174
"Rab3c",0.969093251208698
"Rab3d",0.94953841873057
"Rala",0.921081635662301
"Rap1a",0.907856618992755
"Rap1gds1",0.964047786900396
"Rasgrf1",0.509313569596616
"Rasgrf2",0.976960047272358
"Rem2",0.924057546701208
"Rgs7",0.972927786962744
"Ric8b",0.900437166030535
"Rimbp2",0.938476373248368
"Rims1",0.96256823011764
"Rims2",0.989821812764152
"Rnf25",0.945864911691267
"Robo2",0.962679154210802
"Rogdi",0.918338009886739
"Rph3a",0.882262656742458
"Rps6ka2",0.935909107839417
"Rps6kb2",0.712429445900861
"Rras",0.418022831577944
"Rtkn",0.976064003113508
"Sbf1",0.807324058176146
"Scamp3",0.925178557466054
"Scamp4",0.771775308260459
"Scamp5",0.980309908334029
"Scn1a",0.960554757224945
"Scn4b",0.845435922596913
"Scn8a",0.895771546091973
"Sdhb",0.864414551333504
"Septin3",0.946653235928495
"Septin4",0.976572218193541
"Septin5",0.952638106651133
"Septin7",0.973502843696681
"Septin9",0.872143681179395
"Serpinb1b",0.957290136927958
"Sfn",0.90566178805381
"Sfxn3",0.923164589926335
"Sgip1",0.880058336732013
"Sh3gl1",0.937733219774268
"Sh3pxd2a",0.953983433493128
"Shf",0.809729282654573
"Shisa4",0.892877041116636
