"","V1"
"Abcd3",0.944039705498804
"Acaa2",-0.107081676284132
"Acbd5",0.922881196025553
"Acin1",0.839264494559277
"Actn4",0.521290456465335
"Ahcy",0.830273434180896
"Ak3",0.810494039962555
"Akap13",0.944463211889386
"Akap2",0.995720831614466
"Alg2",0.256185451485613
"Ankle2",0.924423276702759
"Anxa7",-0.186553910459153
"Arcn1",0.974107056137242
"Arf4",0.872763736199911
"Arfgap2",0.938450058129148
"Arhgap31",0.482986247463255
"Arl6ip5",0.908117003084159
"Atxn2l",0.827164659113902
"Bad",0.346436925319889
"Baz2a",0.461141747238646
"Bgn",-0.142237510662421
"Birc6",0.967204601101019
"Bzw1",0.776319117908038
"C2cd2",0.840232804372819
"C3",0.259176966510136
"Capn1",0.972461452721471
"Caprin1",0.985035103497353
"Capza1",0.347287021416976
"Cat",0.808793763226042
"Cav2",0.730506395018606
"Cbx3",0.942608556800878
"Ccar2",0.939387298372966
"Ccdc22",0.809661201613389
"Ccser2",0.389749411273627
"Cct6a",0.895759448209866
"Cct8",0.916184966093174
"Cenpv",0.978275050605345
"Cers2",0.43374957217116
"Cherp",0.907896617836889
"Ckm",0.686939737259791
"Clta",0.430259140082743
"Cog1",0.969979427144733
"Cog7",-0.498230835638225
"Col1a1",-0.0207346824608044
"Col1a2",-0.0672248953328253
"Col2a1",0.274174248948119
"Col3a1",-0.306118048503691
"Col4a1",0.530737826829391
"Col4a2",0.183910955125345
"Col5a1",0.192339983912504
"Col6a1",0.580471695178528
"Col6a2",-0.271110513345738
"Comt",0.958300125337121
"Copa",0.962806303771963
"Copb2",0.972188249034935
"Copz1",0.806079559432931
"Coro7",0.914318224687171
"Cpsf6",0.929900443974055
"Crip1",0.521015823988595
"Cstf2",0.914804560717446
"Ctsd",0.322896015962524
"Cutc",0.887208328719927
"Cyp51a1",0.139157537832815
"Dag1",0.942056168380914
"Dchs1",0.259756873264086
"Dctn3",0.882811227208299
"Ddhd1",0.920032665664876
"Ddx39b",0.937556550315333
"Ddx3x",0.797576828564817
"Ddx42",0.8388176020288
"Ddx46",0.757514944934917
"Ddx5",0.944956418211744
"Ddx6",0.940302234413087
"Dennd4c",-0.655655307731405
"Dgki",0.936751587102361
"Dgkz",0.921456566538725
"Dhx15",0.99274151449269
"Dhx36",0.860530613294607
"Dhx9",0.939171417088228
"Dnaja2",0.0418762632962229
"Dnajc11",-0.364465028137138
"Dock1",0.554840295881691
"Dok4",0.191107514167757
"Dync1i2",0.884624681046466
"Edc4",0.989995400270274
"Eea1",0.890936284963505
"Eef1a1",0.743033985185536
"Eef1b",0.962725524836133
"Eef1d",0.993360082516277
"Eef1g",0.986359733841805
"Eef2",0.839514397775935
"Efl1",0.884923210529859
"Eif2a",0.88320374953936
"Eif2s2",0.988330886119644
"Eif3a",0.977669522209807
"Eif3b",0.996286955447773
"Eif3c",0.979185730616052
"Eif3d",0.962204373044498
"Eif3g",0.967435328794323
"Eif3m",0.654699942671285
"Eif4a1",0.0743653777801887
"Eif4b",0.850508674786017
"Eif4g1",0.975506052631809
"Eif4g2",0.963086808047777
"Eif4g3",0.925115615133828
"Eif6",0.952362198485503
"Eln",-0.265247007264353
"Emd",0.965740288642727
"Eprs1",0.987903326443059
"Ermp1",0.915625617557019
"Ewsr1",0.166925082054193
"FAM120A",0.905230199883019
"Fam114a1",0.865697393250075
"Fbn1",-0.673213597828034
"Fbxo4",0.186492844822945
"Fech",0.241835531650194
"Fermt2",0.905874121530804
"Fkbp15",0.946627253703627
"Fkbp2",0.932781723658073
"Fnbp1l",0.947161406338745
"Frmd4b",0.958962907929684
"Fth1",0.966144776644631
"Fubp1",0.941594464637702
"Fus",0.984893667162877
"G3bp1",0.99441892671584
"Gapvd1",0.914529733046297
"Gbp2",0.655752974502369
"Glmn",0.91853858710364
"Gmeb2",0.871518165438592
"Gng2",0.218593857371391
"Golga4",0.985906558315939
"Gorasp2",0.896576804469822
"Gpam",-0.127145137395916
"Gphn",0.836061679074544
"Gripap1",0.961824056391913
"H2ac11",0.773365169125388
"H3-3a",0.535841475501084
"H4c1",0.720725549271276
"Hal",-0.017925048942776
"Hcfc1",0.84424585694969
"Hdlbp",0.920354215642796
"Hmgb1",0.774382824457531
"Hnrnpa1",0.970870338568029
"Hnrnpa2b1",0.978412320777812
"Hnrnpa3",0.937449080018844
"Hnrnpab",0.961971199487288
"Hnrnpc",0.909973305345895
"Hnrnpd",0.985888842816186
"Hnrnpdl",0.985490597003531
"Hnrnph1",0.924385887838478
"Hnrnpk",0.953693294355049
"Hnrnpl",0.984819171211133
"Hnrnpm",0.915054106108006
"Hnrnpu",0.941119059241894
"Hnrnpul2",0.981622010779003
"Hspg2",0.00185023745580119
"Ilf3",0.918164632562253
"Iqsec3",0.352730650110207
"Jam3",-0.649023894344626
"Khsrp",0.86858517331149
"Kiaa0100",0.955213848192177
"Kif1a",0.88180894813035
"Krt17",-0.149732849862359
"Ktn1",0.996870307000747
"Lama2",-0.671669789505958
"Lemd3",0.995188893068416
"Limd1",0.906148724600315
"Lmna",0.683664598140707
"Lmnb1",0.738317746638691
"Lpin1",0.859234870230071
"Lpp",0.215618721657571
"Lrrc59",0.971886112643499
"Lsm4",0.971525209588764
"Lum",-0.794041434900315
"Macf1",0.942657271848297
"Map7",0.875094655695212
"Mecp2",0.867909462932186
"Mfap2",0.160873261966772
"Mgst1",-0.0196710260318011
"Mkln1",0.0880854311956356
"Mob3b",-0.581963738235908
"Mre11",0.969423999468347
"Mtdh",0.982798886977937
"Mug1",-0.0892791855414627
"Mvp",0.930907685903359
"Naca",0.94068522231773
"Nap1l1",0.896780753430544
"Nav1",0.822781942862627
"Ncl",0.905641207307344
"Ncor2",0.826418517544767
"Nedd4",0.861551698868883
"Nek1",0.909997592980469
"Nelfe",0.826771211148028
"Nono",0.904173013751842
"Npm1",0.984361935394855
"Nr3c1",0.788296175201011
"Nsdhl",0.95472111362658
"Nucks1",0.951854344808798
"Nudc",0.897251664416285
"Nudcd2",0.948118160351241
"Nudt21",0.974386250887714
"Nup214",0.994615248230114
"Nup62",0.972972824368942
"Nup98",0.987009813187176
"Oxsm",0.410727222607636
"Pabpc1",0.981990246933429
"Parg",0.944218799167769
"Pcbp2",0.950896520099072
"Pcbp3",0.888904941201933
"Pcnp",0.899932198203343
"Pdxdc1",0.973471889184969
"Pex14",0.950580891978181
"Pfkfb2",0.842301788017764
"Phldb1",0.732803397504599
"Pkn2",0.940534012044532
"Plec",0.969137596299038
"Plekha6",0.862999527380009
"Plp2",0.389887088606655
"Postn",-0.708017910272449
"Prpf4b",0.37489266146566
"Prr14",-0.419126525003866
"Prrc2a",0.906636354770362
"Prrc2b",0.990237771943906
"Prrc2c",0.98324539263993
"Psma1",0.842972863361677
"Psma4",0.957292317470617
"Psma6",0.966647871627245
"Psma7",0.927099893929309
"Psmb3",0.57477117905684
"Psmb4",0.969953605919764
"Psmc2",0.987735422853447
"Psmc3",0.905452383354178
"Psmc4",0.786117201713322
"Psmd2",0.937932775013354
"Psmd3",0.966076004343571
"Psme1",0.943418856992193
"Psme3",0.984477427159262
"Pspc1",0.973064009971046
"Ptges3",0.975398612873955
"Ptpn12",0.933014659549634
"Pycr2",0.626153380284978
"Pym1",0.929391624468476
"Qars1",0.985896626034051
"Rab5c",-0.50273610334742
"Rack1",0.653142206133713
"Ralgapa1",0.866870700972554
"Ranbp2",0.631450513634083
"Ranbp3",0.98347571399021
"Ranbp9",0.887884764385874
"Rars1",0.995726829291042
"Rbbp6",0.816252431874177
"Rbm14",0.941986538499659
"Rbm17",0.966358383768889
"Rbm39",0.623797175434556
"Rcan1",0.316987866341617
"Rcc2",0.928000203941705
"Rela",0.148589149734668
"Rer1",0.977238754160068
"Rexo2",0.841756594020681
"Rictor",0.936139570374211
"Rnf121",0.916226198169702
"Rpa1",0.971402774785966
"Rpap3",0.888756523255418
"Rpl10",0.721077954429838
"Rpl11",0.782625205984598
"Rpl12",0.719278401576158
"Rpl13",0.871035783319245
"Rpl13a",0.951000172235528
"Rpl14",0.961955393500548
"Rpl19",0.936316863293553
"Rpl22",0.843563910319651
