"","V1"
"Aak1",0.991317872151646
"Abr",0.95847628707307
"Ahsa1",0.995184498614332
"Ahsa2",0.973205494129053
"Amph",0.987796174132135
"Ap3b2",0.973663728390258
"Arf1",0.994057235167765
"Arhgap32",0.890596666402644
"Arid1b",0.825769076857553
"Ass1",0.861802502800344
"Atp6v1b2",0.986639454524118
"Bin1",0.989662641318183
"Cadm3",0.982541284926083
"Camsap1",0.979041406112016
"Camsap2",0.988898587085446
"Capza2",0.645210356732732
"Casp3",0.913297515565331
"Cdipt",0.860614542753326
"Cdv3",0.927028703549523
"Cend1",0.986936824248593
"Chmp2b",0.997412267819422
"Chmp3",0.98988139848734
"Chmp4b",0.980423503909716
"Ciapin1",0.993654561857668
"Cnn3",0.988469064573282
"Col11a1",0.666255450032243
"Col16a1",0.94803943091269
"Col2a1",0.65967505786
"Coro1a",0.966981213237269
"Coro2a",0.97882552332825
"Crip2",0.984172730744768
"Cttn",0.983073688710658
"Dchs1",0.721130311918145
"Dclk1",0.987690154450644
"Dctn2",0.976248524967452
"Dok4",0.949046695810858
"Dpp3",0.849955164218131
"Drg2",0.986717428605519
"Dsc1",-0.879098272755163
"Ehbp1",0.991572180206463
"Epn2",0.985319404014001
"Eps15l1",0.983159146370128
"Flg",-0.903264544869057
"Gamt",0.820880908214421
"Glo1",0.982222182249538
"Glod4",0.97772809823439
"Gls",0.979035130030096
"Hells",-0.857098633424115
"Hsd17b4",0.767856319828946
"Irgq",0.981208984659599
"Ist1",0.991825550585618
"Jup",-0.734899747387302
"Kng1",0.914903667611093
"Lama3",0.921409117879084
"Lrsam1",0.989980156226392
"Lypla2",0.943558735761091
"Maged1",0.974657577418391
"Map4",0.966847050059057
"Map7d1",0.985057075103772
"Map7d2",0.955340228041397
"Mapk3",0.974678267684436
"Mapre2",0.977116560174141
"Mpp1",0.985357655242869
"Nasp",0.841803266910422
"Nebl",0.983729324039485
"Nefh",0.984333416287355
"Nefl",0.984785686269032
"Nolc1",0.905095322758889
"Pacs2",0.989951459599344
"Palm2",0.965231107910897
"Palmd",0.985302813707651
"Pcp4l1",0.994809650984802
"Pcyt2",0.982275944818156
"Pdap1",0.997430131446165
"Pea15",0.978179432114934
"Pebp1",0.982765832740315
"Ppid",0.984776645723244
"Ppp1r2",0.966225405141997
"Ppp6r1",0.987339162139434
"Prkar2a",0.971762130792782
"Prph",0.954357791278226
"Prune1",0.969507391069207
"Ptgir",0.973741997195004
"Pygb",0.973079539456376
"Rab7a",0.960501121625655
"Raf1",0.935240820258426
"Rap1gap",0.972808159710042
"Rap1gap2",0.989029785227831
"Rimkla",0.960876988691294
"Rprd2",0.976239411314383
"Rtn3",0.992406506918499
"Rufy3",0.979596362252271
"Sdcbp",0.992969620349191
"Septin2",0.78987983583922
"Serpina3k",-0.773111153285712
"Slk",0.964757284831973
"Smap2",0.98452689672261
"Spart",0.972960548727267
"Spr",0.976512975575729
"Srgap3",0.986769841931376
"Stat3",0.980955171714791
"Stmn2",0.957188797027165
"Sugt1",0.989264950740258
"Synj1",0.965604862291707
"Synm",0.95579501123043
"Tagln2",0.881116454697118
"Tanc1",0.948516032125746
"Tmem263",0.972990447302863
"Tmod1",0.992928890573949
"Trip12",0.928272593708599
"Tuba4a",0.96498499329435
"Ublcp1",0.988800862540379
"Uchl1",0.929222554353389
"Wdr44",0.973682040115709
