"","V1"
"Acadm",0.918607317943687
"Acot13",-0.0108362703453218
"Actr10",0.985776517612434
"Adsl",0.981075623237197
"Afdn",0.914742128674899
"Agfg2",0.987982701828605
"Agpat3",0.22517228222618
"Akap17b",0.64778192435305
"Ampd2",0.98226464511916
"Aox1",0.941085728249639
"Ap3s1",0.947600981618928
"Appl2",0.878143182163834
"Arap1",0.920918257494628
"Arf6",0.450757002366742
"Arfgap3",0.989427409047748
"Arfgef1",0.992944414902385
"Arfgef2",0.906115666343461
"Arfgef3",0.994779702898708
"Arhgap32",0.882076823996588
"Arhgef17",0.973225862358401
"Arhgef18",0.929181467091763
"Arpc1b",0.941976669873434
"Atad1",0.963718823757917
"Atg3",0.972647385165576
"Atp9a",0.991467158631572
"Bag2",0.949584803213912
"Baiap2l1",0.951339692641396
"Bcap31",0.970355872652631
"Bcr",0.829568861598236
"Brcc3",0.963886489898029
"C2cd2l",0.954555995366114
"Cadps",0.989407100988975
"Calm1",0.937096896024468
"Camk2d",0.940890145954383
"Camk4",0.70745558961586
"Capza2",0.510654584098005
"Capzb",0.966981896682223
"Cbl",0.96250774025916
"Cct5",0.981624483412646
"Cdc42bpb",0.920629739854991
"Cdc42ep4",0.764633883556235
"Cdk5",0.0874918381618931
"Cdkn1b",0.964931568098779
"Chordc1",0.976796032975328
"Chp1",0.915458887820766
"Cisd1",0.932841229492416
"Clic1",0.977931129816243
"Clint1",0.993482228287244
"Clip1",0.992236171986816
"Cltb",0.903995524685116
"Clvs1",-0.0233110086599997
"Coro1b",0.909140922798369
"Cox7a2l",0.108095461159868
"Crtc1",0.971579075357392
"Csde1",0.985221644781034
"Cul4b",0.966333697756309
"Cul5",0.981411159625935
"Cyb5r3",0.779388088931006
"Daam1",-0.465403675807151
"Dbn1",0.972646247221684
"Dgkh",0.936946275772132
"Dlat",0.970446693765885
"Dpysl5",0.975854148459872
"Dvl3",0.926534657653513
"Dync1i1",0.959107714178378
"Dync1li1",0.983614903755314
"Dync1li2",0.947845927590095
"Echdc1",0.949674868826923
"Edc3",0.968556177253826
"Efnb2",0.438806977872541
"Ehbp1",0.945157413190044
"Eif3i",-0.00959994047960638
"Eif4h",0.989444965706422
"Eif5",0.974004136496234
"Eif5a",0.913450134970976
"Elmod1",0.451959112263069
"Elp4",0.99257258901976
"Eml4",0.976741024448237
"Esyt2",0.873587366140292
"Etf1",0.973213035740322
"Exoc4",0.987713817158888
"Exoc8",0.993751111277596
"Fam114a2",0.985139198350263
"Fam221a",0.343537556087989
"Farp1",0.921879539241685
"Fbxo2",-0.0176665137916461
"Fga",-0.26785260286406
"Fgg",0.492814959837968
"Fry",0.990445633641434
"Fundc2",0.98469223086
"G6pdx",0.96094792113078
"Gab1",0.966877794090374
"Gga3",0.989492117601301
"Glo1",0.969273143488175
"Glul",0.216568127468528
"Gmds",0.968891591961776
"Gnai2",0.923722261191608
"Gsdme",0.933811692835446
"Hadhb",0.771712156917546
"Hdac6",0.939248225587667
"Hgs",0.981788176483926
"Hmox2",0.993736589279262
"Hprt1",0.861116744893243
"Hsdl1",0.069061776130739
"Hsp90ab1",0.942581405048778
"Hspb1",0.919639200729503
"Hsph1",0.868950277767318
"Huwe1",0.971715486597873
"Impact",0.964606516086483
"Inpp5f",0.959157758379237
"Ip6k1",0.984411352461272
"Ipo7",0.984172489099991
"Iqcb1",0.977404740475595
"Irgq",0.894448056184028
"Isoc1",0.2621314373479
"Itgb1",0.987147762742248
"Itsn2",0.951886832819076
"Jpt1",0.939739035889675
"Jpt2",0.986759343830473
"Kcnb2",0.955296743056993
"Kdsr",0.967870665393239
"Kif5a",0.856292099115198
"Kpna3",0.977818751522636
"L1cam",0.885448133187671
"Lamtor1",0.900224783214235
"Larp1",0.985488813037239
"Limd2",0.676175905501857
"Lnpk",0.982929884745216
"Lpcat1",0.971035366536934
"Map3k3",0.915055448848401
"Map4k3",0.171670349718899
"Map7d2",0.790066381532038
"Mapk8ip3",0.975648589364218
"Mapre2",0.891674522460845
"Marcks",0.967109426568273
"Mical1",0.968899274043428
"Mink1",0.98228758985039
"Mob1a",0.942327592115596
"Mtarc2",0.960984744079582
"Mtmr6",0.980598199229003
"Mtss1",0.939847190801154
"Myl12b",0.960752521507959
"Myl6",0.917443068683354
"Myo18a",0.992530203775253
"NARS1",0.993520332803198
"Nap1l4",0.980858485869112
"Ncoa7",0.945365603211597
"Ndrg3",0.938504372046844
"Ndufa5",0.0300806253444555
"Ndufs1",0.106274039861549
"Ndufs6",0.500350802998822
"Nek9",0.908926910125609
"Nf2",0.909708253103276
"Niban2",0.948166132103569
"Nid1",-0.0232494114502367
"Nmt2",0.919286260753852
"Nopchap1",0.843491842965519
"Nrbf2",0.939521392243724
"Nsfl1c",0.980918100698239
"Nudt16",0.483926562307486
"Nup93",0.927817912250553
"Osbpl3",0.921947318343485
"Osbpl8",0.987128289179126
"Palld",0.740768242477635
"Palmd",0.940404553297584
"Pcbp1",0.968287304357068
"Pde4a",0.254719433716976
"Pgrmc2",0.964947563261176
"Pi4ka",0.975184899803109
"Pi4kb",0.979966803484662
"Pitpnm2",0.990631047791863
"Pkn1",0.945763431120722
"Plcb3",0.980259327981455
"Ppip5k1",0.945988336560642
"Ppm1b",0.96812932420945
"Ppp1cc",0.932294133078154
"Ppp1r18",0.884570406638154
"Ppp1r2",0.863789609760151
"Ppp1r9b",0.864591916759234
"Ppp2r5b",0.971954351567963
"Ppp2r5c",0.922209633893758
"Ppp6r1",0.928109572507767
"Ppp6r3",0.957645562822959
"Prdx6",0.897514462397161
"Prkag2",0.828322792859378
"Prkcq",0.915127583321135
"Prkg1",0.954331332523987
"Prmt8",0.873800093935154
"Prpf8",0.798254486485668
"Psmd11",0.8453307949473
"Psmd14",0.946764428645227
"Rab1A",0.866539239697125
"Rab1b",-0.0322225246996247
"Rab6b",0.858213205891042
"Rabgap1",0.976074604514753
"Rabgap1l",0.961807213776539
"Rabl6",0.985942724671278
"Rad23b",0.918532684403838
"Rae1",0.524850431972341
"Raf1",0.887704082160878
"Rangap1",0.987569724513956
"Relch",0.981823644459652
"Reps1",0.982148288337566
"Reps2",0.992745757636864
"Rgs3",0.834166648997451
"Rheb",0.984440343649919
"Ric8a",0.892164165572125
"Rimkla",0.836914839811887
"Rint1",0.920284034613404
"Rnf214",0.993279820914667
"Rpl3",0.915397744253797
"Rundc3a",0.974880805400493
"Sars1",0.956478815775197
"Scg2",0.123400035262573
"Scyl1",0.990496237363842
"Senp7",0.652883014194849
"Septin2",0.899542890689561
"Sh3bp4",0.952480315050374
"Shmt2",0.120043357502884
"Slc25a46",0.976848218095315
"Slc9a3r1",0.966107489710483
"Slk",0.838206501628437
"Snap47",0.956635427473135
"Snx11",0.979925884482735
"Snx3",0.897211759626215
"Snx6",0.977446000571014
"Sra1",0.30016078682313
"Srpra",0.949875868641069
"St13",0.931824710990347
"Stam2",0.936914524821616
"Stat2",0.924841376524501
"Stat3",0.896259618873062
"Stbd1",0.971090647593129
"Stmn1",0.956920947290617
"Stmn2",0.872604756402724
"Strn",0.990401956275553
"Strn3",0.987359095928694
"Sugp2",0.970639519414566
"Syap1",0.992594712523537
"Synpo",0.959207329200026
"Tacc2",0.985325551743229
"Tagln2",0.737664089155759
"Tanc1",0.831257841999063
"Tank",0.94598961877627
"Tbc1d22a",0.978164257537944
"Tbc1d9b",0.973572468997313
"Tbcel",0.958122047606371
"Tcp1",0.949997215966724
"Tdrp",0.8750292330901
"Tecr",0.883075455839303
"Tln1",0.917813945325178
"Tln2",0.936821247655596
"Tmem205",0.55508912649325
"Tmod1",0.93571547891741
"Tnks1bp1",0.943605794075604
"Tpgs2",0.98952622261703
