"","V1"
"Abhd12",0.985257151071031
"Acot1",0.939362352708355
"Add1",0.986493179726233
"Add2",0.989615201292256
"Agfg1",0.959769058318334
"Akap17b",0.825140695245421
"Alkbh3",0.97920357655144
"Ank1",0.956107056648193
"Anxa2",0.96758058258515
"Anxa6",0.988223186456255
"Araf",0.985076374708364
"Atp2b4",0.953795574359792
"Bag3",0.991164378416055
"Basp1",0.988993787333041
"Cadm1",0.964422587180902
"Cep170b",0.988936906276914
"Chmp7",0.980701292438322
"Clip2",0.988659970827502
"Crmp1",0.972425225866019
"Cs",0.966027078426274
"Dido1",0.842981040984572
"Diras1",0.969617403899796
"Dnajc11",-0.796340136826136
"Dnajc6",0.986180103049539
"Dpysl2",0.991416797827655
"Dpysl3",0.984369390115798
"Efhd2",0.994282318315669
"Eml1",0.985791414884148
"Enah",0.997662850147001
"Ensa",0.97978772144464
"Fmn2",0.851698101532193
"Gak",0.963219867580143
"Glrx3",0.974693808410945
"Gsk3b",0.977330991226813
"Hadha",0.770466484042566
"Hs1bp3",0.973025637742865
"Hspa12a",0.955931036037035
"Hspa4",0.9867340627976
"Ica1",0.984248237387431
"Igbp1",0.964089122386889
"Impa1",0.978772126662561
"Iws1",0.746185037827083
"Kank4",0.93274757813398
"Klc1",0.992569062168273
"Lasp1",0.985300086786876
"Lcp1",0.986967603246528
"Lgals8",0.919576386360204
"Lig3",0.938934231106768
"Luzp1",0.9497097781904
"Madd",0.989072341019514
"Map1a",0.949088094255557
"Map6",0.991188748391177
"Mapt",0.979677231394994
"Mast1",0.964065287229519
"Mical3",0.97209555495561
"Napg",0.991408296497192
"Ncam1",0.991727121884623
"Necap1",0.98712837665763
"Nefm",0.980479952513513
"Nek7",0.993366680941408
"Nudt5",0.991490808076137
"Numb",0.922282193653117
"Numbl",0.984239817031453
"Oscp1",0.989417813415214
"Oxr1",0.993507953407167
"Paip1",0.968311725385311
"Pcmt1",0.986328585949121
"Pex5l",0.992922684461532
"Pgm2l1",0.970799522959663
"Phyhipl",0.972614017187004
"Picalm",0.985961813601128
"Pip4k2b",0.965840351467836
"Ppa1",0.925447686284373
"Ppp3ca",0.992639753092609
"Praf2",0.887832696643155
"Prxl2b",0.966411810986864
"Rab23",0.922195701508889
"Raver1",0.679181675915497
"Rsl1d1",0.938844986247743
"Rtn1",0.982357091870731
"Rtn4",0.995643554174163
"Sarg",0.955120139321684
"Sirt2",0.966443799706509
"Smap1",0.990719545366119
"Snap91",0.995935985215195
"Snca",0.988797455111135
"Sncb",0.936090128161045
"Srsf10",0.752392948720215
"Stk24",0.970775986663487
"Syt6",0.985735544256753
"Sytl2",0.973667470397132
"Tagln3",0.990811716170365
"Tbcb",0.991558262756626
"Tigar",0.991452690731526
"Tmod2",0.987776477515685
"Tppp3",0.988758810624375
"Trpv1",0.994813514770503
"Tufm",0.947631411991911
"Ube2m",0.987057987135736
"Usp14",0.982220154156349
"Vat1l",0.97865539197677
"Vsnl1",0.98942469180313
"Vwa5a",0.958421591877304
"Wipf3",0.95622574601092
"Zc2hc1a",0.987076484642938
