"","V1"
"Acot1",-0.431519947803397
"Adnp",-0.342218057726259
"Ahctf1",-0.469421454119465
"Anp32b",0.269554194613623
"Arglu1",-0.250881461973043
"Arid1b",-0.344897083332788
"Baiap2",-0.0158531575255614
"Bclaf1",-0.365461869853435
"Brd4",-0.905572383298615
"Cbll1",-0.533374290987468
"Ccar1",-0.403055235569471
"Cd151",0.759575095727151
"Cdipt",0.338069522808768
"Cdk5rap2",-0.793785020154929
"Cdkn2aip",-0.413069585022243
"Cds2",0.086101698752546
"Cdv3",0.444751783949725
"Cept1",0.533187536157067
"Cfdp1",-0.372242094879561
"Champ1",-0.513421354316552
"Chd4",-0.350710429269896
"Ckmt1",0.698072185518933
"Cnot8",-0.308887170958429
"Col11a1",0.419608062568915
"Cpsf7",-0.18057719733726
"Ctdsp2",-0.295677723418966
"Cux1",-0.715375425298256
"Ddx17",-0.348303290487395
"Ddx21",-0.0604820030336907
"Dek",-0.52811085367753
"Dido1",-0.398900376595772
"Dkc1",-0.488901689722842
"Dnaaf4",0.967479815551056
"Dnttip2",-0.377080690932273
"Dpp3",0.196775492366894
"Etfb",0.0365366173632896
"Exosc10",-0.456922766484174
"Exosc5",-0.351490943087957
"Fbl",-0.400910223214593
"Fen1",-0.465776767671266
"Fip1l1",-0.394282914152322
"Fmn2",0.500722563652526
"Gatad2b",-0.334104189268338
"Gltp",0.125999754097962
"Gnai3",-0.375278881358887
"Gpx1",-0.00702455092416798
"Gtf2f2",-0.380933914309478
"Gtf2i",-0.359793977075249
"Hadha",0.280250672136426
"Hdgf",-0.361292457029056
"Hnrnpul1",-0.24226659120073
"Hsd17b12",0.112306541633144
"Hsd17b4",0.149335204739222
"Impa2",0.557705520096661
"IntS13",-0.442052421697435
"Iws1",-0.402420284220656
"Kcnq4",0.975226158106188
"Kit",0.240949364334101
"Lamc1",0.564222031494343
"Larp4",0.615125699534486
"Las1l",-0.403469101560749
"Lgals1",0.121397865483686
"Lig3",-0.557258365526794
"Lmnb2",-0.586354340161655
"Map3k1",-0.669580170463583
"Map4",0.386302577105699
"Med15",-0.371195521306886
"Mia2",-0.949275578052669
"Mmtag2",0.210931294510904
"Msh6",-0.363576166213005
"Mta2",-0.421219403353108
"Mybbp1a",-0.455155556180936
"Myo1d",0.220068009064096
"Naa10",0.978212303938455
"Nacc1",-0.960828243790904
"Nasp",-0.325915386019353
"Nelfa",0.170327674758759
"Nfic",-0.765867654692353
"Nipbl",-0.9523183563558
"Nolc1",-0.453253015379226
"Nvl",-0.933694678360282
"Ogn",0.410571973133311
"Papss1",-0.916299918907114
"Pcm1",-0.444611976606036
"Pcnt",-0.807774252409951
"Phax",0.829332861846304
"Pom121",-0.422444980576474
"Ppp4r3a",-0.404656734990141
"Prex1",0.974328474953652
"Prpf40a",-0.39017961725051
"Prph",0.463064282785345
"Ptbp3",-0.402411741529859
"Ptma",-0.54378114704041
"Pus7",-0.840762085188754
"Rab23",0.230572170683962
"Rab33b",0.424948666162031
"Raly",-0.293688169950149
"Raver1",-0.0900699992377824
"Rbm10",-0.389915544386973
"Rbm25",-0.357233966052754
"Rnf10",0.59512245204206
"Rnps1",-0.348049125203269
"Rpl10a",-0.180970091868343
"Rprd2",-0.480369961723249
"Rps26",-0.429348757967764
"Rps5",0.0215204363972087
"Rps6ka5",-0.308811090912654
"Rrbp1",-0.392657911372717
"Rsl1d1",-0.354736485925739
"Rtf1",-0.451901002748626
"Safb2",-0.382603541757374
"Sarnp",-0.394651777826415
"Sart1",-0.430379704365723
"Scn10a",-0.464662922213421
"Scn11a",-0.428181023403231
"Septin11",-0.188448115486713
"Sf3a1",-0.343392317194129
"Sf3b3",0.0507480591209807
"Sgtb",-0.413055342916817
"Smarcc2",-0.488996820728258
"Snrnp200",0.138742529104655
"Snw1",-0.469322376158091
"Srsf10",-0.422283436475974
"Srsf3",-0.130138254348593
"Srsf5",0.97633888318859
"Sun1",-0.404711254872408
"Supt16h",-0.848950839088701
"Svil",-0.263962549582457
"Syne2",0.303364893726057
"Synj1",0.427197634432612
"Synm",0.446217684299516
"Taf9",-0.393397976597812
"Tasor2",0.969563701051421
"Tcerg1",-0.35668329761142
"Tcof1",-0.323997133610727
"Tf",0.201772887745688
"Thrap3",-0.372316258034605
"Thsd7a",-0.140757133770556
"Thumpd1",-0.316893127665918
"Tjp2",0.538184225076685
"Tmed10",0.555776456449978
"Tmem165",-0.860195103134039
"Tollip",-0.254195185028661
"Top1",0.108271445759465
"Tp53bp2",0.731147935160655
"Tpm2",0.63867871052791
"Tpr",-0.374147823198642
"Trip12",-0.373716782809395
"Tspyl5",-0.286325107855415
"Tuba4a",0.435186018479297
"Tufm",0.479628502173228
"TurboID",0.581242006762446
"Unc45a",-0.0464644459316408
"Utp14a",-0.426957756698868
"Wasf2",0.201653116502979
"Ybx3",-0.719440878815484
"Zc3h14",-0.642211886675168
"Zc3h4",-0.482275707809087
"Znf638",-0.458707202446823
"Zranb2",-0.309610500325471
