"","V1"
"Aars1",0.858858458170375
"Abca7",-0.892761730066287
"Acot7",0.959292753514614
"Acot9",0.941591352958886
"Adar",0.913358444465348
"Akap5",-0.860889215505947
"Akr1a1",0.965428719745549
"Aldoa",0.96515427548493
"Anks1a",-0.900068546622318
"Ap2b1",0.970115854385046
"Apbb1",0.91023300757633
"Arhgap17",0.979996440390498
"Arhgap28",0.887632901471076
"Arhgef6",0.975475154490118
"Asrgl1",0.972233498555122
"Atg2a",0.925228630959919
"Atp2a2",0.944447220003891
"Atpaf1",0.889944715862113
"Bivm",-0.775676277180296
"CEFIP",-0.921100763754469
"Cand1",0.871080284539361
"Carhsp1",0.951775603021025
"Cbarp",0.977430292406201
"Cbr1",0.914685176778668
"Ccdc43",0.980673372560779
"Ccdc85a",0.941629779183005
"Cdk18",0.958839578851322
"Chmp2a",-0.910917053461595
"Cox6c",0.95343660857915
"Ctnnb1",0.832892545351812
"Decr1",0.942952651105298
"Dock4",0.983330626701996
"Dynll2",0.89903441370877
"Eid2",0.959019131068588
"Eno2",0.98088484886701
"Erc2",0.992856050260178
"Fam107b",0.968735103970189
"Fchsd2",0.865896564470158
"Fem1aa",-0.774313626748495
"Fgg",0.787813383511008
"Flot1",0.969341678162703
"Fmnl1",0.95088326467196
"Garem1",0.97479579992249
"Gas2",0.976913077710409
"Gng3",0.976550210903024
"Gpr37l1",0.967284465285309
"Gprin1",0.944143373742251
"Grhpr",0.812504475955563
"Hibadh",-0.857343083093559
"Hpcal1",0.953019148795119
"Htt",0.961867087400976
"Igsf8",0.957058504713834
"Inpp5e",-0.851427496276634
"Inpp5j",0.986156924308768
"Iqsec1",0.978296150372225
"Ldah",-0.904111778861246
"Lgi1",0.893601642046807
"Lrch1",0.985152948285532
"Lysmd2",0.98032409965709
"Maoa",0.717839482324415
"Map3k7",-0.915293398110498
"Micall2",0.934473191267727
"Mobp",0.869255251937828
"Msto1",0.971871721915164
"Mtnd5",0.966040255561137
"Napa",0.906620588902726
"Ndufa7",0.921890142441084
"Ndufv2",0.949463845474532
"Ndufv3",0.962040644245552
"Ogdh",0.966760034486487
"Pdha1",0.982940990779233
"Pfkm",0.969092034882006
"Phb2",0.954634780083633
"Pip4k2a",0.981973036085006
"Pkhd1l1",0.940362251846838
"Pls3",0.972369267917749
"Prkab2",0.970050762053881
"Prkce",0.965301852515338
"Prrt2",0.907332566497437
"Psd3",0.979092401909071
"Rab11b",0.974505244934835
"Rab21",0.959971804384817
"Rae1",-0.913237464423249
"Rhob",0.931981136608089
"Samd14",0.918594552177878
"Sema4c",-0.736730703051808
"Sirpa",0.94614076480847
"Slc16a1",0.859141240894788
"Slc22a21",0.82003757166522
"Slc25a12",0.980192905124321
"Slc7a14",0.987304530573148
"Snx19",0.936013972328084
"Snx7",0.885241197524271
"Spryd4",0.973049785495109
"Stxbp5",0.894335944723293
"Sucla2",0.940068658985922
"Sv2b",0.979819291052339
"Syn3",0.981152059841329
"Tbc1d10a",0.706862960008058
"Tbc1d10b",0.937888646245084
"Tbc1d17",0.969903936836503
"Tbc1d8",0.938972774804988
"Tdrkh",0.986660732110631
"Tgfbr2",0.919626747356477
"Tmem65",0.954070056163918
"Tnik",0.990060449177246
"Tnpo2",0.902658370077594
"Trak1",0.980845013110042
"Trim3",0.983998797321677
"Ush2A",0.929920916219183
"Vamp1",0.940256028628179
"Vdac1",0.929362702107407
"Vps51",0.932811394190642
"Yeats2",0.92734404123038
"Ywhaz",0.960334163508806
