"","V1"
"Apoa4",0.913959570025368
"Aqp1",0.984007639019026
"Arhgdia",0.9796566251843
"Arl2",0.944987038552373
"Arpin",0.987312448022046
"Atg2b",0.987778602931937
"Atl1",0.972361524568884
"Braf",0.975396419575486
"Cap1",0.985244784967602
"Cc2d1a",0.846043968335127
"Ccz1",0.953469969668017
"Cd44",0.935394974592008
"Clasp1",0.927930693213424
"Coro1c",0.989225049077168
"Cplx1",0.977736839101982
"Dbnl",0.987305862451694
"Dctn4",0.985644134414037
"Dnm1l",0.993744722230704
"Dusp3",0.968523258757882
"Echdc1",0.95129386316399
"Eps15",0.986084069167424
"Gas7",0.764940370629053
"Idh1",0.984410649462526
"Iqcb1",0.955296148357776
"Katnb1",0.969423393849357
"Loxl1",0.816705856157198
"Lztfl1",0.991535746453303
"Mindy1",0.960991282347928
"Mob1a",0.912019001430333
"Msh6",0.898380283808378
"Mtfr1l",0.955866704750624
"Mtor",0.804315606248253
"Nacc1",0.736919868677794
"Ndufaf2",0.987609924918439
"Nudt9",0.913482770243048
"Osbpl2",0.78468048165839
"Pitpnm1",0.987560337599653
"Ppp1r1c",0.9866283531078
"Ppp1r9b",0.689323213444118
"Ppp6r2",0.988939272090938
"Rab33b",0.845524129107954
"Rac1",0.877881330313579
"Rad50",0.870130893800428
"Reep1",0.973204252542742
"Snupn",0.98399260243339
"Stam",0.985642132156429
"Stat6",0.973394839175453
"Tbcel",0.925718736356614
"Tf",0.891929687450486
"Tiprl",0.987988999273655
"Tmem165",0.797948851894328
"Tnpo1",0.883290826167437
"Tom1l2",0.987909468100406
"Ugp2",0.793669057187037
"Unc45a",0.855996535382449
"Vipas39",0.990908438426244
"Vps4b",0.951914676924429
