"","V1"
"Ablim1",0.958045652999042
"Acp1",0.964512710051459
"Actn4",-0.782827366001687
"Akap12",0.882083721337085
"Ank3",0.977383008517572
"Anxa7",-0.96878221808164
"Ap2m1",0.860124073354322
"Arhgap21",0.97734222245201
"Atp1a1",0.913568173412724
"Bgn",-0.668116154770448
"Calml3",-0.910788784392066
"Cd9",0.863522999515417
"Cnot8",0.784165108597953
"Ddx21",0.902772586040773
"Dmtn",0.980706166294724
"Ecm1",-0.914120999771527
"Ehd3",0.952618074599025
"Eif4a1",-0.7754852329783
"Epb41",0.816160769859404
"Epb41l1",0.919835348514625
"Epb41l3",0.989414274604332
"Flna",-0.716925192307473
"Garnl3",0.950427256179304
"H1-2",-0.892206152618715
"Ide",-0.852324813993159
"Klc2",0.879302044601615
"Klhl11",0.912506257117312
"Lpp",-0.934297065251454
"Map1b",0.987813672952251
"Map3k3",0.867813762684253
"Mbp",0.915179044421425
"Mob3b",0.668257222750717
"Mpz",0.909154510411835
"Ncdn",0.976142280428968
"Ndufs7",0.986317135253021
"Pacsin1",0.976085739946758
"Ppm1a",0.888657091887238
"Prkar2b",0.974500619151089
"Rps26",0.743661782922612
"S100a16",-0.905565374837674
"Scel",-0.869614191632913
"Slc44a2",0.877302821170167
"Snap25",0.884246203347798
"Sncg",0.983783304972975
"Sprr1b",-0.85914171583263
"Srrm1",-0.905160777084059
"Srsf2",-0.738809083637319
"Stxbp1",0.919408680499916
"Syne3",0.911824672174198
"Tjp2",0.762648648027512
"Txn",0.936434296561393
"Vim",-0.966108541600146
"Zfyve16",-0.77801040325723
