"","V1"
"Aamdc",0.935978331473711
"Abhd16a",0.849496179355977
"Acadsb",-0.827328497433883
"Acsl4",0.965443256877424
"Adam23",0.867351615652853
"Aifm1",-0.935268275128144
"Aifm3",0.683840853666202
"Aimp2",0.996615890208903
"Ajm1",0.957987594944739
"Akap1",0.989208353446648
"Akap2",0.988427160901365
"Akap9",0.988510996615178
"Akr7a2",0.920749927121943
"Aktip",0.9973048842516
"Aldh1b1",0.991913552294334
"Alyref",0.986032609234496
"Ankle2",0.906053873323644
"Ankrd17",0.966143317660466
"Ankrd27",-0.92655501082244
"Ankrd52",0.958213179028465
"Anks1b",-0.933024886528782
"Ano4",-0.94003682826481
"Ap1s2",0.803866698190869
"Ap3m1",-0.716733637989102
"Apba1",0.892757329397851
"Arcn1",0.985281275869632
"Arglu1",0.958779873519746
"Arhgap12",0.848746738539686
"Arhgap22",-0.765863699148571
"Arpp21",0.980002496924931
"Arrb2",0.954993196613947
"Asns",0.740431273673697
"Atp13a2",0.978760198239077
"Atp1a4",0.634998457941824
"Atp5pd",0.923792573003553
"Atrx",0.995580547413955
"Avl9",0.926429745978187
"Bcat2",0.773663847139934
"Bcl2l13",0.944408210946352
"Bclaf1",0.993274215949053
"Bet1l",0.985811089766361
"Bicd1",0.948398841384197
"Birc6",0.965368358690126
"Bloc1s1",0.687607405344434
"Bnip3",0.9876177585024
"Btf3",0.995121473587757
"Btf3l4",0.995197829911641
"Caap1",0.979514451892682
"Cacng2",0.901521533276061
"Camlg",0.98227484542278
"Cars1",0.907426615078112
"Casz1",0.997097090151531
"Cat",0.786652749145082
"Cav2",0.617786155351099
"Cbll1",0.94100237786831
"Cbwd1",0.951444292175732
"Ccdc93",0.981823081518298
"Cdc42bpa",0.951062830884721
"Cdk5rap3",0.986962808896024
"Cdr2l",0.98510819949483
"Celf2",0.992536009044082
"Cemip2",0.753516276368298
"Cfap20",0.843538876247471
"Cic",0.989660416524259
"Cisd2",0.983705947285753
"Ckap4",0.996163884229677
"Clip3",0.708851896912712
"Cmtm5",0.840652183977859
"Cnot1",0.904982314197414
"Cntnap4",0.932720928470054
"Cobl",0.978745235094768
"Cog5",0.990924149023196
"Coil",0.997581454242275
"Commd2",0.848390780832207
"Commd8",0.936898063078442
