"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016192","GO:0016192","vesicle-mediated transport","153/486","343/2069",0.446064139941691,1.89898499082173,10.0979228827103,1.12726518222263e-21,2.4653289535209e-18,2.08484728964754e-18,"Ckap5/Clasp2/Ank3/Eps15/Add1/Aak1/Wasl/Eps15l1/Rtn3/Cd2ap/Rab3c/Scyl2/Sptbn1/Epb41l1/Septin5/Esyt2/Fkbp15/Mon2/Myo1e/Rint1/Myh9/Clint1/Washc2/Abr/Reps1/Ap3d1/Git1/Scyl1/Rab11fip5/Ap3s1/Dnm1/Anxa11/Epn2/Dctn1/Arfgap1/Snx2/Sncb/Sec22b/Sh3gl1/Exoc4/Septin7/Arfgap2/Snx9/Snap29/Pdcd6ip/Ehd1/Trappc12/Rala/Tgm2/Gapvd1/Necap2/Actb/Rab15/Fga/Calm1/Tbc1d8b/Chmp3/Hspg2/Amph/Ank1/Ank2/Ankrd13d/Ap2b1/Ap2m1/Ap3b2/Arfgap3/Arhgap17/Arhgap21/Arhgap44/Atp8a1/Bin1/Cadps/Cav2/Ccdc22/Chmp7/Chp1/Cplx1/Dnajc6/Dnm3/Efr3a/Ehbp1/Ehd3/Ehd4/Exoc3/Flot1/Fmn2/Fnbp1l/Gak/Gga3/Gnao1/Grk2/Itgb1/Itsn2/Kif5a/Lrsam1/Mical3/Myo18a/Napg/Necap1/Nedd4l/Nsf/Numb/Pacsin1/Pclo/Pex5l/Phaf1/Pik3c3/Plcb3/Plpp3/Prom2/Ptpn23/Rab11b/Rab11fip2/Rab21/Rab5c/Rab6b/Rabgap1l/Reps2/Rer1/Rph3a/Scfd2/Scn11a/Septin4/Sgip1/Sh3bp4/Sh3glb2/Smap1/Smcr8/Snap25/Snap47/Snap91/Snx1/Srcin1/Stbd1/Stx7/Stxbp1/Syn1/Syn2/Synj1/Syp/Syt7/Tmed10/Trappc9/Trarg1/Vapb/Vipas39/Vps4b/Vps8/Vsnl1/Wdr44/Wipf3/Ykt6/Zfyve16",153
"GO:0051649","GO:0051649","establishment of localization in cell","167/486","397/2069",0.420654911838791,1.79081278311617,9.70965372830894,1.79690672229464e-20,1.96491750082919e-17,1.66166584793247e-17,"Map6/Mapt/Map1b/Map1a/Map4/Nefm/Clasp2/Ank3/Eps15/Aak1/Wasl/Eps15l1/Wnk1/Dock7/Scyl2/Septin5/Mon2/Rint1/Tacc2/Myh9/Dctn2/Washc2/Abr/Bag3/Reps1/Nefh/Ap3d1/Git1/Rab11fip5/Ap3s1/Dnm1/Dctn1/Snx2/Sncb/Sec22b/Sh3gl1/Exoc4/Ranbp2/Srpra/Arfgap2/Kpna3/Snx9/Snap29/Pdcd6ip/Ehd1/Camsap3/Tpr/Trappc12/Dync1h1/Rala/Lmnb2/Actb/Anp32a/Rcc2/Rab23/Actr2/Smurf1/Calm1/Aqp1/Atp2a1/Chmp3/Phb2/Nolc1/Vps37a/Abcd3/Actr10/Agap3/Amph/Ank1/Ap2b1/Ap2m1/Ap3b2/Arfgap3/Arhgap21/Arhgap44/Atp8a1/Bin1/Cadps/Ccdc22/Champ1/Chmp7/Chp1/Cplx1/Dgki/Dnajc6/Dnm3/Dst/Efr3a/Ehd3/Ehd4/Exoc3/Flot2/Fmn2/Fnbp1l/Gak/Gga3/Itgb1/Itsn2/Kif21a/Kif5a/Kif5c/Klc2/Madd/Mapre1/Mctp2/Mup1/Napg/Ndufaf2/Necap1/Nedd4l/Nefl/Nsf/Numb/Pacsin1/Pclo/Pex14/Pex5l/Pik3c3/Prkcd/Prkcq/Ptpn23/Rab11b/Rab11fip2/Rab21/Rab5c/Rab6b/Relch/Reps2/Rph3a/Rufy3/Scfd2/Scn10a/Scn11a/Sgip1/Sh3glb2/Slc25a46/Slc27a4/Snap25/Snap47/Snap91/Snupn/Snx1/Snx11/Stbd1/Strada/Stx7/Stxbp1/Syn1/Syn2/Synj1/Syp/Syt7/Timm44/Tmed10/Tomm20/Trappc9/Trarg1/Vapb/Vipas39/Vps13a/Vps13c/Vps4b/Vps8/Vsnl1/Wipf3/Ykt6/Zfyve16",167
"GO:0007010","GO:0007010","cytoskeleton organization","127/486","275/2069",0.461818181818182,1.9660531238309,9.53035506595546,3.10434890942627e-19,2.26307035497175e-16,1.91380387153051e-16,"Map6/Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Tuba4a/Prph/Sorbs1/Nefm/Clasp2/Ank3/Add1/Dync1li2/Wasl/Cd2ap/Bcas3/Tppp3/Dock7/Sptbn1/Epb41l1/Myo1e/Tacc2/Myh9/Dctn2/Washc2/Abr/Nefh/Tln2/Fermt2/Git1/Cnn3/Pdlim5/Arpin/Synm/Dctn1/Phldb1/Septin7/Snx9/Cgnl1/Pdcd6ip/Map7/Tubb5/Camsap3/Plec/Ablim1/Tpr/Luzp1/Dync1h1/Rala/Lmnb2/Actb/Dpysl3/Katnal2/Flg/Map7d1/Actr2/Ranbp9/Aqp1/Arap1/Chmp3/Krt25/Eln/Ablim2/Add2/Agfg2/Arhgap17/Arhgap28/Arhgap44/Arhgef18/Arpc5/Bcar1/Bin1/Camsap1/Camsap2/Cdc42bpb/Chmp7/Chp1/Clip2/Coro1b/Csnk1a1/Cyld/Dmtn/Dst/Eml1/Enah/Fmn2/Fmnl1/Itgb1/Katnal1/Katnb1/Kif21a/Krt20/Krt31/Krt80/Map7d2/Mapre1/Mast1/Mical3/Mink1/Mtss1/Myo18a/Nefl/Pacsin1/Palld/Pclo/Pdzd8/Pex14/Prkcd/Prkcq/Rufy3/Shc1/Slain2/Slk/Snupn/Srcin1/Sugt1/Tagln3/Thsd7a/Tmod1/Tmod2/Tubb3/Tubb4a/Vps4b/Wipf3",127
"GO:0051640","GO:0051640","organelle localization","71/486","121/2069",0.586776859504132,2.49802741216883,9.40742823178551,9.58108433476295e-18,5.23845786003164e-15,4.42999083583645e-15,"Map6/Mapt/Map1b/Map4/Clasp2/Wasl/Dock7/Septin5/Esyt1/Esyt2/Tacc2/Myh9/Dctn2/Nefh/Ap3d1/Ap3s1/Dnm1/Dctn1/Exoc4/Arfgap2/Snap29/Pdcd6ip/Trappc12/Dync1h1/Lmnb2/Rcc2/Actr2/Calm1/Atp2a1/Chmp3/Actr10/Ap3b2/Arfgap3/Arhgap21/Bin1/Cadps/Cav2/Champ1/Chmp7/Chp1/Dnm3/Exoc3/Fmn2/Fnbp1l/Gnao1/Itgb1/Katnb1/Kif5a/Kif5c/Klc2/Madd/Mapre1/Nefl/Pacs2/Pclo/Pdzd8/Pex14/Rab11b/Scn11a/Snap25/Snap91/Stx7/Stxbp1/Syn1/Syn2/Synj1/Tmed10/Trappc9/Vapb/Vps4b/Ykt6",71
"GO:0070727","GO:0070727","cellular macromolecule localization","181/486","469/2069",0.38592750533049,1.64297121096458,8.77144010668947,2.3359626227846e-17,1.02175005120598e-14,8.64060279627903e-15,"Mapt/Epb41l3/Map1a/Ckap5/Sorbs1/Clasp2/Rtn4/Ank3/Eps15/Aak1/Wasl/Cd2ap/Wipi2/Rab3c/Wnk1/Sptbn1/Epb41l1/Septin5/Mon2/Rint1/Myh9/Dctn2/Washc2/Bag3/Fermt2/Ap3d1/Git1/Scyl1/Rab11fip5/Ap3s1/Dctn1/Arfgap1/Dclk1/Snx2/Sec22b/Exoc4/Afdn/Ranbp2/Septin7/Ppid/Srpra/Arfgap2/Kpna3/Snx9/Cgnl1/Snap29/Pdcd6ip/Map7/Ehd1/Ctnnd1/Camsap3/Plec/Tpr/Trappc12/Luzp1/Rala/Lmnb2/Gapvd1/Necap2/Actb/Rab15/Rcc2/Rab23/Smurf1/Fga/Glud1/Caprin1/Chmp3/Phb2/Nolc1/Fbln5/Hspg2/Fbn1/Vps37a/Agap3/Ank1/Ank2/Ap2b1/Ap2m1/Ap3b2/Arfgap3/Arhgap44/Arhgef18/Asap1/Atp1b1/Cadm3/Cadps/Camk2d/Cav2/Ccdc22/Champ1/Chmp7/Chp1/Coro1b/Cplx1/Cyld/Dmtn/Efr3a/Ehbp1/Ehd3/Ehd4/Exoc3/Flot1/Flot2/Fmn2/Gak/Gga3/Gnao1/Grk2/Itgb1/Kif5a/Kif5c/Krt20/Lrsam1/Madd/Mapre1/Mprip/Mup1/Myo18a/Napg/Ndufaf2/Necap1/Nedd4l/Nsf/Numb/Pacs1/Pacs2/Pacsin1/Pclo/Pex14/Pex5l/Phaf1/Pik3c3/Praf2/Prkcd/Prkcq/Ptpn23/Rab11b/Rab11fip2/Rab21/Rab3gap2/Rab5c/Rab6b/Rabgap1l/Rer1/Rpa1/Rph3a/Rufy3/Ruvbl2/Scfd2/Septin3/Septin4/Sh3bp4/Slc12a2/Snap25/Snap47/Snap91/Snupn/Snx1/Snx11/Srcin1/Stam2/Strada/Stx7/Stxbp1/Syt7/Timm44/Tmed10/Tom1l2/Tomm20/Trarg1/Ubl4a/Vcpip1/Vipas39/Vps13a/Vps13c/Vps4b/Vps8/Vsnl1/Ykt6/Zfyve16",181
"GO:0008104","GO:0008104","protein localization","179/486","467/2069",0.383297644539615,1.63177536327667,8.594939320698,9.5647666763678e-17,3.48635745353606e-14,2.94829737725934e-14,"Mapt/Epb41l3/Map1a/Sorbs1/Clasp2/Rtn4/Ank3/Eps15/Aak1/Wasl/Cd2ap/Wipi2/Rab3c/Wnk1/Sptbn1/Epb41l1/Septin5/Mon2/Rint1/Myh9/Dctn2/Washc2/Bag3/Fermt2/Ap3d1/Git1/Scyl1/Rab11fip5/Ap3s1/Dctn1/Arfgap1/Dclk1/Snx2/Sec22b/Exoc4/Afdn/Ranbp2/Septin7/Ppid/Srpra/Arfgap2/Kpna3/Snx9/Cgnl1/Snap29/Pdcd6ip/Map7/Ehd1/Ctnnd1/Camsap3/Plec/Tpr/Trappc12/Luzp1/Rala/Lmnb2/Gapvd1/Necap2/Actb/Rab15/Rcc2/Rab23/Smurf1/Fga/Glud1/Chmp3/Phb2/Nolc1/Fbln5/Hspg2/Fbn1/Vps37a/Agap3/Ank1/Ank2/Ap2b1/Ap2m1/Ap3b2/Arfgap3/Arhgap44/Arhgef18/Asap1/Atp1b1/Cadm3/Cadps/Camk2d/Cav2/Ccdc22/Champ1/Chmp7/Chp1/Coro1b/Cplx1/Cyld/Dmtn/Efr3a/Ehbp1/Ehd3/Ehd4/Exoc3/Flot1/Flot2/Fmn2/Gak/Gga3/Gnao1/Grk2/Itgb1/Kif5a/Kif5c/Krt20/Lrsam1/Madd/Mapre1/Mprip/Mup1/Myo18a/Napg/Ndufaf2/Necap1/Nedd4l/Nsf/Numb/Pacs1/Pacs2/Pacsin1/Pclo/Pex14/Pex5l/Phaf1/Pik3c3/Praf2/Prkcd/Prkcq/Ptpn23/Rab11b/Rab11fip2/Rab21/Rab3gap2/Rab5c/Rab6b/Rabgap1l/Rer1/Rpa1/Rph3a/Rufy3/Ruvbl2/Scfd2/Septin3/Septin4/Sh3bp4/Slc12a2/Snap25/Snap47/Snap91/Snupn/Snx1/Snx11/Srcin1/Stam2/Strada/Stx7/Stxbp1/Syt7/Timm44/Tmed10/Tom1l2/Tomm20/Trarg1/Ubl4a/Vcpip1/Vipas39/Vps13a/Vps13c/Vps4b/Vps8/Vsnl1/Ykt6/Zfyve16",179
"GO:0044085","GO:0044085","cellular component biogenesis","179/486","487/2069",0.367556468172485,1.56476200133512,7.89550029308957,1.67865263310148e-14,4.62997624015367e-12,3.91541802226073e-12,"Mapt/Map1b/Epb41l3/Sptan1/Map4/Ckap5/Sorbs1/Nefm/Clasp2/Rtn4/Ank3/Eps15/Add1/Wasl/Rtn3/Cd2ap/Wipi2/Wnk1/Eif4b/Tppp3/Dock7/Sptbn1/Myh9/Clint1/Nap1l1/Nefh/Fermt2/Ap3d1/Git1/Pdlim5/Ap3s1/Dnm1/Dctn1/Dclk1/Sec22b/Phldb1/Exoc4/Afdn/Fn1/Septin7/Ppid/Srpra/Snx9/Cgnl1/Snap29/Pdcd6ip/Nap1l4/Tubb5/Ehd1/Camsap3/Plec/Ablim1/Tpr/Trappc12/Cul4b/Luzp1/Efl1/Dusp3/Dync1h1/Rpl5/Eif5/Rala/Tgm2/Ruvbl1/Actb/Dpysl3/Csde1/Mks1/Rcc2/Rps12/Rab23/Actr2/Smurf1/Fga/Luc7l/Utp14a/Aqp1/Caprin1/Arap1/Rps23/Chmp3/Pa2g4/Fbln5/Eln/Ablim2/Add2/Agfg2/Ap2b1/Ap2m1/Aqp5/Arhgap28/Arhgap44/Arhgef18/Arpc5/Asap1/Atg2b/Atl1/Bin1/Cadm1/Cadps/Camsap1/Camsap2/Caskin1/Cav2/Chmp7/Chp1/Clybl/Col16a1/Coro1b/Crmp1/Csnk1a1/Cyld/Ddx17/Dmtn/Dnajc6/Dnm3/Dock11/Dst/Efr3a/Ehd3/Ehd4/Exosc5/Flot1/Fmn2/Fnbp1l/Gak/Iqcb1/Itgb1/Kcna2/Kctd16/Kif21a/Lama3/Letm1/Lrsam1/Mapre1/Med15/Mtss1/Ndufaf2/Nedd4l/Nefl/Nek7/Nsun5/Numb/Pacs2/Pclo/Pex14/Pik3c3/Prkcd/Prkcq/Prmt8/Ptpn23/Rab3gap2/Rph3a/Rtn1/Ruvbl2/Slain2/Slc25a46/Slk/Smcr8/Snap25/Snap47/Snap91/Snupn/Srcin1/Srgap3/Stbd1/Stx7/Stxbp1/Sugt1/Synj1/Syp/Syt7/Tmod1/Tmod2/Trpv1/Tubb4a/Vcpip1/Vps4b/Wdr44",179
"GO:0098657","GO:0098657","import into cell","86/486","177/2069",0.485875706214689,2.06847085629258,8.23458453607159,1.69363557024368e-14,4.62997624015367e-12,3.91541802226073e-12,"Ckap5/Ank3/Eps15/Add1/Aak1/Wasl/Eps15l1/Atp1a1/Cd2ap/Wnk1/Scyl2/Esyt2/Fkbp15/Myo1e/Myh9/Clint1/Abr/Reps1/Ap3d1/Rab11fip5/Ap3s1/Dnm1/Anxa11/Epn2/Arfgap1/Sncb/Sh3gl1/Snx9/Ehd1/Rala/Tgm2/Gapvd1/Necap2/Actb/Calm1/Hspg2/Amph/Ank2/Ankrd13d/Ap2b1/Ap2m1/Ap3b2/Arfgap3/Arhgap21/Atp1b1/Atp8a1/Bin1/Cav2/Dnajc6/Dnm3/Ehbp1/Ehd3/Ehd4/Flot1/Fnbp1l/Gak/Grk2/Itgb1/Itsn2/Lrsam1/Myo18a/Necap1/Nedd4l/Nsf/Numb/Pacsin1/Pik3c3/Prkcd/Prom2/Rab11fip2/Rab21/Rab5c/Rabgap1l/Reps2/Sgip1/Sh3bp4/Sh3glb2/Slc12a2/Slc27a4/Smap1/Snap91/Snx1/Synj1/Syp/Syt7/Trpv1",86
"GO:0010256","GO:0010256","endomembrane system organization","63/486","114/2069",0.552631578947368,2.35266406757635,8.23041895387098,4.54636748534393e-14,1.10476729893858e-11,9.34265224765999e-12,"Epb41l3/Clasp2/Rtn4/Ank3/Wasl/Rtn3/Wnk1/Sptbn1/Esyt1/Esyt2/Myh9/Ap3d1/Ap3s1/Dnm1/Dctn1/Sec22b/Snx9/Snap29/Camsap3/Plec/Trappc12/Lmnb2/Aqp1/Reep5/Plscr3/Chmp3/Agfg2/Ank2/Arhgap21/Asap1/Atl1/Bin1/Camsap2/Cav2/Chmp7/Cplx1/Csnk1a1/Dmtn/Ehd3/Flot1/Fnbp1l/Gak/Lnpk/Mtss1/Myo18a/Pacsin1/Pik3c3/Rab3gap2/Rab5c/Rab6b/Rph3a/Rtn1/Snap25/Snap47/Stx7/Stxbp1/Synj1/Syt7/Tmed10/Ubl4a/Vapb/Vcpip1/Vps4b",63
"GO:0000902","GO:0000902","cell morphogenesis","77/486","159/2069",0.484276729559748,2.0616636902451,7.71830235173047,6.50382784329545e-13,1.1853226244406e-10,1.00238820356755e-10,"Map6/Mapt/Map1b/Epb41l3/Map1a/Nefm/Clasp2/Rtn4/Ank3/Add1/Wasl/Cd2ap/Dock7/Myh9/Nefh/Fermt2/Pdlim5/Arpin/Dclk1/Snx2/Afdn/Fn1/Septin7/Map7/Eif4g2/Plec/Ablim1/Luzp1/Actb/Actr2/Smurf1/Postn/Caprin1/Arap1/Abi1/Arhgap44/Arhgef18/Atl1/Cadm1/Camsap1/Coro1b/Csnk1a1/Dmtn/Dnm3/Dst/Enah/Flot1/Fmnl1/Fry/Impact/Itgb1/Itsn2/Kif21a/Kif5a/Kif5c/Lama3/Mfap2/Mink1/Myl12b/Nedd4l/Nefl/Numb/Pacsin1/Palld/Palmd/Pdzd8/Rab21/Rufy3/Scn11a/Slc25a46/Snap25/Snap91/Snx1/Srcin1/Stxbp1/Tubb3/Vps13a",77
