"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030054","GO:0030054","cell junction","207/491","450/2087",0.46,1.95523421588595,12.687417813599,1.46179644001695e-33,4.69236657245442e-31,2.04651501602373e-31,"Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Prph/Sorbs1/Dctn4/Nefm/Clasp2/Rtn4/Ank3/Strn/Eps15/Add1/Aak1/Wasl/Eps15l1/Atp1a1/Rtn3/Cd2ap/Rab3c/Wnk1/Anxa6/Dock7/Sptbn1/Epb41l1/Septin5/Myo1e/Pebp1/Myh9/Abr/Lasp1/Mpp1/Nefh/Tln2/Fubp1/Fermt2/Ap3d1/Git1/Cnn3/Pdlim5/Rab11fip5/Ap3s1/Dnm1/Synm/Tpd52/Arfgap1/Dclk1/Sncb/Sec22b/Sh3gl1/Exoc4/Afdn/Cpne3/Septin7/Ppp1ca/Snx9/Cgnl1/Snap29/Pdcd6ip/Ehd1/Eif4g2/Ctnnd1/Camsap3/Plec/Ablim1/Luzp1/Rpl5/Eif5/Rala/Actb/Mal2/Dpysl3/Tns2/Pcdh12/Rps12/Rab23/Actr2/Fga/Calm1/Eif4g3/Aqp1/Postn/Vdac1/Caprin1/Rps23/Phb2/Dsc1/Abi1/Add2/Amph/Ank1/Ank2/Ap2b1/Ap2m1/Ap3b2/Arfgap3/Arhgap17/Arhgap21/Arhgap28/Arhgap44/Asap1/Atp1b1/Atp2b1/Atp8a1/Bcar1/Bin1/Cadm1/Cadm3/Cadps/Camk2d/Caskin1/Cav2/Cdc42bpb/Coro1b/Cplx1/Crmp1/Dgki/Dgkz/Dmtn/Dmxl2/Dnajc6/Dnm3/Dst/Efr3a/Enah/Exoc3/Flot1/Flot2/Gabbr1/Gak/Gnao1/Grk2/Itgb1/Itsn2/Jcad/Kcna2/Kctd16/Kif21a/Kif5a/Kif5c/Lama3/Madd/Magi3/Mapre1/Mctp2/Mink1/Mtss1/Napg/Necap1/Nedd4l/Nefl/Numb/Pacsin1/Palld/Palmd/Pclo/Pgrmc2/Phaf1/Pik3c3/Plcb3/Praf2/Prkar2b/Prkcd/Prkcq/Prmt8/Prune2/Rab11b/Rab21/Rab3gap2/Rab5c/Rab6b/Rph3a/Rtn1/Rufy3/Scn10a/Scn11a/Septin3/Septin4/Sgip1/Sh3glb2/Shc1/Smcr8/Snap25/Snap47/Snap91/Snx1/Srcin1/Srgap3/Strn3/Stx7/Stxbp1/Syn1/Syn2/Synj1/Syp/Syt7/Tagln3/Tanc1/Tmod2/Trpv1/Vcpip1/Wdr7/Wipf3",207
"GO:0042995","GO:0042995","cell projection","175/491","429/2087",0.407925407925408,1.73389068501085,9.45690906470512,1.15876832667871e-19,7.4392926572773e-18,3.24455131470038e-18,"Map6/Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Prph/Nefm/Clasp2/Rtn4/Ank3/Strn/Eps15/Add1/Aak1/Wasl/Atp1a1/Rtn3/Cd2ap/Eif4b/Dock7/Sptbn1/Septin5/Fkbp15/Myo1e/Pebp1/Myh9/Dctn2/Abr/Mpp1/Nefh/Tln2/Fermt2/Ap3d1/Git1/Cnn3/Pdlim5/Ap3s1/Dnm1/Arpin/Dctn1/Dclk1/Snx2/Sncb/Sh3gl1/Exoc4/Afdn/Septin7/Ppp1ca/Snx9/Snap29/Map7/Ldha/Nap1l4/Ehd1/Eif4g2/Ctnnd1/Camsap3/Plec/Ablim1/Luzp1/Dusp3/Dync1h1/Actb/Dpysl3/Rab15/Mks1/Actr2/Smurf1/Calm1/Aqp1/Caprin1/Phb2/Abhd12/Abi1/Amph/Ank1/Ap3b2/Aqp5/Arhgap44/Arpc5/Asap1/Atl1/Atp1b1/Atp2b1/Bcar1/Bin1/Cadm1/Camk2d/Camsap2/Cdc42bpb/Clip2/Coro1b/Cplx1/Crmp1/Csnk1a1/Cyld/Dgki/Dgkz/Dld/Dmtn/Dnm3/Dst/Ehd3/Enah/Exoc3/Flot1/Flot2/Fmn2/Gabbr1/Gnao1/Gprin1/Grk2/Iqcb1/Itgb1/Jcad/Katnb1/Kcna2/Kctd16/Kif21a/Kif5a/Kif5c/Klc2/Madd/Mapre1/Mast1/Mical3/Mink1/Nefl/Nsf/Numb/Osbpl3/Pacsin1/Palld/Palmd/Pclo/Pex5l/Phaf1/Prkar2b/Prom2/Ptpn23/Rab21/Rap1gap2/Rph3a/Rtn1/Rufy3/S100a6/Scn10a/Scn11a/Septin4/Slc12a2/Slc27a4/Smcr8/Snap25/Snap47/Snap91/Snx1/Srcin1/Strn3/Stxbp1/Syn1/Synj1/Syp/Syt7/Tanc1/Thsd7a/Tmod2/Tomm20/Trpv1/Tubb3/Tubb4a/Vps13a/Ykt6",175
"GO:0005856","GO:0005856","cytoskeleton","160/491","383/2087",0.4177545691906,1.77566962505251,9.31585738414611,5.709681961424e-19,2.67146283339761e-17,1.16512397718276e-17,"Map6/Mapt/Map1b/Epb41l3/Map1a/Sptan1/Map4/Ckap5/Tuba4a/Prph/Sorbs1/Dctn4/Nefm/Clasp2/Ank3/Add1/Dync1li2/Wasl/Cd2ap/Wnk1/Bcas3/Tppp3/Sptbn1/Epb41l1/Septin5/Fkbp15/Myo1e/Tacc2/Myh9/Dctn2/Lasp1/Mpp1/Slc25a5/Nefh/Tln2/Fermt2/Git1/Cnn3/Pdlim5/Scyl1/Rab11fip5/Dnm1/Rabl6/Anxa11/Synm/Dctn1/Sh3gl1/Exoc4/Septin7/Snx9/Cgnl1/Snap29/Pdcd6ip/Map7/Tubb5/Camsap3/Plec/Ablim1/Cr1l/Tpr/Luzp1/Dusp3/Dync1h1/Ruvbl1/Lmnb2/Actb/Dpysl3/Katnal2/Mks1/Rcc2/Map7d1/Rab23/Actr2/Calm1/Chmp3/Krt25/Vps37a/Abi1/Ablim2/Actr10/Add2/Amph/Ank1/Ank2/Arhgap21/Arhgef18/Arpc5/Asap1/Bcar1/Bin1/Camsap1/Camsap2/Ccdc22/Cdc42bpb/Cep170b/Champ1/Chmp7/Chp1/Clip2/Coro1b/Crmp1/Csnk1a1/Cyld/Dgkh/Dmtn/Dnm3/Dst/Eml1/Enah/Flot1/Flot2/Fmn2/Fnbp1l/Fry/Iqcb1/Itsn2/Katnal1/Katnb1/Kif21a/Kif5a/Kif5c/Klc2/Krt20/Krt31/Krt80/Map7d2/Mapre1/Mast1/Mical3/Mprip/Mtss1/Myl12b/Myo18a/Nefl/Nek7/Nek9/Palld/Pclo/Pitpnm2/Ppp1r18/Prkar2b/Prkcq/Ptpn23/Rap1gap2/Ruvbl2/Septin3/Septin4/Sestd1/Slain2/Snap25/Srcin1/Syn1/Synj1/Tagln3/Tmod1/Tmod2/Tubb3/Tubb4a/Vps4b/Wdr44",160
"GO:0097708","GO:0097708","intracellular vesicle","148/491","355/2087",0.416901408450704,1.77204325750839,8.85448531037319,2.95788346702092e-17,1.0549784365708e-15,4.60115205981032e-16,"Map6/Eps15/Aak1/Dync1li2/Wasl/Atp1a1/Cd2ap/Rab3c/Anxa6/Scyl2/Septin5/Fkbp15/Mon2/Myo1e/Pebp1/Myh9/Clint1/Washc2/Nap1l1/Ap3d1/Git1/Scyl1/Rab11fip5/Ap3s1/Dnm1/Anxa11/Epn2/Snx2/Sec22b/Sh3gl1/Exoc4/Snx9/Snap29/Pdcd6ip/Ehd1/Rala/Gapvd1/Necap2/Mal2/Dpysl3/Rab15/Rcc2/Rab23/Fga/Calm1/Aqp1/Vdac1/Chmp3/Vps37a/Add2/Agfg2/Amph/Ank2/Ankrd13d/Ap2b1/Ap2m1/Ap3b2/Aqp5/Arfgef3/Arhgap21/Arhgap44/Arpc5/Atp2b1/Atp8a1/Bin1/Cadm1/Cadps/Cav2/Ccdc22/Chmp7/Chp1/Clip2/Dgkh/Dgki/Dld/Dmtn/Dmxl2/Dnajc6/Dst/Ehbp1/Ehd3/Ehd4/Exoc3/Flot1/Flot2/Fmn2/Fmnl1/Fnbp1l/Gabbr1/Gak/Gga3/Itgb1/Itsn2/Lgals8/Loxl1/Madd/Mctp2/Myo18a/Necap1/Nedd4l/Numb/Pacs1/Pacsin1/Pclo/Phaf1/Pik3c3/Praf2/Prkcd/Prom2/Ptpn23/Rab11b/Rab11fip2/Rab21/Rab5c/Rab6b/Rabgap1l/Relch/Rph3a/Septin4/Sgip1/Sh3bp4/Shc1/Slc12a2/Snap25/Snap91/Snx1/Snx11/Stam2/Stx7/Stxbp1/Syn1/Syn2/Syp/Syt7/Tmed10/Tom1l2/Trappc9/Trarg1/Vipas39/Vps13a/Vps13c/Vps4b/Vps8/Wdr44/Wdr7/Wipf3/Ykt6/Zfyve16",148
"GO:0031090","GO:0031090","organelle membrane","159/491","408/2087",0.389705882352941,1.65644842458368,8.19760142084746,2.91878089481814e-15,6.24619111491082e-14,2.72419550183026e-14,"Map6/Prph/Rtn4/Eps15/Wasl/Atp1a1/Rtn3/Cd2ap/Rab3c/Anxa6/Scyl2/Esyt1/Esyt2/Mon2/Pebp1/Rint1/Clint1/Washc2/Slc25a5/Ap3d1/Scyl1/Lpcat1/Rab11fip5/Ap3s1/Anxa11/Epn2/Arfgap1/Snx2/Sec22b/Sh3gl1/Ranbp2/Srpra/Arfgap2/Snx9/Uqcrc2/Snap29/Atp5f1a/Ehd1/Plec/Cox5b/Tpr/Rala/Lmnb2/Necap2/Mal2/Rab15/Csde1/Rcc2/Rab23/Calm1/Glud1/Aqp1/Mdh2/Reep5/Vdac1/Plscr3/Atp2a1/Arap1/Chmp3/Phb2/Acaa2/Vps37a/Abcd3/Abhd12/Acadvl/Acbd5/Amph/Ap2b1/Ap2m1/Ap3b2/Aqp5/Arfgap3/Arfgef3/Arhgap21/Asap1/Atg2b/Atl1/Atp1b1/Atp2b1/Atp8a1/Bin1/Cadps/Camk2d/Cav2/Cept1/Chmp7/Chp1/Cisd1/Dgki/Dmtn/Dmxl2/Dst/Ehd3/Ehd4/Ermp1/Exoc3/Flot2/Fmn2/Gabbr1/Gga3/Grk2/Hmox2/Kcna2/Klc2/Letm1/Lnpk/Mctp2/Mtarc2/Myo18a/Necap1/Numb/Osbpl3/Pacsin1/Pdzd8/Pex14/Pex5l/Phaf1/Plpp3/Praf2/Prom2/Rab11b/Rab11fip2/Rab21/Rab5c/Rab6b/Rap1gap2/Rer1/Rph3a/Rtn1/Sdha/Sgip1/Shc1/Slc12a2/Slc25a4/Slc25a46/Slc27a4/Snap91/Snx1/Stam2/Stbd1/Stk24/Stx7/Syn1/Syn2/Synj1/Syp/Syt7/Tex2/Timm44/Tmed10/Tomm20/Trarg1/Vapb/Vps13a/Vps13c/Vps4b/Wdr44/Ykt6/Zfyve16",159
"GO:0099081","GO:0099081","supramolecular polymer","86/491","191/2087",0.450261780104712,1.91384182297054,7.34767607220448,4.78166000800199e-12,8.07848875036125e-11,3.52332842694883e-11,"Map6/Mapt/Map1b/Map1a/Sptan1/Map4/Ckap5/Tuba4a/Prph/Dctn4/Nefm/Clasp2/Ank3/Dync1li2/Cd2ap/Bcas3/Tppp3/Sptbn1/Myh9/Dctn2/Bag3/Nefh/Fermt2/Pdlim5/Dnm1/Synm/Dctn1/Map7/Tubb5/Camsap3/Plec/Luzp1/Dync1h1/Lmnb2/Actb/Dpysl3/Katnal2/Rcc2/Calm1/Atp2a1/Chmp3/Fbln5/Krt25/Fbn1/Eln/Col4a1/Col4a2/Ablim2/Ank1/Ank2/Bin1/Camsap1/Camsap2/Cep170b/Chmp7/Clip2/Coro1b/Csnk1a1/Cyld/Dmtn/Dnm3/Dst/Eml1/Fmn2/Katnal1/Katnb1/Kif21a/Kif5a/Kif5c/Klc2/Krt20/Krt31/Krt80/Mapre1/Mfap2/Myl12b/Myo18a/Nefl/Palld/Slain2/Synj1/Tmod1/Tmod2/Tubb3/Tubb4a/Wdr44",86
"GO:0098796","GO:0098796","membrane protein complex","68/491","152/2087",0.447368421052632,1.90154357380212,6.40102444850584,1.69678507929966e-09,1.87816555329376e-08,8.19137624489491e-09,"Sorbs1/Eps15/Aak1/Eps15l1/Atp1a1/Clint1/Slc25a5/Ap3d1/Scyl1/Ap3s1/Dnm1/Epn2/Dctn1/Snx2/Sec22b/Afdn/Srpra/Uqcrc2/Snap29/Atp5f1a/Ctnnd1/Cox5b/Necap2/Calm1/Aqp1/Vdac1/Chmp3/Phb2/Vps37a/Abhd12/Ank1/Ap2b1/Ap2m1/Ap3b2/Atp1b1/Cav2/Chmp7/Cplx1/Flot1/Flot2/Gabbr1/Gnao1/Itgb1/Kcna2/Napg/Necap1/Osmr/Pex5l/Pik3c3/Scn10a/Scn11a/Sdha/Sestd1/Sgip1/Shc1/Slc25a4/Snap25/Snap47/Snap91/Snx1/Stx7/Syn2/Synj1/Timm44/Tmed10/Tomm20/Vps8/Ykt6",68
"GO:0098590","GO:0098590","plasma membrane region","79/491","188/2087",0.420212765957447,1.78611821293929,6.26593311977713,2.67593063478185e-09,2.86324577921657e-08,1.24876762956486e-08,"Mapt/Epb41l3/Prph/Sorbs1/Clasp2/Rtn4/Ank3/Strn/Eps15/Atp1a1/Anxa6/Sptbn1/Epb41l1/Septin5/Myh9/Fermt2/Dnm1/Afdn/Fn1/Septin7/Snap29/Map7/Ehd1/Ctnnd1/Plec/Cr1l/Rala/Mal2/Aqp1/Vdac1/Add2/Ank1/Ank2/Ap2b1/Ap2m1/Aqp5/Arhgef18/Atp1b1/Atp2b1/Cadm1/Cadm3/Cav2/Dgki/Dmtn/Dnajc6/Dnm3/Ehd3/Exoc3/Flot1/Flot2/Gabbr1/Gnao1/Grk2/Itgb1/Itsn2/Jcad/Kcna2/Kctd16/Mapre1/Numb/Osmr/Pacsin1/Plpp3/Prom2/Rab21/Rab3gap2/Rph3a/Scn10a/Scn11a/Septin3/Slc12a2/Slc27a4/Snap25/Snap91/Stxbp1/Synj1/Syp/Syt7/Trpv1",79
"GO:0036477","GO:0036477","somatodendritic compartment","83/491","204/2087",0.406862745098039,1.72937382692385,6.08165182603593,6.50767375961018e-09,6.52801024010896e-08,2.84710726982945e-08,"Map6/Mapt/Map1b/Map1a/Ckap5/Prph/Nefm/Rtn4/Ank3/Strn/Add1/Cd2ap/Eif4b/Pebp1/Abr/Nefh/Git1/Cnn3/Dctn1/Sncb/Exoc4/Afdn/Septin7/Ppp1ca/Nap1l4/Ctnnd1/Plec/Dync1h1/Smurf1/Aqp1/Caprin1/Abhd12/Arhgap44/Asap1/Atp2b1/Bin1/Cadm1/Camk2d/Clip2/Cplx1/Crmp1/Dgki/Dnm3/Flot2/Gabbr1/Gnao1/Grk2/Itgb1/Katnb1/Kcna2/Kif21a/Kif5a/Kif5c/Mast1/Mink1/Nsf/Numb/Palld/Palmd/Pclo/Pex5l/Phaf1/Prkar2b/Rph3a/Rtn1/Rufy3/Scn11a/Septin4/Slc12a2/Snap25/Snap47/Snap91/Snx1/Srcin1/Strn3/Syn1/Syt7/Tanc1/Trpv1/Tubb3/Tubb4a/Vps13a/Ykt6",83
"GO:0031252","GO:0031252","cell leading edge","51/491","112/2087",0.455357142857143,1.93549970904859,5.64352655250101,1.15129325285181e-07,8.79916986108172e-07,3.83764417617271e-07,"Mapt/Epb41l3/Clasp2/Aak1/Wasl/Cd2ap/Bcas3/Sptbn1/Myh9/Tln2/Fermt2/Git1/Arpin/Dctn1/Snx2/Exoc4/Snx9/Ctnnd1/Ablim1/Actb/Dpysl3/Actr2/Caprin1/Abi1/Amph/Ank1/Arhgap44/Arpc5/Atp2b1/Bcar1/Cdc42bpb/Coro1b/Dgkz/Dst/Enah/Flot1/Flot2/Gabbr1/Itgb1/Jcad/Kcna2/Pacsin1/Palld/Rufy3/S100a6/Slk/Snap25/Snx1/Srcin1/Trpv1/Tubb3",51
