"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030054","GO:0030054","cell junction","48/152","243/1596",0.197530864197531,2.07407407407407,5.89803048967282,6.09666501511817e-08,1.48148959867372e-05,9.88301486661261e-06,"Akap12/Ncam1/Palm/Avil/Atp6v1a/Ppp3ca/Sncg/Numbl/Dnm1l/Plaa/Prune1/Usp5/Arhgdia/Ptpn12/Dpysl2/Kif5b/Mapk3/Chmp4b/Rexo2/Rheb/Park7/Ppp1r2/Uba1/Lcp1/Capzb/Usp14/Cltc/Apoa4/Atp6v1b2/Atp6v1h/Basp1/Cltb/Coro1a/Ctbp1/Gab1/Gls/Gnai2/Gphn/Gsk3b/L1cam/Mical1/Nedd4/Pafah1b1/Phf24/Pls3/Ppp1cc/Prkar2a/Stat3",48
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","23/152","76/1596",0.302631578947368,3.17763157894737,6.30939836707196,1.39854793899773e-07,1.69923574588224e-05,1.13355990845079e-05,"Cep170/Avil/Dync1li1/Dnm1l/Nudc/Cct8/Dpysl2/Kif5b/Chmp4b/Tcp1/Dync1i2/Tbcb/Lcp1/Cct5/Cltc/Coro1a/Gsk3b/Hsph1/Klc1/Mical1/Pafah1b1/Pls3/Stmn1",23
"GO:0005874","GO:0005874","microtubule","18/152","51/1596",0.352941176470588,3.70588235294118,6.37013003118975,2.7693679967676e-07,2.1131195185709e-05,1.40966171046099e-05,"Cep170/Dync1li1/Dnm1l/Nudc/Cct8/Dpysl2/Kif5b/Chmp4b/Tcp1/Dync1i2/Tbcb/Cct5/Cltc/Gsk3b/Hsph1/Klc1/Pafah1b1/Stmn1",18
"GO:0099081","GO:0099081","supramolecular polymer","27/152","105/1596",0.257142857142857,2.7,5.84552187740954,4.34798254849979e-07,2.1131195185709e-05,1.40966171046099e-05,"Cep170/Avil/Dync1li1/Ppp3ca/Dnm1l/Nudc/Cct8/Dpysl2/Kif5b/Chmp4b/Tcp1/Dync1i2/Tbcb/Lcp1/Capzb/Cct5/Lum/Cltc/Coro1a/Glrx3/Gsk3b/Hsph1/Klc1/Mical1/Pafah1b1/Pls3/Stmn1",27
"GO:0099512","GO:0099512","supramolecular fiber","27/152","105/1596",0.257142857142857,2.7,5.84552187740954,4.34798254849979e-07,2.1131195185709e-05,1.40966171046099e-05,"Cep170/Avil/Dync1li1/Ppp3ca/Dnm1l/Nudc/Cct8/Dpysl2/Kif5b/Chmp4b/Tcp1/Dync1i2/Tbcb/Lcp1/Capzb/Cct5/Lum/Cltc/Coro1a/Glrx3/Gsk3b/Hsph1/Klc1/Mical1/Pafah1b1/Pls3/Stmn1",27
"GO:0042995","GO:0042995","cell projection","47/152","254/1596",0.18503937007874,1.94291338582677,5.31533868837447,7.64702916992339e-07,3.00637942018482e-05,2.00555525539728e-05,"Ncam1/Palm/Cep170/Avil/Atp6v1a/Ppp3ca/Sncg/Pygb/Cct8/Arhgap1/Ptpn12/Pcmt1/Dpysl2/Kif5b/Mapk3/Stmn2/Rheb/Dync1i2/Park7/Ppp1r2/Lcp1/Capzb/Ckb/Cdc37/Ak2/Arfip2/Atp6v1b2/Basp1/Cd44/Cltb/Coro1a/Glrx3/Gnai2/Gphn/Gsk3b/Impa1/Klc1/L1cam/Lztfl1/Mical1/Nedd4/Pafah1b1/Pfkm/Pls3/Ppp1cc/Prkar2a/Stmn1",47
"GO:0120025","GO:0120025","plasma membrane bounded cell projection","46/152","247/1596",0.186234817813765,1.95546558704453,5.29756254134914,8.66035223921553e-07,3.00637942018482e-05,2.00555525539728e-05,"Ncam1/Palm/Cep170/Avil/Atp6v1a/Ppp3ca/Sncg/Pygb/Cct8/Arhgap1/Pcmt1/Dpysl2/Kif5b/Mapk3/Stmn2/Rheb/Dync1i2/Park7/Ppp1r2/Lcp1/Capzb/Ckb/Cdc37/Ak2/Arfip2/Atp6v1b2/Basp1/Cd44/Cltb/Coro1a/Glrx3/Gnai2/Gphn/Gsk3b/Impa1/Klc1/L1cam/Lztfl1/Mical1/Nedd4/Pafah1b1/Pfkm/Pls3/Ppp1cc/Prkar2a/Stmn1",46
"GO:0045202","GO:0045202","synapse","40/152","202/1596",0.198019801980198,2.07920792079208,5.32314091521613,1.0920556188096e-06,3.31711894213416e-05,2.21284954337735e-05,"Akap12/Ncam1/Palm/Atp6v1a/Ppp3ca/Sncg/Numbl/Dnm1l/Plaa/Usp5/Arhgdia/Dpysl2/Kif5b/Mapk3/Chmp4b/Rheb/Park7/Ppp1r2/Capzb/Usp14/Cltc/Apoa4/Atp6v1b2/Atp6v1h/Cltb/Coro1a/Ctbp1/Gls/Gnai2/Gphn/Gsk3b/L1cam/Mical1/Nedd4/Pafah1b1/Phf24/Pls3/Ppp1cc/Prkar2a/Stat3",40
"GO:0043228","GO:0043228","membraneless organelle","61/152","393/1596",0.155216284987277,1.62977099236641,4.66406565719832,6.31063627203586e-06,0.000153348461410471,0.000102298735357213,"Akap12/Cep170/Avil/Dync1li1/Ppp3ca/Sncg/Dnm1l/Ciapin1/Nudc/Psmc3/Cct8/Birc6/Ptpn12/Dpysl2/Kif5b/Usp7/Mapk3/Chmp4b/Tcp1/Rexo2/Dync1i2/Stip1/Tbcb/Park7/Uba1/Lcp1/Capzb/Calml3/Cct5/Stat6/Cltc/Ola1/Arfgef1/Arfip2/Basp1/Brcc3/Capza2/Coro1a/Cul5/Fnbp1/Glrx3/Gnai2/Gphn/Gsk3b/Hsph1/Jpt1/Klc1/Lztfl1/Mical1/Nedd4/Oxr1/Pafah1b1/Pitpnm1/Pls3/Ppm1b/Ppp1cc/Prkar2a/Rps6ka3/Stat3/Stmn1/Wbp2",61
"GO:0043232","GO:0043232","intracellular membraneless organelle","61/152","393/1596",0.155216284987277,1.62977099236641,4.66406565719832,6.31063627203586e-06,0.000153348461410471,0.000102298735357213,"Akap12/Cep170/Avil/Dync1li1/Ppp3ca/Sncg/Dnm1l/Ciapin1/Nudc/Psmc3/Cct8/Birc6/Ptpn12/Dpysl2/Kif5b/Usp7/Mapk3/Chmp4b/Tcp1/Rexo2/Dync1i2/Stip1/Tbcb/Park7/Uba1/Lcp1/Capzb/Calml3/Cct5/Stat6/Cltc/Ola1/Arfgef1/Arfip2/Basp1/Brcc3/Capza2/Coro1a/Cul5/Fnbp1/Glrx3/Gnai2/Gphn/Gsk3b/Hsph1/Jpt1/Klc1/Lztfl1/Mical1/Nedd4/Oxr1/Pafah1b1/Pitpnm1/Pls3/Ppm1b/Ppp1cc/Prkar2a/Rps6ka3/Stat3/Stmn1/Wbp2",61
