"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005856","GO:0005856","cytoskeleton","283/987","450/2306",0.628888888888889,1.46931892378701,9.59747480014424,9.33928845408316e-22,3.57694747791385e-19,2.03498179999496e-19,"Map4/Akap12/Cttn/Igbp1/Tagln2/Lasp1/Zyx/Dmtn/Spag9/Myh9/Wasl/Dbnl/Tnks1bp1/Anxa2/Synm/Tln1/Map1b/Cep170/Epb41l3/Dync1li2/Sptbn1/Chmp2b/Vcl/Cct8/Dctn4/Nefl/Dync1li1/Snap29/Dctn2/Amph/Map6/Tppp3/G6pdx/Wdr44/Septin4/Rab11fip5/Pclo/Ran/Dctn1/Coro1c/Ist1/Dpysl3/Kif5b/Nudc/Nsfl1c/Bcas3/Avil/Nebl/Cnn3/Dnm3/Git1/Clip2/Septin5/Flot1/Add2/Luzp1/Dpysl2/Snap25/Mapk3/Tmod2/Pdlim5/Pdcd6ip/Fkbp15/Tbcb/Nefh/Prkar2b/Septin9/Tagln3/Twf1/Capzb/Bin1/Lcp1/Jpt1/Lztfl1/Katnal1/Coro1a/Sipa1l1/Rap1gap2/Hspa8/Dnm1/Kif2a/Map7d2/Cap1/Syn1/Myo18a/Septin3/Tcp1/Kank4/Gphn/Crmp1/Dbn1/Mapre3/Ina/Vapa/Bsn/Slc25a5/Pfn1/Tmod1/Map2k1/Magi2/Sncg/Ola1/Csrp1/Plec/Cct5/Pafah1b1/Kcnab2/Cdc42ep4/Chmp4b/Septin6/Arl3/Calb2/Tubb5/Cct2/Synpo/Dbt/Rps6ka1/Mtss2/Actr10/Cfl1/Lpp/Hspb1/Sirt2/Ak1/Stmn1/Dstn/Coro2b/Wdr1/Gsn/Dctn6/Brsk2/Msra/Tppp/Vim/Llgl1/Twf2/Atp6v0d1/Msn/Gnai2/Rhog/Ddx3x/Shtn1/Lmna/Mdh1/Pvalb/Tubb3/Myo5a/Nup85/Ppp1r9b/Dync1h1/Ndrg1/Cnp/Dgkq/Ctnna2/Snca/Psma1/Dag1/Map1lc3a/Ywhae/Rab10/Stx1b/Ttn/Tubb4b/Eef1a1/Acot13/Fscn1/Tubb4a/Actn4/Cdc42/Cltc/Gnai3/Pdxp/Ruvbl1/Tpt1/Ezr/Ablim3/Actr3/Arpc1a/Arpc3/Arpc5/Arpc5l/Atp6v1d/Bag2/Bbs4/Bcar1/Calb1/Ccdc124/Ccdc6/Ccdc92/Cd2ap/Cdh2/Cdk5/Cep131/Cfap36/Cfl2/Chmp1a/Chmp2a/Chmp5/Chp1/Clic4/Coro1b/Crk/Csnk1d/Cttnbp2/Dctn5/Dlg4/Dnajc24/Dynlrb1/Efr3b/Eif6/Epb41/Erc2/Evl/Fez1/Fgd4/Fkbp4/Fry/Fsd1/Grip1/Hid1/Hip1/Hip1r/Hspa2/Ift22/Kazn/Kif5c/Lancl2/Limch1/Mapk1/Mapre1/Mark1/Mtpn/Myh14/Myl6/Myl6b/Nckap5l/Nexn/Nit2/Nme1/Pacsin2/Pdlim1/Pfdn5/Pitpnm2/Pja2/Ppp1r12a/Ppp1r12c/Ppp1r18/Ppp2ca/Prepl/Prkacb/Psmb4/Psmb5/Ptpn11/Rab3ip/Rab8a/Ranbp1/Rdx/Rell1/Rhoa/Rps7/Septin11/Sh3kbp1/Shmt2/Skp1/Snx4/Specc1l/Src/Stx1a/Syne1/Tbcd/Tbce/Tmsb4x/Tsc1/Ttll12/Vasp/Vps4a/Wasf1/Wasf3/Washc1/Wdr47/Wipf2/Yeats2/Zfyve19",283
"GO:0098978","GO:0098978","glutamatergic synapse","184/987","263/2306",0.699619771863118,1.63457263821312,9.45576513232071,3.15339923238297e-21,6.03875953001339e-19,3.43554547949092e-19,"Cttn/Wasl/Dbnl/Numbl/Rtn4/Caskin1/Pak2/Map1b/Sptbn1/Chmp2b/Pacsin1/Amph/Ppp3ca/Pclo/Cnn3/Dnm3/Git1/Numb/Prune2/Flot1/Add2/Snap25/Mapk3/Phf24/Prkar2b/Dpysl5/Bin1/Usp14/Rtn3/Kcna1/Cadps/Coro1a/Bcr/Cntnap1/Sipa1l1/Dlg2/Hspa8/Ppp1ca/Dnm1/Cap1/Syn2/Praf2/Ap2b1/Cplx1/Ctbp1/Dbn1/Ina/Ncdn/Bsn/Gnao1/Ap2a1/Snap47/Pfn1/Crtc1/Nf1/Map2k1/Magi2/Pafah1b1/Kcnab2/Chmp4b/Vcp/Stxbp1/Synpo/Cfl1/Napa/Vamp2/Syt1/Sirt2/Dstn/Wdr1/Prrt2/Cntn1/Ywhaz/Cplx2/Rhog/Ddx3x/Sv2a/Nckipsd/Fabp5/Ap2s1/Syn3/Napb/Tnr/Ppp3cb/Myo5a/Canx/Dlgap4/Pura/Ppp1r9b/Nptn/Camk2a/Ywhah/Vamp1/Dgkq/Hnrnpm/Nedd8/Homer1/Vps35/Dag1/Map1lc3a/Ywhae/Lgi1/Rap1a/Eef2/Bcan/Adam23/Hnrnpd/Cdc42/Fbxo2/Thy1/Elavl1/Cltc/Pdxp/Ablim3/Actr3/Apba1/Arpc1a/Arpc5l/Cacna1a/Cacna1b/Calb1/Calr/Camkv/Caprin1/Cc2d1a/Cdh2/Cdk5/Cnksr2/Cnrip1/Cntnap2/Coro1b/Cttnbp2/Dlg4/Dnajb1/Eea1/Eif4e/Erc2/Fxr1/Grip1/Grm7/Hcn1/Hip1/Hip1r/Hras/Itgb1/Mark1/Ncs1/Nedd4l/Nudt3/Osbpl2/Pacsin2/Pak3/Pin1/Pja2/Plxna4/Ppfia3/Ppm1h/Ppp2r2a/Ppp3cc/Ppp3r1/Ptprz1/Rab8a/Rabep1/Rbmx/Rela/Rhoa/Rimbp2/Rims2/Rps6kb1/Septin11/Sh3kbp1/Shank1/Snx6/Src/Strn4/Stx1a/Sv2b/Tprg1l/Ube2m/Usp8/Vasp/Vps26b/Wasf3/Zdhhc5",184
"GO:0098794","GO:0098794","postsynapse","192/987","290/2306",0.662068965517241,1.54683995388324,8.61361817641363,7.66183585923123e-18,9.78161044695188e-16,5.56491236091532e-16,"Map4/Palm/Cttn/Cast/Lasp1/Dmtn/Wasl/Dbnl/Strn/Rtn4/Caskin1/Pak2/Map1b/Rtn1/Epb41l3/Sptbn1/Chmp2b/Pacsin1/Mink1/Nefl/Ppp3ca/Rab11fip5/Pclo/Kif5b/Cnn3/Dnm3/Git1/Numb/Dnajc6/Add2/Dpysl2/Syap1/Strn3/Pdlim5/Nefh/Prkar2b/Capzb/Bin1/Rtn3/Kcna1/Atp1a1/Bcr/Sipa1l1/Dlg2/Hspa8/Gpr158/Ppp1ca/Rph3a/Cap1/Syn2/Praf2/Syn1/Ap2b1/Cplx1/Gphn/Crmp1/Dbn1/Ina/Ncdn/Pcbp1/Bsn/Gnao1/Ap2a1/Snap47/Pfn1/Crtc1/Map2k1/Magi2/Kcnab2/Chmp4b/Epn1/Stxbp1/Synpo/Cfl1/Napa/Syt1/Rab3a/Hspb1/Rps14/Dstn/Prrt2/Cntn1/Ywhaz/Cplx2/Tppp/Rhog/Ddx3x/Nckipsd/Fabp5/Ap2s1/Capn2/Syn3/Napb/Myo5a/Canx/Dlgap4/Pura/Ppp1r9b/Nptn/Camk2a/Gap43/Dgkq/Hnrnpm/Ctnna2/Snca/Homer1/Vps35/Dag1/Iqsec3/Rpl9/Vdac1/Rpl12/Gnaq/Hnrnpd/Actn4/Cdc42/Fbxo2/Thy1/Elavl1/Cltc/Clcn2/Pdxp/Actr3/Apba1/Cacna1a/Calb1/Calr/Camkv/Caprin1/Cdh2/Cdk5/Cltb/Cnksr2/Cntnap2/Crkl/Cttnbp2/Dlg4/Dnajb1/Eea1/Eif4e/Fxr1/Gabrb3/Gnb5/Grip1/Grm7/Hcn1/Hip1/Hip1r/Itgb1/Kif5c/Mapk1/Mark1/Mtmr2/Nck2/Ncs1/Nedd4l/Pak3/Pin1/Pja2/Plcb3/Ppp3r1/Psmc5/Pten/Ptprz1/Rab3gap1/Rab8a/Rbmx/Rgs10/Rhoa/Rps12/Rps6kb1/Rps7/Sema4d/Septin11/Sh3kbp1/Shank1/Slc17a7/Snx6/Src/Sri/Strn4/Stx12/Stx1a/Syne1/Tsc1/Ube2m/Usp8/Vasp/Vps26b/Wasf1/Wasf3/Zdhhc5",192
"GO:0043209","GO:0043209","myelin sheath","107/987","138/2306",0.77536231884058,1.81153546833473,8.50333038295354,1.11452499511193e-17,1.06715768281968e-15,6.07122826284659e-16,"Anxa2/Pebp1/Pacsin1/Atp6v1a/Nefl/Ehd3/Septin4/Nsf/Dpysl2/Snap25/Tkt/Pdcd6ip/Nefh/Sdha/Tagln3/Stip1/Prdx1/Atp1a1/Cntnap1/Hspa8/Dnm1/Syn2/Syn1/Tcp1/Alb/Ina/Gnao1/Slc25a5/Atp6v1b2/Pgam1/Plec/Cct5/Vcp/Dlst/Atp5f1a/Stxbp1/Rala/Cct2/Hsp90aa1/Slc25a4/Gdi2/Napa/Eef1a2/Sucla2/Sirt2/Ndufs1/Wdr1/Eno1/Cntn1/Gsn/Uchl1/Dlat/Sod1/Tppp/Dld/Llgl1/Eno2/Msn/Ndufa10/Gdi1/Cycs/Mdh1/Napb/Canx/Uqcrfs1/Glul/Ppia/Ywhag/Atp1b1/Got2/Ndrg1/Ckb/Cnp/Ndufv2/Sod2/Gnb1/Pdia3/Atp5po/Ckmt1/Rap1a/Ndufs3/Tubb4b/Atp5f1b/Vdac1/Uqcrc2/Eef1a1/Ldhb/Fscn1/Tubb4a/Cdc42/Thy1/Akr1b1/Cltc/Clcn2/Mobp/Ezr/Cnrip1/Gnb5/Hspa2/Itgb1/Mif/Myh14/Nme1/Prdx3/Prxl2b/Pten/Rdx",107
"GO:0043005","GO:0043005","neuron projection","251/987","406/2306",0.618226600985222,1.44440784384187,8.53177856952912,1.56001150621204e-17,1.19496881375843e-15,6.7983659323346e-16,"Map4/Palm/Cttn/Eif4b/Dbnl/Strn/Aak1/Rtn4/Map1b/Rtn1/Pebp1/Epb41l3/Sptbn1/Pacsin1/Mink1/Nefl/Dctn2/Amph/Map6/Ppp3ca/Septin4/Pclo/Ap3s1/Dctn1/Dpysl3/Kif5b/Nsf/Avil/Cnn3/Dnm3/Git1/Hcfc1/Numb/Pygb/Clip2/Septin5/Dpysl2/Snap25/Syap1/Tmod2/Strn3/Ap3b2/Nap1l4/Park7/Fkbp15/Anxa5/Nefh/Prkar2b/Dpysl5/Capzb/Bin1/Glrx3/Rufy3/Rtn3/Kcna1/Atp1a1/Coro1a/Bcr/Cntnap1/Sipa1l1/Rap1gap2/Dlg2/Hspa8/Ppp1ca/Dnm1/Kif2a/Rph3a/Syn1/Cplx1/Gphn/Crmp1/Dbn1/Basp1/Ncdn/Bsn/Gnao1/Snap47/Crtc1/Nf1/Map2k1/Cask/Magi2/Sncg/Hsp90ab1/Plec/Gprin1/Pafah1b1/Kcnab2/Pabpc1/Septin6/Arl3/Stxbp1/Rab21/Calb2/Hsp90aa1/Synpo/Cfl1/Vamp2/Syt1/Rab3a/Hspb1/Sirt2/Stmn1/Pip4k2a/Eno1/Copa/Prrt2/Cntn1/Acot7/Uchl1/Brsk2/Sod1/Cplx2/Vim/Llgl1/Eno2/Sncb/Twf2/Atp6v0d1/Gnai2/Sv2a/Shtn1/Gdi1/Acadm/Eif5a/Capn2/Pvalb/Dip2b/Tubb3/Myo5a/Canx/Glul/Dlgap4/Bsg/Pura/Ppp1r9b/Dync1h1/Nptn/Camk2a/Gnaz/Vamp1/Ckb/Ncam2/Gap43/Slc32a1/Gnb1/Ctnna2/Snca/Homer1/Vps35/Dag1/Ywhae/Lgi1/Rap1a/Stx1b/Lgi3/Got1/Bcan/Gars1/Gnaq/Hcn2/Fscn1/Tubb4a/Actn4/Syncrip/Cdc42/Fbxo2/Thy1/Clcn2/Aldh1a1/Gad1/Acad9/Apba1/Arpc3/Arpc5/Bag2/Bbs4/Bcar1/Cacna1a/Cacna1b/Calb1/Caprin1/Cd2ap/Cdh2/Cdk5/Chl1/Cntnap2/Cntnap4/Cpne6/Csnk1e/Cttnbp2/Dhx36/Dlg4/Dnajb1/Eea1/Erc2/Fchsd2/Fez1/Fkbp4/Fxr1/Gabrb3/Gdpd5/Glrx/Gnb5/Grip1/Grm7/Hcn1/Hcn3/Hip1r/Itgb1/Kcnab1/Kif5c/Map2k4/Mapk1/Mark1/Mtmr2/Mtpn/Myh14/Ncs1/Nectin1/Nexn/Ppm1a/Ppp2ca/Pten/Ptprz1/Rab3ip/Rab8a/Ranbp1/Rdx/Rgs10/Rhoa/Rimbp2/Rims2/Rogdi/Rps6kb1/Septin11/Sh3kbp1/Shank1/Slc17a7/Src/Sri/Stmn2/Strn4/Stx1a/Tprg1l/Tsc1/Ubxn1/Usp8/Wdr47/Wfs1/Zdhhc5",251
"GO:0030424","GO:0030424","axon","168/987","248/2306",0.67741935483871,1.58270418668497,8.40084432832804,4.62162371461389e-17,2.95013647116187e-15,1.67837913846504e-15,"Map4/Palm/Cttn/Aak1/Map1b/Pebp1/Epb41l3/Sptbn1/Pacsin1/Mink1/Nefl/Dctn2/Amph/Map6/Septin4/Pclo/Ap3s1/Dctn1/Dpysl3/Kif5b/Avil/Dnm3/Git1/Hcfc1/Pygb/Septin5/Dpysl2/Snap25/Syap1/Tmod2/Ap3b2/Park7/Fkbp15/Anxa5/Nefh/Bin1/Rufy3/Kcna1/Atp1a1/Coro1a/Bcr/Cntnap1/Dlg2/Hspa8/Dnm1/Syn1/Cplx1/Crmp1/Dbn1/Basp1/Bsn/Nf1/Map2k1/Sncg/Hsp90ab1/Plec/Gprin1/Pafah1b1/Kcnab2/Septin6/Stxbp1/Rab21/Calb2/Hsp90aa1/Cfl1/Syt1/Rab3a/Hspb1/Sirt2/Eno1/Copa/Prrt2/Cntn1/Uchl1/Brsk2/Sod1/Cplx2/Vim/Llgl1/Eno2/Sncb/Twf2/Atp6v0d1/Shtn1/Gdi1/Acadm/Pvalb/Dip2b/Tubb3/Myo5a/Canx/Glul/Bsg/Ppp1r9b/Dync1h1/Nptn/Camk2a/Ncam2/Gap43/Slc32a1/Ctnna2/Snca/Homer1/Dag1/Ywhae/Lgi1/Stx1b/Lgi3/Got1/Bcan/Gars1/Hcn2/Fscn1/Tubb4a/Thy1/Clcn2/Aldh1a1/Gad1/Arpc3/Arpc5/Bag2/Bcar1/Cacna1b/Calb1/Cd2ap/Cdk5/Cntnap2/Cpne6/Csnk1e/Dhx36/Dlg4/Eea1/Erc2/Fez1/Fkbp4/Fxr1/Gabrb3/Gdpd5/Grip1/Grm7/Hcn1/Hcn3/Kcnab1/Kif5c/Map2k4/Mapk1/Mtmr2/Mtpn/Myh14/Ncs1/Nectin1/Nexn/Ppp2ca/Ptprz1/Ranbp1/Rgs10/Rhoa/Rimbp2/Rogdi/Septin11/Slc17a7/Src/Sri/Stmn2/Stx1a/Tprg1l/Tsc1/Wdr47",168
"GO:0098793","GO:0098793","presynapse","169/987","258/2306",0.655038759689923,1.53041477187939,7.81865645058049,5.61219001022207e-15,3.07066967702151e-13,1.74695237912176e-13,"Eps15l1/Dbnl/Aak1/Pebp1/Pacsin1/Atp6v1a/Nefl/Snap29/Amph/Septin4/Pclo/Ap3s1/Dnm3/Git1/Prune2/Septin5/Dnajc6/Flot1/Dpysl2/Snap25/Syap1/Ap3b2/Phf24/Pdlim5/Park7/Anxa5/Scamp1/Necap1/Sgip1/Bin1/Usp14/Rtn3/Kcna1/Cadps/Rab3c/Cntnap1/Dlg2/Hspa8/Cadm3/Gpr158/Ppp1ca/Dnm1/Rph3a/Cap1/Syn2/Praf2/Syn1/Ap2b1/Septin3/Cplx1/Ctbp1/Crmp1/Scrn1/Rab11b/Bsn/Gnao1/Ap2a1/Snap47/Pfn1/Atp6v1b2/Nf1/Cask/Sncg/Sv2c/Stxbp5/Kcnab2/Atp6v1h/Epn1/Septin6/Stxbp1/Calb2/Napa/Vamp2/Syt1/Rab3a/Kcnj10/Rps14/Dstn/Prrt2/Cntn1/Atp6v1e1/Cplx2/Sncb/Atp6v0d1/Sv2a/Atp6v1c1/Ap2s1/Gdi1/Capn2/Syn3/Napb/Myo5a/Canx/Glul/Ywhag/Nptn/Camk2a/Ywhah/Vamp1/Gap43/Atp6v1f/Dgkq/Slc32a1/Ctnna2/Snca/Vps35/Rap1a/Rab10/Stx1b/Rpl9/Vdac1/Lgi3/Got1/Adam23/Rpl12/Rab14/Thy1/Cltc/Rab2a/Gad1/Apba1/Atp6v1d/Cacna1a/Cacna1b/Calb1/Cdh2/Cdk5/Cltb/Cnrip1/Cntnap2/Cntnap4/Cops4/Cops5/Cttnbp2/Dlg4/Eea1/Erc2/Gabrb3/Gnb5/Grip1/Grm7/Hcn1/Hcn3/Hip1/Mtmr2/Ncs1/Nectin1/Osbpl2/Ppfia3/Ppp2ca/Ppp3cc/Rab8a/Rabep1/Rgs10/Rimbp2/Rims2/Rogdi/Rps12/Sh3glb1/Slc17a7/Snx4/Sri/Stx12/Stx1a/Sv2b/Syt12/Tprg1l/Ube2m/Wfs1",169
"GO:0015629","GO:0015629","actin cytoskeleton","105/987","148/2306",0.709459459459459,1.65756181713629,7.15176717961145,8.03413185189468e-13,3.84634062409458e-11,2.18824380702921e-11,"Cttn/Tagln2/Lasp1/Zyx/Dmtn/Myh9/Wasl/Dbnl/Anxa2/Sptbn1/Vcl/Dctn4/Dctn2/Coro1c/Dpysl3/Avil/Nebl/Cnn3/Septin5/Flot1/Add2/Luzp1/Snap25/Tmod2/Pdlim5/Pdcd6ip/Fkbp15/Septin9/Tagln3/Twf1/Capzb/Lcp1/Coro1a/Sipa1l1/Cap1/Myo18a/Crmp1/Dbn1/Tmod1/Csrp1/Plec/Cdc42ep4/Calb2/Synpo/Mtss2/Actr10/Cfl1/Lpp/Dstn/Coro2b/Wdr1/Gsn/Dctn6/Msra/Llgl1/Twf2/Pvalb/Myo5a/Ppp1r9b/Ctnna2/Snca/Ttn/Eef1a1/Fscn1/Actn4/Pdxp/Ezr/Ablim3/Actr3/Arpc1a/Arpc3/Arpc5/Arpc5l/Bcar1/Calb1/Cd2ap/Cdh2/Cfl2/Coro1b/Crk/Cttnbp2/Dctn5/Dnajc24/Efr3b/Epb41/Evl/Hip1/Hip1r/Lancl2/Limch1/Mtpn/Myh14/Myl6/Myl6b/Nexn/Pdlim1/Ppp1r12a/Ppp1r12c/Ptpn11/Rdx/Septin11/Specc1l/Src/Stx1a/Tsc1",105
"GO:0098984","GO:0098984","neuron to neuron synapse","104/987","148/2306",0.702702702702703,1.64177551411594,6.98007235049258,2.80761751920113e-12,1.19479723317115e-10,6.79738978332904e-11,"Map4/Palm/Cast/Dmtn/Dbnl/Rtn4/Pak2/Map1b/Rtn1/Epb41l3/Sptbn1/Chmp2b/Pacsin1/Mink1/Pclo/Dnm3/Git1/Numb/Dnajc6/Add2/Dpysl2/Pdlim5/Nefh/Capzb/Rtn3/Atp1a1/Bcr/Sipa1l1/Dlg2/Hspa8/Gpr158/Syn2/Syn1/Gphn/Dbn1/Ina/Pcbp1/Bsn/Snap47/Crtc1/Map2k1/Magi2/Stxbp5/Kcnab2/Chmp4b/Synpo/Cfl1/Syt1/Hspb1/Rps14/Prrt2/Ywhaz/Gnai2/Ddx3x/Fabp5/Syn3/Tnr/Pura/Ppp1r9b/Nptn/Camk2a/Ywhah/Gap43/Hnrnpm/Ctnna2/Homer1/Vps35/Iqsec3/Vdac1/Rpl12/Atp1b2/Hnrnpd/Calb1/Cdh2/Cdk5/Cnksr2/Cntnap2/Dlg4/Dnajb1/Grip1/Grm7/Hip1r/Itgb1/Mapk1/Mtmr2/Nck2/Ncs1/Nectin1/Pak3/Pja2/Plxna4/Ppp3r1/Pten/Ptprz1/Rab8a/Rbmx/Rogdi/Septin11/Sh3kbp1/Shank1/Stx1a/Syt12/Tsc1/Usp8",104
"GO:0032279","GO:0032279","asymmetric synapse","93/987","131/2306",0.709923664122137,1.65864637230562,6.71320585637505,1.78149469858301e-11,6.82312469557292e-10,3.88178318533351e-10,"Map4/Palm/Cast/Dmtn/Dbnl/Rtn4/Pak2/Map1b/Rtn1/Epb41l3/Sptbn1/Chmp2b/Pacsin1/Mink1/Pclo/Dnm3/Git1/Numb/Dnajc6/Add2/Dpysl2/Pdlim5/Nefh/Capzb/Rtn3/Atp1a1/Bcr/Sipa1l1/Dlg2/Hspa8/Gpr158/Syn2/Syn1/Gphn/Dbn1/Ina/Pcbp1/Bsn/Snap47/Crtc1/Map2k1/Magi2/Kcnab2/Chmp4b/Synpo/Cfl1/Syt1/Hspb1/Rps14/Prrt2/Ddx3x/Fabp5/Syn3/Pura/Ppp1r9b/Nptn/Camk2a/Ywhah/Gap43/Hnrnpm/Ctnna2/Homer1/Vps35/Iqsec3/Vdac1/Rpl12/Hnrnpd/Cdh2/Cdk5/Cnksr2/Cntnap2/Dlg4/Dnajb1/Grip1/Grm7/Hip1r/Itgb1/Mapk1/Mtmr2/Nck2/Ncs1/Pak3/Pja2/Plxna4/Pten/Ptprz1/Rab8a/Rbmx/Sh3kbp1/Shank1/Stx1a/Tsc1/Usp8",93
